,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
0,73.5,0.0,520.8100000000001,544.94,333.4,20.0,6.0,55.15,646.7,42.7,2.75,547.68,54.15,26.33,160.55,1.5,47.7,2.3,5.0,150.1,53.604,88.6,0.0,1.0,241.17000000000002,300.0,21.25,2.0,382.77,12.15,414.67,102.87,304.1,61.3,332.85,124.28899999999999,1.75,153.5,2.8,23.73,2510.852,446.63,2910.05,3.5,448.0,42.8,0.15,10.0
1,73.5,0.0,520.8100000000001,544.94,333.4,20.0,6.0,55.15,646.7,42.7,2.75,547.68,54.15,26.33,160.55,1.5,47.7,2.3,5.0,150.1,53.604,88.6,0.0,1.0,241.17000000000002,300.0,21.25,2.0,382.77,12.15,414.67,102.87,304.1,61.3,332.85,124.28899999999999,1.75,153.5,2.8,23.73,2510.852,446.63,2910.05,3.5,448.0,42.8,0.15,10.0
2,73.5,0.0,520.8100000000001,544.94,333.4,20.0,6.0,55.15,646.7,42.7,2.75,547.68,54.15,26.33,160.55,1.5,47.7,2.3,5.0,150.1,53.604,88.6,0.0,1.0,241.17000000000002,300.0,21.25,2.0,382.77,12.15,414.67,102.87,304.1,61.3,332.85,124.28899999999999,1.75,153.5,2.8,23.73,2510.852,446.63,2910.05,3.5,448.0,42.8,0.15,10.0
3,73.5,0.0,520.8100000000001,544.94,333.4,20.0,6.0,55.15,646.7,42.7,2.75,547.68,54.15,26.33,160.55,1.5,47.7,2.3,5.0,150.1,53.604,88.6,0.0,1.0,241.17000000000002,300.0,21.25,2.0,382.77,12.15,414.67,102.87,304.1,61.3,332.85,124.28899999999999,1.75,153.5,2.8,23.73,2510.852,446.63,2910.05,3.5,448.0,42.8,0.15,10.0
4,73.5,0.0,520.8100000000001,544.94,333.4,20.0,6.0,55.15,646.7,42.7,2.75,547.68,54.15,26.33,160.55,1.5,47.7,2.3,5.0,150.1,53.604,88.6,0.0,1.0,241.17000000000002,300.0,21.25,2.0,382.77,12.15,414.67,102.87,304.1,61.3,332.85,124.28899999999999,1.75,153.5,2.8,23.73,2510.852,446.63,2910.05,3.5,448.0,42.8,0.15,10.0
5,73.5,0.0,520.8100000000001,544.94,333.4,20.0,6.0,55.15,646.7,42.7,2.75,547.68,54.15,26.33,160.55,1.5,47.7,2.3,5.0,150.1,53.604,88.6,0.0,1.0,241.17000000000002,300.0,21.25,2.0,382.77,12.15,414.67,102.87,304.1,61.3,332.85,124.28899999999999,1.75,153.5,2.8,23.73,2510.852,446.63,2910.05,3.5,448.0,42.8,0.15,10.0
6,73.5,0.0,520.8100000000001,544.94,333.4,20.0,6.0,55.15,646.7,42.7,2.75,547.68,54.15,26.33,160.55,1.5,47.7,2.3,5.0,150.1,53.604,88.6,0.0,1.0,241.17000000000002,300.0,21.25,2.0,382.77,12.15,414.67,102.87,304.1,61.3,332.85,124.28899999999999,1.75,153.5,2.8,23.73,2510.852,446.63,2910.05,3.5,448.0,42.8,0.15,10.0
7,73.5,0.0,520.8100000000001,544.94,333.4,20.0,6.0,55.15,646.7,42.7,2.75,547.68,54.15,26.33,160.55,1.5,47.7,2.3,5.0,150.1,53.604,88.6,0.0,1.0,241.17000000000002,300.0,21.25,2.0,382.77,12.15,414.67,102.87,304.1,61.3,332.85,124.28899999999999,1.75,153.5,2.8,23.73,2510.852,446.63,2910.05,3.5,448.0,42.8,0.15,10.0
8,73.5,0.0,520.8100000000001,544.94,333.4,20.0,6.0,55.15,646.7,42.7,2.75,547.68,54.15,26.33,160.55,1.5,47.7,2.3,5.0,150.1,53.604,88.6,0.0,1.0,241.17000000000002,300.0,21.25,2.0,382.77,12.15,414.67,102.87,304.1,61.3,332.85,124.28899999999999,1.75,153.5,2.8,23.73,2510.852,446.63,2910.05,3.5,448.0,42.8,0.15,10.0
9,73.5,0.0,520.8100000000001,544.94,333.4,20.0,6.0,55.15,646.7,42.7,2.75,547.68,54.15,26.33,160.55,1.5,47.7,2.3,5.0,150.1,53.604,88.6,0.0,1.0,241.17000000000002,300.0,21.25,2.0,382.77,12.15,414.67,102.87,304.1,61.3,332.85,124.28899999999999,1.75,153.5,2.8,23.73,2510.852,446.63,2910.05,3.5,448.0,42.8,0.15,10.0
