*tech,year,sc_point_gid,capacity
upv_2,2010,52863,0.4
upv_1,2010,100277,9.0
upv_1,2010,100371,3.0
upv_4,2010,102071,1.2
upv_1,2010,102418,0.9
upv_4,2010,103446,0.9
upv_4,2010,104125,1.4
upv_4,2010,105495,0.9
upv_4,2010,105496,2.0
upv_4,2010,105504,3.0
upv_4,2010,106192,0.3
upv_4,2010,106193,0.3
upv_4,2010,106194,0.3
upv_4,2010,106195,0.3
upv_4,2010,106864,0.9
upv_4,2010,106865,1.0
upv_4,2010,106873,1.0
upv_4,2010,106878,0.5
upv_4,2010,107557,0.5
upv_2,2010,107898,1.69
upv_2,2010,108581,0.61
upv_4,2010,108925,0.5
upv_4,2010,109597,0.4
upv_4,2010,109609,0.5
upv_4,2010,110291,0.7
upv_3,2010,110963,0.4
upv_4,2010,110975,1.1
upv_5,2010,110990,0.9
upv_3,2010,111098,1.9
upv_3,2010,111099,1.5
upv_4,2010,111672,0.9
upv_5,2010,111673,0.9
upv_5,2010,111675,0.9
upv_3,2010,111758,0.4
upv_4,2010,112335,0.5
upv_3,2010,112441,0.9
upv_4,2010,113020,0.5
upv_4,2010,113030,0.9
upv_4,2010,113712,1.0
upv_4,2010,114398,1.0
upv_4,2010,115074,0.8
upv_4,2010,115757,0.9
upv_4,2010,119988,1.5
upv_4,2010,126136,0.1
upv_5,2010,126819,5.4
upv_5,2010,127423,10.0
upv_2,2010,135206,0.5
upv_2,2010,136574,0.5
upv_2,2010,137261,1.0
upv_5,2010,141129,3.0
upv_5,2010,145942,3.7
upv_5,2010,147948,21.0
upv_5,2010,147968,0.2
upv_5,2010,158237,3.0
upv_4,2010,191310,25.0
upv_2,2011,52863,0.4
upv_1,2011,100277,9.0
upv_1,2011,100371,3.0
upv_4,2011,102071,1.2
upv_1,2011,102418,0.9
upv_4,2011,103446,0.9
upv_4,2011,104125,1.4
upv_4,2011,105495,0.9
upv_4,2011,105496,2.0
upv_4,2011,105504,3.0
upv_4,2011,106192,0.3
upv_4,2011,106193,0.3
upv_4,2011,106194,0.3
upv_4,2011,106195,0.3
upv_4,2011,106864,0.9
upv_4,2011,106865,1.0
upv_4,2011,106873,1.0
upv_4,2011,106878,0.5
upv_4,2011,107557,0.5
upv_2,2011,107898,1.69
upv_2,2011,108581,0.61
upv_4,2011,108925,0.5
upv_4,2011,109597,0.4
upv_4,2011,109609,0.5
upv_4,2011,110291,0.7
upv_3,2011,110963,0.4
upv_4,2011,110975,1.1
upv_5,2011,110990,0.9
upv_3,2011,111098,1.9
upv_3,2011,111099,1.5
upv_4,2011,111672,0.9
upv_5,2011,111673,0.9
upv_5,2011,111675,0.9
upv_3,2011,111758,0.4
upv_4,2011,112335,0.5
upv_3,2011,112441,0.9
upv_4,2011,113020,0.5
upv_4,2011,113030,0.9
upv_4,2011,113712,1.0
upv_4,2011,114398,1.0
upv_4,2011,115074,0.8
upv_4,2011,115757,0.9
upv_4,2011,119988,1.5
upv_4,2011,126136,0.1
upv_5,2011,126819,5.4
upv_5,2011,127423,10.0
upv_2,2011,135206,0.5
upv_2,2011,136574,0.5
upv_2,2011,137261,1.0
upv_5,2011,141129,3.0
upv_5,2011,145942,3.7
upv_5,2011,147948,21.0
upv_5,2011,147968,0.2
upv_5,2011,158237,3.0
upv_4,2011,191310,25.0
upv_2,2012,52863,0.4
upv_1,2012,100277,9.0
upv_1,2012,100371,3.0
upv_4,2012,102071,1.2
upv_1,2012,102418,0.9
upv_4,2012,103446,0.9
upv_4,2012,104125,1.4
upv_4,2012,105495,0.9
upv_4,2012,105496,2.0
upv_4,2012,105504,3.0
upv_4,2012,106192,0.3
upv_4,2012,106193,0.3
upv_4,2012,106194,0.3
upv_4,2012,106195,0.3
upv_4,2012,106864,0.9
upv_4,2012,106865,1.0
upv_4,2012,106873,1.0
upv_4,2012,106878,0.5
upv_4,2012,107557,0.5
