*tech,year,sc_point_gid,capacity
upv_1,2010,46046,0.4
upv_1,2010,98999,3.0
upv_1,2010,100961,9.0
upv_1,2010,102419,0.9
upv_2,2010,104472,2.3
upv_3,2010,109747,1.9
upv_5,2010,110304,0.9
upv_5,2010,111673,1.0
upv_5,2010,112357,1.0
upv_5,2010,112359,1.2
upv_4,2010,113035,0.5
upv_5,2010,113044,1.4
upv_4,2010,115090,0.7
upv_4,2010,115772,0.5
upv_4,2010,115774,0.9
upv_4,2010,117137,0.3
upv_5,2010,117151,2.0
upv_4,2010,117826,1.0
upv_5,2010,118547,10.0
upv_4,2010,119193,0.9
upv_4,2010,119321,1.5
upv_4,2010,119872,0.3
upv_4,2010,120557,0.5
upv_4,2010,121247,1.1
upv_4,2010,121375,5.4
upv_4,2010,121928,0.9
upv_4,2010,122607,0.4
upv_4,2010,123976,0.5
upv_4,2010,123979,0.8
upv_5,2010,124658,0.3
upv_5,2010,127393,0.3
upv_5,2010,128084,1.0
upv_5,2010,128761,0.5
upv_5,2010,128778,3.0
upv_5,2010,129446,0.5
upv_5,2010,129449,0.9
upv_4,2010,130263,0.1
upv_4,2010,130947,0.4
upv_4,2010,130948,1.5
upv_5,2010,131579,3.0
upv_4,2010,131631,0.9
upv_5,2010,132184,0.9
upv_5,2010,132863,0.4
upv_5,2010,132868,0.9
upv_5,2010,133630,0.2
upv_2,2010,134529,0.5
upv_4,2010,134919,0.9
upv_2,2010,135213,0.5
upv_2,2010,135215,1.0
upv_4,2010,135603,0.9
upv_5,2010,143833,21.0
upv_5,2010,145940,3.7
upv_5,2010,154830,3.0
upv_4,2010,194737,25.0
upv_1,2011,46046,0.4
upv_1,2011,98999,3.0
upv_1,2011,100961,9.0
upv_1,2011,102419,0.9
upv_2,2011,104472,2.3
upv_3,2011,109747,1.9
upv_5,2011,110304,0.9
upv_5,2011,111673,1.0
upv_5,2011,112357,1.0
upv_5,2011,112359,1.2
upv_4,2011,113035,0.5
upv_5,2011,113044,1.4
upv_4,2011,115090,0.7
upv_4,2011,115772,0.5
upv_4,2011,115774,0.9
upv_4,2011,117137,0.3
upv_5,2011,117151,2.0
upv_4,2011,117826,1.0
upv_5,2011,118547,10.0
upv_4,2011,119193,0.9
upv_4,2011,119321,1.5
upv_4,2011,119872,0.3
upv_4,2011,120557,0.5
upv_4,2011,121247,1.1
upv_4,2011,121375,5.4
upv_4,2011,121928,0.9
upv_4,2011,122607,0.4
upv_4,2011,123976,0.5
upv_4,2011,123979,0.8
upv_5,2011,124658,0.3
upv_5,2011,127393,0.3
upv_5,2011,128084,1.0
upv_5,2011,128761,0.5
upv_5,2011,128778,3.0
upv_5,2011,129446,0.5
upv_5,2011,129449,0.9
upv_4,2011,130263,0.1
upv_4,2011,130947,0.4
upv_4,2011,130948,1.5
upv_5,2011,131579,3.0
upv_4,2011,131631,0.9
upv_5,2011,132184,0.9
upv_5,2011,132863,0.4
upv_5,2011,132868,0.9
upv_5,2011,133630,0.2
upv_2,2011,134529,0.5
upv_4,2011,134919,0.9
upv_2,2011,135213,0.5
upv_2,2011,135215,1.0
upv_4,2011,135603,0.9
upv_5,2011,143833,21.0
upv_5,2011,145940,3.7
upv_5,2011,154830,3.0
upv_4,2011,194737,25.0
upv_1,2012,46046,0.4
upv_1,2012,98999,3.0
upv_1,2012,100961,9.0
upv_1,2012,102419,0.9
upv_2,2012,104472,2.3
upv_3,2012,109747,1.9
upv_5,2012,110304,0.9
upv_5,2012,111673,1.0
upv_5,2012,112357,1.0
upv_5,2012,112359,1.2
upv_4,2012,113035,0.5
upv_5,2012,113044,1.4
upv_4,2012,115090,0.7
upv_4,2012,115772,0.5
upv_4,2012,115774,0.9
upv_4,2012,117137,0.3
upv_5,2012,117151,2.0
upv_4,2012,117826,1.0
upv_5,2012,118547,10.0
upv_4,2012,119193,0.9
upv_4,2012,119321,1.5
upv_4,2012,119872,0.3
upv_4,2012,120557,0.5
upv_4,2012,121247,1.1
upv_4,2012,121375,5.4
upv_4,2012,121928,0.9
upv_4,2012,122607,0.4
upv_4,2012,123976,0.5
upv_4,2012,123979,0.8
upv_5,2012,124658,0.3
