*tech,year,sc_point_gid,capacity
wind-ons_9,2010,50181,101.4
wind-ons_8,2010,50865,104.2
wind-ons_8,2010,51155,42.0
wind-ons_6,2010,52179,44.0
wind-ons_6,2010,52862,84.6
wind-ons_7,2010,52863,144.0
wind-ons_8,2010,55742,40.5
wind-ons_6,2010,56415,29.0
wind-ons_7,2010,56416,60.0
wind-ons_8,2010,56426,118.5
wind-ons_9,2010,56427,40.5
wind-ons_7,2010,57100,60.0
wind-ons_8,2010,57997,57.0
wind-ons_5,2010,58348,7.2
wind-ons_5,2010,58391,9.7
wind-ons_5,2010,59696,136.3
wind-ons_5,2010,59699,199.0
wind-ons_5,2010,59707,5.0
wind-ons_6,2010,59708,90.0
wind-ons_6,2010,59716,149.4
wind-ons_8,2010,59717,156.0
wind-ons_7,2010,59718,78.0
wind-ons_9,2010,59827,7.5
wind-ons_7,2010,59831,11.9
wind-ons_6,2010,60379,246.0
wind-ons_7,2010,60380,16.2
wind-ons_6,2010,60381,94.0
wind-ons_5,2010,60382,98.9
wind-ons_7,2010,60383,204.0
wind-ons_4,2010,60393,176.9
wind-ons_3,2010,60394,122.8
wind-ons_9,2010,60509,4.5
wind-ons_9,2010,60511,108.0
wind-ons_8,2010,61065,163.3
wind-ons_6,2010,61066,125.4
wind-ons_2,2010,61075,9.9
wind-ons_3,2010,61076,25.0
wind-ons_6,2010,61077,41.0
wind-ons_7,2010,61747,81.0
wind-ons_8,2010,61749,221.0
wind-ons_6,2010,61750,102.9
wind-ons_7,2010,61762,54.0
wind-ons_6,2010,61763,48.3
wind-ons_8,2010,61877,2.6
wind-ons_7,2010,62085,66.0
wind-ons_6,2010,62431,24.0
wind-ons_7,2010,62432,100.8
wind-ons_5,2010,62434,102.9
wind-ons_5,2010,62441,10.0
wind-ons_5,2010,63117,76.5
wind-ons_6,2010,63119,100.5
wind-ons_5,2010,63120,98.7
wind-ons_5,2010,63121,72.0
wind-ons_8,2010,63304,25.0
wind-ons_4,2010,63801,24.6
wind-ons_5,2010,63802,25.2
wind-ons_4,2010,63804,3.3
wind-ons_4,2010,63805,9.9
wind-ons_4,2010,63806,9.9
wind-ons_8,2010,63935,18.0
wind-ons_5,2010,64489,6.6
wind-ons_4,2010,64490,8.3
wind-ons_6,2010,64617,7.5
wind-ons_8,2010,64636,49.5
wind-ons_9,2010,64637,60.0
wind-ons_5,2010,65174,5.0
wind-ons_4,2010,65175,8.0
wind-ons_7,2010,65242,135.0
wind-ons_9,2010,65298,48.0
wind-ons_9,2010,65299,50.6
wind-ons_7,2010,65300,31.5
wind-ons_9,2010,65321,60.0
wind-ons_5,2010,65860,1.7
wind-ons_9,2010,65987,42.0
wind-ons_8,2010,66005,148.5
wind-ons_9,2010,66199,4.5
wind-ons_8,2010,66689,48.0
wind-ons_7,2010,66698,0.97
wind-ons_8,2010,66699,0.93
wind-ons_7,2010,67381,0.7
wind-ons_8,2010,67922,100.7
wind-ons_8,2010,68065,0.7
wind-ons_8,2010,68220,54.0
wind-ons_8,2010,68253,4.5
wind-ons_7,2010,68905,55.5
wind-ons_8,2010,69586,102.0
wind-ons_9,2010,69587,4.5
wind-ons_9,2010,69589,42.0
wind-ons_9,2010,70067,30.0
wind-ons_7,2010,70198,1.8
wind-ons_8,2010,70269,27.0
wind-ons_8,2010,70270,40.5
wind-ons_9,2010,70271,60.0
wind-ons_9,2010,70786,1.5
wind-ons_9,2010,71470,60.0
wind-ons_9,2010,73521,150.0
wind-ons_8,2010,73522,30.0
wind-ons_8,2010,76278,0.4
wind-ons_5,2010,76419,8.5
wind-ons_6,2010,76420,30.55
wind-ons_5,2010,77104,60.0
wind-ons_6,2010,77105,16.5
wind-ons_6,2010,77789,45.5
wind-ons_10,2010,77811,24.0
wind-ons_5,2010,78473,30.55
wind-ons_8,2010,79020,2.0
wind-ons_5,2010,79157,16.5
wind-ons_6,2010,79176,5.2
wind-ons_7,2010,79695,0.93
wind-ons_7,2010,79696,0.93
wind-ons_8,2010,79704,2.0
wind-ons_9,2010,79755,11.0
wind-ons_7,2010,79782,51.2
wind-ons_6,2010,79837,87.5
wind-ons_6,2010,79838,68.5
wind-ons_6,2010,79839,45.5
wind-ons_7,2010,79840,20.0
wind-ons_7,2010,80379,0.97
wind-ons_8,2010,80380,0.93
wind-ons_8,2010,80381,0.93
wind-ons_6,2010,80523,37.5
wind-ons_5,2010,80524,34.5
wind-ons_6,2010,80525,30.0
wind-ons_5,2010,80528,11.5
wind-ons_7,2010,81063,0.97
wind-ons_8,2010,81064,0.97
wind-ons_8,2010,81065,0.97
wind-ons_8,2010,81066,0.93
wind-ons_9,2010,81067,0.93
wind-ons_6,2010,81204,22.5
wind-ons_8,2010,81747,0.97
wind-ons_8,2010,81748,0.97
wind-ons_8,2010,81749,0.97
wind-ons_9,2010,81750,0.97
wind-ons_6,2010,81916,1.8
wind-ons_10,2010,82431,1.9
wind-ons_9,2010,82432,1.7
wind-ons_8,2010,82433,1.7
wind-ons_8,2010,82434,0.97
wind-ons_8,2010,82435,0.97
wind-ons_9,2010,82436,0.93
wind-ons_9,2010,82507,42.0
wind-ons_6,2010,82980,21.0
wind-ons_9,2010,83093,40.5
wind-ons_8,2010,83096,25.0
wind-ons_9,2010,83116,11.8
wind-ons_8,2010,83117,1.7
wind-ons_8,2010,83118,1.7
wind-ons_8,2010,83119,1.3
wind-ons_8,2010,83120,0.97
wind-ons_8,2010,83121,0.93
wind-ons_8,2010,83122,0.93
wind-ons_8,2010,83123,1.7
wind-ons_9,2010,83191,17.0
wind-ons_6,2010,83664,21.0
wind-ons_9,2010,83801,3.9
wind-ons_8,2010,83802,2.1
wind-ons_8,2010,83803,2.1
wind-ons_8,2010,83804,0.97
wind-ons_8,2010,83805,0.93
wind-ons_8,2010,83806,0.93
wind-ons_8,2010,83807,1.7
wind-ons_4,2010,84352,18.9
wind-ons_7,2010,84375,64.5
wind-ons_9,2010,84482,50.4
wind-ons_9,2010,84483,103.5
wind-ons_9,2010,84485,5.2
wind-ons_9,2010,84486,4.2
wind-ons_8,2010,84487,4.2
wind-ons_8,2010,84488,1.7
wind-ons_8,2010,84489,0.93
wind-ons_8,2010,84490,0.93
wind-ons_9,2010,84531,36.0
wind-ons_5,2010,85034,8.4
wind-ons_9,2010,85167,150.0
wind-ons_9,2010,85168,11.2
wind-ons_9,2010,85169,49.5
wind-ons_9,2010,85170,2.1
wind-ons_9,2010,85171,4.2
wind-ons_9,2010,85172,2.0
wind-ons_8,2010,85173,0.97
wind-ons_7,2010,85213,11.88
wind-ons_9,2010,85261,60.0
wind-ons_9,2010,85262,9.0
wind-ons_4,2010,85722,10.5
wind-ons_9,2010,85853,98.8
wind-ons_9,2010,85854,2.0
wind-ons_9,2010,85855,2.0
wind-ons_9,2010,85856,2.0
wind-ons_9,2010,85859,0.9
wind-ons_8,2010,85860,0.04
wind-ons_9,2010,85907,78.0
wind-ons_9,2010,86519,51.0
wind-ons_8,2010,86535,9.2
wind-ons_9,2010,86536,51.0
wind-ons_9,2010,86539,2.0
wind-ons_9,2010,86540,2.0
wind-ons_9,2010,86541,1.5
wind-ons_9,2010,86542,43.06
wind-ons_10,2010,86543,1.0
wind-ons_10,2010,86544,0.9
wind-ons_10,2010,86545,0.02
wind-ons_9,2010,86591,42.0
wind-ons_8,2010,87199,1.3
wind-ons_9,2010,87221,85.5
wind-ons_9,2010,87222,12.0
wind-ons_9,2010,87223,10.4
wind-ons_9,2010,87224,2.0
wind-ons_9,2010,87225,2.0
wind-ons_9,2010,87226,1.3
wind-ons_10,2010,87227,15.6
wind-ons_10,2010,87228,1.2
wind-ons_10,2010,87229,19.98
wind-ons_8,2010,87242,8.0
wind-ons_9,2010,87243,32.0
wind-ons_9,2010,87244,30.0
wind-ons_9,2010,87275,25.2
wind-ons_9,2010,87276,54.0
wind-ons_9,2010,87346,6.0
wind-ons_7,2010,87883,1.3
wind-ons_8,2010,87905,205.5
wind-ons_9,2010,87907,2.0
wind-ons_9,2010,87908,2.0
wind-ons_9,2010,87909,1.3
wind-ons_9,2010,87911,1.3
wind-ons_10,2010,87912,54.0
wind-ons_9,2010,87914,100.5
wind-ons_8,2010,87926,3.0
wind-ons_9,2010,87929,54.0
wind-ons_8,2010,87930,7.1
wind-ons_7,2010,87945,30.0
wind-ons_9,2010,87957,13.7
wind-ons_9,2010,88030,120.0
wind-ons_9,2010,88592,2.0
wind-ons_9,2010,88593,2.0
wind-ons_9,2010,88594,8.4
wind-ons_9,2010,88599,2.1
wind-ons_9,2010,88601,1.3
wind-ons_8,2010,88610,9.8
wind-ons_9,2010,88612,16.5
wind-ons_9,2010,88613,100.7
wind-ons_9,2010,88614,30.0
wind-ons_6,2010,88737,6.6
