*tech,year,sc_point_gid,capacity
wind-ons_9,2010,50181,101.4
wind-ons_8,2010,50865,104.2
wind-ons_8,2010,51155,42.0
wind-ons_6,2010,52862,44.0
wind-ons_7,2010,52863,228.6
wind-ons_9,2010,55742,40.5
wind-ons_9,2010,56426,118.5
wind-ons_9,2010,56427,40.5
wind-ons_7,2010,57100,149.0
wind-ons_7,2010,57708,9.7
wind-ons_9,2010,57997,57.0
wind-ons_6,2010,58348,7.2
wind-ons_7,2010,59032,149.4
wind-ons_9,2010,59143,2.6
wind-ons_8,2010,59145,11.9
wind-ons_5,2010,59696,136.3
wind-ons_6,2010,59699,199.0
wind-ons_5,2010,59708,95.0
wind-ons_7,2010,59716,78.0
wind-ons_8,2010,59717,156.0
wind-ons_9,2010,59827,4.5
wind-ons_7,2010,60379,262.2
wind-ons_7,2010,60381,94.0
wind-ons_6,2010,60382,98.9
wind-ons_8,2010,60383,204.0
wind-ons_5,2010,60393,176.9
wind-ons_3,2010,60394,122.8
wind-ons_9,2010,60511,115.5
wind-ons_8,2010,61065,163.3
wind-ons_6,2010,61066,125.4
wind-ons_8,2010,61067,102.9
wind-ons_5,2010,61070,9.9
wind-ons_4,2010,61072,5.0
wind-ons_4,2010,61073,8.0
wind-ons_6,2010,61078,41.0
wind-ons_7,2010,61747,81.0
wind-ons_9,2010,61749,221.0
wind-ons_7,2010,61750,102.9
wind-ons_6,2010,61753,98.7
wind-ons_6,2010,61754,72.0
wind-ons_6,2010,61755,3.3
wind-ons_6,2010,61756,9.9
wind-ons_5,2010,61757,9.9
wind-ons_5,2010,61761,25.0
wind-ons_6,2010,61762,102.3
wind-ons_8,2010,62085,66.0
wind-ons_7,2010,62431,24.0
wind-ons_8,2010,62432,100.8
wind-ons_6,2010,62434,100.5
wind-ons_6,2010,62440,10.0
wind-ons_6,2010,62441,8.3
wind-ons_5,2010,62442,1.7
wind-ons_5,2010,63117,76.5
wind-ons_6,2010,63125,6.6
wind-ons_8,2010,63304,25.0
wind-ons_5,2010,63801,24.6
wind-ons_6,2010,63802,25.2
wind-ons_9,2010,64637,49.5
wind-ons_8,2010,65242,135.0
wind-ons_9,2010,65299,50.6
wind-ons_9,2010,65302,49.5
wind-ons_9,2010,65321,120.0
wind-ons_8,2010,65983,48.0
wind-ons_7,2010,65985,31.5
wind-ons_9,2010,65987,18.0
wind-ons_9,2010,66005,148.5
wind-ons_7,2010,66198,4.5
wind-ons_9,2010,66689,48.0
wind-ons_8,2010,66698,0.97
wind-ons_9,2010,66699,0.93
wind-ons_8,2010,67381,0.7
wind-ons_8,2010,67922,100.7
wind-ons_8,2010,68065,0.7
wind-ons_8,2010,68253,4.5
wind-ons_8,2010,68902,106.5
wind-ons_9,2010,69586,81.0
wind-ons_9,2010,69587,100.5
wind-ons_9,2010,69589,97.5
wind-ons_9,2010,70067,30.0
wind-ons_10,2010,71470,61.5
wind-ons_8,2010,72249,1.8
wind-ons_9,2010,73521,180.0
wind-ons_9,2010,76278,0.4
wind-ons_6,2010,77102,45.5
wind-ons_5,2010,77103,45.5
wind-ons_8,2010,77785,30.55
wind-ons_5,2010,77787,68.5
wind-ons_5,2010,77788,16.5
wind-ons_10,2010,77811,24.0
wind-ons_8,2010,78469,30.55
wind-ons_9,2010,78471,68.5
wind-ons_8,2010,79020,2.0
wind-ons_8,2010,79154,16.5
wind-ons_9,2010,79704,2.0
wind-ons_8,2010,80379,0.93
wind-ons_8,2010,80380,0.93
wind-ons_9,2010,80381,0.93
wind-ons_9,2010,80439,11.0
wind-ons_10,2010,80542,5.2
wind-ons_8,2010,81063,0.97
wind-ons_9,2010,81064,0.97
wind-ons_9,2010,81065,0.93
wind-ons_9,2010,81066,0.93
wind-ons_9,2010,81747,0.97
wind-ons_9,2010,81748,0.97
wind-ons_8,2010,81749,0.97
wind-ons_9,2010,81750,0.97
wind-ons_9,2010,81751,0.93
wind-ons_10,2010,82431,1.9
wind-ons_9,2010,82432,0.97
wind-ons_9,2010,82433,0.97
wind-ons_9,2010,82434,0.97
wind-ons_9,2010,82435,0.93
wind-ons_9,2010,82436,0.93
wind-ons_9,2010,82507,59.0
wind-ons_9,2010,82610,1.8
wind-ons_7,2010,82980,21.0
wind-ons_9,2010,83093,40.5
wind-ons_9,2010,83096,25.0
wind-ons_10,2010,83116,11.8
wind-ons_9,2010,83117,1.7
wind-ons_9,2010,83118,1.3
wind-ons_9,2010,83119,0.97
wind-ons_9,2010,83120,0.93
wind-ons_9,2010,83121,0.93
wind-ons_9,2010,83123,1.7
wind-ons_8,2010,83258,30.0
wind-ons_8,2010,83261,11.5
wind-ons_7,2010,83664,21.0
wind-ons_10,2010,83801,1.7
wind-ons_9,2010,83802,2.1
wind-ons_9,2010,83803,2.1
wind-ons_9,2010,83804,0.97
wind-ons_9,2010,83805,0.93
wind-ons_9,2010,83807,1.7
wind-ons_9,2010,83891,51.2
wind-ons_8,2010,83944,34.5
wind-ons_5,2010,84351,8.4
wind-ons_5,2010,84352,18.9
wind-ons_7,2010,84375,64.5
wind-ons_9,2010,84482,50.4
wind-ons_10,2010,84483,103.5
wind-ons_10,2010,84485,3.9
wind-ons_10,2010,84486,4.2
wind-ons_9,2010,84487,4.2
wind-ons_9,2010,84488,0.97
wind-ons_9,2010,84489,0.93
wind-ons_9,2010,84576,69.0
wind-ons_10,2010,85167,150.0
wind-ons_10,2010,85168,11.2
wind-ons_10,2010,85169,49.5
wind-ons_10,2010,85170,2.1
wind-ons_10,2010,85171,4.2
wind-ons_10,2010,85172,1.5
wind-ons_9,2010,85173,0.97
wind-ons_10,2010,85350,1.5
wind-ons_5,2010,85722,10.5
wind-ons_10,2010,85853,98.8
wind-ons_10,2010,85854,2.0
wind-ons_10,2010,85855,2.0
wind-ons_10,2010,85856,1.7
wind-ons_9,2010,85907,145.2
wind-ons_10,2010,86519,51.0
wind-ons_9,2010,86535,5.2
wind-ons_9,2010,86536,51.0
wind-ons_10,2010,86539,2.0
wind-ons_10,2010,86540,2.0
wind-ons_10,2010,86541,0.93
wind-ons_10,2010,86542,43.06
wind-ons_10,2010,86543,0.04
wind-ons_9,2010,86559,32.0
wind-ons_9,2010,86560,3.0
wind-ons_9,2010,87199,1.3
wind-ons_9,2010,87219,9.2
wind-ons_9,2010,87221,85.5
wind-ons_10,2010,87222,12.0
wind-ons_9,2010,87223,10.4
wind-ons_9,2010,87224,2.0
wind-ons_9,2010,87225,1.3
wind-ons_10,2010,87226,0.9
wind-ons_10,2010,87227,15.6
wind-ons_10,2010,87228,1.2
wind-ons_10,2010,87229,19.98
wind-ons_9,2010,87243,8.0
wind-ons_8,2010,87273,3.6
wind-ons_9,2010,87274,12.9
wind-ons_9,2010,87275,67.7
wind-ons_8,2010,87342,20.0
wind-ons_8,2010,87345,112.0
wind-ons_9,2010,87346,6.6
wind-ons_8,2010,87883,1.3
wind-ons_9,2010,87905,205.5
wind-ons_10,2010,87907,2.0
wind-ons_9,2010,87908,2.0
wind-ons_9,2010,87909,1.3
wind-ons_9,2010,87910,1.0
wind-ons_9,2010,87911,0.9
wind-ons_10,2010,87912,0.02
wind-ons_10,2010,87914,100.5
wind-ons_9,2010,87929,100.5
wind-ons_9,2010,87957,42.57
wind-ons_9,2010,87958,44.55
wind-ons_9,2010,88030,126.0
wind-ons_8,2010,88036,37.5
wind-ons_9,2010,88587,11.6
wind-ons_9,2010,88588,2.0
wind-ons_9,2010,88589,2.0
wind-ons_10,2010,88592,1.5
wind-ons_9,2010,88593,2.0
wind-ons_9,2010,88594,8.4
wind-ons_9,2010,88595,1.0
wind-ons_10,2010,88596,99.0
wind-ons_9,2010,88599,2.1
wind-ons_9,2010,88602,1.3
wind-ons_9,2010,88612,100.0
wind-ons_9,2010,88613,100.7
wind-ons_9,2010,88641,11.88
wind-ons_9,2010,88642,13.5
wind-ons_9,2010,88714,100.5
wind-ons_8,2010,88719,87.5
wind-ons_8,2010,89273,2.0
wind-ons_9,2010,89274,2.0
wind-ons_9,2010,89276,1.3
wind-ons_10,2010,89277,20.0
wind-ons_10,2010,89280,0.9
wind-ons_9,2010,89284,1.7
wind-ons_9,2010,89285,0.9
wind-ons_9,2010,89287,1.3
wind-ons_9,2010,89295,9.8
wind-ons_9,2010,89296,13.5
wind-ons_9,2010,89297,91.1
wind-ons_9,2010,89326,54.0
wind-ons_10,2010,89888,39.0
wind-ons_9,2010,89955,3.8
wind-ons_8,2010,89956,2.0
wind-ons_8,2010,89957,1.7
wind-ons_9,2010,89958,1.7
wind-ons_9,2010,89959,1.3
wind-ons_9,2010,89960,1.3
wind-ons_9,2010,89961,2.0
wind-ons_9,2010,89962,2.0
wind-ons_9,2010,89963,0.9
wind-ons_9,2010,89968,1.7
