sc_point_gid,year,capacity
94940,2016,29.3
122272,2021,12.0
85377,2024,65.0
86061,2024,65.0
86745,2024,64.03
88114,2024,65.0
88798,2024,0.97
85379,2025,530.84
86063,2025,236.47
86064,2025,32.69
86746,2025,357.5
87430,2025,357.5
85378,2026,179.41
86062,2026,462.0
86747,2026,264.97
87431,2026,17.63
92117,2026,3.4
92118,2026,3.4
92800,2026,3.4
92801,2026,3.4
92802,2026,3.4
93485,2026,3.4
112017,2026,476.38
112018,2026,0.1
112701,2026,346.42
112702,2026,15.62
113385,2026,120.0
113386,2026,1.52
114070,2026,5.96
96303,2027,269.89
96304,2027,372.18
96305,2027,114.05
96306,2027,18.47
96987,2027,32.14
96988,2027,3.27
121588,2027,74.13
121589,2027,160.09
122273,2027,529.55
122274,2027,42.83
122957,2027,489.18
122958,2027,16.98
123641,2027,462.32
123642,2027,11.08
124325,2027,480.78
124326,2027,0.39
125009,2027,349.64
125010,2027,23.04
