sc_point_gid,year,capacity
90132,2016,1.78
90817,2016,12.34
90818,2016,13.65
91501,2016,1.52
122945,2021,12.0
88088,2024,11.44
88772,2024,36.77
89455,2024,65.0
91509,2024,53.56
92192,2024,28.23
92193,2024,65.0
89456,2025,459.85
90138,2025,357.5
90139,2025,357.5
90140,2025,340.15
90822,2026,10.51
91504,2026,462.0
91505,2026,451.49
95531,2026,3.4
96213,2026,3.4
96214,2026,3.4
96215,2026,3.4
96897,2026,3.4
96898,2026,3.4
110637,2026,498.28
111319,2026,5.57
111320,2026,342.14
111321,2026,120.0
97644,2027,133.62
97645,2027,146.42
98328,2027,47.34
98329,2027,225.63
98330,2027,257.0
121578,2027,186.98
121579,2027,134.7
122261,2027,474.04
122262,2027,530.84
122263,2027,530.84
122946,2027,319.98
122947,2027,462.61
