sc_point_gid,year,capacity
90816,2016,29.3
122945,2021,12.0
88088,2024,11.44
88771,2024,33.15
88772,2024,31.85
89455,2024,65.0
91509,2024,53.56
92192,2024,65.0
88086,2025,50.32
89456,2025,528.96
90138,2025,357.5
90139,2025,307.18
90140,2025,271.04
90822,2026,10.51
91504,2026,462.0
91505,2026,451.49
96898,2026,3.4
96899,2026,3.4
97582,2026,3.4
97583,2026,3.4
97584,2026,3.4
98267,2026,3.4
110637,2026,305.6
111319,2026,177.65
111320,2026,362.75
111321,2026,120.0
97644,2027,173.53
97645,2027,171.69
98328,2027,57.12
98329,2027,242.68
98330,2027,164.98
121578,2027,186.98
121579,2027,134.7
122261,2027,474.04
122262,2027,530.84
122263,2027,530.84
122946,2027,319.98
122947,2027,462.61
