sc_point_gid,year,capacity
55064,2010,19.5
55065,2010,96.0
56301,2010,90.0
56432,2010,36.8
60404,2010,100.7
60579,2010,54.0
60739,2010,66.0
61087,2010,6.0
61263,2010,146.0
61771,2010,50.0
61944,2010,28.8
62790,2010,25.5
63997,2010,60.0
65361,2010,20.0
65873,2010,9.0
71480,2010,62.4
73532,2010,6.4
74763,2010,62.0
74764,2010,131.0
77014,2010,20.0
78183,2010,30.0
81643,2010,22.5
81644,2010,62.25
81693,2010,174.0
82285,2010,98.7
83282,2010,1.7
83797,2010,99.0
83798,2010,210.0
83968,2010,3.0
85745,2010,16.8
87113,2010,21.0
88532,2010,26.0
89306,2010,60.0
89784,2010,1.0
91900,2010,21.0
93398,2010,1.5
93953,2010,62.25
94003,2010,111.0
96818,2010,1.5
100213,2010,60.0
100922,2010,1.5
105066,2010,222.0
105082,2010,60.0
105750,2010,78.0
105766,2010,45.7
106962,2010,1.5
107189,2010,36.0
108501,2010,1.0
108550,2010,34.0
109131,2010,1.5
109914,2010,30.0
110598,2010,28.5
111221,2010,200.0
111283,2010,42.0
113975,2010,103.5
114659,2010,102.3
115219,2010,51.0
117137,2010,36.8
124158,2010,12.5
128262,2010,48.0
131729,2010,48.0
135103,2010,39.2
135730,2010,96.0
135787,2010,60.0
137202,2010,54.0
138570,2010,66.0
141155,2010,32.55
143937,2010,6.4
145942,2010,32.55
146566,2010,101.2
148102,2010,151.8
151519,2010,54.0
152203,2010,45.2
159024,2010,10.0
159708,2010,10.0
172721,2010,36.0
174773,2010,48.0
175457,2010,54.0
176141,2010,42.0
176142,2010,15.6
183666,2010,54.0
185034,2010,72.0
185718,2010,60.0
188452,2010,20.1
189810,2010,42.0
190494,2010,60.0
191178,2010,48.0
198017,2010,24.0
203489,2010,48.0
204173,2010,42.0
204857,2010,36.0
55617,2011,50.0
58684,2011,20.0
59200,2011,1.2
59214,2011,54.0
59884,2011,1.2
59898,2011,147.3
60568,2011,1.2
60584,2011,205.5
61772,2011,148.8
61939,2011,4.0
62107,2011,60.0
62623,2011,4.0
62624,2011,9.9
62625,2011,25.64
63309,2011,25.3
63991,2011,2.5
68235,2011,40.0
69459,2011,0.5
70827,2011,0.26
71511,2011,0.1
73688,2011,51.3
74078,2011,3.0
74221,2011,11.1
75741,2011,74.0
76360,2011,30.0
77044,2011,60.0
77728,2011,12.0
78326,2011,66.0
79756,2011,54.0
80440,2011,108.0
80958,2011,12.0
81642,2011,12.0
82327,2011,22.5
82515,2011,30.0
83009,2011,10.5
83199,2011,48.0
83277,2011,1.6
83694,2011,21.0
83883,2011,12.0
83961,2011,1.5
85021,2011,199.2
85338,2011,15.0
86366,2011,1.5
86429,2011,19.5
87112,2011,10.5
87250,2011,16.0
87934,2011,16.0
87935,2011,44.0
88613,2011,1.2
89848,2011,13.5
89849,2011,22.4
89978,2011,1.6
90533,2011,22.5
90662,2011,1.6
91902,2011,79.2
92584,2011,21.3
92689,2011,33.3
92722,2011,54.0
93520,2011,38.0
94082,2011,1.5
94741,2011,60.0
95424,2011,1.6
95457,2011,60.0
95458,2011,65.6
96136,2011,4.08
96141,2011,40.0
96821,2011,33.7
96836,2011,36.0
98161,2011,40.5
98888,2011,30.0
98889,2011,60.0
98890,2011,90.0
98992,2011,3.2
99357,2011,2.0
99570,2011,5.2
99571,2011,30.0
99573,2011,78.0
99574,2011,114.0
102946,2011,1.5
103630,2011,1.5
103691,2011,1.5
105786,2011,99.0
106395,2011,1.6
106431,2011,150.0
107163,2011,54.0
108422,2011,79.9
108447,2011,1.5
108548,2011,40.0
109064,2011,124.15
109134,2011,36.72
109170,2011,239.4
109214,2011,78.0
109215,2011,36.0
109748,2011,124.15
109852,2011,132.0
109898,2011,56.0
109899,2011,54.0
109901,2011,24.0
110536,2011,18.4
110600,2011,10.0
111220,2011,60.0
112588,2011,42.4
114015,2011,48.0
114699,2011,49.6
115381,2011,52.9
119429,2011,48.0
120007,2011,123.48
120691,2011,128.52
127478,2011,102.0
130124,2011,1.0
131499,2011,36.0
131507,2011,42.0
132182,2011,13.5
132874,2011,36.2
136323,2011,30.0
144529,2011,60.0
144679,2011,100.8
145199,2011,6.5
145363,2011,42.0
145883,2011,42.0
145885,2011,150.0
146569,2011,60.0
146580,2011,48.0
147250,2011,102.0
147264,2011,30.0
147937,2011,90.0
149302,2011,54.0
149304,2011,90.0
149988,2011,60.0
150151,2011,57.8
150837,2011,130.0
156200,2011,10.0
161035,2011,50.4
166548,2011,2.1
167233,2011,78.2
192542,2011,54.0
195961,2011,44.09
196646,2011,27.31
200065,2011,10.0
200749,2011,9.9
201433,2011,6.6
201436,2011,121.97
202118,2011,66.13
46045,2012,105.3
52884,2012,60.0
54933,2012,4.3
56389,2012,184.6
56433,2012,105.0
57117,2012,27.0
57801,2012,36.0
58485,2012,42.0
59038,2012,84.0
59168,2012,45.0
59213,2012,44.0
59369,2012,50.6
60053,2012,34.5
60582,2012,60.0
61176,2012,10.0
61266,2012,96.0
61773,2012,144.7
62457,2012,54.0
62544,2012,40.0
63141,2012,66.0
63826,2012,36.0
65192,2012,121.0
65193,2012,72.0
65502,2012,48.0
65876,2012,26.0
66182,2012,10.0
66183,2012,65.0
66560,2012,198.0
66561,2012,30.0
66870,2012,10.4
67244,2012,132.0
67555,2012,88.6
68015,2012,9.6
68220,2012,54.0
69514,2012,28.0
69979,2012,20.0
70203,2012,8.4
70957,2012,54.0
72937,2012,48.0
73687,2012,4.1
74307,2012,28.8
74309,2012,42.0
74765,2012,144.0
74987,2012,32.0
76222,2012,10.0
76424,2012,15.0
77013,2012,2.4
77697,2012,2.4
78412,2012,48.0
78413,2012,54.0
78908,2012,23.0
79168,2012,60.0
79592,2012,23.0
79593,2012,115.8
79777,2012,64.0
79778,2012,33.6
79780,2012,24.0
79852,2012,47.3
80276,2012,23.0
80466,2012,78.0
81233,2012,28.5
81833,2012,48.0
82600,2012,4.0
83283,2012,2.0
83284,2012,3.0
85198,2012,30.0
85329,2012,1.5
86618,2012,59.4
87985,2012,14.0
88417,2012,1.0
89303,2012,36.0
91217,2012,23.0
91353,2012,105.6
91901,2012,23.0
92159,2012,54.0
92585,2012,23.0
92720,2012,99.0
92843,2012,31.4
93269,2012,39.9
93405,2012,100.9
93519,2012,30.0
93523,2012,15.0
94093,2012,200.0
94212,2012,54.0
94891,2012,70.4
95575,2012,70.4
95576,2012,60.0
96108,2012,7.96
96259,2012,69.0
96819,2012,1.6
96820,2012,3.4
96942,2012,50.4
97503,2012,1.6
97505,2012,30.6
97626,2012,48.0
98187,2012,1.6
98310,2012,0.2
98875,2012,80.0
99403,2012,60.0
99528,2012,15.9
100239,2012,1.6
100896,2012,32.04
100897,2012,64.0
100923,2012,1.6
101607,2012,1.6
102290,2012,0.9
102291,2012,1.6
102822,2012,36.0
102975,2012,1.6
103662,2012,44.5
103692,2012,81.0
105100,2012,1.0
105161,2012,0.1
105711,2012,1.6
105746,2012,109.5
105748,2012,24.3
106241,2012,54.0
107079,2012,1.6
107762,2012,0.7
107763,2012,1.6
108449,2012,5.9
109133,2012,5.5
109189,2012,200.0
109853,2012,200.0
110537,2012,146.0
111799,2012,14.5
112347,2012,1.0
112483,2012,14.5
112589,2012,168.0
113031,2012,1.6
113168,2012,146.0
113852,2012,200.0
114586,2012,150.0
114589,2012,44.4
115270,2012,51.0
117378,2012,54.0
117817,2012,1.5
117818,2012,6.0
118501,2012,1.6
118639,2012,71.0
119868,2012,1.0
120552,2012,1.6
122603,2012,1.5
122793,2012,108.0
123475,2012,98.9
123476,2012,108.0
123478,2012,132.0
124162,2012,68.0
124795,2012,54.0
125526,2012,65.5
126210,2012,65.5
126894,2012,83.95
126895,2012,42.0
126897,2012,24.0
127578,2012,83.95
127579,2012,54.0
128263,2012,8.0
129633,2012,33.6
129638,2012,156.0
130322,2012,204.0
130808,2012,1.6
131006,2012,66.0
131498,2012,49.0
134417,2012,59.8
135109,2012,48.0
135785,2012,40.0
135793,2012,24.0
136291,2012,6.2
136368,2012,99.2
136975,2012,30.0
137660,2012,42.0
141798,2012,42.0
142627,2012,24.0
143163,2012,72.0
143846,2012,36.0
143995,2012,16.8
144001,2012,48.0
144517,2012,60.0
144528,2012,42.0
145210,2012,72.0
145211,2012,48.0
145212,2012,54.0
145213,2012,99.0
145214,2012,84.0
145369,2012,60.0
145884,2012,132.0
145896,2012,114.0
145897,2012,90.0
146049,2012,120.0
146053,2012,110.76
146567,2012,102.5
146581,2012,31.4
146733,2012,28.8
147251,2012,120.0
147252,2012,80.0
147413,2012,2.94
147934,2012,102.0
147935,2012,128.0
148788,2012,60.0
149305,2012,66.0
149472,2012,175.2
149989,2012,84.0
150092,2012,27.3
150153,2012,132.0
150156,2012,120.0
150675,2012,36.0
150677,2012,54.0
150678,2012,60.0
150834,2012,80.0
150840,2012,107.5
153572,2012,60.0
156973,2012,20.0
163129,2012,25.6
163813,2012,54.0
166552,2012,48.0
167236,2012,87.4
169969,2012,7.2
170653,2012,54.0
175459,2012,33.6
176143,2012,72.0
176827,2012,42.0
177511,2012,54.0
185022,2012,54.0
185716,2012,14.0
186400,2012,60.0
187084,2012,66.0
187087,2012,149.0
187758,2012,54.0
187768,2012,60.0
187771,2012,54.0
188442,2012,42.0
189128,2012,60.0
189812,2012,101.0
190496,2012,161.0
198697,2012,30.0
200067,2012,99.8
203486,2012,8.3
204170,2012,84.0
69516,2013,42.0
70202,2013,54.0
72321,2013,60.0
75675,2013,36.0
75742,2013,34.4
77043,2013,10.3
87303,2013,32.8
102978,2013,44.6
109790,2013,74.8
110431,2013,2.0
113167,2013,25.1
116048,2013,3.4
118007,2013,141.8
119322,2013,2.0
120743,2013,48.0
124163,2013,60.0
128897,2013,2.0
129581,2013,2.0
188441,2013,60.0
189125,2013,90.0
46730,2014,86.8
53653,2014,10.0
55619,2014,180.0
57315,2014,8.5
60492,2014,9.7
65362,2014,50.0
70204,2014,72.0
74304,2014,24.0
74905,2014,19.5
75673,2014,74.8
77729,2014,39.0
81828,2014,20.0
85682,2014,1.0
87986,2014,50.4
88670,2014,49.6
88740,2014,16.2
89986,2014,138.6
95423,2014,1.9
96142,2014,119.6
96880,2014,38.4
100040,2014,1.0
100251,2014,228.0
100935,2014,22.0
107821,2014,200.0
109107,2014,200.6
109917,2014,40.0
110473,2014,24.0
111841,2014,30.0
112525,2014,19.1
114535,2014,34.0
114536,2014,146.6
126162,2014,28.6
128215,2014,54.0
133678,2014,9.9
141094,2014,30.0
141201,2014,9.9
141778,2014,60.0
146568,2014,6.0
148782,2014,84.0
149408,2014,5.0
149466,2014,14.6
149987,2014,132.0
151522,2014,150.0
