sc_point_gid,year,capacity
50148,2010,6.0
50832,2010,90.0
54251,2010,100.7
56632,2010,25.5
60579,2010,66.0
61263,2010,82.8
61265,2010,200.0
62108,2010,66.0
62456,2010,50.0
62627,2010,20.0
63275,2010,102.4
64509,2010,161.0
64642,2010,19.5
66010,2010,36.8
68611,2010,98.7
73534,2010,62.4
80961,2010,62.25
81062,2010,99.0
81644,2010,16.8
81807,2010,20.0
83654,2010,62.0
83745,2010,200.0
84664,2010,3.0
85021,2010,9.0
86032,2010,1.7
87115,2010,21.0
87799,2010,22.5
88586,2010,210.0
89988,2010,1.5
91218,2010,21.0
93954,2010,62.25
96739,2010,111.0
100981,2010,102.3
102985,2010,1.5
103014,2010,258.0
103669,2010,1.5
103698,2010,42.0
105037,2010,1.5
106454,2010,103.5
106962,2010,1.5
107874,2010,100.5
109170,2010,200.0
112684,2010,70.0
113213,2010,60.0
113979,2010,1.0
117400,2010,105.7
120060,2010,12.5
122743,2010,51.0
131689,2010,48.0
133742,2010,99.2
134426,2010,99.2
134953,2010,23.2
135152,2010,168.0
135634,2010,36.8
135637,2010,78.0
138364,2010,1.0
138466,2010,102.4
138531,2010,151.8
141155,2010,32.55
151413,2010,32.55
172047,2010,10.0
172731,2010,10.0
175471,2010,200.1
178207,2010,201.6
181625,2010,150.0
182309,2010,150.0
54935,2011,148.8
56302,2011,50.0
59369,2011,20.0
59891,2011,25.3
60583,2011,201.3
60584,2011,205.5
60739,2011,60.0
61258,2011,9.9
61939,2011,1.2
61941,2011,2.5
62623,2011,1.2
63307,2011,1.2
63995,2011,16.0
64679,2011,16.0
64680,2011,44.0
65193,2011,199.2
65498,2011,40.0
70275,2011,66.0
71514,2011,0.5
76338,2011,102.0
77022,2011,60.0
77541,2011,12.0
78909,2011,21.0
79593,2011,22.5
80557,2011,1.5
80918,2011,3.0
80960,2011,10.5
81907,2011,8.0
83012,2011,21.3
83142,2011,0.26
83209,2011,90.0
83696,2011,22.5
83826,2011,0.1
83979,2011,1.6
84663,2011,1.5
85063,2011,10.5
85328,2011,51.3
85347,2011,1.5
85352,2011,15.0
85747,2011,13.5
85748,2011,79.2
86431,2011,19.5
86564,2011,1.2
87218,2011,159.3
87935,2011,4.0
88619,2011,4.0
89305,2011,25.64
89850,2011,12.0
89990,2011,36.72
90735,2011,102.0
91902,2011,22.4
93373,2011,1.6
94057,2011,11.1
94096,2011,100.0
94210,2011,3.2
95579,2011,38.0
96908,2011,50.0
98206,2011,222.0
98881,2011,1.6
98890,2011,221.2
98960,2011,99.0
99566,2011,4.08
99569,2011,119.6
100933,2011,1.6
101013,2011,252.0
101617,2011,1.6
102268,2011,1.5
102301,2011,1.5
102952,2011,1.5
103697,2011,150.4
104353,2011,1.5
104355,2011,33.7
105066,2011,239.4
106373,2011,40.5
107742,2011,79.9
109241,2011,52.9
109242,2011,97.6
112683,2011,10.0
114052,2011,40.0
114536,2011,124.15
115220,2011,124.15
118747,2011,150.4
119430,2011,1.5
119431,2011,150.0
126847,2011,123.48
127478,2011,102.0
127531,2011,128.52
129476,2011,2.0
133578,2011,1.5
135636,2011,78.2
136321,2011,60.0
137691,2011,84.0
140428,2011,72.0
141796,2011,54.0
143151,2011,1.0
144529,2011,66.0
145213,2011,150.0
145897,2011,150.0
145942,2011,10.0
146055,2011,130.0
147946,2011,102.5
148627,2011,49.5
149997,2011,42.0
150685,2011,42.0
152211,2011,100.8
154947,2011,99.8
156998,2011,2.1
163155,2011,44.09
164455,2011,50.4
168628,2011,81.31
173415,2011,10.0
174099,2011,9.9
174100,2011,78.2
174783,2011,6.6
176153,2011,121.97
178204,2011,66.13
45362,2012,105.3
55021,2012,40.0
56389,2012,184.6
59037,2012,4.3
59038,2012,138.7
59214,2012,114.0
59898,2012,86.0
60054,2012,50.6
60738,2012,34.5
61176,2012,10.0
62457,2012,204.0
64643,2012,105.0
65194,2012,199.0
65195,2012,98.0
65878,2012,74.0
65879,2012,192.0
66011,2012,105.0
66182,2012,10.0
66183,2012,65.0
66562,2012,216.0
68062,2012,45.0
68613,2012,66.0
68699,2012,10.0
74398,2012,10.4
76222,2012,9.6
77136,2012,28.6
77137,2012,60.0
77702,2012,2.4
77820,2012,48.0
78386,2012,2.4
79873,2012,1.5
80277,2012,23.0
81645,2012,115.8
83275,2012,15.0
84380,2012,23.0
84578,2012,120.0
84665,2012,3.0
84669,2012,28.5
85064,2012,39.9
85348,2012,2.0
85946,2012,110.4
86031,2012,1.5
86034,2012,4.0
86630,2012,100.8
87253,2012,36.0
87312,2012,14.0
88483,2012,23.0
88621,2012,30.0
88682,2012,81.6
88764,2012,1.5
89167,2012,23.0
90049,2012,32.0
90105,2012,30.0
90733,2012,28.0
90734,2012,64.0
91356,2012,0.9
91358,2012,30.6
91418,2012,59.4
91474,2012,50.4
92159,2012,75.0
92170,2012,4.1
92586,2012,23.0
92845,2012,139.4
93270,2012,23.0
93527,2012,70.4
93545,2012,215.3
94093,2012,1.6
94777,2012,1.6
94895,2012,48.2
95461,2012,1.6
96145,2012,1.6
96148,2012,99.0
96264,2012,70.4
96829,2012,1.6
96830,2012,5.9
97513,2012,1.6
97514,2012,5.5
98197,2012,1.6
99008,2012,0.1
99565,2012,1.6
99571,2012,200.0
99685,2012,69.0
100249,2012,1.6
100250,2012,3.4
100251,2012,44.5
102380,2012,1.0
102822,2012,150.0
102989,2012,105.6
103672,2012,80.0
104321,2012,64.0
106405,2012,0.7
106409,2012,100.9
107741,2012,32.04
108486,2012,200.0
109109,2012,15.9
109142,2012,1.6
109826,2012,1.6
109854,2012,192.3
111845,2012,7.96
113168,2012,71.0
113274,2012,109.5
115326,2012,81.0
116011,2012,200.0
116032,2012,200.0
117325,2012,108.0
117956,2012,200.0
120745,2012,104.0
121375,2012,14.5
122799,2012,288.0
123482,2012,201.0
123483,2012,182.4
125533,2012,98.9
126218,2012,200.0
126901,2012,83.95
127585,2012,83.95
128953,2012,65.5
129637,2012,65.5
130267,2012,200.0
131634,2012,14.5
133058,2012,165.6
134952,2012,24.2
134954,2012,54.0
136368,2012,99.2
138376,2012,48.0
139732,2012,1.0
139744,2012,60.0
139898,2012,80.0
140416,2012,1.5
141100,2012,1.6
141113,2012,138.0
141268,2012,270.0
141797,2012,25.4
141798,2012,240.0
141951,2012,148.8
141952,2012,20.76
142474,2012,54.0
142479,2012,42.0
142480,2012,51.0
142634,2012,59.8
143163,2012,108.0
143835,2012,1.6
143846,2012,36.0
144002,2012,40.0
144530,2012,78.0
145211,2012,84.0
145212,2012,132.0
145371,2012,132.0
145888,2012,6.0
145895,2012,26.0
147254,2012,1.6
147264,2012,140.0
147938,2012,1.6
147943,2012,49.0
148106,2012,2.94
148621,2012,1.0
148630,2012,102.5
149305,2012,1.0
149314,2012,36.0
149476,2012,235.2
149989,2012,1.5
149998,2012,48.0
150001,2012,72.0
150160,2012,227.5
150681,2012,48.0
150684,2012,114.0
151365,2012,54.0
151368,2012,72.0
151527,2012,100.8
153512,2012,27.3
156315,2012,61.2
159053,2012,150.0
164523,2012,30.0
165207,2012,20.0
171365,2012,135.4
172048,2012,79.6
172732,2012,99.8
172734,2012,161.0
173418,2012,161.0
174787,2012,200.0
180256,2012,92.3
180259,2012,201.6
180943,2012,203.0
83960,2013,94.4
87314,2013,100.3
89366,2013,74.8
99567,2013,44.6
99644,2013,3.4
111846,2013,74.8
120007,2013,2.0
120062,2013,249.8
122059,2013,25.1
129582,2013,2.0
130266,2013,2.0
130950,2013,2.0
163157,2013,150.0
52884,2014,266.8
53653,2014,10.0
58000,2014,8.5
60492,2014,9.7
62628,2014,50.0
84577,2014,74.8
86628,2014,20.0
86629,2014,62.4
87217,2014,19.5
87997,2014,50.4
88681,2014,49.6
90051,2014,111.0
94223,2014,16.2
96833,2014,138.6
98204,2014,250.0
100253,2014,119.6
100900,2014,1.9
104402,2014,200.0
105690,2014,186.0
106374,2014,14.6
110432,2014,28.6
111800,2014,34.0
112530,2014,73.1
113368,2014,40.0
118640,2014,200.6
135111,2014,199.0
136414,2014,9.9
138530,2014,98.6
139048,2014,1.0
141267,2014,150.0
144621,2014,9.9
145886,2014,1.0
146580,2014,138.0
148629,2014,90.0
150844,2014,226.1
152828,2014,5.0
156319,2014,25.0
159738,2014,181.7
162403,2014,10.0
163161,2014,252.0
163845,2014,36.6
165895,2014,200.0
165897,2014,258.0
166581,2014,24.3
167264,2014,218.0
171368,2014,211.2
172050,2014,161.0
172052,2014,186.0
177519,2014,2.5
177520,2014,67.46
179571,2014,0.2
181626,2014,140.0
182310,2014,48.0
58685,2015,25.7
61424,2015,148.0
61948,2015,195.8
65327,2015,147.9
69431,2015,107.5
72852,2015,201.8
79010,2015,80.0
79694,2015,94.3
87393,2015,5.0
94094,2015,16.4
94780,2015,100.0
96831,2015,58.0
98198,2015,4.7
98882,2015,4.7
100937,2015,115.0
101620,2015,89.1
102304,2015,89.0
102987,2015,39.0
102988,2015,85.8
105723,2015,20.7
106406,2015,1.9
111162,2015,73.4
112529,2015,6.8
114736,2015,30.0
118063,2015,175.0
122113,2015,150.0
122167,2015,98.0
124850,2015,200.5
128215,2015,150.0
130321,2015,50.7
130322,2015,198.6
130951,2015,250.0
