sc_point_gid,year,capacity
49418,2010,6.0
51492,2010,100.7
53547,2010,90.0
57312,2010,25.5
59695,2010,50.0
61063,2010,9.0
61064,2010,161.0
61078,2010,62.0
62084,2010,66.0
62433,2010,98.7
65986,2010,102.4
66004,2010,62.4
67348,2010,36.8
70753,2010,19.5
74910,2010,20.0
79000,2010,99.0
82602,2010,3.0
83113,2010,210.0
83173,2010,20.0
83692,2010,62.25
84353,2010,16.8
84376,2010,62.25
85037,2010,21.0
85350,2010,1.7
85720,2010,22.5
85721,2010,21.0
88591,2010,200.0
88597,2010,148.8
89772,2010,101.2
91256,2010,200.0
96725,2010,111.0
98866,2010,1.5
98875,2010,1.5
102835,2010,1.5
103651,2010,1.5
104375,2010,200.0
104376,2010,132.0
105060,2010,60.0
105744,2010,108.0
106385,2010,1.5
106439,2010,102.3
107122,2010,105.7
107807,2010,103.5
108236,2010,36.8
109191,2010,1.0
109916,2010,70.0
111656,2010,1.0
113214,2010,60.0
113224,2010,168.0
116586,2010,51.0
119485,2010,16.5
119486,2010,54.0
120170,2010,30.0
126866,2010,48.0
129604,2010,12.5
137810,2010,151.8
139162,2010,10.0
139846,2010,10.0
141168,2010,102.4
143198,2010,32.55
143279,2010,99.2
143882,2010,32.55
144662,2010,99.2
192546,2010,198.0
193230,2010,2.1
195268,2010,150.0
195953,2010,150.0
198699,2010,201.6
59015,2011,50.0
59362,2011,60.0
59700,2011,148.8
61751,2011,199.2
68232,2011,40.0
68243,2011,20.0
72027,2011,3.0
79705,2011,4.0
79706,2011,16.0
80390,2011,16.0
80553,2011,1.6
81067,2011,0.26
81074,2011,4.0
81770,2011,2.5
81897,2011,74.0
81920,2011,1.5
83667,2011,22.4
83961,2011,15.0
84577,2011,90.0
85035,2011,13.5
85038,2011,12.0
85345,2011,1.5
85719,2011,10.5
85851,2011,25.64
85881,2011,0.5
85882,2011,1.2
86030,2011,1.5
86404,2011,21.0
86405,2011,10.5
86543,2011,0.1
86565,2011,1.2
86566,2011,1.2
87201,2011,1.6
87202,2011,159.3
87220,2011,25.3
87241,2011,44.0
87250,2011,1.2
87301,2011,102.0
87788,2011,22.5
87886,2011,11.1
87904,2011,9.9
88462,2011,19.5
88463,2011,21.3
88470,2011,79.2
88471,2011,22.5
88607,2011,201.3
88637,2011,162.0
89147,2011,12.0
89279,2011,205.5
89404,2011,51.3
90664,2011,1.5
90671,2011,1.6
91345,2011,1.6
92028,2011,1.6
94034,2011,1.5
94035,2011,1.5
95462,2011,36.72
96121,2011,33.7
96146,2011,4.08
98853,2011,100.0
100887,2011,79.9
100888,2011,40.5
100923,2011,119.6
101028,2011,38.0
101632,2011,228.0
101633,2011,11.4
103720,2011,246.0
103780,2011,3.2
104403,2011,99.0
104404,2011,56.0
105014,2011,173.2
105634,2011,124.15
105698,2011,270.0
106180,2011,102.5
106317,2011,124.15
106407,2011,1.5
106862,2011,1.5
107118,2011,150.4
107792,2011,150.0
108483,2011,150.4
109235,2011,52.9
109601,2011,78.2
109915,2011,10.0
110600,2011,40.0
111655,2011,2.0
112568,2011,1.5
113332,2011,31.6
113333,2011,66.0
114455,2011,102.0
115209,2011,123.48
115892,2011,128.52
129455,2011,42.0
129457,2011,54.0
132192,2011,168.0
133556,2011,42.0
134240,2011,96.0
134241,2011,60.0
134926,2011,108.0
134927,2011,48.0
135607,2011,36.0
136328,2011,10.0
136979,2011,66.0
140405,2011,1.0
140525,2011,2.1
140550,2011,130.0
141094,2011,49.5
143261,2011,78.2
144661,2011,100.8
146709,2011,99.8
154894,2011,10.0
156967,2011,66.13
156968,2011,121.97
157652,2011,9.9
158948,2011,50.4
172667,2011,6.6
173351,2011,81.31
173352,2011,44.09
48814,2012,184.6
51491,2012,4.3
54933,2012,105.3
58349,2012,282.0
59033,2012,60.7
59081,2012,40.0
61068,2012,216.0
61069,2012,234.0
61752,2012,74.0
61753,2012,31.0
62436,2012,276.0
62437,2012,14.0
63469,2012,34.5
65922,2012,9.6
65980,2012,105.0
65981,2012,45.0
66665,2012,105.0
66869,2012,10.4
66874,2012,50.6
67295,2012,10.0
67296,2012,10.0
67553,2012,88.6
68219,2012,5.3
68229,2012,65.0
68903,2012,210.0
69593,2012,10.0
72238,2012,28.0
73708,2012,48.0
79874,2012,4.0
82519,2012,14.0
82981,2012,23.0
82982,2012,23.0
83277,2012,28.5
83665,2012,23.0
83666,2012,23.0
83691,2012,115.8
83891,2012,42.0
83893,2012,54.0
84349,2012,23.0
84350,2012,23.0
84575,2012,17.4
84578,2012,10.0
84658,2012,1.5
85036,2012,39.9
85236,2012,72.0
85237,2012,28.8
85347,2012,1.5
85348,2012,2.0
85939,2012,120.0
85945,2012,32.0
86032,2012,3.0
87302,2012,110.4
87903,2012,200.0
87941,2012,2.4
87942,2012,2.4
87986,2012,81.6
88027,2012,15.0
88079,2012,1.5
89275,2012,30.0
89286,2012,36.0
90087,2012,4.1
92721,2012,3.4
93405,2012,30.6
93520,2012,70.4
94197,2012,69.0
94204,2012,70.4
94735,2012,7.96
94770,2012,0.9
95419,2012,32.04
96123,2012,80.0
96132,2012,99.0
97587,2012,1.0
98178,2012,1.6
98861,2012,1.6
98862,2012,1.6
98863,2012,1.6
98872,2012,105.6
99008,2012,0.1
99544,2012,1.6
99661,2012,48.2
100229,2012,5.5
100230,2012,44.5
100249,2012,0.7
100251,2012,5.9
100951,2012,109.5
101711,2012,30.0
102928,2012,15.9
102962,2012,8.0
102963,2012,192.0
103612,2012,64.0
103648,2012,100.9
103763,2012,75.0
104130,2012,1.0
104329,2012,1.6
104332,2012,1.6
104335,2012,1.6
104363,2012,92.0
104364,2012,108.0
105015,2012,1.6
105018,2012,1.6
105048,2012,81.0
105702,2012,1.6
106181,2012,48.5
106424,2012,192.3
106498,2012,30.0
106863,2012,78.2
106864,2012,54.0
107008,2012,71.0
107181,2012,48.0
107183,2012,60.0
107185,2012,1.4
107861,2012,48.0
107863,2012,2.4
108499,2012,200.0
108917,2012,120.0
108918,2012,8.0
109657,2012,12.0
110341,2012,138.0
110537,2012,200.0
115893,2012,200.0
116577,2012,200.0
120720,2012,201.0
125461,2012,14.5
126145,2012,14.5
126176,2012,65.5
126860,2012,65.5
126861,2012,165.6
126864,2012,83.95
127548,2012,108.0
128233,2012,83.95
128913,2012,98.9
129603,2012,104.0
129625,2012,66.0
130139,2012,30.0
130141,2012,60.0
130296,2012,194.4
130310,2012,108.0
130314,2012,26.0
130825,2012,102.0
130980,2012,276.0
131507,2012,42.0
131508,2012,60.0
132185,2012,36.0
132191,2012,150.0
132193,2012,54.0
132869,2012,84.0
132871,2012,26.0
132874,2012,138.0
132875,2012,51.0
132876,2012,54.0
134242,2012,78.0
134924,2012,66.0
134925,2012,114.0
135059,2012,40.0
135090,2012,59.8
135609,2012,66.0
135742,2012,20.0
135744,2012,80.0
135772,2012,235.2
136293,2012,54.0
136343,2012,99.2
136980,2012,48.0
136991,2012,1.5
137672,2012,1.6
138354,2012,1.6
138356,2012,1.5
139184,2012,227.5
139723,2012,1.6
139729,2012,6.0
140406,2012,1.0
141774,2012,1.6
141780,2012,49.0
141925,2012,140.76
141926,2012,114.0
141927,2012,2.94
142458,2012,1.0
142596,2012,132.0
142610,2012,36.0
143266,2012,79.6
143945,2012,161.0
143977,2012,100.8
145338,2012,148.8
149988,2012,234.0
149989,2012,31.4
150807,2012,135.4
156285,2012,161.0
158299,2012,27.3
158338,2012,150.0
158995,2012,61.2
159005,2012,30.0
184314,2012,99.8
195951,2012,92.3
202802,2012,203.0
203486,2012,201.6
204171,2012,114.0
204172,2012,86.0
85258,2013,74.8
85940,2013,100.3
87344,2013,94.4
98873,2013,44.6
106461,2013,3.4
107009,2013,25.1
113206,2013,74.8
125458,2013,2.0
125459,2013,2.0
126142,2013,2.0
126143,2013,2.0
128223,2013,249.8
170649,2013,150.0
55653,2014,10.0
59031,2014,266.8
65923,2014,9.7
66876,2014,8.5
68752,2014,50.0
79686,2014,19.5
83206,2014,62.4
83890,2014,14.8
84574,2014,60.0
85256,2014,111.0
85942,2014,49.6
85946,2014,20.0
87985,2014,50.4
90088,2014,16.2
94029,2014,1.9
97494,2014,250.0
97503,2014,138.6
100202,2014,200.6
104297,2014,73.1
105019,2014,119.6
106322,2014,34.0
106323,2014,28.6
108550,2014,40.0
109874,2014,200.0
115894,2014,200.6
117124,2014,1.0
119178,2014,1.0
128770,2014,48.0
131500,2014,48.0
132184,2014,42.0
133555,2014,30.0
135610,2014,60.0
137798,2014,18.3
137799,2014,264.0
138498,2014,98.6
139182,2014,199.0
139868,2014,226.1
141222,2014,12.6
141906,2014,276.0
142583,2014,181.7
143268,2014,218.0
143941,2014,161.0
143952,2014,211.2
146671,2014,9.9
146681,2014,200.0
147356,2014,9.9
150139,2014,150.0
155573,2014,2.5
156969,2014,67.46
156970,2014,0.2
157610,2014,10.0
158294,2014,5.0
159680,2014,211.0
198015,2014,188.0
53682,2015,147.9
54574,2015,148.0
66664,2015,201.8
66875,2015,25.7
72129,2015,107.5
74880,2015,94.3
87928,2015,195.8
88066,2015,5.0
91995,2015,80.0
92695,2015,89.1
92696,2015,115.0
92697,2015,85.8
93379,2015,89.0
93380,2015,100.0
93381,2015,16.4
94064,2015,4.7
100201,2015,73.4
100225,2015,20.7
102259,2015,6.8
104333,2015,1.9
105063,2015,175.0
107066,2015,39.0
107067,2015,58.0
107068,2015,4.7
109169,2015,98.0
109917,2015,30.0
110285,2015,85.9
116588,2015,150.0
118624,2015,246.0
118625,2015,4.0
119344,2015,200.5
121393,2015,198.6
123447,2015,50.7
127403,2015,42.0
128078,2015,2.5
132356,2015,150.0
133553,2015,42.0
133722,2015,149.0
133724,2015,150.0
134922,2015,15.0
135096,2015,150.4
135743,2015,200.0
135747,2015,29.7
135748,2015,270.0
136289,2015,19.8
136291,2015,79.2
136456,2015,98.8
140524,2015,2.1
143257,2015,194.0
144635,2015,150.0
145339,2015,74.0
147364,2015,258.0
147365,2015,41.7
149424,2015,150.0
150108,2015,200.0
150824,2015,100.0
152142,2015,250.0
152159,2015,200.0
153526,2015,20.0
154888,2015,3.8
154909,2015,150.0
155594,2015,150.0
156286,2015,204.0
158927,2015,30.0
159024,2015,110.0
159679,2015,165.0
161047,2015,211.2
167204,2015,207.2
167227,2015,200.1
196635,2015,15.7
197319,2015,234.0
198004,2015,78.0
202792,2015,168.0
202795,2015,110.0
203478,2015,32.0
204857,2015,165.0
56337,2016,25.0
60732,2016,39.9
61765,2016,10.0
62774,2016,186.0
62783,2016,9.1
62786,2016,51.0
65316,2016,190.2
67345,2016,104.0
68024,2016,150.0
68237,2016,12.1
68708,2016,150.0
69585,2016,77.7
75600,2016,78.0
84665,2016,7.9
85260,2016,50.0
85341,2016,1.5
85944,2016,29.4
87398,2016,1.5
87913,2016,200.0
88078,2016,1.5
88762,2016,1.5
89278,2016,13.0
91328,2016,61.9
92011,2016,79.7
92012,2016,108.7
92624,2016,80.0
95412,2016,124.0
96096,2016,276.0
96801,2016,27.6
96816,2016,3.0
97485,2016,119.6
97486,2016,92.8
98170,2016,60.0
100233,2016,3.0
100886,2016,35.8
102351,2016,100.8
102834,2016,1.7
104331,2016,1.7
105062,2016,184.0
107120,2016,150.0
107751,2016,48.3
107864,2016,38.3
109092,2016,1.7
110602,2016,103.0
114593,2016,195.8
115948,2016,72.0
122689,2016,62.1
124842,2016,109.0
124843,2016,90.0
126829,2016,60.8
127043,2016,42.0
127044,2016,54.0
127045,2016,52.0
127727,2016,60.0
128925,2016,100.0
128926,2016,208.3
129610,2016,100.0
130283,2016,200.0
133719,2016,147.0
133720,2016,150.0
134406,2016,104.0
135750,2016,198.0
135773,2016,64.8
135776,2016,96.0
138493,2016,225.0
141243,2016,252.0
141244,2016,46.0
143953,2016,200.0
144639,2016,174.0
147361,2016,230.4
147398,2016,108.0
148083,2016,3.9
148767,2016,246.0
150791,2016,264.0
151475,2016,36.0
152143,2016,50.0
152177,2016,230.0
153529,2016,257.0
154926,2016,125.0
156961,2016,230.0
163785,2016,120.0
195952,2016,200.0
202793,2016,146.0
202796,2016,250.0
203477,2016,54.0
55712,2017,150.0
66667,2017,99.3
67560,2017,22.8
72028,2017,10.0
72711,2017,10.0
72712,2017,10.0
73395,2017,10.0
73396,2017,10.0
81226,2017,30.0
83209,2017,74.5
83800,2017,200.0
83889,2017,48.0
84573,2017,52.0
85261,2017,41.6
85262,2017,32.9
88763,2017,1.5
94786,2017,98.0
99547,2017,170.0
99550,2017,3.0
99551,2017,3.0
99552,2017,3.0
100234,2017,3.0
100235,2017,3.0
100236,2017,3.0
100918,2017,3.0
101575,2017,2.3
101576,2017,2.3
101609,2017,3.0
102260,2017,2.3
104330,2017,1.8
104410,2017,66.0
107049,2017,1.7
107806,2017,100.0
107822,2017,119.7
108436,2017,1.8
108437,2017,1.8
109602,2017,42.0
110483,2017,252.0
110970,2017,4.0
111167,2017,48.0
111220,2017,0.1
111828,2017,89.7
111896,2017,246.0
111897,2017,32.0
120546,2017,1.9
126844,2017,75.0
127549,2017,270.0
127550,2017,10.6
129599,2017,178.2
130967,2017,200.0
133721,2017,154.5
136460,2017,258.0
136461,2017,39.8
139191,2017,41.3
139717,2017,1.9
139875,2017,258.0
144663,2017,99.1
145971,2017,10.0
146655,2017,288.0
146672,2017,142.6
147357,2017,181.7
147366,2017,163.0
148046,2017,270.0
148047,2017,6.0
149986,2017,143.0
151476,2017,50.4
152160,2017,151.2
156247,2017,29.9
156960,2017,250.0
159684,2017,155.4
159685,2017,37.0
160369,2017,216.0
163810,2017,100.5
180889,2017,149.3
195280,2017,216.0
195281,2017,33.0
202119,2017,228.0
205541,2017,95.3
60513,2018,100.0
65238,2018,2.7
65921,2018,2.7
66606,2018,2.7
68667,2018,1.6
70030,2018,25.0
70031,2018,79.7
70120,2018,2.0
71445,2018,48.0
77101,2018,24.0
77102,2018,55.9
81068,2018,44.6
85941,2018,44.0
88569,2018,20.0
88570,2018,20.0
90076,2018,78.4
90663,2018,199.2
97475,2018,270.0
97476,2018,48.1
98187,2018,90.0
98835,2018,202.5
99546,2018,170.0
102278,2018,103.5
102294,2018,200.0
102315,2018,212.0
103582,2018,30.0
103650,2018,228.0
103661,2018,169.0
103719,2018,100.0
104334,2018,22.0
104362,2018,54.0
105016,2018,100.0
105047,2018,65.0
105678,2018,2.5
106438,2018,200.4
108413,2018,2.3
108414,2018,2.3
108509,2018,1.5
109096,2018,2.3
109192,2018,1.5
109193,2018,1.5
112578,2018,185.0
116575,2018,270.0
117259,2018,258.0
117260,2018,54.3
117808,2018,1.8
119859,2018,1.8
122779,2018,137.3
122780,2018,102.0
122781,2018,60.0
126029,2018,2.8
129608,2018,243.5
134923,2018,56.7
136295,2018,72.0
136975,2018,43.2
137660,2018,21.6
137825,2018,247.3
138495,2018,198.6
141090,2018,1.9
143976,2018,130.0
147351,2018,50.9
151464,2018,148.4
154209,2018,80.0
154882,2018,150.0
157628,2018,264.0
158312,2018,36.0
167203,2018,196.7
168596,2018,200.0
170640,2018,160.0
171309,2018,252.0
171310,2018,48.0
172004,2018,148.4
200067,2018,201.0
62435,2019,200.0
66663,2019,106.7
70778,2019,200.0
78496,2019,28.8
79008,2019,200.1
79684,2019,128.0
79685,2019,72.0
83281,2019,5.0
83798,2019,97.4
84645,2019,2.3
85257,2019,75.9
85329,2019,2.3
85342,2019,3.0
85852,2019,100.0
86025,2019,3.0
86026,2019,3.0
86616,2019,161.3
86709,2019,3.0
86710,2019,3.0
87308,2019,48.0
87394,2019,3.0
87395,2019,3.0
89983,2019,66.0
92013,2019,53.3
92014,2019,246.0
92140,2019,90.0
94063,2019,200.0
98156,2019,160.0
98169,2019,200.0
100211,2019,2.5
101610,2019,140.0
101631,2019,194.3
102295,2019,171.5
105017,2019,216.0
105701,2019,184.0
106425,2019,60.0
107108,2019,85.2
107110,2019,60.0
117279,2019,17.6
117280,2019,258.0
117809,2019,1.8
126146,2019,59.4
126899,2019,199.3
132870,2019,71.1
134239,2019,60.0
143944,2019,210.1
146673,2019,220.5
149472,2019,100.0
151489,2019,200.2
151490,2019,99.4
152175,2019,183.8
152840,2019,128.0
153539,2019,92.3
153540,2019,258.0
155596,2019,30.2
159683,2019,158.0
170627,2019,270.0
171311,2019,32.4
171999,2019,199.5
174728,2019,264.0
175412,2019,36.0
191174,2019,79.1
191858,2019,228.0
192547,2019,108.9
193231,2019,54.0
195269,2019,270.0
195270,2019,30.0
195279,2019,192.0
195963,2019,34.1
201423,2019,237.6
202109,2019,200.0
50794,2020,136.8
54346,2020,199.4
54925,2020,144.0
59765,2020,80.0
61227,2020,4.6
62439,2020,200.0
63123,2020,100.0
63470,2020,72.6
63808,2020,10.0
63809,2020,10.0
64492,2020,10.0
64493,2020,10.0
72837,2020,150.0
72838,2020,150.0
80332,2020,103.5
80375,2020,192.2
83115,2020,200.0
83776,2020,250.2
86624,2020,130.0
87906,2020,127.5
88590,2020,122.5
88670,2020,168.6
89272,2020,5.0
89292,2020,2.5
89351,2020,48.0
89352,2020,102.0
90574,2020,133.0
90643,2020,1.8
90656,2020,199.8
91259,2020,200.0
91260,2020,198.8
92019,2020,90.0
92020,2020,250.0
92030,2020,7.9
93367,2020,220.0
93390,2020,152.2
93395,2020,42.0
94764,2020,201.3
97407,2020,250.9
97487,2020,130.9
98840,2020,230.0
101612,2020,184.0
101613,2020,66.0
102889,2020,19.95
103035,2020,125.1
103571,2020,79.0
103572,2020,124.0
103649,2020,60.0
104255,2020,23.0
104257,2020,32.55
104367,2020,79.0
105056,2020,150.0
105632,2020,171.7
105756,2020,102.0
107111,2020,46.0
107795,2020,78.0
107797,2020,54.0
107821,2020,142.6
108464,2020,150.0
108481,2020,72.0
108488,2020,152.6
109118,2020,110.0
109172,2020,246.0
109785,2020,45.0
110469,2020,54.0
110485,2020,58.0
110502,2020,129.5
110503,2020,246.0
111152,2020,66.0
111169,2020,162.0
111170,2020,22.0
111853,2020,236.5
111894,2020,202.0
112579,2020,65.0
112588,2020,198.0
113272,2020,4.0
115265,2020,42.0
115949,2020,258.0
116596,2020,90.0
117949,2020,276.0
117964,2020,105.8
118633,2020,23.0
118639,2020,258.0
119323,2020,219.1
119484,2020,2.2
120169,2020,54.0
123474,2020,200.1
130282,2020,198.8
131009,2020,145.5
131538,2020,60.0
131539,2020,276.0
132222,2020,14.0
135749,2020,200.0
135759,2020,148.4
136454,2020,250.0
137142,2020,248.2
149459,2020,39.5
150143,2020,264.0
152144,2020,90.0
154907,2020,242.8
159689,2020,250.0
162405,2020,160.7
163794,2020,154.9
164478,2020,264.0
169293,2020,60.0
169294,2020,210.0
169295,2020,30.0
171325,2020,180.0
187770,2020,151.2
200739,2020,201.6
202112,2020,50.4
203489,2020,60.0
204855,2020,82.6
55711,2021,276.0
56395,2021,22.8
67558,2021,15.3
74823,2021,239.8
78322,2021,153.6
78470,2021,79.7
81061,2021,48.0
81062,2021,252.0
82429,2021,154.0
83799,2021,200.0
84659,2021,3.0
85247,2021,47.5
85931,2021,192.0
85932,2021,144.0
89293,2021,200.0
90760,2021,124.0
96040,2021,221.2
96041,2021,282.0
96829,2021,54.0
96879,2021,150.0
97488,2021,80.0
105700,2021,250.0
105739,2021,54.0
105778,2021,216.0
105779,2021,33.8
106423,2021,39.0
106440,2021,98.4
107124,2021,204.0
107691,2021,205.0
108448,2021,7.9
109784,2021,75.0
109798,2021,252.0
109872,2021,174.0
109873,2021,26.0
110283,2021,10.0
110284,2021,46.2
110468,2021,60.0
110482,2021,23.5
110523,2021,60.0
110524,2021,125.0
111143,2021,28.7
111144,2021,222.0
113258,2021,44.0
113942,2021,258.0
114579,2021,48.0
115261,2021,60.0
115262,2021,54.0
115264,2021,18.6
115946,2021,120.0
118635,2021,104.0
128231,2021,246.0
128915,2021,51.6
129634,2021,54.4
130131,2021,25.2
130295,2021,128.0
130318,2021,240.0
130815,2021,60.2
131498,2021,21.3
131499,2021,64.5
131696,2021,145.6
133725,2021,96.0
134408,2021,39.8
134409,2021,90.0
134410,2021,84.0
135094,2021,42.0
135764,2021,60.0
136448,2021,139.0
137659,2021,14.4
137820,2021,30.0
137821,2021,258.0
141093,2021,46.8
141095,2021,1.2
141778,2021,60.0
145284,2021,141.2
145285,2021,165.0
146654,2021,105.0
147311,2021,100.0
147340,2021,43.0
148024,2021,282.0
148708,2021,74.0
149391,2021,276.0
149392,2021,272.0
150142,2021,118.3
150823,2021,140.0
154205,2021,3.4
155593,2021,225.6
156295,2021,175.3
156943,2021,68.4
156944,2021,270.0
158295,2021,33.8
158296,2021,216.0
160370,2021,242.5
164477,2021,182.4
164486,2021,70.0
164487,2021,270.0
166527,2021,9.0
167210,2021,240.0
167211,2021,276.0
167926,2021,54.0
167927,2021,246.0
172677,2021,230.6
172678,2021,270.0
198684,2021,209.4
203483,2021,23.8
203484,2021,216.0
203485,2021,200.2
203487,2021,14.6
203488,2021,258.0
204173,2021,174.0
204856,2021,24.5
61748,2022,201.3
63467,2022,20.0
63815,2022,8.0
65264,2022,270.0
65948,2022,95.5
72921,2022,72.8
84484,2022,101.9
86538,2022,20.0
89271,2022,110.0
90655,2022,200.0
93391,2022,70.0
94746,2022,200.0
96145,2022,7.9
98157,2022,276.0
98841,2022,22.0
99517,2022,258.0
99518,2022,42.0
101593,2022,200.0
105633,2022,145.0
107799,2022,121.3
109918,2022,115.0
111139,2022,2.8
111140,2022,2.8
118493,2022,2.8
119177,2022,2.8
128269,2022,19.74
128953,2022,177.66
136426,2022,235.0
136427,2022,270.0
137110,2022,276.0
137111,2022,246.0
141235,2022,270.0
141236,2022,192.0
141779,2022,70.9
141918,2022,262.54
141919,2022,270.0
141920,2022,4.46
145290,2022,145.0
146710,2022,33.2
146711,2022,270.0
153545,2022,90.6
154224,2022,258.0
154229,2022,276.0
154908,2022,78.0
157646,2022,184.0
158330,2022,209.0
159018,2022,276.0
159019,2022,224.0
167206,2022,264.0
167244,2022,222.0
167890,2022,37.3
167928,2022,77.2
169280,2022,50.4
169281,2022,252.0
170638,2022,282.0
171306,2022,171.8
171322,2022,209.6
188437,2022,234.0
189121,2022,34.2
191177,2022,220.0
192542,2022,200.2
65950,2023,102.8
77786,2023,106.0
82524,2023,52.1
83208,2023,60.0
83782,2023,200.0
84460,2023,200.0
86537,2023,91.5
87303,2023,225.0
88735,2023,111.8
89403,2023,130.0
91445,2023,107.5
91455,2023,101.2
92035,2023,200.0
92732,2023,91.6
98864,2023,224.4
98940,2023,1.5
99624,2023,1.5
100308,2023,1.5
100345,2023,87.6
100952,2023,48.3
101635,2023,60.0
103681,2023,36.0
103682,2023,69.5
104256,2023,105.7
105755,2023,180.0
106436,2023,88.0
109847,2023,126.0
109848,2023,84.0
110528,2023,200.5
110531,2023,25.98
110532,2023,23.82
111206,2023,48.0
111890,2023,117.0
113887,2023,82.0
114570,2023,264.0
114571,2023,258.0
117265,2023,199.0
124833,2023,78.0
124834,2023,54.0
125516,2023,68.6
132173,2023,95.3
136441,2023,250.0
142509,2023,238.2
144653,2023,258.0
145337,2023,43.7
146028,2023,99.5
158328,2023,222.0
158329,2023,79.0
170620,2023,50.0
170621,2023,258.0
170650,2023,196.8
171305,2023,191.5
172675,2023,223.9
191176,2023,239.6
65266,2024,100.0
65296,2024,198.8
65951,2024,207.9
84373,2024,126.0
85057,2024,34.0
88669,2024,200.0
89885,2024,124.3
89889,2024,96.4
90573,2024,294.0
97411,2024,47.8
98095,2024,282.0
100829,2024,190.0
105699,2024,38.7
105754,2024,200.0
108916,2024,85.5
128409,2024,135.0
128410,2024,54.0
134978,2024,163.0
135064,2024,100.0
139725,2024,27.0
139877,2024,201.5
140408,2024,30.0
141825,2024,216.0
145319,2024,1.5
145320,2024,264.0
146712,2024,201.5
149510,2024,184.5
154225,2024,202.5
154913,2024,102.0
154914,2024,98.6
158331,2024,276.0
159015,2024,74.2
161736,2024,98.8
161737,2024,210.0
163119,2024,151.5
163120,2024,256.0
163804,2024,114.9
164488,2024,148.0
166517,2024,140.0
167202,2024,162.1
185717,2024,163.2
202803,2024,252.0
202804,2024,49.0
54920,2025,126.0
62773,2025,58.8
63124,2025,200.0
65926,2025,80.0
68662,2025,16.8
68663,2025,16.8
69346,2025,16.8
69347,2025,16.8
71438,2025,200.0
72149,2025,250.0
85174,2025,58.0
85857,2025,246.0
85858,2025,96.0
86558,2025,260.0
86682,2025,103.2
88720,2025,113.2
90083,2025,234.0
90767,2025,106.0
92733,2025,67.2
98874,2025,169.0
99461,2025,142.0
100144,2025,258.0
100145,2025,294.0
100146,2025,106.0
100205,2025,150.3
100224,2025,252.0
100889,2025,246.0
100899,2025,75.0
106437,2025,200.1
107107,2025,172.0
107791,2025,228.0
107819,2025,200.0
108430,2025,10.3
109114,2025,204.0
110286,2025,80.0
110968,2025,13.5
110969,2025,21.0
111211,2025,204.0
111654,2025,17.0
113935,2025,0.4
115303,2025,54.0
117306,2025,201.6
130988,2025,43.2
131672,2025,264.0
136974,2025,15.5
137829,2025,40.0
138509,2025,258.0
138513,2025,180.0
139193,2025,252.0
139194,2025,88.4
143946,2025,167.8
147363,2025,150.0
148733,2025,270.0
148734,2025,18.0
148774,2025,147.5
149417,2025,166.4
153527,2025,150.0
154210,2025,150.0
157645,2025,200.0
161756,2025,150.0
171989,2025,264.0
172673,2025,1.0
185033,2025,174.0
185034,2025,28.5
187086,2025,216.0
187087,2025,27.0
202797,2025,238.5
63246,2026,52.0
63248,2026,48.0
63931,2026,48.0
63932,2026,36.0
63933,2026,42.0
64616,2026,174.0
82319,2026,96.0
83003,2026,192.0
83004,2026,72.0
83260,2026,102.5
90771,2026,44.7
90772,2026,246.0
101027,2026,109.9
103036,2026,140.3
103569,2026,222.0
104253,2026,282.0
105740,2026,150.0
111893,2026,202.5
112572,2026,148.0
113256,2026,252.0
115075,2026,40.3
115759,2026,57.9
115760,2026,34.6
115994,2026,200.0
117266,2026,276.0
117267,2026,276.0
117950,2026,48.0
121544,2026,78.0
133728,2026,169.2
137173,2026,132.0
137174,2026,51.0
147336,2026,270.0
147337,2026,276.0
147338,2026,264.0
147339,2026,249.0
148020,2026,270.0
148021,2026,270.0
148022,2026,276.0
148023,2026,288.0
148704,2026,246.0
148705,2026,228.0
148706,2026,282.0
148707,2026,161.2
149389,2026,276.0
149390,2026,294.0
168578,2026,180.0
81890,2027,2.4
81891,2027,2.4
83945,2027,2.4
84627,2027,2.4
84628,2027,2.4
165195,2027,8.0
165879,2027,162.0
91402,2028,198.0
97401,2029,22.2
98084,2029,288.0
98086,2029,258.0
98771,2029,276.0
99452,2029,294.0
99455,2029,270.0
100137,2029,9.6
100138,2029,276.0
98085,2030,126.0
98768,2030,288.0
98769,2030,294.0
98770,2030,294.0
99453,2030,294.0
99454,2030,7.2
98087,2031,276.0
98767,2031,7.5
100136,2031,270.0
