FIPS,value
p01001,0.008654
p01003,0.047606
p01005,0.003994
p01007,0.001005
p01009,0.006465
p01011,0.001908
p01013,0.003937
p01015,0.021154
p01017,0.007585
p01019,0.003652
p01021,0.006877
p01023,0.003842
p01025,0.007888
p01027,0.001618
p01029,0.003375
p01031,0.003529
p01033,0.019788
p01035,0.002842
p01037,0.001962
p01039,0.005913
p01041,0.001593
p01043,0.013219
p01045,0.01227
p01047,0.009958
p01049,0.008125
p01051,0.012602
p01053,0.008557
p01055,0.017512
p01057,0.003698
p01059,0.006534
p01061,0.003661
p01063,0.001277
p01065,0.003409
p01067,0.002347
p01069,0.020844
p01071,0.014376
p01073,0.145636
p01075,0.001849
p01077,0.008272
p01079,0.010232
p01081,0.026553
p01083,0.023206
p01085,0.006462
p01087,0.005561
p01089,0.04663
p01091,0.007079
p01093,0.003461
p01095,0.017616
p01097,0.087894
p01099,0.003267
p01101,0.045687
p01103,0.059333
p01105,0.000757
p01107,0.003346
p01109,0.007109
p01111,0.005134
p01113,0.005532
p01115,0.012595
p01117,0.036475
p01119,0.004276
p01121,0.020297
p01123,0.007166
p01125,0.054403
p01127,0.012383
p01129,0.020269
p01131,0.002279
p01133,0.005664
p04001,0.005981
p04003,0.014811
p04005,0.022936
p04007,0.011827
p04009,0.013937
p04011,0.015843
p04012,0.004176
p04013,0.557456
p04015,0.035878
p04017,0.010548
p04019,0.184581
p04021,0.071781
p04023,0.003533
p04025,0.024869
p04027,0.021842
p05001,0.009671
p05003,0.011425
p05005,0.013585
p05007,0.072016
p05009,0.008896
p05011,0.000414
p05013,0.000215
p05015,0.003349
p05017,0.003528
p05019,0.005359
p05021,0.005248
p05023,0.010494
p05025,0.00513
p05027,0.012834
p05029,0.017589
p05031,0.04684
p05033,0.019304
p05035,0.016367
p05037,0.007369
p05039,0.001909
p05041,0.006001
p05043,0.005502
p05045,0.020505
p05047,0.003576
p05049,0.00609
p05051,0.015259
p05053,0.006722
p05055,0.017881
p05057,0.008298
p05059,0.026479
p05061,0.001834
p05063,0.010907
p05065,0.003105
p05067,0.007493
p05069,0.028507
p05071,0.009138
p05073,0.000664
p05075,0.004985
p05077,0.002155
p05079,0.00519
p05081,0.011622
p05083,0.004927
p05085,0.021799
p05087,0.001988
p05089,0.002804
p05091,0.004325
p05093,0.062528
p05095,0.004362
p05097,0.0
p05099,0.007775
p05101,0.0
p05103,0.011074
p05105,0.003427
p05107,0.004923
p05109,0.002383
p05111,0.004868
p05113,0.001571
p05115,0.03451
p05117,0.003429
p05119,0.129602
p05121,0.005813
p05123,0.006565
p05125,0.026281
p05127,0.002787
p05129,0.002238
p05131,0.029749
p05133,0.008111
p05135,0.002067
p05137,0.00236
p05139,0.021592
p05141,0.00591
p05143,0.078698
p05145,0.018401
p05147,0.00327
p05149,0.006406
p06001,0.030309
p06003,0.0
p06005,0.001861
p06007,0.004295
p06009,0.000776
p06011,0.001124
p06013,0.036671
p06015,0.00101
p06017,0.004184
p06019,0.030961
p06021,0.000979
p06023,0.002546
p06025,0.01296
p06027,0.000229
p06029,0.034444
p06031,0.004586
p06033,0.001032
p06035,0.000266
p06037,0.233672
p06039,0.004964
p06041,0.004051
p06043,0.000371
p06045,0.001241
p06047,0.009571
p06049,0.000904
p06051,0.000201
p06053,0.007679
p06055,0.004247
p06057,0.002176
p06059,0.085845
p06061,0.011644
p06063,0.000453
p06065,0.044019
p06067,0.031123
p06069,0.001361
p06071,0.102313
p06073,0.070774
p06075,0.013506
p06077,0.02032
p06079,0.005916
p06081,0.017529
p06083,0.009707
p06085,0.052668
p06087,0.003258
p06089,0.004764
p06091,0.000264
p06093,0.001855
p06095,0.011759
p06097,0.006181
p06099,0.016135
p06101,0.00232
p06103,0.001268
p06105,0.000317
p06107,0.019324
p06109,0.001403
p06111,0.019253
p06113,0.005492
p06115,0.00192
p08001,0.09875
p08003,0.003205
p08005,0.110315
p08007,0.001481
p08009,0.00185
p08011,0.000792
p08013,0.063129
p08014,0.008727
p08015,0.005381
p08017,0.000192
p08019,0.003007
p08021,0.001106
p08023,0.000767
p08025,0.000518
p08027,0.0
p08029,0.002154
p08031,0.139901
p08033,0.000921
