,construction,fom,vom
battery_li,0.937020565,0.033333333,0
biopower,3.76446807,1.453074326,0
beccs_mod,3.76446807,1.453074326,0
beccs_max,3.76446807,1.453074326,0
coal-CCS_mod,4.196159448,0.186153846,0.00005346
coal-CCS_max,4.196159448,0.186153846,0.00005346
coal-CCS-F1,4.196159448,0.186153846,0.00005346
coal-CCS-F2,4.196159448,0.186153846,0.00005346
coal-CCS-F3,4.196159448,0.186153846,0.00005346
Coal-IGCC,4.149232006,0.181538462,0.00003725
coal-new,2.663868535,0.16,0.00003948
CoalOldScr,2.663868535,0.16,0.00003948
CoalOldUns,2.663868535,0.16,0.00003948
CofireNew,2.663868535,0.16,0.00003948
CofireOld,2.663868535,0.16,0.00003948
csp-ns,5.860286945,0.257823504,0
distpv,2.97777666,0.203887755,0
Gas-CC,0.57898781,0.052,0.00002764
Gas-CC-CCS_mod,1.301540146,0.072,0.00005346
Gas-CC-CCS_max,1.301540146,0.072,0.00005346
Gas-CC-CCS-F1,1.301540146,0.072,0.00005346
Gas-CC-CCS-F2,1.301540146,0.072,0.00005346
Gas-CC-CCS-F3,1.301540146,0.072,0.00005346
Gas-CT,1.124155973,0.28,0.00004233
H2-CT,1.124155973,0.28,0
H2-CC,0.57898781,0.052,0
geothermal,4.614237729,0.15681119,0.00003511
Hydro,3.088992778,0.019831569,0
lfill-gas,0.57898781,0.052,0
Nuclear,13.74608053,1.042875956,0.00002946
Nuclear-SMR,4.35325963,0.278978818,0.00001645
o-g-s,0.57898781,0.052,0.00002764
pumped-hydro,4.437357277,0.105776354,0
pumped-hydro-flex,4.437357277,0.105776354,0
upv_1,2.31800771,0.049966822,0
upv_2,2.31800771,0.049966822,0
upv_3,2.31800771,0.049966822,0
upv_4,2.31800771,0.049966822,0
upv_5,2.31800771,0.049966822,0
upv_6,2.31800771,0.049966822,0
upv_7,2.31800771,0.049966822,0
upv_8,2.31800771,0.049966822,0
upv_9,2.31800771,0.049966822,0
upv_10,2.31800771,0.049966822,0
pvb1_1,2.31800771,0.049966822,0
pvb1_2,2.31800771,0.049966822,0
pvb1_3,2.31800771,0.049966822,0
pvb1_4,2.31800771,0.049966822,0
pvb1_5,2.31800771,0.049966822,0
pvb1_6,2.31800771,0.049966822,0
pvb1_7,2.31800771,0.049966822,0
pvb1_8,2.31800771,0.049966822,0
pvb1_9,2.31800771,0.049966822,0
pvb1_10,2.31800771,0.049966822,0
pvb2_1,2.31800771,0.049966822,0
pvb2_2,2.31800771,0.049966822,0
pvb2_3,2.31800771,0.049966822,0
pvb2_4,2.31800771,0.049966822,0
pvb2_5,2.31800771,0.049966822,0
pvb2_6,2.31800771,0.049966822,0
pvb2_7,2.31800771,0.049966822,0
pvb2_8,2.31800771,0.049966822,0
pvb2_9,2.31800771,0.049966822,0
pvb2_10,2.31800771,0.049966822,0
pvb3_1,2.31800771,0.049966822,0
pvb3_2,2.31800771,0.049966822,0
pvb3_3,2.31800771,0.049966822,0
pvb3_4,2.31800771,0.049966822,0
pvb3_5,2.31800771,0.049966822,0
pvb3_6,2.31800771,0.049966822,0
pvb3_7,2.31800771,0.049966822,0
pvb3_8,2.31800771,0.049966822,0
pvb3_9,2.31800771,0.049966822,0
pvb3_10,2.31800771,0.049966822,0
wind-ofs_1,1.747743604,0.11549396,0
wind-ofs_2,1.747743604,0.11549396,0
wind-ofs_3,1.747743604,0.11549396,0
wind-ofs_4,1.747743604,0.11549396,0
wind-ofs_5,1.747743604,0.11549396,0
wind-ofs_6,1.747743604,0.11549396,0
wind-ofs_7,1.747743604,0.11549396,0
wind-ofs_8,1.747743604,0.11549396,0
wind-ofs_9,1.747743604,0.11549396,0
wind-ofs_10,1.747743604,0.11549396,0
wind-ons_1,1.233305044,0.033060233,0
wind-ons_2,1.233305044,0.033060233,0
wind-ons_3,1.233305044,0.033060233,0
wind-ons_4,1.233305044,0.033060233,0
wind-ons_5,1.233305044,0.033060233,0
wind-ons_6,1.233305044,0.033060233,0
wind-ons_7,1.233305044,0.033060233,0
wind-ons_8,1.233305044,0.033060233,0
wind-ons_9,1.233305044,0.033060233,0
wind-ons_10,1.233305044,0.033060233,0
csp1_1,5.860286945,0.257823504,0
csp1_2,5.860286945,0.257823504,0
csp1_3,5.860286945,0.257823504,0
csp1_4,5.860286945,0.257823504,0
csp1_5,5.860286945,0.257823504,0
csp1_6,5.860286945,0.257823504,0
csp1_7,5.860286945,0.257823504,0
csp1_8,5.860286945,0.257823504,0
csp1_9,5.860286945,0.257823504,0
csp1_10,5.860286945,0.257823504,0
csp1_11,5.860286945,0.257823504,0
csp1_12,5.860286945,0.257823504,0
csp2_1,5.860286945,0.257823504,0
csp2_2,5.860286945,0.257823504,0
csp2_3,5.860286945,0.257823504,0
csp2_4,5.860286945,0.257823504,0
csp2_5,5.860286945,0.257823504,0
csp2_6,5.860286945,0.257823504,0
csp2_7,5.860286945,0.257823504,0
csp2_8,5.860286945,0.257823504,0
csp2_9,5.860286945,0.257823504,0
csp2_10,5.860286945,0.257823504,0
csp2_11,5.860286945,0.257823504,0
csp2_12,5.860286945,0.257823504,0
csp3_1,5.860286945,0.257823504,0
csp3_2,5.860286945,0.257823504,0
csp3_3,5.860286945,0.257823504,0
csp3_4,5.860286945,0.257823504,0
csp3_5,5.860286945,0.257823504,0
csp3_6,5.860286945,0.257823504,0
csp3_7,5.860286945,0.257823504,0
csp3_8,5.860286945,0.257823504,0
csp3_9,5.860286945,0.257823504,0
csp3_10,5.860286945,0.257823504,0
csp3_11,5.860286945,0.257823504,0
csp3_12,5.860286945,0.257823504,0
csp4_1,5.860286945,0.257823504,0
csp4_2,5.860286945,0.257823504,0
csp4_3,5.860286945,0.257823504,0
csp4_4,5.860286945,0.257823504,0
csp4_5,5.860286945,0.257823504,0
csp4_6,5.860286945,0.257823504,0
csp4_7,5.860286945,0.257823504,0
csp4_8,5.860286945,0.257823504,0
csp4_9,5.860286945,0.257823504,0
csp4_10,5.860286945,0.257823504,0
csp4_11,5.860286945,0.257823504,0
csp4_12,5.860286945,0.257823504,0
hydD,3.088992778,0.019831569,0
hydND,3.088992778,0.019831569,0
hydSD,3.088992778,0.019831569,0
hydSND,3.088992778,0.019831569,0
hydUD,3.088992778,0.019831569,0
hydUND,3.088992778,0.019831569,0
hydNPD,3.088992778,0.019831569,0
hydNPND,3.088992778,0.019831569,0
hydED,3.088992778,0.019831569,0
hydEND,3.088992778,0.019831569,0
egs_allkm_1,5.506553405,0.151210424,0.00004967
egs_allkm_2,5.506553405,0.151210424,0.00004967
egs_allkm_3,5.506553405,0.151210424,0.00004967
egs_allkm_4,5.506553405,0.151210424,0.00004967
