,construction,fom,vom
battery_li,0,0,0
biopower,0.346,0.123,0
beccs_mod,0.346,0.123,0
beccs_max,0.346,0.123,0
coal-CCS_mod,0,0.266,0
coal-CCS_max,0,0.266,0
coal-CCS-F1,0,0.266,0
coal-CCS-F2,0,0.266,0
coal-CCS-F3,0,0.266,0
Coal-IGCC,0,0.266,0
coal-new,0,0.266,0
CoalOldScr,0,0.266,0
CoalOldUns,0,0.266,0
CofireNew,0,0.266,0
CofireOld,0,0.266,0
csp-ns,6.468,0.448,0
distpv,35.337,0.541,0
Gas-CC,0.346,0.123,0
Gas-CC-CCS_mod,0.346,0.123,0
Gas-CC-CCS_max,0.346,0.123,0
Gas-CC-CCS-F1,0.346,0.123,0
Gas-CC-CCS-F2,0.346,0.123,0
Gas-CC-CCS-F3,0.346,0.123,0
Gas-CT,0.346,0.123,0
H2-CT,0.346,0.123,0
H2-CC,0.346,0.123,0
geothermal,0,0,0
Hydro,0,0,0
lfill-gas,0.346,0.123,0
Nuclear,9.93,0.513,0
Nuclear-SMR,9.93,0.513,0
o-g-s,0.346,0.123,0
pumped-hydro,0,0,0
pumped-hydro-flex,0,0,0
upv_1,6.468,0.448,0
upv_2,6.468,0.448,0
upv_3,6.468,0.448,0
upv_4,6.468,0.448,0
upv_5,6.468,0.448,0
upv_6,6.468,0.448,0
upv_7,6.468,0.448,0
upv_8,6.468,0.448,0
upv_9,6.468,0.448,0
upv_10,6.468,0.448,0
pvb1_1,6.468,0.448,0
pvb1_2,6.468,0.448,0
pvb1_3,6.468,0.448,0
pvb1_4,6.468,0.448,0
pvb1_5,6.468,0.448,0
pvb1_6,6.468,0.448,0
pvb1_7,6.468,0.448,0
pvb1_8,6.468,0.448,0
pvb1_9,6.468,0.448,0
pvb1_10,6.468,0.448,0
pvb2_1,6.468,0.448,0
pvb2_2,6.468,0.448,0
pvb2_3,6.468,0.448,0
pvb2_4,6.468,0.448,0
pvb2_5,6.468,0.448,0
pvb2_6,6.468,0.448,0
pvb2_7,6.468,0.448,0
pvb2_8,6.468,0.448,0
pvb2_9,6.468,0.448,0
pvb2_10,6.468,0.448,0
pvb3_1,6.468,0.448,0
pvb3_2,6.468,0.448,0
pvb3_3,6.468,0.448,0
pvb3_4,6.468,0.448,0
pvb3_5,6.468,0.448,0
pvb3_6,6.468,0.448,0
pvb3_7,6.468,0.448,0
pvb3_8,6.468,0.448,0
pvb3_9,6.468,0.448,0
pvb3_10,6.468,0.448,0
wind-ofs_1,0.263,0.894,0
wind-ofs_2,0.263,0.894,0
wind-ofs_3,0.263,0.894,0
wind-ofs_4,0.263,0.894,0
wind-ofs_5,0.263,0.894,0
wind-ofs_6,0.263,0.894,0
wind-ofs_7,0.263,0.894,0
wind-ofs_8,0.263,0.894,0
wind-ofs_9,0.263,0.894,0
wind-ofs_10,0.263,0.894,0
wind-ons_1,0.263,0.894,0
wind-ons_2,0.263,0.894,0
wind-ons_3,0.263,0.894,0
wind-ons_4,0.263,0.894,0
wind-ons_5,0.263,0.894,0
wind-ons_6,0.263,0.894,0
wind-ons_7,0.263,0.894,0
wind-ons_8,0.263,0.894,0
wind-ons_9,0.263,0.894,0
wind-ons_10,0.263,0.894,0
csp1_1,6.468,0.448,0
csp1_2,6.468,0.448,0
csp1_3,6.468,0.448,0
csp1_4,6.468,0.448,0
csp1_5,6.468,0.448,0
csp1_6,6.468,0.448,0
csp1_7,6.468,0.448,0
csp1_8,6.468,0.448,0
csp1_9,6.468,0.448,0
csp1_10,6.468,0.448,0
csp1_11,6.468,0.448,0
csp1_12,6.468,0.448,0
csp2_1,6.468,0.448,0
csp2_2,6.468,0.448,0
csp2_3,6.468,0.448,0
csp2_4,6.468,0.448,0
csp2_5,6.468,0.448,0
