t,East_North_Central,East_South_Central,Mid_Atlantic,Mountain,New_England,Pacific,South_Atlantic,West_North_Central,West_South_Central
2010,4.274321,4.137875,4.711561,4.348849,4.683875,4.172505,5.211406,4.662091,3.986710
2011,3.232510,2.927834,3.561499,3.072886,1.816976,2.283109,3.674277,3.611184,3.128780
2012,1.835805,1.657892,2.046154,1.711281,0.608251,0.855820,2.358643,2.023828,1.846135
2013,2.717594,2.513758,2.919933,2.527450,2.752755,1.493476,2.911481,2.958827,2.646791
2014,3.473377,2.970544,3.226643,2.832534,3.290931,1.899157,3.347307,3.696555,3.142849
2015,1.425834,1.389863,1.335855,1.280899,1.075644,0.350386,1.933619,1.745417,1.571988
2016,1.317182,1.059534,1.178246,0.798265,0.754709,0.154124,1.462783,1.120631,1.171322
2017,1.772829,1.557646,1.563513,1.303398,1.026074,0.634368,1.739925,1.783923,1.649825
2018,1.570148,1.430502,1.494355,1.231903,1.135924,0.575436,1.526521,1.592755,1.569901
2019,0.871148,0.898527,0.989434,0.538674,1.046551,0.198684,1.038924,0.883068,0.937050
2020,0.455373,0.555079,0.537067,0.269587,0.582678,-0.114265,0.676152,0.539248,0.622535
2021,2.207225,2.555236,2.060217,2.261829,2.557165,1.958033,2.666629,2.345259,2.531617
2022,3.035049,3.666597,2.443258,3.100001,2.984546,2.729747,3.716462,3.401063,3.614057
2023,0.482152,0.587715,0.568648,0.285439,0.616932,-0.120976,0.715908,0.570962,0.659140
2024,0.202311,0.323449,-0.041746,-0.207917,-0.505133,-0.576337,0.557962,0.174344,0.391092
2025,0.602813,0.692976,0.347671,0.205100,-0.229539,-0.115501,0.772238,0.572750,0.749541
2026,0.613034,0.694058,0.431180,0.230798,0.116280,-0.054895,0.782696,0.607796,0.728853
2027,0.540627,0.615471,0.312819,0.178473,0.025300,-0.086562,0.799770,0.519140,0.672565
2028,0.581150,0.707458,0.295013,0.304707,-0.005586,-0.041584,0.796321,0.597140,0.769714
2029,0.669987,0.822394,0.342341,0.459622,0.067221,0.070685,1.001846,0.689225,0.892482
2030,0.746032,0.956262,0.407551,0.616757,0.201912,0.206840,1.023289,0.790169,1.043240
2031,0.851821,1.056561,0.511255,0.763157,0.270865,0.321341,1.103114,0.911957,1.155028
2032,1.019251,1.236409,0.615433,1.014594,0.383170,0.526482,1.263653,1.080553,1.392116
2033,1.250259,1.509990,0.857661,1.402480,0.667851,0.878486,1.550552,1.359765,1.683922
2034,1.397943,1.689997,1.009215,1.640171,0.851366,1.045899,1.725658,1.597190,1.869690
2035,1.492374,1.788715,1.079863,1.722907,0.910406,1.135310,1.819346,1.688441,1.911618
2036,1.541326,1.811399,1.117161,1.746874,0.978942,1.165524,1.874950,1.757318,1.912304
2037,1.536159,1.834123,1.155582,1.796241,0.991961,1.212068,1.942654,1.773991,1.941018
2038,1.487182,1.834754,1.140687,1.836029,0.941332,1.255656,1.946024,1.777185,1.955180
2039,1.483093,1.813399,1.106120,1.852664,0.903317,1.292380,1.942899,1.738510,1.955097
2040,1.465823,1.816640,1.076208,1.929209,0.902075,1.386383,1.951433,1.783399,1.997464
2041,1.485430,1.837854,1.079738,2.034826,0.940136,1.503686,1.952438,1.852105,2.062283
2042,1.518709,1.858898,1.120315,2.110740,0.974734,1.655205,1.987258,1.936311,2.136794
2043,1.529437,1.936040,1.132037,2.199057,1.000147,1.697789,2.038861,1.962805,2.223861
2044,1.519776,1.964234,1.123951,2.219031,1.041327,1.774132,2.050695,1.987807,2.287435
2045,1.520266,1.974527,1.099421,2.234710,1.086377,1.797817,2.027370,1.967755,2.312392
2046,1.528193,2.019305,1.143505,2.302125,1.034779,1.933259,2.053118,2.025646,2.355159
2047,1.514791,2.018503,1.127624,2.347354,1.059170,1.939243,2.015636,1.996091,2.409184
2048,1.495751,1.965800,1.098686,2.275422,0.948902,1.943456,1.953655,1.948797,2.405515
2049,1.466790,1.856363,1.069420,2.194083,0.957797,1.949716,1.896208,1.903059,2.375852
2050,1.448063,1.769984,1.008986,2.211597,0.950400,1.936905,1.828244,1.910854,2.347436
