t,East_North_Central,East_South_Central,Mid_Atlantic,Mountain,New_England,Pacific,South_Atlantic,West_North_Central,West_South_Central
2010,4.274321,4.137875,4.711561,4.348849,4.683875,4.172505,5.211406,4.662091,3.986710
2011,3.250640,3.043907,3.538973,3.435104,2.518591,2.781113,3.928042,3.661574,3.296519
2012,1.861207,1.802179,2.019255,2.135136,1.299775,1.533531,2.668667,2.094801,2.026640
2013,2.738112,2.628958,2.894765,2.942602,3.327790,2.185216,3.196929,3.017899,2.807178
2014,3.494080,3.092879,3.199281,3.246415,3.820127,2.593936,3.634713,3.744689,3.299712
2015,1.453247,1.548003,1.307021,1.760199,1.691627,1.054068,2.286350,1.809065,1.760347
2016,1.349029,1.232448,1.146193,1.287225,1.364421,0.752212,1.836327,1.200097,1.354203
2017,1.801610,1.721088,1.535469,1.744506,1.601754,1.182392,2.113329,1.855590,1.810900
2018,1.604343,1.609369,1.464344,1.717984,1.757134,1.144658,1.910176,1.671963,1.775599
2019,0.910407,1.084621,0.955677,1.167664,1.575510,0.745265,1.461099,0.976959,1.163360
2020,0.496623,0.744497,0.495862,0.878256,1.145742,0.441472,1.095534,0.640109,0.850163
2021,2.243688,2.721406,2.018844,2.864669,3.094409,2.537661,3.041219,2.427009,2.743093
2022,3.080724,3.831824,2.391515,3.704427,3.556702,3.287192,4.112245,3.505542,3.831477
2023,0.525828,0.788272,0.525021,0.929898,1.213108,0.467436,1.159950,0.677752,0.900153
2024,0.256799,0.527445,-0.089505,0.556717,0.197963,0.095968,0.980185,0.305383,0.645424
2025,0.863123,1.213779,0.601185,1.064128,1.108914,0.670486,1.635120,0.880009,1.285697
2026,0.715084,1.016711,0.451134,0.952131,0.671290,0.546283,1.418080,0.751348,1.183269
2027,0.617925,0.875931,0.292047,0.862069,0.395931,0.483612,1.242231,0.666421,0.989540
2028,0.567460,0.839861,0.168433,0.851125,0.318788,0.480907,1.183696,0.643537,0.953149
2029,0.575616,0.878862,0.143769,0.877827,0.296394,0.504958,1.196084,0.660824,1.008313
2030,0.634125,0.974161,0.130782,1.002017,0.269400,0.626526,1.420834,0.723273,1.113869
2031,0.652880,1.023170,0.134451,1.091447,0.273626,0.704086,1.466179,0.754305,1.198958
2032,0.666611,1.089121,0.069968,1.216806,0.219313,0.797587,1.520358,0.846099,1.321114
2033,0.604105,1.038929,0.096617,1.241048,0.260556,0.787401,1.485130,0.834930,1.292949
2034,0.489419,0.958522,0.029316,1.240482,0.187888,0.744750,1.216269,0.775984,1.232195
2035,0.430027,0.945117,-0.030959,1.273895,0.181927,0.737747,1.263167,0.747584,1.235206
2036,0.381435,0.918964,-0.109223,1.300273,0.137024,0.731842,1.172084,0.709425,1.242404
2037,0.320492,0.866084,-0.117597,1.278962,0.168563,0.646398,1.130389,0.649962,1.216437
2038,0.243586,0.790218,-0.176348,1.184959,0.112350,0.500813,1.046034,0.572945,1.149587
2039,0.148291,0.703505,-0.268235,1.048065,0.079598,0.346407,0.950178,0.465093,1.064718
2040,0.053479,0.624793,-0.392519,0.962721,-0.059601,0.232990,0.871614,0.376114,0.993441
2041,-0.061608,0.523068,-0.545699,0.842347,-0.218848,0.137274,0.764985,0.257277,0.918969
2042,-0.185466,0.416798,-0.707355,0.708869,-0.378413,-0.003099,0.647987,0.124114,0.823727
2043,-0.286196,0.323207,-0.825149,0.597777,-0.512458,-0.137443,0.550221,0.005823,0.746389
2044,-0.371072,0.229335,-0.931948,0.492979,-0.637612,-0.263946,0.450141,-0.118332,0.668595
2045,-0.441924,0.162548,-1.032834,0.432171,-0.676116,-0.335872,0.378631,-0.193050,0.613378
2046,-0.497549,0.103904,-1.097480,0.395583,-0.713449,-0.365369,0.314151,-0.237493,0.574419
2047,-0.556369,0.048921,-1.158374,0.344603,-0.767542,-0.438947,0.253196,-0.302063,0.540740
2048,-0.603926,-0.006141,-1.211544,0.289875,-0.820429,-0.507049,0.195107,-0.328176,0.507863
2049,-0.665558,-0.069103,-1.276104,0.225292,-0.865166,-0.588833,0.131508,-0.403639,0.468287
2050,-0.715123,-0.120909,-1.330371,0.164523,-0.920714,-0.682461,0.074984,-0.490857,0.430522
