t,East_North_Central,East_South_Central,Mid_Atlantic,Mountain,New_England,Pacific,South_Atlantic,West_North_Central,West_South_Central
2010,4.274321,4.137875,4.711561,4.348849,4.683875,4.172505,5.211406,4.662091,3.986710
2011,3.250640,3.043907,3.538973,3.435104,2.518591,2.781113,3.928042,3.661574,3.296519
2012,1.861207,1.802179,2.019255,2.135136,1.299775,1.533531,2.668667,2.094801,2.026640
2013,2.738112,2.628958,2.894765,2.942602,3.327790,2.185216,3.196929,3.017899,2.807178
2014,3.494080,3.092879,3.199281,3.246415,3.820127,2.593936,3.634713,3.744689,3.299712
2015,1.453247,1.548003,1.307021,1.760199,1.691627,1.054068,2.286350,1.809065,1.760347
2016,1.349029,1.232448,1.146193,1.287225,1.364421,0.752212,1.836327,1.200097,1.354203
2017,1.801610,1.721088,1.535469,1.744506,1.601754,1.182392,2.113329,1.855590,1.810900
2018,1.604343,1.609369,1.464344,1.717984,1.757134,1.144658,1.910176,1.671963,1.775599
2019,0.910407,1.084621,0.955677,1.167664,1.575510,0.745265,1.461099,0.976959,1.163360
2020,0.496623,0.744497,0.495862,0.878256,1.145742,0.441472,1.095534,0.640109,0.850163
2021,2.243688,2.721406,2.018844,2.864669,3.094409,2.537661,3.041219,2.427009,2.743093
2022,3.080724,3.831824,2.391515,3.704427,3.556702,3.287192,4.112245,3.505542,3.831477
2023,0.525828,0.788272,0.525021,0.929898,1.213108,0.467436,1.159950,0.677752,0.900153
2024,0.256799,0.527445,-0.089505,0.556717,0.197963,0.095968,0.980185,0.305383,0.645424
2025,0.849352,1.206806,0.587947,1.040695,1.082937,0.647898,1.705951,0.878566,1.272325
2026,1.271322,1.604584,0.902877,1.466624,1.150798,1.036835,1.896542,1.283954,1.801210
2027,1.778635,2.202551,1.379729,1.984390,1.422653,1.564029,2.469879,1.858564,2.202648
2028,2.393737,2.801213,1.864329,2.641150,1.984482,2.259690,2.978362,2.506162,2.793915
2029,2.917074,3.242736,2.364850,3.104513,2.468448,2.763274,3.365883,3.035462,3.163091
2030,3.143560,3.483422,2.602218,3.394860,2.697164,3.045638,3.601954,3.326393,3.372951
2031,3.361073,3.706062,2.830859,3.643465,2.864192,3.281765,3.843580,3.564746,3.655872
2032,3.678378,3.972975,3.030698,4.061855,3.090680,3.640292,4.103140,3.926319,4.039783
2033,3.854392,4.151818,3.266007,4.265576,3.320014,3.868352,4.298088,4.108464,4.159946
2034,4.016388,4.326855,3.449482,4.434075,3.534281,4.047557,4.496548,4.252373,4.255850
2035,4.197675,4.538563,3.676480,4.626949,3.799912,4.248096,4.737640,4.382622,4.397422
2036,4.482252,4.808703,3.960529,4.946172,4.056435,4.551676,5.074204,4.669082,4.708541
2037,4.766913,5.093013,4.240087,5.223659,4.373952,4.850293,5.387953,4.933817,5.008427
2038,4.924970,5.252117,4.453101,5.356710,4.587928,4.978115,5.577611,5.068652,5.157384
2039,5.186362,5.481660,4.668341,5.577910,4.787981,5.155541,5.766134,5.106292,5.380505
2040,5.334884,5.593291,4.846008,5.787268,4.914851,5.325949,5.876168,5.176427,5.494554
2041,5.721343,5.986905,5.201336,6.218070,5.331300,5.784100,6.149723,5.585408,5.919292
2042,6.004181,6.257741,5.503065,6.510048,5.630000,6.040577,6.428461,5.860687,6.170805
2043,6.190326,6.437477,5.712630,6.691883,5.815721,6.192059,6.619925,6.035113,6.336945
2044,6.388643,6.611998,5.895344,6.876992,5.888823,6.326224,6.818350,6.222943,6.513248
2045,6.694716,6.893358,6.175327,7.186384,6.153762,6.608804,7.112264,6.490861,6.791655
2046,6.962092,7.120543,6.414420,7.505726,6.427409,6.872441,7.345939,6.758920,7.003431
2047,7.128275,7.292545,6.559214,7.708294,6.592273,7.024219,7.515275,6.879106,7.168189
2048,7.269464,7.457916,6.683449,7.877018,6.761227,7.136751,7.668647,7.012994,7.307539
2049,7.378307,7.576050,6.800232,7.980815,6.911001,7.215116,7.788373,7.123527,7.415736
2050,7.497430,7.694907,6.927563,8.055626,7.068169,7.339126,7.932874,7.212858,7.536294
