t,East_North_Central,East_South_Central,Mid_Atlantic,Mountain,New_England,Pacific,South_Atlantic,West_North_Central,West_South_Central
2010,4.274321,4.137875,4.711561,4.348849,4.683875,4.172505,5.211406,4.662091,3.986710
2011,3.250640,3.043907,3.538973,3.435104,2.518591,2.781113,3.928042,3.661574,3.296519
2012,1.861207,1.802179,2.019255,2.135136,1.299775,1.533531,2.668667,2.094801,2.026640
2013,2.738112,2.628958,2.894765,2.942602,3.327790,2.185216,3.196929,3.017899,2.807178
2014,3.494080,3.092879,3.199281,3.246415,3.820127,2.593936,3.634713,3.744689,3.299712
2015,1.453247,1.548003,1.307021,1.760199,1.691627,1.054068,2.286350,1.809065,1.760347
2016,1.349029,1.232448,1.146193,1.287225,1.364421,0.752212,1.836327,1.200097,1.354203
2017,1.801610,1.721088,1.535469,1.744506,1.601754,1.182392,2.113329,1.855590,1.810900
2018,1.604343,1.609369,1.464344,1.717984,1.757134,1.144658,1.910176,1.671963,1.775599
2019,0.910407,1.084621,0.955677,1.167664,1.575510,0.745265,1.461099,0.976959,1.163360
2020,0.496623,0.744497,0.495862,0.878256,1.145742,0.441472,1.095534,0.640109,0.850163
2021,2.243688,2.721406,2.018844,2.864669,3.094409,2.537661,3.041219,2.427009,2.743093
2022,3.080724,3.831824,2.391515,3.704427,3.556702,3.287192,4.112245,3.505542,3.831477
2023,0.525828,0.788272,0.525021,0.929898,1.213108,0.467436,1.159950,0.677752,0.900153
2024,0.256799,0.527445,-0.089505,0.556717,0.197963,0.095968,0.980185,0.305383,0.645424
2025,0.852401,1.200867,0.601804,1.055427,1.100276,0.651410,1.676951,0.869033,1.279185
2026,1.003042,1.372998,0.679842,1.226692,0.937584,0.823660,1.813726,1.022661,1.539204
2027,1.069620,1.391995,0.716659,1.317888,0.803180,0.939826,1.879705,1.156444,1.459920
2028,1.121800,1.434658,0.719824,1.420702,0.864588,1.072397,1.690256,1.229853,1.509028
2029,1.239455,1.563456,0.796138,1.556980,0.935078,1.209064,1.814477,1.337114,1.600793
2030,1.449430,1.932912,0.890630,1.882389,0.983331,1.541132,2.216904,1.616648,1.960196
2031,1.569582,2.142311,0.960544,2.146476,1.089024,1.795804,2.340246,1.794783,2.205757
2032,1.701904,2.265472,0.929750,2.331625,1.092690,1.951962,2.567253,1.990277,2.424819
2033,1.628033,2.249207,0.983800,2.379130,1.146902,1.974265,2.416365,2.021673,2.403020
2034,1.505045,2.141583,0.943273,2.329366,1.132332,1.808836,2.308355,1.938153,2.290749
2035,1.427770,2.128535,0.895384,2.319018,1.080194,1.781731,2.287886,1.885064,2.291685
2036,1.399536,2.148171,0.845248,2.385127,1.083786,1.773895,2.504856,1.871273,2.361992
2037,1.421311,2.163694,0.886161,2.419176,1.144225,1.783674,2.315196,1.898142,2.399047
2038,1.445013,2.152901,0.929833,2.399261,1.152753,1.781693,2.306061,1.915447,2.392285
2039,1.483199,2.136147,0.948910,2.338296,1.186466,1.755008,2.260834,1.888120,2.390423
2040,1.483271,2.149574,0.931508,2.322414,1.192576,1.754340,2.278851,1.895158,2.383420
2041,1.454831,2.093792,0.956656,2.341682,1.207616,1.745758,2.245404,1.878740,2.371799
2042,1.417710,1.996432,0.944770,2.270628,1.191591,1.653727,2.343205,1.805271,2.286511
2043,1.351047,1.892081,0.892979,2.148028,1.128883,1.525319,2.232732,1.693067,2.179623
2044,1.272927,1.790872,0.784756,2.051051,0.985737,1.422989,2.115356,1.594616,2.102605
2045,1.193022,1.682490,0.666874,1.986795,0.906896,1.359777,1.856207,1.527544,2.046563
2046,1.135599,1.615208,0.569800,1.988558,0.853422,1.382786,1.848290,1.513098,2.041603
2047,1.073197,1.551866,0.497443,1.934622,0.772307,1.292597,1.715850,1.443065,1.967115
2048,1.008579,1.489174,0.437942,1.868772,0.699996,1.217253,1.649481,1.376723,1.892655
2049,0.949038,1.429534,0.384605,1.820173,0.653817,1.154207,1.583388,1.312196,1.823080
2050,0.897455,1.375311,0.340709,1.764423,0.563710,1.110525,1.528480,1.250993,1.768898
