r,East_North_Central,East_South_Central,Mid_Atlantic,Mountain,New_England,Pacific,South_Atlantic,West_North_Central,West_South_Central,MEX
p31039,0.044,0.003,0.0,0.051,0.0,0.0,0.0,0.883,0.019,0
p31109,0.052,0.006,0.0,0.05,0.0,0.0,0.0,0.849,0.043,0
p31129,0.025,0.004,0.0,0.095,0.0,0.0,0.0,0.809,0.067,0
p31101,0.003,0.0,0.0,0.425,0.0,0.0,0.0,0.552,0.02,0
p31137,0.011,0.002,0.0,0.186,0.0,0.0,0.0,0.754,0.048,0
p31181,0.019,0.003,0.0,0.119,0.0,0.0,0.0,0.793,0.066,0
p31043,0.061,0.003,0.0,0.045,0.0,0.0,0.0,0.878,0.013,0
p31015,0.029,0.001,0.0,0.139,0.0,0.0,0.0,0.823,0.008,0
p31171,0.008,0.001,0.0,0.25,0.0,0.0,0.0,0.726,0.015,0
p31089,0.025,0.001,0.0,0.122,0.0,0.0,0.0,0.84,0.012,0
p31017,0.014,0.001,0.0,0.182,0.0,0.0,0.0,0.792,0.011,0
p31103,0.018,0.001,0.0,0.201,0.0,0.0,0.0,0.773,0.008,0
p31007,0.001,0.0,0.0,0.448,0.0,0.001,0.0,0.536,0.015,0
p31077,0.018,0.002,0.0,0.123,0.0,0.0,0.0,0.834,0.023,0
p31095,0.041,0.006,0.0,0.06,0.0,0.0,0.0,0.825,0.068,0
p31151,0.041,0.005,0.0,0.062,0.0,0.0,0.0,0.839,0.053,0
p31057,0.002,0.0,0.0,0.431,0.0,0.0,0.0,0.523,0.043,0
p31157,0.001,0.0,0.0,0.449,0.0,0.001,0.0,0.537,0.012,0
p31001,0.019,0.003,0.0,0.122,0.0,0.0,0.0,0.805,0.051,0
p31131,0.07,0.008,0.0,0.036,0.0,0.0,0.001,0.838,0.048,0
p31099,0.015,0.002,0.0,0.15,0.0,0.0,0.0,0.783,0.05,0
p31087,0.004,0.001,0.0,0.348,0.0,0.0,0.0,0.598,0.049,0
p31105,0.001,0.0,0.0,0.452,0.0,0.0,0.0,0.527,0.019,0
p31127,0.081,0.009,0.0,0.03,0.0,0.0,0.001,0.821,0.057,0
p31041,0.009,0.001,0.0,0.213,0.0,0.0,0.0,0.753,0.024,0
p31025,0.068,0.007,0.0,0.037,0.0,0.0,0.0,0.847,0.039,0
p31143,0.032,0.003,0.0,0.08,0.0,0.0,0.0,0.853,0.032,0
p31045,0.002,0.0,0.0,0.441,0.0,0.0,0.0,0.55,0.006,0
p31179,0.045,0.003,0.0,0.056,0.0,0.0,0.0,0.881,0.015,0
p31071,0.017,0.001,0.0,0.141,0.0,0.0,0.0,0.822,0.017,0
p31055,0.065,0.006,0.0,0.038,0.0,0.0,0.0,0.861,0.029,0
