year,East_North_Central,East_South_Central,Mid_Atlantic,Mountain,New_England,Pacific,South_Atlantic,West_North_Central,West_South_Central
2010,3.224292,3.717842,3.84938,2.543553,4.950541,2.622244,4.819639,2.04389,2.512132
2011,3.520753,3.746905,3.857194,2.628507,5.101818,2.732027,5.004607,2.224951,2.655063
2012,3.418744,3.572899,3.874588,2.795096,5.989059,2.702752,4.927106,2.325483,2.869434
2013,3.29188,3.411375,3.493636,2.588002,5.519319,2.836594,4.605631,2.383152,2.933761
2014,3.210208,3.49595,3.712249,2.624967,3.876209,2.997613,4.075958,2.596662,3.083856
2015,3.017566,3.238051,3.592916,2.48148,3.807809,2.849712,3.737857,2.503988,2.972404
2016,2.801141,2.986923,3.322892,2.443743,3.513001,2.598507,3.595396,2.284448,2.865516
2017,2.666622,2.830636,2.828759,2.345611,3.416412,2.590636,3.444279,2.114409,2.569341
2018,2.664933,2.833475,2.915717,2.356844,3.661992,2.70801,3.374095,2.19222,2.656044
2019,2.484919,2.451514,3.382048,2.376398,3.421042,2.540641,3.096757,2.287477,2.402235
2020,2.43214,2.273487,2.8328,2.367487,3.315145,2.253485,3.15206,1.841053,2.125025
2021,2.395739,2.251027,2.690271,2.413618,3.309033,2.271611,3.087368,1.875808,2.148135
2022,2.342179,2.20768,2.29562,2.365142,3.850966,2.496613,2.846128,1.931177,2.276826
2023,2.290774,2.153811,2.2682,2.255401,3.804968,2.43592,2.689613,1.873354,2.205482
2024,2.741502,2.402605,2.257186,2.097527,3.720559,2.183604,3.720559,2.07623,2.219229
2025,2.696674,2.478701,2.608568,2.471174,2.608568,2.552525,3.730905,1.797321,2.073799
2026,2.664435,2.407584,2.586529,2.348744,2.586529,2.614501,3.63111,1.802897,2.066433
2027,2.589188,2.342201,2.591892,2.413531,2.591892,2.639512,3.349658,1.87295,2.204021
2028,2.600635,2.343247,2.558006,2.315373,2.558006,2.653075,3.229552,1.895456,2.254482
2029,2.592192,2.343984,2.5345,2.305234,2.5345,2.661994,3.219424,1.891759,2.256867
2030,2.58273,2.339671,2.528745,2.351599,2.528745,2.648286,3.230093,1.888688,2.240847
2031,2.563478,2.319687,2.509408,1.983413,2.509408,2.626866,3.249327,1.869732,2.1265
2032,2.565951,2.315695,2.517221,1.97391,2.517221,2.624111,3.206125,1.865713,2.153457
2033,2.550725,2.31492,2.488566,1.985037,2.488566,2.625256,3.139448,1.868353,2.140137
2034,2.546102,2.307602,2.432665,1.993185,2.432665,2.623763,3.122672,1.86952,2.118297
2035,2.545326,2.300222,2.414622,1.983858,2.414622,2.623056,3.110127,1.853602,2.105928
2036,2.549724,2.298846,2.402569,1.984207,2.402569,2.632611,3.102695,1.859341,2.116696
2037,2.566749,2.301688,2.537275,2.001463,2.537275,2.648494,3.10704,1.877252,2.296756
2038,2.580917,2.303939,2.53267,2.003024,2.53267,2.666843,3.116571,1.89193,2.309759
2039,2.596149,2.30511,2.520226,2.010546,2.520226,2.686291,3.121426,1.906917,2.343749
2040,2.610074,2.304987,2.59136,2.033732,2.59136,2.701919,3.094911,1.920162,2.358888
2041,2.624459,2.325017,2.577563,2.050715,2.577563,2.719554,3.109776,1.933933,2.366216
2042,2.638127,2.337488,2.573824,2.069321,2.573824,2.735152,3.118578,1.947265,2.367849
2043,2.651603,2.348259,2.574839,2.082585,2.574839,2.749991,3.119632,1.960137,2.359388
2044,2.662392,2.339498,2.543496,2.093113,2.543496,2.76328,3.10563,1.970987,2.3502
2045,2.671464,2.333806,2.398671,2.104572,2.398671,2.776207,3.080047,1.981464,2.358245
2046,2.685396,2.338267,2.364229,2.10537,2.364229,2.791546,3.083927,1.995102,2.361401
2047,2.700309,2.350808,2.352297,2.118672,2.352297,2.808261,3.093796,2.008181,2.34796
2048,2.713355,2.359891,2.342263,2.130679,2.342263,2.82296,3.106794,2.020095,2.356044
2049,2.728504,2.386774,2.261732,2.145234,2.261732,2.841563,3.120025,2.034285,2.368422
2050,2.730916,2.404197,2.270392,2.152194,2.270392,2.857189,3.147612,2.048594,2.372569
