year,East_North_Central,East_South_Central,Mid_Atlantic,Mountain,New_England,Pacific,South_Atlantic,West_North_Central,West_South_Central
2010,3.224292,3.717842,3.84938,2.543553,4.950541,2.622244,4.819639,2.04389,2.512132
2011,3.520753,3.746905,3.857194,2.628507,5.101818,2.732027,5.004607,2.224951,2.655063
2012,3.418744,3.572899,3.874588,2.795096,5.989059,2.702752,4.927106,2.325483,2.869434
2013,3.29188,3.411375,3.493636,2.588002,5.519319,2.836594,4.605631,2.383152,2.933761
2014,3.210208,3.49595,3.712249,2.624967,3.876209,2.997613,4.075958,2.596662,3.083856
2015,3.017566,3.238051,3.592916,2.48148,3.807809,2.849712,3.737857,2.503988,2.972404
2016,2.801141,2.986923,3.322892,2.443743,3.513001,2.598507,3.595396,2.284448,2.865516
2017,2.666622,2.830636,2.828759,2.345611,3.416412,2.590636,3.444279,2.114409,2.569341
2018,2.664933,2.833475,2.915717,2.356844,3.661992,2.70801,3.374095,2.19222,2.656044
2019,2.484919,2.451514,3.382048,2.376398,3.421042,2.540641,3.096757,2.287477,2.402235
2020,2.43214,2.273487,2.8328,2.367487,3.315145,2.253485,3.15206,1.841053,2.125025
2021,2.395739,2.251027,2.690271,2.413618,3.309033,2.271611,3.087368,1.875808,2.148135
2022,2.342179,2.20768,2.29562,2.365142,3.850966,2.496613,2.846128,1.931177,2.276826
2023,2.290774,2.153811,2.2682,2.255401,3.804968,2.43592,2.689613,1.873354,2.205482
2024,2.741502,2.402605,2.257186,2.097527,3.720559,2.183604,3.720559,2.07623,2.219229
2025,2.697991,2.478127,2.610825,2.459127,2.610825,2.547656,3.728853,1.797461,2.074193
2026,2.678993,2.411469,2.609556,2.32962,2.609556,2.61463,3.648981,1.803064,2.073156
2027,2.588603,2.349643,2.577045,2.393302,2.577045,2.638686,3.350258,1.872733,2.19397
2028,2.600813,2.340981,2.55784,2.303188,2.55784,2.651147,3.241633,1.903674,2.247226
2029,2.590306,2.345229,2.52293,2.296779,2.52293,2.660305,3.237127,1.898496,2.228578
2030,2.58059,2.333144,2.518117,2.439893,2.518117,2.64647,3.173115,1.882441,2.237984
2031,2.561357,2.318848,2.417819,1.968821,2.417819,2.623801,3.210659,1.861227,2.197295
2032,2.589286,2.358742,2.065758,2.877009,2.065758,2.629092,3.019993,1.857804,2.410654
2033,2.589104,2.357557,2.059539,2.86228,2.059539,2.633603,3.016599,1.867814,2.416533
2034,2.580561,2.353566,2.046952,2.852402,2.046952,2.633142,2.98306,1.87117,2.416349
2035,2.567396,2.346812,2.032553,2.839798,2.032553,2.627857,2.967977,1.870677,2.412443
2036,2.561525,2.345188,2.02427,2.848332,2.02427,2.638476,2.937563,1.87957,2.422616
2037,2.578872,2.342707,2.780539,2.865445,2.780539,2.654427,2.939031,1.891564,2.43772
2038,2.579348,2.346733,2.792268,2.840283,2.792268,2.647292,2.948851,1.906695,2.456602
2039,2.570332,2.443903,2.100127,2.840283,2.100127,2.627124,2.847225,1.926676,2.482872
2040,2.560712,2.433394,2.095068,2.840283,2.095068,2.612675,2.837137,1.940794,2.496761
2041,2.55301,2.430461,2.078361,2.840283,2.078361,2.620838,2.82242,1.94982,2.506227
2042,2.54104,2.297371,2.07276,2.840283,2.07276,2.601753,2.81536,1.958098,2.511419
2043,2.539342,2.29952,2.06317,2.840283,2.06317,2.619181,2.806508,1.968459,2.522819
2044,2.485923,2.256552,1.027306,2.840283,1.027306,2.548782,2.550491,1.977339,2.533907
2045,2.467135,2.251078,1.026189,2.840283,1.026189,2.524989,2.106682,1.98793,1.905336
2046,2.416172,2.025176,1.01394,2.840283,1.01394,2.51396,2.106682,1.99214,1.905336
2047,2.416172,2.025176,1.01394,2.840283,1.01394,2.504147,2.106682,2.000725,1.905336
2048,2.416172,2.025176,1.01394,2.840283,1.01394,2.505794,2.106682,2.010402,1.905336
2049,2.416172,2.025176,1.01394,2.840283,1.01394,2.536341,2.106682,2.023221,1.905336
2050,2.416172,2.025176,1.01394,2.840283,1.01394,2.546657,2.106682,2.036995,1.905336
