param,California,East_North_Central,East_South_Central,Mid_Atlantic,Mountain,New_England,Northwest,South_Atlantic,Southwest,West_North_Central,West_South_Central
beta_CDD,0.048,0.031,0.014,0.096,0.042,0.129,0.054,0.051,0.03,0.028,0.025
beta_HDD,0.032,0.022,0.018,0.052,0.027,0.071,0.041,0.045,0.028,0.03,0.029
alpha,-0.427,-0.259,-0.095,-0.562,-0.496,-0.985,-0.644,-0.374,-0.489,-0.325,-0.252
alpha_JAN,0.086,-0.24,-0.066,-0.215,-0.008,-0.102,-0.086,0.007,0.161,-0.392,-0.098
alpha_FEB,0.07,-0.176,-0.041,-0.376,0.004,-0.213,-0.09,-0.027,0.178,-0.302,-0.034
alpha_MAR,-0.029,-0.199,-0.076,-0.488,-0.122,-0.375,-0.158,-0.098,-0.001,-0.272,-0.076
alpha_APR,-0.007,-0.111,-0.014,-0.22,-0.069,-0.172,-0.11,-0.022,0.011,-0.157,-0.033
alpha_MAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alpha_JUN,-0.061,0.024,-0.059,0.013,0.052,0.116,0.092,-0.072,0.007,0.023,-0.065
alpha_JUL,-0.034,0.024,-0.09,-0.107,0.101,-0.006,0.183,-0.094,0.143,0.031,-0.069
alpha_AUG,0.095,0.083,-0.101,-0.096,0.193,0.014,0.289,-0.06,0.263,0.1,-0.017
alpha_SEP,0.134,0.099,-0.131,-0.102,0.199,0.11,0.27,0.004,0.233,0.102,0.059
alpha_OCT,0.207,0.016,-0.214,-0.253,0.096,-0.002,0.177,0.042,0.214,-0.022,0.079
alpha_NOV,0.18,-0.086,-0.076,-0.302,0.102,-0.144,0.132,0.041,0.221,-0.171,0.033
alpha_DEC,0.214,-0.214,-0.093,-0.367,0.102,-0.148,0.028,-0.004,0.286,-0.343,-0.082
