year,East_North_Central,East_South_Central,Mid_Atlantic,Mountain,New_England,Pacific,South_Atlantic,West_North_Central,West_South_Central
2010,7.090990,6.864630,7.816360,7.214630,7.770430,6.922080,8.645590,7.734290,6.613850
2011,6.415240,6.035800,7.181610,6.759040,6.976610,6.523090,7.612680,7.187830,6.021930
2012,4.318400,4.171340,4.920950,4.812690,5.125690,4.981960,5.744140,4.836970,4.086240
2013,5.644570,5.425660,6.221770,6.026710,8.068120,5.966590,6.488060,6.217400,5.311730
2014,6.901570,6.196130,6.749790,6.533250,8.769200,6.652870,7.217680,7.398620,6.141910
2015,3.728470,3.831860,3.850320,4.283490,5.664140,4.318230,5.209640,4.428220,3.709610
2016,3.604330,3.348940,3.661070,3.544380,5.148300,3.667090,4.514280,3.500410,3.097470
2017,4.251330,4.060240,4.159690,4.195250,5.355280,4.189160,4.872570,4.469500,3.814340
2018,4.083060,4.025980,4.228360,4.311700,5.881250,4.317320,4.693190,4.334410,3.784560
2019,3.074150,3.292140,3.569320,3.555690,5.476460,3.748840,4.098980,3.352610,2.850900
2020,2.433600,2.771320,2.922260,3.117010,4.894560,3.305040,3.535610,2.854160,2.372950
2021,5.212050,5.940870,5.323930,6.295940,7.947850,6.712710,6.632820,5.658210,5.441230
2022,6.736810,7.910930,6.175170,7.816440,8.928910,8.040400,8.543690,7.627990,7.360520
2023,2.576700,2.934270,3.094090,3.300290,5.182360,3.499380,3.743500,3.021990,2.512480
2024,2.298708,2.680677,2.287270,2.863694,3.942886,3.208913,3.481087,2.621773,2.210615
2025,2.394202,2.663157,2.313296,2.777358,3.545907,2.887983,3.371045,2.708847,2.218614
2026,2.279395,2.498695,2.298251,2.712186,3.424357,2.803907,3.222955,2.664633,2.059296
2027,2.267412,2.484879,2.255369,2.717369,3.179948,2.824805,3.352517,2.702573,2.033904
2028,2.342423,2.607332,2.219732,2.860942,2.963628,2.993797,3.471617,2.822133,2.178029
2029,2.422638,2.709477,2.237025,2.964342,2.897579,3.117639,3.536583,2.905383,2.279984
2030,2.509715,2.835151,2.309547,3.228207,2.761189,3.405689,3.637365,3.080562,2.440423
2031,2.525936,2.905147,2.337410,3.393098,2.747252,3.586969,3.510499,3.122771,2.544189
2032,2.816504,3.177044,2.531026,3.814344,3.035183,4.013958,3.964278,3.501460,2.843096
2033,2.860132,3.242102,2.633990,3.950235,3.119033,4.208856,3.848393,3.516799,2.926303
2034,2.896689,3.271004,2.714677,4.049577,3.235024,4.334771,3.874689,3.576314,2.959214
2035,2.911631,3.285653,2.718911,4.106940,3.332014,4.363559,3.886527,3.632553,2.990757
2036,2.902459,3.277782,2.679176,4.154849,3.345162,4.288165,3.871522,3.651698,2.995825
2037,2.849265,3.248419,2.655793,4.159271,3.331612,4.251697,3.826073,3.584962,2.955194
2038,2.787631,3.233404,2.610942,4.197432,3.345557,4.234464,3.806650,3.559825,2.903788
2039,2.754783,3.219203,2.571926,4.173839,3.217742,4.281111,3.787173,3.507277,2.895023
2040,2.765788,3.249156,2.542018,4.291714,3.172366,4.376058,3.826042,3.599415,2.954316
2041,2.809392,3.310269,2.589555,4.404143,3.339386,4.470148,3.902796,3.717389,3.031373
2042,2.803964,3.326160,2.603526,4.446998,3.391913,4.516488,3.909537,3.731760,3.068110
2043,2.752379,3.289931,2.536290,4.391260,3.330580,4.504367,3.898544,3.703559,3.063311
2044,2.683260,3.263479,2.437677,4.328261,3.113896,4.424861,3.864220,3.646818,3.049417
2045,2.627810,3.248250,2.366950,4.364906,2.985338,4.511312,3.847422,3.651798,3.060245
2046,2.628173,3.277446,2.338613,4.417610,2.984034,4.539052,3.857837,3.720915,3.101784
2047,2.562113,3.260696,2.304000,4.407011,2.934076,4.557307,4.006942,3.699291,3.061580
2048,2.512380,3.256391,2.251554,4.434324,2.892148,4.586201,4.003499,3.689516,3.065140
2049,2.461685,3.213834,2.203854,4.389663,2.865312,4.565211,3.966560,3.655248,3.041644
2050,2.421813,3.162359,2.150464,4.376517,2.790408,4.556719,3.907777,3.591890,3.010422
