year,East_North_Central,East_South_Central,Mid_Atlantic,Mountain,New_England,Pacific,South_Atlantic,West_North_Central,West_South_Central
2010,7.090990,6.864630,7.816360,7.214630,7.770430,6.922080,8.645590,7.734290,6.613850
2011,6.415240,6.035800,7.181610,6.759040,6.976610,6.523090,7.612680,7.187830,6.021930
2012,4.318400,4.171340,4.920950,4.812690,5.125690,4.981960,5.744140,4.836970,4.086240
2013,5.644570,5.425660,6.221770,6.026710,8.068120,5.966590,6.488060,6.217400,5.311730
2014,6.901570,6.196130,6.749790,6.533250,8.769200,6.652870,7.217680,7.398620,6.141910
2015,3.728470,3.831860,3.850320,4.283490,5.664140,4.318230,5.209640,4.428220,3.709610
2016,3.604330,3.348940,3.661070,3.544380,5.148300,3.667090,4.514280,3.500410,3.097470
2017,4.251330,4.060240,4.159690,4.195250,5.355280,4.189160,4.872570,4.469500,3.814340
2018,4.083060,4.025980,4.228360,4.311700,5.881250,4.317320,4.693190,4.334410,3.784560
2019,3.074150,3.292140,3.569320,3.555690,5.476460,3.748840,4.098980,3.352610,2.850900
2020,2.433600,2.771320,2.922260,3.117010,4.894560,3.305040,3.535610,2.854160,2.372950
2021,5.212050,5.940870,5.323930,6.295940,7.947850,6.712710,6.632820,5.658210,5.441230
2022,6.736810,7.910930,6.175170,7.816440,8.928910,8.040400,8.543690,7.627990,7.360520
2023,2.576700,2.934270,3.094090,3.300290,5.182360,3.499380,3.743500,3.021990,2.512480
2024,2.306225,2.671443,2.291188,2.867855,3.951021,3.213850,3.470091,2.628691,2.214949
2025,3.757886,4.158859,3.629599,4.146041,4.825856,4.247904,4.788136,4.032818,3.699224
2026,3.800100,4.182667,3.834864,4.116380,4.605783,4.119196,4.790429,4.000161,3.667104
2027,3.930441,4.337811,3.835330,4.269623,4.343827,4.225954,4.924905,4.200141,3.808350
2028,4.168205,4.686580,4.009411,4.650997,4.395217,4.694008,5.188810,4.513605,4.175693
2029,4.620580,5.149542,4.403663,5.207363,4.783993,5.210474,5.605813,5.094242,4.716477
2030,5.483608,6.110940,5.116742,6.219917,5.429995,6.208527,6.492614,6.184416,5.740700
2031,6.032155,6.622880,5.623803,6.823698,6.023727,6.887148,7.070742,6.668324,6.323299
2032,6.900975,7.392770,6.455877,7.823699,6.769484,7.795189,7.802534,7.624558,7.123114
2033,7.243104,7.728008,6.816369,8.029579,7.239462,8.010993,8.118889,7.822190,7.409045
2034,7.448060,7.892791,7.007079,8.258191,7.573184,8.196181,8.326830,7.872682,7.609113
2035,7.551923,8.054188,7.163031,8.444173,7.670228,8.278070,8.486915,7.904687,7.651300
2036,7.728963,8.253443,7.137417,8.753573,7.708939,8.491802,8.726404,8.052999,7.956063
2037,7.568828,8.212115,6.949639,8.739521,7.558604,8.407489,8.848077,7.982419,8.047225
2038,7.392748,7.899144,6.762915,8.673278,7.343988,8.322899,8.740216,7.834982,7.963167
2039,7.297922,8.110153,6.737899,9.006240,7.251116,8.591912,8.910620,7.645207,8.226623
2040,7.382362,8.071926,6.678354,9.026676,7.218706,8.661890,8.836534,7.822319,8.232173
2041,7.322939,8.334088,6.644736,8.673353,7.065958,8.644938,8.862980,7.732145,8.189538
2042,7.199334,8.141396,6.447856,8.462022,6.963392,8.381509,8.753935,7.611486,8.084666
2043,7.084161,7.972393,6.334739,8.241702,6.808531,8.252924,8.612486,7.540718,7.942930
2044,7.090244,8.179617,6.344906,8.507860,6.503371,8.446995,8.590377,7.552183,8.183352
2045,7.115554,8.105153,6.351938,8.658021,6.349429,8.574844,8.392526,7.610549,8.243489
2046,7.327775,8.147901,6.429235,8.684699,6.509525,8.631374,8.438897,7.833263,8.316871
2047,7.564465,8.513703,6.661896,9.064015,6.689818,8.964581,8.687522,8.053114,8.630199
2048,7.853740,8.746612,6.915947,9.510916,6.918985,9.287422,9.020991,8.339838,9.039744
2049,8.156782,9.029250,7.254817,9.833487,7.237922,9.528601,9.287102,8.634782,9.384081
2050,8.458136,9.348893,7.582260,10.207071,7.553951,9.821965,9.627280,8.921481,9.705161
