year,East_North_Central,East_South_Central,Mid_Atlantic,Mountain,New_England,Pacific,South_Atlantic,West_North_Central,West_South_Central
2010,7.090990,6.864630,7.816360,7.214630,7.770430,6.922080,8.645590,7.734290,6.613850
2011,6.415240,6.035800,7.181610,6.759040,6.976610,6.523090,7.612680,7.187830,6.021930
2012,4.318400,4.171340,4.920950,4.812690,5.125690,4.981960,5.744140,4.836970,4.086240
2013,5.644570,5.425660,6.221770,6.026710,8.068120,5.966590,6.488060,6.217400,5.311730
2014,6.901570,6.196130,6.749790,6.533250,8.769200,6.652870,7.217680,7.398620,6.141910
2015,3.728470,3.831860,3.850320,4.283490,5.664140,4.318230,5.209640,4.428220,3.709610
2016,3.604330,3.348940,3.661070,3.544380,5.148300,3.667090,4.514280,3.500410,3.097470
2017,4.251330,4.060240,4.159690,4.195250,5.355280,4.189160,4.872570,4.469500,3.814340
2018,4.083060,4.025980,4.228360,4.311700,5.881250,4.317320,4.693190,4.334410,3.784560
2019,3.074150,3.292140,3.569320,3.555690,5.476460,3.748840,4.098980,3.352610,2.850900
2020,2.433600,2.771320,2.922260,3.117010,4.894560,3.305040,3.535610,2.854160,2.372950
2021,5.212050,5.940870,5.323930,6.295940,7.947850,6.712710,6.632820,5.658210,5.441230
2022,6.736810,7.910930,6.175170,7.816440,8.928910,8.040400,8.543690,7.627990,7.360520
2023,2.576700,2.934270,3.094090,3.300290,5.182360,3.499380,3.743500,3.021990,2.512480
2024,2.285080,2.645327,2.269530,2.841191,3.914745,3.178771,3.581676,2.605072,2.199480
2025,2.837277,3.142428,2.724665,3.296411,3.945919,3.449765,3.846201,3.162053,2.702884
2026,2.763278,3.055122,2.780215,3.156343,3.819109,3.232441,3.765639,3.076137,2.602545
2027,2.703812,2.988694,2.636923,3.122164,3.435360,3.154894,3.837702,3.054238,2.549224
2028,2.762565,3.127218,2.576812,3.269873,3.240752,3.344125,3.785440,3.195382,2.701754
2029,2.918250,3.306478,2.643674,3.513918,3.229812,3.634970,4.085795,3.398271,2.910596
2030,3.049576,3.512392,2.773706,3.861304,3.129285,4.019860,4.087484,3.646155,3.163967
2031,3.170081,3.613755,2.866469,4.079747,3.326129,4.274564,4.101537,3.762861,3.303848
2032,3.635774,4.085257,3.222987,4.733683,3.779099,4.891140,4.559186,4.423059,3.843493
2033,3.881344,4.388517,3.483385,5.040173,4.071227,5.191451,4.842482,4.704285,4.214373
2034,3.987692,4.544195,3.598001,5.230925,4.168971,5.384827,4.962396,4.772688,4.409548
2035,4.045470,4.609845,3.631619,5.303466,4.199443,5.412060,5.016607,4.784186,4.425838
2036,4.036805,4.556694,3.610814,5.251937,4.265835,5.282920,5.044314,4.780307,4.374448
2037,3.899876,4.464017,3.518157,5.176685,4.120316,5.104523,4.979167,4.672058,4.317363
2038,3.733063,4.376263,3.376865,5.154803,3.993610,5.010477,4.909653,4.566430,4.273121
2039,3.681409,4.286094,3.256926,5.160571,3.816716,4.923649,4.850672,4.408439,4.233821
2040,3.662889,4.299133,3.215503,5.306404,3.872509,5.055543,4.854046,4.491251,4.305593
2041,3.723782,4.361627,3.252421,5.505489,3.966687,5.287903,4.880734,4.649086,4.432408
2042,3.773970,4.390012,3.298153,5.683669,4.091134,5.408764,4.925858,4.751801,4.548378
2043,3.805754,4.522407,3.344024,5.836872,4.169929,5.563621,5.008918,4.807343,4.704851
2044,3.800041,4.578125,3.347215,5.905303,4.087124,5.645613,5.012309,4.817755,4.813431
2045,3.798050,4.596054,3.329523,5.945200,3.891919,5.636967,4.970164,4.839172,4.858135
2046,3.810532,4.665256,3.393556,6.013248,3.902629,5.758965,4.994895,4.945189,4.923351
2047,3.770669,4.652761,3.383668,6.069484,3.945969,5.808951,4.917217,4.909540,5.001916
2048,3.740844,4.571362,3.349662,6.010077,3.787596,5.813332,4.802450,4.859097,5.000763
2049,3.685088,4.388964,3.274235,5.912456,3.870886,5.796697,4.690213,4.774216,4.946911
2050,3.642668,4.235358,3.161351,5.972120,3.788044,5.745820,4.578797,4.791852,4.904408
