year,East_North_Central,East_South_Central,Mid_Atlantic,Mountain,New_England,Pacific,South_Atlantic,West_North_Central,West_South_Central
2010,0.326000,0.567000,0.890000,0.641000,0.420000,0.989000,1.544000,0.124000,2.049000
2011,0.395000,0.639000,0.965000,0.567000,0.456000,0.766000,1.671000,0.117000,2.188000
2012,0.656000,0.797000,1.154000,0.663000,0.448000,1.045000,2.043000,0.171000,2.337000
2013,0.475000,0.629000,1.066000,0.651000,0.372000,1.069000,1.883000,0.140000,2.075000
2014,0.482860,0.671910,1.131480,0.648910,0.341750,1.073730,1.896250,0.108070,2.025670
2015,0.713310,0.875420,1.236450,0.750920,0.397610,1.084430,2.330100,0.147160,2.434110
2016,0.912140,0.961900,1.344500,0.765760,0.393180,0.917910,2.469830,0.191920,2.351840
2017,0.810260,0.910900,1.196160,0.690330,0.371410,0.840900,2.475890,0.172190,2.063170
2018,1.002570,0.994600,1.300060,0.760260,0.400410,0.871740,2.535530,0.189610,2.661310
2019,1.185720,1.029820,1.451550,0.988210,0.338650,0.834000,2.790260,0.228310,2.928260
2020,1.262780,1.047200,1.684220,0.954760,0.360850,0.847680,2.768040,0.247310,2.940390
2021,1.082250,0.913910,1.654780,0.947250,0.344590,0.887030,2.468730,0.195060,2.732240
2022,1.477690,0.900480,1.998290,0.947740,0.366770,0.850180,2.605340,0.257510,2.797010
2023,1.337030,1.108780,1.783250,1.010900,0.382070,0.897520,2.930800,0.261850,3.113280
2024,1.803768,1.120752,1.947869,1.202134,0.451624,1.026979,2.771119,0.328229,3.278091
2025,1.779150,1.098819,1.629397,1.095031,0.402601,0.855043,2.839481,0.333078,3.062861
2026,1.709301,1.090066,1.645651,1.009045,0.307184,0.751345,2.802256,0.292994,2.831672
2027,1.930932,1.157464,1.664455,1.012900,0.263452,0.718387,2.786452,0.347046,2.922580
2028,2.042475,1.160019,1.601191,0.970603,0.243434,0.776476,2.676992,0.365627,2.856328
2029,2.250298,1.124709,1.567711,0.961866,0.223449,0.824927,2.548651,0.403164,2.763967
2030,2.271644,1.037678,1.638802,1.036249,0.172437,0.894584,2.418587,0.456933,2.771827
2031,2.249849,0.989105,1.537363,1.062644,0.193628,0.947843,2.196743,0.434738,2.681658
2032,2.753094,1.045986,1.631743,1.131738,0.210223,1.000090,2.304419,0.589867,2.831487
2033,2.610210,0.955824,1.585095,0.945356,0.202380,0.930929,2.088257,0.553112,2.650223
2034,2.315766,0.866626,1.527352,0.872272,0.189251,0.947975,1.922410,0.410186,2.548273
2035,2.128180,0.824893,1.546738,0.893621,0.192515,0.933309,1.878592,0.374010,2.161885
2036,1.923508,0.771852,1.530112,0.882123,0.197367,0.888036,1.926551,0.346125,1.876698
2037,1.718799,0.714015,1.373293,0.846004,0.189569,0.825748,1.718812,0.332811,1.742069
2038,1.530699,0.654886,1.208284,0.834513,0.194608,0.784750,1.718832,0.307617,1.661109
2039,1.492246,0.603034,1.129269,0.853311,0.183550,0.737564,1.680835,0.271675,1.621889
2040,1.538328,0.603428,1.131776,0.863450,0.191371,0.723354,1.617794,0.272217,1.688687
2041,1.606427,0.615171,1.157560,0.862811,0.192375,0.729275,1.619307,0.285775,1.746875
2042,1.636847,0.615970,1.098378,0.915820,0.203848,0.673652,1.598931,0.264481,1.757097
2043,1.703603,0.590668,1.162631,0.912592,0.207948,0.706872,1.554882,0.265405,1.737841
2044,1.783943,0.604031,1.205421,0.939069,0.183532,0.684177,1.479005,0.239437,1.767898
2045,1.743539,0.610125,1.299167,0.952057,0.141631,0.662889,1.469072,0.278295,1.725534
2046,1.815236,0.608258,1.281461,0.916862,0.157335,0.618836,1.423282,0.288586,1.737410
2047,1.637457,0.593526,1.377790,0.906929,0.158988,0.640318,1.396680,0.303452,1.773730
2048,1.609448,0.605255,1.420297,0.957831,0.162292,0.637655,1.344266,0.320825,1.755996
2049,1.616478,0.636592,1.345600,0.998673,0.174212,0.629154,1.313927,0.320191,1.718013
2050,1.626209,0.643452,1.342685,1.036890,0.165085,0.621188,1.359366,0.331866,1.536503
