year,East_North_Central,East_South_Central,Mid_Atlantic,Mountain,New_England,Pacific,South_Atlantic,West_North_Central,West_South_Central
2010,0.326000,0.567000,0.890000,0.641000,0.420000,0.989000,1.544000,0.124000,2.049000
2011,0.395000,0.639000,0.965000,0.567000,0.456000,0.766000,1.671000,0.117000,2.188000
2012,0.656000,0.797000,1.154000,0.663000,0.448000,1.045000,2.043000,0.171000,2.337000
2013,0.475000,0.629000,1.066000,0.651000,0.372000,1.069000,1.883000,0.140000,2.075000
2014,0.482860,0.671910,1.131480,0.648910,0.341750,1.073730,1.896250,0.108070,2.025670
2015,0.713310,0.875420,1.236450,0.750920,0.397610,1.084430,2.330100,0.147160,2.434110
2016,0.912140,0.961900,1.344500,0.765760,0.393180,0.917910,2.469830,0.191920,2.351840
2017,0.810260,0.910900,1.196160,0.690330,0.371410,0.840900,2.475890,0.172190,2.063170
2018,1.002570,0.994600,1.300060,0.760260,0.400410,0.871740,2.535530,0.189610,2.661310
2019,1.185720,1.029820,1.451550,0.988210,0.338650,0.834000,2.790260,0.228310,2.928260
2020,1.262780,1.047200,1.684220,0.954760,0.360850,0.847680,2.768040,0.247310,2.940390
2021,1.082250,0.913910,1.654780,0.947250,0.344590,0.887030,2.468730,0.195060,2.732240
2022,1.477690,0.900480,1.998290,0.947740,0.366770,0.850180,2.605340,0.257510,2.797010
2023,1.337030,1.108780,1.783250,1.010900,0.382070,0.897520,2.930800,0.261850,3.113280
2024,1.803770,1.120750,1.947870,1.202130,0.451620,1.026980,2.771120,0.328230,3.278090
2025,1.648597,1.029691,1.851161,1.231434,0.417325,0.851933,2.866583,0.317455,3.039832
2026,1.713044,1.030120,1.746961,1.266515,0.467969,0.827414,2.850809,0.292045,3.425049
2027,1.841328,1.167425,1.646666,1.085011,0.304663,0.715407,2.930920,0.351720,3.132115
2028,1.952928,1.225841,1.684212,1.108953,0.282638,0.710391,2.882026,0.344860,3.124128
2029,1.985248,1.294265,1.619591,1.038270,0.208550,0.728797,3.056920,0.405253,3.261393
2030,2.011865,1.349217,1.785222,1.155577,0.147087,0.748359,3.039507,0.486595,3.259249
2031,2.040323,1.390848,1.692420,1.291346,0.127850,0.793124,3.143278,0.510064,3.439810
2032,2.854984,1.451952,1.773454,1.462801,0.166115,0.858645,3.334630,0.629632,3.714446
2033,3.015952,1.451795,1.675639,1.812109,0.174169,0.657401,3.394392,0.634252,3.823832
2034,3.205416,1.470505,1.645214,1.901085,0.175485,0.713055,3.488226,0.648723,3.904728
2035,3.321302,1.491139,1.679040,2.018383,0.169778,0.760828,3.590709,0.677436,3.986648
2036,3.448392,1.515289,1.724456,2.132609,0.175985,0.815626,3.705425,0.728275,4.037294
2037,3.572106,1.510466,1.707575,2.179991,0.162578,0.902957,3.887541,0.766930,4.127420
2038,3.658869,1.528602,1.729452,2.032956,0.158196,1.105590,4.040754,0.781836,4.220967
2039,3.768442,1.502221,1.833264,1.955187,0.161481,1.262494,4.263766,0.804460,4.343083
2040,3.948766,1.498289,1.830200,2.027627,0.156339,1.323843,4.367780,0.805841,4.419831
2041,4.019770,1.515667,1.869890,2.128645,0.155380,1.344587,4.486732,0.836198,4.574669
2042,4.167163,1.577872,1.988616,2.224538,0.159258,1.374970,4.548312,0.853261,4.687437
2043,4.294076,1.623893,2.140853,2.291301,0.160852,1.411695,4.607835,0.869560,4.807927
2044,4.463818,1.684566,2.254237,2.387595,0.139318,1.430295,4.701151,0.929913,4.927483
2045,4.541317,1.717293,2.394387,2.422866,0.110367,1.453691,4.777538,0.954616,5.002665
2046,4.688744,1.746517,2.460590,2.464838,0.114923,1.450654,4.820875,0.952163,5.118394
2047,4.810600,1.766934,2.527314,2.530149,0.111870,1.462748,4.858366,0.965562,5.253918
2048,4.932360,1.800730,2.555921,2.603085,0.111630,1.459536,4.920039,0.927140,5.376229
2049,4.997245,1.816386,2.621164,2.652108,0.109753,1.475239,4.963941,0.953469,5.553566
2050,5.002142,1.830329,2.687166,2.658764,0.130816,1.528597,4.991158,1.007838,5.647074
