year,East_North_Central,East_South_Central,Mid_Atlantic,Mountain,New_England,Pacific,South_Atlantic,West_North_Central,West_South_Central
2010,0.326000,0.567000,0.890000,0.641000,0.420000,0.989000,1.544000,0.124000,2.049000
2011,0.395000,0.639000,0.965000,0.567000,0.456000,0.766000,1.671000,0.117000,2.188000
2012,0.656000,0.797000,1.154000,0.663000,0.448000,1.045000,2.043000,0.171000,2.337000
2013,0.475000,0.629000,1.066000,0.651000,0.372000,1.069000,1.883000,0.140000,2.075000
2014,0.482860,0.671910,1.131480,0.648910,0.341750,1.073730,1.896250,0.108070,2.025670
2015,0.713310,0.875420,1.236450,0.750920,0.397610,1.084430,2.330100,0.147160,2.434110
2016,0.912140,0.961900,1.344500,0.765760,0.393180,0.917910,2.469830,0.191920,2.351840
2017,0.810260,0.910900,1.196160,0.690330,0.371410,0.840900,2.475890,0.172190,2.063170
2018,1.002570,0.994600,1.300060,0.760260,0.400410,0.871740,2.535530,0.189610,2.661310
2019,1.185720,1.029820,1.451550,0.988210,0.338650,0.834000,2.790260,0.228310,2.928260
2020,1.262780,1.047200,1.684220,0.954760,0.360850,0.847680,2.768040,0.247310,2.940390
2021,1.082250,0.913910,1.654780,0.947250,0.344590,0.887030,2.468730,0.195060,2.732240
2022,1.477690,0.900480,1.998290,0.947740,0.366770,0.850180,2.605340,0.257510,2.797010
2023,1.337030,1.108780,1.783250,1.010900,0.382070,0.897520,2.930800,0.261850,3.113280
2024,1.803770,1.120750,1.947870,1.202130,0.451620,1.026980,2.771120,0.328230,3.278090
2025,1.679000,1.019626,1.814928,1.227479,0.415699,0.852376,2.901429,0.303772,3.039703
2026,1.742216,0.955223,1.892826,1.270218,0.471940,0.805547,2.752043,0.280337,3.449575
2027,1.323182,0.842020,1.519425,0.850297,0.301155,0.683090,2.449615,0.224736,2.377727
2028,1.344027,0.866748,1.456988,0.828409,0.247602,0.660176,2.255227,0.225546,2.243650
2029,1.413110,0.875769,1.435084,0.765199,0.215992,0.666055,2.007415,0.331048,2.030363
2030,1.342575,0.885410,1.405076,0.836330,0.181131,0.691846,2.066261,0.431404,2.036111
2031,1.241520,0.774044,1.294632,0.819401,0.173324,0.640920,1.972942,0.407349,1.980588
2032,1.442365,0.852192,1.379459,1.050292,0.185051,0.715507,2.122517,0.537819,2.535162
2033,1.349913,0.810948,1.283438,0.954536,0.176080,0.689854,2.018384,0.477644,2.231772
2034,1.283549,0.771330,1.189227,0.854735,0.169384,0.619171,2.015351,0.386284,1.920939
2035,1.158178,0.684919,1.089855,0.767628,0.163692,0.561833,1.971972,0.335705,1.662948
2036,1.103241,0.639220,1.049285,0.732576,0.166770,0.554200,1.942473,0.324191,1.487373
2037,1.041893,0.596215,0.986870,0.715167,0.163613,0.546481,1.963684,0.304279,1.492653
2038,1.044960,0.579216,0.987886,0.692604,0.162177,0.501309,1.929736,0.294146,1.495804
2039,1.119514,0.690582,0.956840,0.623204,0.150060,0.452780,1.804188,0.166236,1.528119
2040,1.108948,0.679190,0.924067,0.617334,0.138701,0.453095,1.700179,0.164876,1.573129
2041,1.098532,0.661338,0.937378,0.660225,0.140308,0.455047,1.557672,0.188367,1.585708
2042,1.102409,0.680625,0.925667,0.684994,0.133711,0.457538,1.583407,0.190433,1.585218
2043,1.119741,0.662954,0.927282,0.689120,0.144300,0.455408,1.605054,0.192070,1.615774
2044,1.161269,0.661131,0.936408,0.710736,0.113996,0.435302,1.614498,0.164290,1.621199
2045,1.182112,0.638799,0.906334,0.737419,0.100468,0.431589,1.620273,0.163450,1.599687
2046,1.189454,0.626578,0.902110,0.734336,0.099194,0.424507,1.638262,0.165687,1.557580
2047,1.153745,0.619159,0.882888,0.747760,0.101461,0.418307,1.653636,0.198688,1.545822
2048,1.161926,0.633662,0.888655,0.760913,0.101902,0.419132,1.664755,0.199668,1.551339
2049,1.205107,0.625737,0.885032,0.772766,0.101241,0.426429,1.642012,0.197028,1.551197
2050,1.204226,0.609529,0.876168,0.757297,0.104621,0.453179,1.605915,0.196322,1.520899
