year,East_North_Central,East_South_Central,Mid_Atlantic,Mountain,New_England,Pacific,South_Atlantic,West_North_Central,West_South_Central
2010,0.326000,0.567000,0.890000,0.641000,0.420000,0.989000,1.544000,0.124000,2.049000
2011,0.395000,0.639000,0.965000,0.567000,0.456000,0.766000,1.671000,0.117000,2.188000
2012,0.656000,0.797000,1.154000,0.663000,0.448000,1.045000,2.043000,0.171000,2.337000
2013,0.475000,0.629000,1.066000,0.651000,0.372000,1.069000,1.883000,0.140000,2.075000
2014,0.482860,0.671910,1.131480,0.648910,0.341750,1.073730,1.896250,0.108070,2.025670
2015,0.713310,0.875420,1.236450,0.750920,0.397610,1.084430,2.330100,0.147160,2.434110
2016,0.912140,0.961900,1.344500,0.765760,0.393180,0.917910,2.469830,0.191920,2.351840
2017,0.810260,0.910900,1.196160,0.690330,0.371410,0.840900,2.475890,0.172190,2.063170
2018,1.002570,0.994600,1.300060,0.760260,0.400410,0.871740,2.535530,0.189610,2.661310
2019,1.185720,1.029820,1.451550,0.988210,0.338650,0.834000,2.790260,0.228310,2.928260
2020,1.262780,1.047200,1.684220,0.954760,0.360850,0.847680,2.768040,0.247310,2.940390
2021,1.082250,0.913910,1.654780,0.947250,0.344590,0.887030,2.468730,0.195060,2.732240
2022,1.477690,0.900480,1.998290,0.947740,0.366770,0.850180,2.605340,0.257510,2.797010
2023,1.337030,1.108780,1.783250,1.010900,0.382070,0.897520,2.930800,0.261850,3.113280
2024,1.803770,1.120750,1.947870,1.202130,0.451620,1.026980,2.771120,0.328230,3.278090
2025,1.659616,1.025486,1.821352,1.210192,0.415962,0.858895,2.873841,0.322851,3.065815
2026,1.769046,1.019964,1.820325,1.318901,0.467906,0.827082,2.829953,0.325733,3.381424
2027,1.615740,1.040631,1.586809,1.008156,0.307878,0.721722,2.767963,0.288666,2.772255
2028,1.720648,1.040693,1.570074,1.004709,0.270876,0.718189,2.549712,0.280728,2.720559
2029,1.780526,1.122983,1.509975,0.958634,0.232678,0.730647,2.602069,0.383555,2.567170
2030,1.807315,1.189790,1.591015,1.031264,0.147137,0.754155,2.698203,0.505788,2.461878
2031,1.818539,1.153110,1.518058,1.071877,0.154523,0.762239,2.725821,0.493469,2.466089
2032,2.332649,1.160405,1.652519,1.221084,0.171140,0.763647,2.878121,0.528790,2.773816
2033,2.258104,1.146366,1.611316,1.138652,0.168154,0.792403,2.670293,0.461596,2.491760
2034,2.295054,1.154389,1.598844,1.174780,0.166387,0.665455,2.691954,0.445965,2.390950
2035,2.349791,1.135390,1.631779,1.105567,0.168846,0.661612,2.756552,0.443320,2.422616
2036,2.441845,1.145885,1.690080,1.142129,0.173900,0.721888,2.860936,0.439980,2.462188
2037,2.535429,1.166464,1.736329,1.215184,0.166064,0.787384,2.993963,0.450350,2.506264
2038,2.590947,1.187185,1.741541,1.190728,0.174862,0.821557,3.036464,0.443396,2.486950
2039,2.819755,1.099472,1.766711,1.167671,0.169670,0.774401,3.144396,0.395888,2.539166
2040,2.885969,1.133317,1.790556,1.193164,0.158342,0.810810,3.157984,0.382803,2.436097
2041,2.898490,1.191263,1.802938,1.245131,0.156059,0.859055,3.244412,0.387704,2.465115
2042,2.975342,1.212832,1.800179,1.319474,0.153217,0.890109,3.393687,0.404266,2.542635
2043,3.075706,1.240058,1.824126,1.378363,0.158617,0.920913,3.481175,0.433313,2.602159
2044,3.161263,1.270154,1.890954,1.460349,0.139163,0.921405,3.601084,0.459030,2.685139
2045,3.189294,1.316607,1.939437,1.509268,0.133956,0.945207,3.706220,0.460997,2.718325
2046,3.211974,1.377722,2.003619,1.583674,0.137652,0.936823,3.787705,0.467564,2.809215
2047,3.237010,1.423071,2.027699,1.606334,0.142889,0.956864,3.860097,0.481618,2.881419
2048,3.263034,1.497705,2.050089,1.674062,0.144934,0.953635,3.923238,0.486595,2.922786
2049,3.307015,1.526371,2.080405,1.742009,0.139210,0.953994,3.986758,0.484645,2.981777
2050,3.297439,1.500245,2.142084,1.698395,0.225399,1.008947,4.038809,0.499338,2.993482
