year,East_North_Central,East_South_Central,Mid_Atlantic,Mountain,New_England,Pacific,South_Atlantic,West_North_Central,West_South_Central
2010,3.358270,1.354120,2.642740,4.756300,0.858180,2.707130,2.864660,1.549810,5.379280
2011,3.525400,1.416260,2.719850,4.793510,0.915350,2.548560,2.934920,1.555520,5.529350
2012,3.547680,1.540450,2.770950,4.903690,0.879080,2.803610,3.280120,1.491080,5.730930
2013,3.818100,1.455900,2.891800,4.972180,0.859500,2.896840,3.261050,1.645920,5.577360
2014,4.045160,1.544660,3.120450,5.000560,0.857730,2.784840,3.326570,1.680470,5.646740
2015,3.886720,1.696390,3.099140,5.255470,0.905920,2.763970,3.663950,1.574980,5.951670
2016,3.920960,1.746690,3.156140,1.581650,0.856640,2.775400,3.735140,1.638640,5.803450
2017,3.997110,1.767730,3.113560,1.576460,0.879540,2.827700,3.888780,1.729600,5.922210
2018,4.395240,1.912480,3.316360,1.676030,0.930980,2.952350,4.067650,1.846240,6.697610
2019,4.665440,1.962090,3.507680,1.985240,0.884970,2.949310,4.325760,1.972420,7.134520
2020,4.578500,1.967890,3.615310,1.900720,0.849800,2.847720,4.221530,1.915620,7.066120
2021,4.418460,1.844550,3.665610,1.921410,0.878470,2.947450,3.971680,1.893200,6.865970
2022,4.940080,1.892740,4.044720,1.914710,0.923150,2.857150,4.159860,1.998680,7.156390
2023,4.648730,1.861390,3.709180,1.734920,0.914370,2.869450,4.158050,1.877740,6.910270
2024,4.966578,2.097415,3.906965,2.155910,0.957036,2.973608,4.376607,2.048244,7.426676
2025,5.179120,2.111273,3.654048,2.100823,0.937966,2.843258,4.469378,2.077749,7.503117
2026,5.488719,2.230853,3.759808,2.131084,0.860033,2.739021,4.646142,2.125013,7.636079
2027,5.671466,2.335734,3.774266,2.100113,0.818995,2.732933,4.738679,2.190878,7.659956
2028,5.789507,2.291502,3.716908,2.087887,0.795159,2.772114,4.717777,2.173376,7.557886
2029,5.954311,2.306812,3.712479,2.086488,0.790301,2.829799,4.672873,2.195643,7.466064
2030,6.039167,2.233391,3.873317,2.194306,0.744455,2.921344,4.578413,2.226819,7.538048
2031,6.186546,2.170599,3.884992,2.241075,0.722228,2.999857,4.417633,2.296895,7.592106
2032,6.693543,2.200978,3.944881,2.365347,0.741138,3.048926,4.601673,2.414316,7.769639
2033,6.668369,2.200232,3.943127,2.325531,0.733747,3.145908,4.486273,2.318362,7.632854
2034,6.625295,2.237109,3.933705,2.308635,0.735347,3.176948,4.505866,2.316933,7.758178
2035,6.627602,2.198426,3.800751,2.271489,0.739885,3.205086,4.430108,2.316072,7.729087
2036,6.545062,2.156050,3.739552,2.397209,0.747582,3.013469,4.338734,2.257230,7.367331
2037,6.556759,2.167767,3.743082,2.404191,0.757997,3.038831,4.274085,2.263292,6.954051
2038,6.133348,2.189104,3.694221,2.272732,0.749867,3.078229,4.256666,2.231797,6.922351
2039,6.001094,2.141802,3.544951,2.137090,0.738831,3.124984,4.208876,2.216016,6.825901
2040,5.973637,2.126414,3.550549,2.205422,0.745195,3.147804,4.339911,2.230641,6.780476
2041,6.025984,2.154529,3.586475,2.189955,0.750859,3.201372,4.432344,2.242017,6.878246
2042,6.201727,2.144847,3.519784,2.228513,0.762990,3.202829,4.433652,2.267177,6.934600
2043,6.316656,2.215720,3.577761,2.279858,0.771564,3.196146,4.492250,2.304414,7.085598
2044,6.423592,2.223858,3.673051,2.359413,0.751563,3.216992,4.486453,2.318251,7.117551
2045,6.500850,2.262689,3.723683,2.461398,0.716803,3.226556,4.477860,2.359171,7.170787
2046,6.540277,2.342593,3.795890,2.465548,0.718965,3.255445,4.501936,2.392810,7.244801
2047,6.419639,2.399555,3.895167,2.517160,0.724840,3.255843,4.490632,2.406723,7.288305
2048,6.308069,2.390973,3.907527,2.572379,0.726701,3.249705,4.457742,2.422065,7.159330
2049,6.439577,2.408647,3.848761,2.626165,0.725793,3.269576,4.593865,2.387223,7.386389
2050,6.387714,2.433508,3.860977,2.731677,0.713332,3.273041,4.613367,2.353932,7.393847
