year,East_North_Central,East_South_Central,Mid_Atlantic,Mountain,New_England,Pacific,South_Atlantic,West_North_Central,West_South_Central
2010,3.358270,1.354120,2.642740,4.756300,0.858180,2.707130,2.864660,1.549810,5.379280
2011,3.525400,1.416260,2.719850,4.793510,0.915350,2.548560,2.934920,1.555520,5.529350
2012,3.547680,1.540450,2.770950,4.903690,0.879080,2.803610,3.280120,1.491080,5.730930
2013,3.818100,1.455900,2.891800,4.972180,0.859500,2.896840,3.261050,1.645920,5.577360
2014,4.045160,1.544660,3.120450,5.000560,0.857730,2.784840,3.326570,1.680470,5.646740
2015,3.886720,1.696390,3.099140,5.255470,0.905920,2.763970,3.663950,1.574980,5.951670
2016,3.920960,1.746690,3.156140,1.581650,0.856640,2.775400,3.735140,1.638640,5.803450
2017,3.997110,1.767730,3.113560,1.576460,0.879540,2.827700,3.888780,1.729600,5.922210
2018,4.395240,1.912480,3.316360,1.676030,0.930980,2.952350,4.067650,1.846240,6.697610
2019,4.665440,1.962090,3.507680,1.985240,0.884970,2.949310,4.325760,1.972420,7.134520
2020,4.578500,1.967890,3.615310,1.900720,0.849800,2.847720,4.221530,1.915620,7.066120
2021,4.418460,1.844550,3.665610,1.921410,0.878470,2.947450,3.971680,1.893200,6.865970
2022,4.940080,1.892740,4.044720,1.914710,0.923150,2.857150,4.159860,1.998680,7.156390
2023,4.648730,1.861390,3.709180,1.734920,0.914370,2.869450,4.158050,1.877740,6.910270
2024,4.963340,2.097466,3.903117,2.159530,0.962173,2.982530,4.375371,2.048189,7.421416
2025,5.156418,2.089903,3.661196,2.086673,0.935287,2.807245,4.476222,2.129834,7.237640
2026,5.073037,2.052864,3.692177,1.988881,0.848885,2.694449,4.465045,2.030126,6.971332
2027,5.310193,2.121335,3.721632,1.999269,0.807334,2.667008,4.458486,2.096073,7.088854
2028,5.422043,2.120489,3.668039,1.959295,0.788003,2.730486,4.351885,2.115744,7.020803
2029,5.623929,2.085303,3.644482,1.954141,0.767319,2.789246,4.227018,2.153275,6.950130
2030,5.640369,2.000149,3.723123,2.035256,0.715819,2.874931,4.102344,2.207593,6.981818
2031,5.612779,1.956317,3.624680,2.067181,0.736064,2.935515,3.890681,2.187774,6.930852
2032,6.106751,2.020668,3.716164,2.145240,0.752671,2.998962,4.012863,2.346345,7.100438
2033,5.944864,1.933828,3.659340,1.967468,0.746767,2.933176,3.806603,2.309086,6.931971
2034,5.637051,1.848481,3.596563,1.903266,0.733941,2.945720,3.651626,2.168169,6.835082
2035,5.440754,1.810854,3.614042,1.936649,0.737544,2.938173,3.610039,2.135197,6.454259
2036,5.228507,1.762085,3.597095,1.936809,0.742872,2.895602,3.659100,2.114645,6.180867
2037,5.027087,1.709159,3.445315,1.914083,0.736183,2.844030,3.464379,2.105235,6.054377
2038,4.835952,1.657892,3.288879,1.916980,0.742570,2.813577,3.479662,2.094151,6.006368
2039,4.804575,1.614115,3.218215,1.950361,0.732698,2.782817,3.457128,2.066591,5.997215
2040,4.854189,1.621953,3.226690,1.974375,0.741344,2.780822,3.408876,2.076052,6.087286
2041,4.917473,1.639145,3.255468,1.985551,0.742691,2.793409,3.422421,2.094103,6.161439
2042,4.942109,1.644759,3.196219,2.049288,0.754417,2.748004,3.412856,2.077646,6.188160
2043,5.006926,1.624161,3.258941,2.057952,0.758587,2.793068,3.378010,2.081888,6.185266
2044,5.082698,1.641373,3.302742,2.095899,0.734295,2.783741,3.311311,2.062417,6.232446
2045,5.035407,1.651322,3.395932,2.119609,0.692461,2.772924,3.316263,2.105197,6.209975
2046,5.099153,1.651759,3.377838,2.093664,0.707880,2.733654,3.285728,2.118033,6.231880
2047,4.917622,1.640283,3.474578,2.094466,0.709487,2.770767,3.267011,2.137938,6.275684
2048,4.895315,1.657869,3.520399,2.157986,0.713195,2.782060,3.225357,2.163854,6.278858
2049,4.902303,1.695295,3.449674,2.213768,0.725422,2.792679,3.207612,2.172264,6.269968
2050,4.926717,1.705988,3.453480,2.264314,0.716690,2.801707,3.263909,2.197461,6.099909
