year,East_North_Central,East_South_Central,Mid_Atlantic,Mountain,New_England,Pacific,South_Atlantic,West_North_Central,West_South_Central
2010,3.358270,1.354120,2.642740,4.756300,0.858180,2.707130,2.864660,1.549810,5.379280
2011,3.525400,1.416260,2.719850,4.793510,0.915350,2.548560,2.934920,1.555520,5.529350
2012,3.547680,1.540450,2.770950,4.903690,0.879080,2.803610,3.280120,1.491080,5.730930
2013,3.818100,1.455900,2.891800,4.972180,0.859500,2.896840,3.261050,1.645920,5.577360
2014,4.045160,1.544660,3.120450,5.000560,0.857730,2.784840,3.326570,1.680470,5.646740
2015,3.886720,1.696390,3.099140,5.255470,0.905920,2.763970,3.663950,1.574980,5.951670
2016,3.920960,1.746690,3.156140,1.581650,0.856640,2.775400,3.735140,1.638640,5.803450
2017,3.997110,1.767730,3.113560,1.576460,0.879540,2.827700,3.888780,1.729600,5.922210
2018,4.395240,1.912480,3.316360,1.676030,0.930980,2.952350,4.067650,1.846240,6.697610
2019,4.665440,1.962090,3.507680,1.985240,0.884970,2.949310,4.325760,1.972420,7.134520
2020,4.578500,1.967890,3.615310,1.900720,0.849800,2.847720,4.221530,1.915620,7.066120
2021,4.418460,1.844550,3.665610,1.921410,0.878470,2.947450,3.971680,1.893200,6.865970
2022,4.940080,1.892740,4.044720,1.914710,0.923150,2.857150,4.159860,1.998680,7.156390
2023,4.648730,1.861390,3.709180,1.734920,0.914370,2.869450,4.158050,1.877740,6.910270
2024,4.963340,2.097470,3.903120,2.159530,0.962170,2.982530,4.375370,2.048190,7.421420
2025,5.052043,2.012200,3.824324,2.212374,0.943428,2.781979,4.583968,2.075537,7.365664
2026,5.001111,1.904128,3.864871,2.255174,0.987331,2.714072,4.356728,1.936648,7.699248
2027,4.545505,1.754747,3.473172,1.823242,0.814699,2.567224,4.050457,1.869176,6.422260
2028,4.503676,1.757903,3.392891,1.793492,0.759689,2.510289,3.833844,1.834690,6.196378
2029,4.507474,1.746712,3.338682,1.726727,0.720305,2.488916,3.558805,1.909920,5.907505
2030,4.395971,1.746778,3.280586,1.791341,0.679239,2.504655,3.602709,1.993817,5.891112
2031,4.266676,1.634011,3.154895,1.779657,0.667293,2.452621,3.507431,1.966177,5.840665
2032,4.443736,1.713040,3.204367,2.021989,0.675957,2.521406,3.652616,2.092644,6.407189
2033,4.330495,1.673788,3.096838,1.928428,0.664833,2.498123,3.554395,2.035296,6.102612
2034,4.251393,1.641038,2.994922,1.840954,0.656634,2.424235,3.560668,1.947029,5.847789
2035,4.115732,1.558864,2.888081,1.766208,0.649742,2.364536,3.526124,1.896545,5.600486
2036,4.014419,1.505583,2.839342,1.737461,0.651234,2.353991,3.504481,1.870778,5.264624
2037,3.925659,1.468723,2.761872,1.728174,0.645901,2.315224,3.522559,1.845425,5.248013
2038,3.908282,1.453365,2.749322,1.712330,0.642371,2.268514,3.493361,1.830415,5.284578
2039,3.960386,1.566121,2.708414,1.649599,0.628123,2.220009,3.373119,1.696099,5.338129
2040,3.929336,1.555270,2.664435,1.650336,0.614494,2.218868,3.274434,1.689776,5.387284
2041,3.886926,1.530226,2.663845,1.695383,0.612308,2.196539,3.135031,1.700919,5.381207
2042,3.862782,1.547435,2.636851,1.721956,0.601879,2.191618,3.158982,1.693417,5.385444
2043,3.856205,1.530275,2.607196,1.728730,0.608784,2.193652,3.173237,1.686449,5.427279
2044,3.879140,1.526655,2.602728,1.754698,0.576423,2.172728,3.184794,1.654073,5.452078
2045,3.879535,1.504468,2.560731,1.785650,0.559948,2.170413,3.191702,1.648236,5.449376
2046,3.866001,1.493087,2.544347,1.786631,0.555836,2.163434,3.211336,1.646746,5.431397
2047,3.814792,1.486906,2.514506,1.804871,0.555495,2.167439,3.229958,1.677195,5.431805
2048,3.808950,1.502543,2.510631,1.823724,0.553564,2.165981,3.245131,1.676222,5.441922
2049,3.839051,1.495376,2.497353,1.842031,0.550647,2.185901,3.226012,1.672237,5.444039
2050,3.827497,1.481388,2.479117,1.833009,0.551988,2.212266,3.194472,1.670714,5.433867
