year,East_North_Central,East_South_Central,Mid_Atlantic,Mountain,New_England,Pacific,South_Atlantic,West_North_Central,West_South_Central
2010,3.358270,1.354120,2.642740,4.756300,0.858180,2.707130,2.864660,1.549810,5.379280
2011,3.525400,1.416260,2.719850,4.793510,0.915350,2.548560,2.934920,1.555520,5.529350
2012,3.547680,1.540450,2.770950,4.903690,0.879080,2.803610,3.280120,1.491080,5.730930
2013,3.818100,1.455900,2.891800,4.972180,0.859500,2.896840,3.261050,1.645920,5.577360
2014,4.045160,1.544660,3.120450,5.000560,0.857730,2.784840,3.326570,1.680470,5.646740
2015,3.886720,1.696390,3.099140,5.255470,0.905920,2.763970,3.663950,1.574980,5.951670
2016,3.920960,1.746690,3.156140,1.581650,0.856640,2.775400,3.735140,1.638640,5.803450
2017,3.997110,1.767730,3.113560,1.576460,0.879540,2.827700,3.888780,1.729600,5.922210
2018,4.395240,1.912480,3.316360,1.676030,0.930980,2.952350,4.067650,1.846240,6.697610
2019,4.665440,1.962090,3.507680,1.985240,0.884970,2.949310,4.325760,1.972420,7.134520
2020,4.578500,1.967890,3.615310,1.900720,0.849800,2.847720,4.221530,1.915620,7.066120
2021,4.418460,1.844550,3.665610,1.921410,0.878470,2.947450,3.971680,1.893200,6.865970
2022,4.940080,1.892740,4.044720,1.914710,0.923150,2.857150,4.159860,1.998680,7.156390
2023,4.648730,1.861390,3.709180,1.734920,0.914370,2.869450,4.158050,1.877740,6.910270
2024,4.963340,2.097470,3.903120,2.159530,0.962170,2.982530,4.375370,2.048190,7.421420
2025,5.019777,2.016593,3.825981,2.189275,0.942486,2.787714,4.549990,2.086996,7.432802
2026,5.029572,1.982398,3.793366,2.305218,0.984773,2.753546,4.449345,2.060658,7.588451
2027,4.916392,1.985681,3.576899,2.005402,0.826823,2.641933,4.414279,1.982203,6.998650
2028,5.010098,1.979965,3.555542,2.006204,0.793062,2.632389,4.194464,1.969896,6.926657
2029,5.038648,2.053308,3.476859,1.963060,0.750938,2.642720,4.235593,2.060655,6.759314
2030,5.035486,2.113672,3.538993,2.036885,0.661602,2.657496,4.323945,2.174834,6.625940
2031,5.033191,2.074529,3.454977,2.084137,0.663432,2.671026,4.352014,2.159881,6.634375
2032,5.534689,2.083152,3.581752,2.245369,0.677784,2.675305,4.510006,2.194160,6.939042
2033,5.447337,2.075462,3.534634,2.177674,0.675912,2.709949,4.314651,2.134476,6.685588
2034,5.487921,2.110237,3.524130,2.225151,0.673442,2.519226,4.340604,2.136691,6.656223
2035,5.551868,2.085604,3.555830,2.171232,0.677331,2.508650,4.433356,2.140519,6.737303
2036,5.633051,2.102115,3.613431,2.220229,0.683761,2.559445,4.552836,2.145258,6.793973
2037,5.719880,2.127887,3.658090,2.304298,0.671905,2.619508,4.697305,2.160131,6.878952
2038,5.763537,2.153105,3.661387,2.302169,0.678061,2.704062,4.751060,2.154860,6.876564
2039,5.992211,2.072491,3.683881,2.293129,0.670787,2.674567,4.872325,2.114554,6.957989
2040,6.058501,2.112561,3.706461,2.333061,0.657359,2.730716,4.898774,2.103828,6.875210
2041,6.060242,2.176871,3.714217,2.397303,0.653394,2.795197,4.996305,2.111508,6.933425
2042,6.133780,2.203106,3.706437,2.483388,0.649386,2.841049,5.157597,2.133687,7.031544
2043,6.226460,2.238532,3.724521,2.555906,0.653150,2.891721,5.253417,2.169468,7.124736
2044,6.304413,2.279501,3.786657,2.653509,0.632348,2.912265,5.377156,2.205308,7.246978
2045,6.340540,2.333329,3.836870,2.715578,0.626222,2.928550,5.494728,2.220046,7.336374
2046,6.362288,2.394007,3.899887,2.804054,0.629178,2.934182,5.596853,2.234760,7.472200
2047,6.389232,2.448742,3.923208,2.841660,0.633655,2.969567,5.683524,2.259722,7.605679
2048,6.415991,2.530869,3.943225,2.924933,0.634865,2.989456,5.760139,2.275084,7.685361
2049,6.462479,2.566808,3.970002,3.008272,0.628185,2.999893,5.835090,2.284726,7.797091
2050,6.452061,2.547479,4.027762,2.979851,0.712875,3.069551,5.898229,2.307911,7.860336
