*i,month,r,value
hydD,APR,p1,0.822
hydD,APR,p10,0.866
hydD,APR,p100,0.844
hydD,APR,p101,0.747
hydD,APR,p103,0.911
hydD,APR,p104,0.923
hydD,APR,p105,0.813
hydD,APR,p106,0.811
hydD,APR,p107,0.834
hydD,APR,p108,0.767
hydD,APR,p109,0.794
hydD,APR,p110,0.839
hydD,APR,p111,0.819
hydD,APR,p112,0.85
hydD,APR,p113,0.837
hydD,APR,p114,0.832
hydD,APR,p115,0.85
hydD,APR,p116,0.856
hydD,APR,p117,0.864
hydD,APR,p118,0.857
hydD,APR,p119,0.856
hydD,APR,p12,0.847
hydD,APR,p121,0.849
hydD,APR,p122,0.86
hydD,APR,p123,0.856
hydD,APR,p126,0.866
hydD,APR,p127,0.878
hydD,APR,p129,0.912
hydD,APR,p130,0.916
hydD,APR,p131,0.9
hydD,APR,p132,0.88
hydD,APR,p134,0.869
hydD,APR,p14,0.911
hydD,APR,p15,0.852
hydD,APR,p16,0.734
hydD,APR,p17,0.852
hydD,APR,p18,0.748
hydD,APR,p19,0.759
hydD,APR,p2,0.854
hydD,APR,p20,0.742
hydD,APR,p21,0.669
hydD,APR,p24,0.89
hydD,APR,p25,0.855
hydD,APR,p26,0.874
hydD,APR,p27,0.893
hydD,APR,p28,0.821
hydD,APR,p3,0.878
hydD,APR,p31,0.853
hydD,APR,p32,0.761
hydD,APR,p33,0.795
hydD,APR,p34,0.802
hydD,APR,p35,0.783
hydD,APR,p36,0.815
hydD,APR,p38,0.822
hydD,APR,p39,0.887
hydD,APR,p4,0.901
hydD,APR,p40,0.867
hydD,APR,p41,0.882
hydD,APR,p42,0.742
hydD,APR,p43,0.86
hydD,APR,p44,0.844
hydD,APR,p45,0.858
hydD,APR,p46,0.907
hydD,APR,p48,0.669
hydD,APR,p5,0.818
hydD,APR,p50,0.738
hydD,APR,p51,0.754
hydD,APR,p52,0.807
hydD,APR,p53,0.661
hydD,APR,p54,0.866
hydD,APR,p55,0.786
hydD,APR,p56,0.781
hydD,APR,p57,0.721
hydD,APR,p58,0.769
hydD,APR,p59,0.861
hydD,APR,p6,0.814
hydD,APR,p61,0.849
hydD,APR,p63,0.714
hydD,APR,p64,0.712
hydD,APR,p65,0.777
hydD,APR,p66,0.726
hydD,APR,p67,0.679
hydD,APR,p68,0.811
hydD,APR,p69,0.809
hydD,APR,p7,0.875
hydD,APR,p70,0.802
hydD,APR,p71,0.771
hydD,APR,p72,0.866
hydD,APR,p73,0.842
hydD,APR,p74,0.938
hydD,APR,p75,0.916
hydD,APR,p76,0.935
hydD,APR,p77,0.936
hydD,APR,p78,0.932
hydD,APR,p8,0.898
hydD,APR,p80,0.866
hydD,APR,p81,0.865
hydD,APR,p82,0.768
hydD,APR,p83,0.804
hydD,APR,p84,0.852
hydD,APR,p85,0.809
hydD,APR,p86,0.659
hydD,APR,p87,0.734
hydD,APR,p88,0.764
hydD,APR,p89,0.764
hydD,APR,p9,0.853
hydD,APR,p90,0.784
hydD,APR,p91,0.795
hydD,APR,p92,0.822
hydD,APR,p93,0.798
hydD,APR,p94,0.782
hydD,APR,p95,0.781
hydD,APR,p96,0.79
hydD,APR,p97,0.834
hydD,APR,p98,0.774
hydD,APR,p99,0.847
hydD,AUG,p1,0.624
hydD,AUG,p10,0.839
hydD,AUG,p100,0.494
hydD,AUG,p101,0.526
hydD,AUG,p103,0.47
hydD,AUG,p104,0.61
hydD,AUG,p105,0.551
hydD,AUG,p106,0.485
hydD,AUG,p107,0.501
hydD,AUG,p108,0.309
hydD,AUG,p109,0.314
hydD,AUG,p110,0.36
hydD,AUG,p111,0.45
hydD,AUG,p112,0.475
hydD,AUG,p113,0.52
hydD,AUG,p114,0.496
hydD,AUG,p115,0.415
hydD,AUG,p116,0.389
hydD,AUG,p117,0.395
hydD,AUG,p118,0.506
hydD,AUG,p119,0.36
hydD,AUG,p12,0.775
hydD,AUG,p121,0.418
hydD,AUG,p122,0.385
hydD,AUG,p123,0.426
hydD,AUG,p126,0.488
hydD,AUG,p127,0.424
hydD,AUG,p129,0.495
hydD,AUG,p130,0.537
hydD,AUG,p131,0.453
hydD,AUG,p132,0.434
hydD,AUG,p134,0.574
hydD,AUG,p14,0.746
hydD,AUG,p15,0.852
hydD,AUG,p16,0.962
