year,st,MWh
2010,AL,95870526
2010,AR,50134931
2010,AZ,73387900
2010,CA,269847161
2010,CO,53072671
2010,CT,31032694
2010,DE,11616587
2010,FL,236115556
2010,GA,145549045
2010,IA,47728302
2010,ID,23351249
2010,IL,148481666
2010,IN,113991752
2010,KS,40420982
2010,KY,94028808
2010,LA,105572446
2010,MA,57765273
2010,MD,78228045
2010,ME,14961054
2010,MI,105551297
2010,MN,68875841
2010,MO,86341938
2010,MS,51485024
2010,MT,13844785
2010,NC,138792305
2010,ND,13148535
2010,NE,30076644
2010,NH,10959318
2010,NJ,80443747
2010,NM,22548646
2010,NV,33891064
2010,NY,146335074
2010,OH,155280840
2010,OK,58923681
2010,OR,46591983
2010,PA,151817243
2010,RI,7855313
2010,SC,84587069
2010,SD,11356616
2010,TN,105954948
2010,TX,392356186
2010,UT,29290216
2010,VA,115799363
2010,VT,5616947
2010,WA,91427993
2010,WI,71007301
2010,WV,32477484
2010,WY,18113647
2011,AL,94152788
2011,AR,49888310
2011,AZ,75716641
2011,CA,273823947
2011,CO,53666974
2011,CT,30378955
2011,DE,11918552
2011,FL,230577548
2011,GA,140850462
2011,IA,48135950
2011,ID,23887222
2011,IL,146704906
2011,IN,113932291
2011,KS,40762116
2011,KY,89909826
2011,LA,106666857
2011,MA,56229564
2011,MD,76117565
2011,ME,14939326
2011,MI,106992312
2011,MN,69649540
2011,MO,84489346
2011,MS,51092943
2011,MT,13800317
2011,NC,133354902
2011,ND,13918410
2011,NE,30049957
2011,NH,10918390
2011,NJ,78542784
2011,NM,23225734
2011,NV,34070332
2011,NY,145785090
2011,OH,156031497
2011,OK,60714960
2011,OR,47738811
2011,PA,151797636
2011,RI,7756537
2011,SC,82913437
2011,SD,11680181
2011,TN,103188642
2011,TX,409691471
2011,UT,29724173
2011,VA,112080489
2011,VT,5562821
2011,WA,94736711
2011,WI,70838661
2011,WV,31751367
2011,WY,18678043
2012,AL,91470305
2012,AR,48843209
2012,AZ,76000854
2012,CA,272741188
2012,CO,53956135
2012,CT,30320806
2012,DE,12288880
2012,FL,225990074
2012,GA,135977042
2012,IA,48241479
2012,ID,24305233
2012,IL,147194865
2012,IN,113522610
2012,KS,40361994
2012,KY,89322446
2012,LA,105428671
2012,MA,56623638
2012,MD,73913304
2012,ME,15046320
2012,MI,107215060
2012,MN,69022997
2012,MO,82684839
2012,MS,50268873
2012,MT,13880512
2012,NC,130287174
2012,ND,14883358
2012,NE,31270173
2012,NH,10971488
2012,NJ,77205197
2012,NM,23359221
2012,NV,35356399
2012,NY,145008793
2012,OH,153967221
2012,OK,60231328
2012,OR,47382687
2012,PA,148625567
2012,RI,7776406
2012,SC,80090225
2012,SD,11734785
2012,TN,98851835
2012,TX,399523216
2012,UT,30855073
2012,VA,109889806
2012,VT,5529753
2012,WA,93170213
2012,WI,71045695
2012,WV,31315648
2012,WY,18255312
2013,AL,92462789
2013,AR,48712365
2013,AZ,76771693
2013,CA,276816679
2013,CO,53813911
2013,CT,30890788
2013,DE,12178533
2013,FL,227368255
2013,GA,135407767
2013,IA,49170912
2013,ID,24821180
2013,IL,145579744
2013,IN,114070238
2013,KS,39926992
2013,KY,85031127
2013,LA,105447536
2013,MA,56751113
2013,MD,74048793
2013,ME,15309472
2013,MI,105428366
2013,MN,69777034
2013,MO,83741681
2013,MS,50554239
2013,MT,14072152
2013,NC,132199558
2013,ND,16214458
2013,NE,31133767
2013,NH,11175165
2013,NJ,77272599
2013,NM,23297603
2013,NV,35548633
2013,NY,150208789
2013,OH,151558759
2013,OK,61163618
2013,OR,48298203
2013,PA,151344322
2013,RI,7810152
2013,SC,80875545
2013,SD,12210181
2013,TN,99510032
2013,TX,415938430
2013,UT,31723606
2013,VA,112980888
2013,VT,5614175
2013,WA,94149310
2013,WI,71274744
2013,WV,31960658
2013,WY,18374160
2014,AL,95497207
2014,AR,49011086
2014,AZ,77623655
2014,CA,278536704
2014,CO,53845930
2014,CT,30318389
2014,DE,12132172
2014,FL,231573984
2014,GA,140457710
2014,IA,49590996
2014,ID,23821475
2014,IL,145000729
2014,IN,114910422
2014,KS,40625464
2014,KY,79243270
2014,LA,111048547
2014,MA,56202772
2014,MD,74042953
2014,ME,15167583
2014,MI,105681907
2014,MN,69861893
2014,MO,84268235
2014,MS,51174525
2014,MT,14207918
2014,NC,135587063
2014,ND,18410587
2014,NE,30668697
2014,NH,11076139
2014,NJ,76288870
2014,NM,23422027
2014,NV,35317907
2014,NY,149823058
2014,OH,151946912
2014,OK,62831583
2014,OR,48099152
2014,PA,151805969
2014,RI,7682646
2014,SC,83993449
2014,SD,12355230
2014,TN,102744952
2014,TX,424719082
2014,UT,31307733
2014,VA,113697159
2014,VT,5608311
2014,WA,93121170
2014,WI,71635574
2014,WV,33396381
2014,WY,18524836
2015,AL,93400559
2015,AR,47582005
2015,AZ,78957085
2015,CA,278798678
2015,CO,54593596
2015,CT,30513914
2015,DE,12347461
2015,FL,241146546
2015,GA,141238230
2015,IA,49621181
2015,ID,23698497
2015,IL,142693696
2015,IN,112879113
2015,KS,39899291
2015,KY,76440928
2015,LA,112639932
2015,MA,56672597
2015,MD,74309964
2015,ME,14324398
2015,MI,104607656
2015,MN,67752042
2015,MO,81917729
2015,MS,50541169
2015,MT,14316760
2015,NC,136308506
2015,ND,18313068
