tech,r,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
dr_shed_1,AZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.981,0.962,0.943,0.924,0.905,0.887,0.868,0.849,0.83,0.811,0.799,0.787,0.775,0.763,0.751,0.739,0.727,0.715,0.703,0.69
dr_shed_1,CA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,0.959,0.939,0.918,0.898,0.878,0.857,0.837,0.816,0.796,0.784,0.773,0.761,0.75,0.738,0.727,0.715,0.704,0.692,0.681
dr_shed_1,CO,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.978,0.957,0.935,0.914,0.892,0.87,0.849,0.827,0.806,0.784,0.774,0.763,0.753,0.743,0.733,0.722,0.712,0.702,0.691,0.681
dr_shed_1,FL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.992,0.984,0.977,0.969,0.961,0.953,0.945,0.938,0.93,0.922,0.912,0.901,0.891,0.881,0.87,0.86,0.85,0.839,0.829,0.819
dr_shed_1,GA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.991,0.981,0.972,0.962,0.953,0.943,0.934,0.925,0.915,0.906,0.895,0.885,0.875,0.864,0.854,0.844,0.833,0.823,0.812,0.802
dr_shed_1,MN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.979,0.959,0.938,0.917,0.897,0.876,0.855,0.835,0.814,0.793,0.782,0.772,0.761,0.75,0.739,0.728,0.718,0.707,0.696,0.685
dr_shed_1,MT,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.968,0.935,0.903,0.871,0.839,0.806,0.774,0.742,0.709,0.677,0.663,0.65,0.636,0.623,0.609,0.596,0.582,0.569,0.555,0.542
dr_shed_1,NM,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.981,0.963,0.944,0.926,0.907,0.889,0.87,0.851,0.833,0.814,0.804,0.793,0.782,0.772,0.761,0.75,0.74,0.729,0.718,0.707
dr_shed_1,NY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,0.961,0.941,0.922,0.902,0.883,0.863,0.844,0.824,0.805,0.791,0.776,0.762,0.748,0.734,0.72,0.706,0.692,0.678,0.664
dr_shed_1,TX,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.992,0.984,0.975,0.967,0.959,0.951,0.943,0.934,0.926,0.918,0.91,0.902,0.894,0.886,0.878,0.87,0.862,0.854,0.846,0.838
dr_shed_1,WA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.958,0.915,0.873,0.831,0.789,0.746,0.704,0.662,0.62,0.577,0.563,0.549,0.534,0.52,0.505,0.491,0.477,0.462,0.448,0.433
dr_shed_2,AZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.028,1.056,1.084,1.112,1.14,1.168,1.196,1.223,1.251,1.279,1.312,1.345,1.378,1.411,1.444,1.476,1.509,1.542,1.575,1.608
dr_shed_2,CA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.037,1.075,1.112,1.15,1.187,1.225,1.262,1.3,1.337,1.375,1.418,1.461,1.504,1.547,1.59,1.634,1.677,1.72,1.763,1.806
dr_shed_2,CO,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.001,1.001,1.002,1.002,1.003,1.004,1.004,1.005,1.005,1.006,1.015,1.024,1.033,1.041,1.05,1.059,1.068,1.077,1.086,1.094
dr_shed_2,FL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.034,1.067,1.101,1.135,1.168,1.202,1.236,1.269,1.303,1.337,1.372,1.407,1.442,1.477,1.513,1.548,1.583,1.618,1.654,1.689
dr_shed_2,GA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.027,1.055,1.082,1.109,1.137,1.164,1.191,1.219,1.246,1.273,1.304,1.334,1.364,1.394,1.425,1.455,1.485,1.515,1.546,1.576
dr_shed_2,MN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.994,0.988,0.982,0.976,0.97,0.964,0.958,0.952,0.946,0.94,0.94,0.939,0.939,0.938,0.938,0.937,0.937,0.937,0.936,0.936
dr_shed_2,MT,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.007,1.014,1.021,1.028,1.035,1.042,1.049,1.056,1.063,1.07,1.08,1.091,1.101,1.111,1.122,1.132,1.143,1.153,1.163,1.174
dr_shed_2,NM,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.018,1.035,1.053,1.071,1.088,1.106,1.124,1.141,1.159,1.177,1.195,1.213,1.232,1.25,1.268,1.287,1.305,1.324,1.342,1.36
dr_shed_2,NY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.993,0.985,0.978,0.97,0.963,0.955,0.948,0.94,0.933,0.925,0.928,0.931,0.935,0.938,0.941,0.944,0.947,0.95,0.953,0.957
