i,t,capcost,fom,vom,heatrate
ng-fuel-cell,2010,9999,40.7,7.79,5.543
ng-fuel-cell,2011,9999,40.7,7.79,5.543
ng-fuel-cell,2012,9999,40.7,7.79,5.543
ng-fuel-cell,2013,9999,40.7,7.79,5.543
ng-fuel-cell,2014,9999,40.7,7.79,5.543
ng-fuel-cell,2015,9999,40.7,7.79,5.543
ng-fuel-cell,2016,9999,40.7,7.79,5.543
ng-fuel-cell,2017,9999,40.7,7.79,5.543
ng-fuel-cell,2018,9999,40.7,7.79,5.543
ng-fuel-cell,2019,9999,40.7,7.79,5.543
ng-fuel-cell,2020,9999,40.7,7.79,5.543
ng-fuel-cell,2021,9999,40.7,7.79,5.543
ng-fuel-cell,2022,9999,40.7,7.79,5.543
ng-fuel-cell,2023,9999,40.7,7.79,5.543
ng-fuel-cell,2024,9999,40.7,7.79,5.543
ng-fuel-cell,2025,9999,40.7,7.79,5.543
ng-fuel-cell,2026,9999,40.7,7.79,5.543
ng-fuel-cell,2027,9999,40.7,7.79,5.543
ng-fuel-cell,2028,9999,40.7,7.79,5.543
ng-fuel-cell,2029,9999,40.7,7.79,5.543
ng-fuel-cell,2030,9999,40.7,7.79,5.543
ng-fuel-cell,2031,9999,40.7,7.79,5.543
ng-fuel-cell,2032,9999,40.7,7.79,5.543
ng-fuel-cell,2033,9999,40.7,7.79,5.543
ng-fuel-cell,2034,9999,40.7,7.79,5.543
ng-fuel-cell,2035,1444.6,40.7,7.79,5.543
ng-fuel-cell,2036,1430.9,40.3,7.7,5.504
ng-fuel-cell,2037,1417.2,40,7.61,5.465
ng-fuel-cell,2038,1403.5,39.7,7.52,5.425
ng-fuel-cell,2039,1389.8,39.4,7.44,5.386
ng-fuel-cell,2040,1376.1,39,7.35,5.347
ng-fuel-cell,2041,1362.5,38.7,7.26,5.308
ng-fuel-cell,2042,1348.8,38.4,7.17,5.269
ng-fuel-cell,2043,1335.1,38.1,7.08,5.23
ng-fuel-cell,2044,1321.4,37.7,6.99,5.191
ng-fuel-cell,2045,1307.7,37.4,6.9,5.152
ng-fuel-cell,2046,1294,37.1,6.82,5.113
ng-fuel-cell,2047,1280.3,36.7,6.73,5.074
ng-fuel-cell,2048,1266.6,36.4,6.64,5.035
ng-fuel-cell,2049,1252.9,36.1,6.55,4.995
ng-fuel-cell,2050,1239.3,35.8,6.46,4.956
