i,t,capcost,fom,vom,heatrate
ng-fuel-cell,2010,9999,40.7,7.79,5.543
ng-fuel-cell,2011,9999,40.7,7.79,5.543
ng-fuel-cell,2012,9999,40.7,7.79,5.543
ng-fuel-cell,2013,9999,40.7,7.79,5.543
ng-fuel-cell,2014,9999,40.7,7.79,5.543
ng-fuel-cell,2015,9999,40.7,7.79,5.543
ng-fuel-cell,2016,9999,40.7,7.79,5.543
ng-fuel-cell,2017,9999,40.7,7.79,5.543
ng-fuel-cell,2018,9999,40.7,7.79,5.543
ng-fuel-cell,2019,9999,40.7,7.79,5.543
ng-fuel-cell,2020,9999,40.7,7.79,5.543
ng-fuel-cell,2021,9999,40.7,7.79,5.543
ng-fuel-cell,2022,9999,40.7,7.79,5.543
ng-fuel-cell,2023,9999,40.7,7.79,5.543
ng-fuel-cell,2024,9999,40.7,7.79,5.543
ng-fuel-cell,2025,9999,40.7,7.79,5.543
ng-fuel-cell,2026,9999,40.7,7.79,5.543
ng-fuel-cell,2027,9999,40.7,7.79,5.543
ng-fuel-cell,2028,9999,40.7,7.79,5.543
ng-fuel-cell,2029,9999,40.7,7.79,5.543
ng-fuel-cell,2030,9999,40.7,7.79,5.543
ng-fuel-cell,2031,9999,40.7,7.79,5.543
ng-fuel-cell,2032,9999,40.7,7.79,5.543
ng-fuel-cell,2033,9999,40.7,7.79,5.543
ng-fuel-cell,2034,9999,40.7,7.79,5.543
ng-fuel-cell,2035,1444.6,40.7,7.79,5.543
ng-fuel-cell,2036,1443.4,40.6,7.76,5.536
ng-fuel-cell,2037,1442.2,40.6,7.73,5.53
ng-fuel-cell,2038,1441,40.6,7.7,5.524
ng-fuel-cell,2039,1439.8,40.6,7.67,5.517
ng-fuel-cell,2040,1438.6,40.5,7.64,5.511
ng-fuel-cell,2041,1437.4,40.5,7.61,5.505
ng-fuel-cell,2042,1436.2,40.5,7.58,5.498
ng-fuel-cell,2043,1434.9,40.4,7.56,5.492
ng-fuel-cell,2044,1433.7,40.4,7.53,5.486
ng-fuel-cell,2045,1432.5,40.4,7.5,5.479
ng-fuel-cell,2046,1431.3,40.4,7.47,5.473
ng-fuel-cell,2047,1430.1,40.3,7.44,5.467
ng-fuel-cell,2048,1428.9,40.3,7.41,5.461
ng-fuel-cell,2049,1427.7,40.3,7.38,5.454
ng-fuel-cell,2050,1426.5,40.2,7.35,5.448
