i,t,capcost,fom,vom,heatrate
Gas-CC-CCS_mod,2010,2572.02,68.796,5.0004,7.22
Gas-CC-CCS_mod,2011,2572.02,68.796,5.0004,7.22
Gas-CC-CCS_mod,2012,2572.02,68.796,5.0004,7.22
Gas-CC-CCS_mod,2013,2572.02,68.796,5.0004,7.22
Gas-CC-CCS_mod,2014,2572.02,68.796,5.0004,7.22
Gas-CC-CCS_mod,2015,2572.02,68.796,5.0004,7.22
Gas-CC-CCS_mod,2016,2572.02,68.796,5.0004,7.22
Gas-CC-CCS_mod,2017,2572.02,68.796,5.0004,7.22
Gas-CC-CCS_mod,2018,2572.02,68.796,5.0004,7.22
Gas-CC-CCS_mod,2019,2572.02,68.796,5.0004,7.22
Gas-CC-CCS_mod,2020,2572.02,68.796,5.0004,7.22
Gas-CC-CCS_mod,2021,2572.02,68.796,5.0004,7.22
Gas-CC-CCS_mod,2022,2656.6,70.7,5.11,7.22
Gas-CC-CCS_mod,2023,2580.6,68.6,4.99,7.162
Gas-CC-CCS_mod,2024,2504.7,66.4,4.87,7.105
Gas-CC-CCS_mod,2025,2428.7,64.3,4.74,7.048
Gas-CC-CCS_mod,2026,2352.8,62.2,4.62,6.99
Gas-CC-CCS_mod,2027,2276.9,60.0,4.49,6.933
Gas-CC-CCS_mod,2028,2200.9,57.9,4.37,6.875
Gas-CC-CCS_mod,2029,2125.0,55.8,4.24,6.818
Gas-CC-CCS_mod,2030,2049.0,53.6,4.12,6.761
Gas-CC-CCS_mod,2031,1973.1,51.5,3.99,6.703
Gas-CC-CCS_mod,2032,1897.1,49.3,3.87,6.646
Gas-CC-CCS_mod,2033,1821.2,47.2,3.75,6.589
Gas-CC-CCS_mod,2034,1745.2,45.1,3.62,6.531
Gas-CC-CCS_mod,2035,1669.3,42.9,3.5,6.474
Gas-CC-CCS_mod,2036,1649.1,42.4,3.47,6.474
Gas-CC-CCS_mod,2037,1628.9,41.9,3.45,6.474
Gas-CC-CCS_mod,2038,1608.7,41.5,3.42,6.474
Gas-CC-CCS_mod,2039,1588.6,41.0,3.39,6.474
Gas-CC-CCS_mod,2040,1568.4,40.5,3.37,6.474
Gas-CC-CCS_mod,2041,1548.2,40.0,3.34,6.474
Gas-CC-CCS_mod,2042,1528.0,39.5,3.32,6.474
Gas-CC-CCS_mod,2043,1507.9,39.0,3.29,6.474
Gas-CC-CCS_mod,2044,1487.7,38.5,3.27,6.474
Gas-CC-CCS_mod,2045,1467.5,38.0,3.24,6.474
Gas-CC-CCS_mod,2046,1447.3,37.5,3.22,6.474
Gas-CC-CCS_mod,2047,1427.1,37.0,3.19,6.474
Gas-CC-CCS_mod,2048,1407.0,36.5,3.16,6.474
Gas-CC-CCS_mod,2049,1386.8,36.0,3.14,6.474
Gas-CC-CCS_mod,2050,1366.6,35.5,3.11,6.474
Gas-CC_H_1x1-CCS_mod,2010,2874.2,75.9,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2011,2874.2,75.9,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2012,2874.2,75.9,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2013,2874.2,75.9,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2014,2874.2,75.9,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2015,2874.2,75.9,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2016,2874.2,75.9,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2017,2874.2,75.9,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2018,2874.2,75.9,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2019,2874.2,75.9,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2020,2874.2,75.9,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2021,2874.2,75.9,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2022,2968.7,78,5.3,6.848
Gas-CC_H_1x1-CCS_mod,2023,2906.8,76.3,5.2,6.822
Gas-CC_H_1x1-CCS_mod,2024,2844.9,74.6,5.1,6.795
Gas-CC_H_1x1-CCS_mod,2025,2783,72.9,5,6.769
Gas-CC_H_1x1-CCS_mod,2026,2721.1,71.3,4.9,6.743
Gas-CC_H_1x1-CCS_mod,2027,2659.2,69.6,4.8,6.716
Gas-CC_H_1x1-CCS_mod,2028,2597.3,67.9,4.7,6.69
Gas-CC_H_1x1-CCS_mod,2029,2535.4,66.2,4.6,6.664
Gas-CC_H_1x1-CCS_mod,2030,2473.5,64.6,4.5,6.637
Gas-CC_H_1x1-CCS_mod,2031,2411.6,62.9,4.4,6.611
Gas-CC_H_1x1-CCS_mod,2032,2349.7,61.2,4.3,6.585
Gas-CC_H_1x1-CCS_mod,2033,2287.8,59.5,4.2,6.558
Gas-CC_H_1x1-CCS_mod,2034,2225.9,57.8,4.1,6.532
Gas-CC_H_1x1-CCS_mod,2035,2164.1,56.2,4,6.506
Gas-CC_H_1x1-CCS_mod,2036,2137.9,55.5,3.96,6.506
Gas-CC_H_1x1-CCS_mod,2037,2111.7,54.9,3.93,6.506
Gas-CC_H_1x1-CCS_mod,2038,2085.5,54.2,3.9,6.506
Gas-CC_H_1x1-CCS_mod,2039,2059.3,53.6,3.86,6.506
Gas-CC_H_1x1-CCS_mod,2040,2033.1,53,3.83,6.506
Gas-CC_H_1x1-CCS_mod,2041,2006.9,52.3,3.8,6.506
Gas-CC_H_1x1-CCS_mod,2042,1980.7,51.7,3.76,6.506
Gas-CC_H_1x1-CCS_mod,2043,1954.6,51,3.73,6.506
Gas-CC_H_1x1-CCS_mod,2044,1928.4,50.4,3.7,6.506
Gas-CC_H_1x1-CCS_mod,2045,1902.2,49.8,3.67,6.506
Gas-CC_H_1x1-CCS_mod,2046,1876,49.1,3.63,6.506
Gas-CC_H_1x1-CCS_mod,2047,1849.8,48.5,3.6,6.506
Gas-CC_H_1x1-CCS_mod,2048,1823.6,47.8,3.57,6.506
Gas-CC_H_1x1-CCS_mod,2049,1797.4,47.2,3.53,6.506
Gas-CC_H_1x1-CCS_mod,2050,1771.2,46.6,3.5,6.506
Gas-CC_H_2x1-CCS_mod,2010,2443.7,64,4.76,7.007
Gas-CC_H_2x1-CCS_mod,2011,2443.7,64,4.76,7.007
Gas-CC_H_2x1-CCS_mod,2012,2443.7,64,4.76,7.007
Gas-CC_H_2x1-CCS_mod,2013,2443.7,64,4.76,7.007
Gas-CC_H_2x1-CCS_mod,2014,2443.7,64,4.76,7.007
Gas-CC_H_2x1-CCS_mod,2015,2443.7,64,4.76,7.007
Gas-CC_H_2x1-CCS_mod,2016,2443.7,64,4.76,7.007
Gas-CC_H_2x1-CCS_mod,2017,2443.7,64,4.76,7.007
Gas-CC_H_2x1-CCS_mod,2018,2443.7,64,4.76,7.007
Gas-CC_H_2x1-CCS_mod,2019,2443.7,64,4.76,7.007
Gas-CC_H_2x1-CCS_mod,2020,2443.7,64,4.76,7.007
Gas-CC_H_2x1-CCS_mod,2021,2443.7,64,4.76,7.007
Gas-CC_H_2x1-CCS_mod,2022,2524.1,65.8,4.86,7.007
Gas-CC_H_2x1-CCS_mod,2023,2458.4,64.1,4.76,6.966
Gas-CC_H_2x1-CCS_mod,2024,2392.6,62.3,4.65,6.925
Gas-CC_H_2x1-CCS_mod,2025,2326.9,60.6,4.55,6.884
Gas-CC_H_2x1-CCS_mod,2026,2261.1,58.8,4.44,6.843
Gas-CC_H_2x1-CCS_mod,2027,2195.3,57,4.34,6.802
Gas-CC_H_2x1-CCS_mod,2028,2129.6,55.3,4.23,6.761
Gas-CC_H_2x1-CCS_mod,2029,2063.8,53.5,4.13,6.72
Gas-CC_H_2x1-CCS_mod,2030,1998.1,51.7,4.02,6.679
Gas-CC_H_2x1-CCS_mod,2031,1932.3,50,3.92,6.638
Gas-CC_H_2x1-CCS_mod,2032,1866.5,48.2,3.81,6.597
Gas-CC_H_2x1-CCS_mod,2033,1800.8,46.5,3.71,6.556
Gas-CC_H_2x1-CCS_mod,2034,1735,44.7,3.6,6.515
Gas-CC_H_2x1-CCS_mod,2035,1669.3,42.9,3.5,6.474
Gas-CC_H_2x1-CCS_mod,2036,1649.1,42.4,3.47,6.474
Gas-CC_H_2x1-CCS_mod,2037,1628.9,41.9,3.45,6.474
Gas-CC_H_2x1-CCS_mod,2038,1608.7,41.5,3.42,6.474
Gas-CC_H_2x1-CCS_mod,2039,1588.6,41,3.39,6.474
Gas-CC_H_2x1-CCS_mod,2040,1568.4,40.5,3.37,6.474
Gas-CC_H_2x1-CCS_mod,2041,1548.2,40,3.34,6.474
Gas-CC_H_2x1-CCS_mod,2042,1528,39.5,3.32,6.474
Gas-CC_H_2x1-CCS_mod,2043,1507.9,39,3.29,6.474
