month,day,2season,4season,12month
1,1,cold,cold,cold
1,2,cold,cold,cold
1,3,cold,cold,cold
1,4,cold,cold,cold
1,5,cold,cold,cold
1,6,cold,cold,cold
1,7,cold,cold,cold
1,8,cold,cold,cold
1,9,cold,cold,cold
1,10,cold,cold,cold
1,11,cold,cold,cold
1,12,cold,cold,cold
1,13,cold,cold,cold
1,14,cold,cold,cold
1,15,cold,cold,cold
1,16,cold,cold,cold
1,17,cold,cold,cold
1,18,cold,cold,cold
1,19,cold,cold,cold
1,20,cold,cold,cold
1,21,cold,cold,cold
1,22,cold,cold,cold
1,23,cold,cold,cold
1,24,cold,cold,cold
1,25,cold,cold,cold
1,26,cold,cold,cold
1,27,cold,cold,cold
1,28,cold,cold,cold
1,29,cold,cold,cold
1,30,cold,cold,cold
1,31,cold,cold,cold
2,1,cold,cold,feb
2,2,cold,cold,feb
2,3,cold,cold,feb
2,4,cold,cold,feb
2,5,cold,cold,feb
2,6,cold,cold,feb
2,7,cold,cold,feb
2,8,cold,cold,feb
2,9,cold,cold,feb
2,10,cold,cold,feb
2,11,cold,cold,feb
2,12,cold,cold,feb
2,13,cold,cold,feb
2,14,cold,cold,feb
2,15,cold,cold,feb
2,16,cold,cold,feb
2,17,cold,cold,feb
2,18,cold,cold,feb
2,19,cold,cold,feb
2,20,cold,cold,feb
2,21,cold,cold,feb
2,22,cold,cold,feb
2,23,cold,cold,feb
2,24,cold,cold,feb
2,25,cold,cold,feb
2,26,cold,cold,feb
2,27,cold,cold,feb
2,28,cold,cold,feb
2,29,cold,cold,feb
3,1,cold,spring,mar
3,2,cold,spring,mar
3,3,cold,spring,mar
3,4,cold,spring,mar
3,5,cold,spring,mar
3,6,cold,spring,mar
3,7,cold,spring,mar
3,8,cold,spring,mar
3,9,cold,spring,mar
3,10,cold,spring,mar
3,11,cold,spring,mar
3,12,cold,spring,mar
3,13,cold,spring,mar
3,14,cold,spring,mar
3,15,cold,spring,mar
3,16,cold,spring,mar
3,17,cold,spring,mar
3,18,cold,spring,mar
3,19,cold,spring,mar
3,20,cold,spring,mar
3,21,cold,spring,mar
3,22,cold,spring,mar
3,23,cold,spring,mar
3,24,cold,spring,mar
3,25,cold,spring,mar
3,26,cold,spring,mar
3,27,cold,spring,mar
3,28,cold,spring,mar
3,29,cold,spring,mar
3,30,cold,spring,mar
3,31,cold,spring,mar
4,1,cold,spring,apr
4,2,cold,spring,apr
4,3,cold,spring,apr
4,4,cold,spring,apr
4,5,cold,spring,apr
4,6,cold,spring,apr
4,7,cold,spring,apr
4,8,cold,spring,apr
4,9,cold,spring,apr
4,10,cold,spring,apr
4,11,cold,spring,apr
4,12,cold,spring,apr
4,13,cold,spring,apr
4,14,cold,spring,apr
4,15,hot,spring,apr
4,16,hot,spring,apr
4,17,hot,spring,apr
4,18,hot,spring,apr
4,19,hot,spring,apr
4,20,hot,spring,apr
4,21,hot,spring,apr
4,22,hot,spring,apr
4,23,hot,spring,apr
4,24,hot,spring,apr
4,25,hot,spring,apr
4,26,hot,spring,apr
4,27,hot,spring,apr
4,28,hot,spring,apr
4,29,hot,spring,apr
4,30,hot,spring,apr
5,1,hot,spring,may
5,2,hot,spring,may
5,3,hot,spring,may
5,4,hot,spring,may
5,5,hot,spring,may
5,6,hot,spring,may
5,7,hot,spring,may
5,8,hot,spring,may
5,9,hot,spring,may
5,10,hot,spring,may
5,11,hot,spring,may
5,12,hot,spring,may
5,13,hot,spring,may
5,14,hot,spring,may
5,15,hot,spring,may
5,16,hot,spring,may
5,17,hot,spring,may
5,18,hot,spring,may
5,19,hot,spring,may
5,20,hot,spring,may
5,21,hot,spring,may
5,22,hot,spring,may
5,23,hot,spring,may
