*i,st,t
CoalOldScr,IL,2045
CoalOldScr,NY,2040
CoalOldScr,VA,2024
CoalOldUns,IL,2045
CoalOldUns,NY,2040
CoalOldUns,VA,2024
biopower,VA,2028
coal-CCS_mod,IL,2045
coal-CCS_mod,NY,2040
coal-CCS_mod,VA,2024
coal-IGCC,IL,2045
coal-IGCC,NY,2040
coal-IGCC,VA,2024
coal-new,IL,2045
coal-new,NY,2040
coal-new,VA,2024
gas-CC,IL,2045
gas-CC,NY,2040
gas-CC,VA,2045
gas-CC_h_1x1,IL,2045
gas-CC_h_1x1,NY,2040
gas-CC_h_1x1,VA,2045
gas-CC_h_2x1,IL,2045
gas-CC_h_2x1,NY,2040
gas-CC_h_2x1,VA,2045
gas-CT,IL,2045
gas-CT,NY,2040
gas-CT,VA,2045
gas-CT_aero,IL,2045
gas-CT_aero,NY,2040
gas-CT_aero,VA,2045
ng-fuel-cell,IL,2045
ng-fuel-cell,NY,2040
ng-fuel-cell,VA,2045
o-g-s,IL,2045
o-g-s,NY,2040
o-g-s,VA,2045
