st,RPS_All,CES
AL,0,0
AR,0,0
AZ,0,0
CA,0.097959,0.984461
CO,0.234909,0.953289
CT,1,1
DE,0,0
FL,0,0
GA,0,0
HI,0,0
IA,0,0
ID,0,0
IL,1,1
IN,0,0
KS,0,0
KY,0,0
LA,0,0
MA,1,1
MD,0.498710,0.498710
ME,0.127467,0.127467
MI,0.748946,1
MN,1,1
MO,0.580249,0.580249
MT,0.008558,0.008558
NC,0.176255,0.176255
ND,0,0
NE,0,0
NH,0.167435,0.167435
NJ,0,0
NM,0,0
NV,1,1
NY,1,1
OH,0,0
OK,0,0
OR,0.052975,0.052975
PA,0.210023,0.210023
RI,1,1
SC,0,0
SD,0,0
TN,0,0
TX,0,0
UT,0,0
VA,0.813418,0.813418
VT,0.865721,0.865721
WA,0.013332,0.013332
WI,0.004606,0.004606
WV,0,0
WY,0,0
