sc_point_gid,class,capacity,capital_adder_per_mw,cf
37804,1,195.64,145133.72,0.1966
37805,1,125.12,25944.68,0.1922
37806,1,123.8,28001.3,0.1885
37807,1,69.98,83097.23,0.1813
38488,1,265.85,127477.05,0.1995
38489,1,134.66,66847.38,0.1937
38490,1,144.83,72527.7,0.1865
38491,1,177.13,111094.58,0.1814
38492,1,15.92,383906.15,0.1796
39158,1,137.16,70830.57,0.1812
39173,1,76.89,593421.78,0.1928
39174,1,104.41,96737.34,0.1843
39175,1,67.83,166461.8,0.1808
39842,1,337.77,61476.36,0.1797
39843,1,71.65,99571.34,0.1846
39857,1,65.07,277073.14,0.1891
39858,1,87.36,80478.1,0.1821
39859,1,60.79,140869.8,0.1819
40525,1,44.62,185859.05,0.1836
40526,1,633.79,69023.75,0.1793
40527,1,198.27,51055.82,0.1789
40528,1,157.79,86789.57,0.1911
40539,1,5.5,958708.34,0.2017
40540,1,113.49,33489.75,0.1928
40541,1,233.0,110444.43,0.1846
40542,1,41.46,308310.0,0.1808
40543,1,40.0,165591.72,0.1795
40545,1,19.56,305275.25,0.1755
41209,1,282.35,96470.48,0.1839
41210,1,684.5,109847.85,0.1786
41211,1,470.34,134356.25,0.1785
41212,1,228.7,130045.76,0.1838
41213,1,103.88,138940.68,0.1928
41214,1,108.49,256903.63,0.1952
41224,1,182.89,66222.74,0.1925
41225,1,92.26,65181.12,0.1849
41226,1,74.91,126982.43,0.1796
41227,1,209.2,102755.24,0.1792
41228,1,134.48,143996.35,0.1803
41229,1,61.67,150810.83,0.1799
41242,1,5.09,498886.19,0.2303
41243,1,29.7,161405.1,0.2267
41244,1,12.56,334364.49,0.2225
41245,1,43.77,109222.6,0.2304
41246,1,12.46,304925.76,0.226
41893,1,347.29,154672.87,0.1837
41894,1,681.95,136234.5,0.1803
41895,1,104.65,149938.15,0.1796
41896,1,14.56,393277.03,0.1868
41898,1,10.77,623568.86,0.2018
41899,1,16.73,504572.45,0.1993
41900,1,95.58,425809.27,0.2019
41908,1,73.36,41604.41,0.1891
41909,1,140.26,151388.14,0.1836
41910,1,158.62,67340.53,0.1777
41911,1,60.42,170248.28,0.1752
41912,1,9.85,401445.57,0.183
41913,1,93.86,80275.03,0.1809
41914,1,84.99,137062.16,0.1823
41915,1,8.92,517272.65,0.181
41925,1,29.27,197425.36,0.2305
41926,1,12.24,354560.17,0.2255
41927,1,80.41,25987.76,0.2291
41928,1,38.08,140018.0,0.2283
41929,1,72.11,21173.64,0.2309
41930,1,168.44,-10080.15,0.2221
41931,1,7.53,400951.25,0.2207
41932,1,13.6,280431.09,0.2124
41933,1,8.92,373337.41,0.2145
41934,1,5.03,473326.63,0.209
42578,1,205.61,70705.99,0.185
42579,1,558.49,103575.02,0.1822
42585,1,52.35,475113.0,0.1917
42586,1,222.26,289251.26,0.1927
42587,1,101.99,487687.7,0.1956
42592,1,80.95,75980.53,0.1866
42593,1,248.64,172422.53,0.1814
42594,1,163.62,86929.34,0.1772
42595,1,200.28,100337.08,0.1753
42597,1,89.52,134702.76,0.1813
42598,1,20.16,337021.67,0.1842
42609,1,8.57,409567.42,0.2338
42610,1,13.9,307028.35,0.2348
42611,1,558.06,23788.52,0.2316
42612,1,123.35,-11014.7,0.2337
42613,1,135.6,-16035.36,0.2318
42614,1,48.54,84531.05,0.2249
42615,1,28.14,164250.75,0.2184
42616,1,11.85,305475.98,0.2136
42617,1,56.78,61481.25,0.2155
42618,1,19.98,230745.09,0.2142
42620,1,26.05,165515.11,0.206
43262,1,490.72,59175.97,0.1875
43263,1,571.88,92337.16,0.1842
43264,1,365.72,109572.03,0.1837
43265,1,20.06,343871.14,0.1844
43270,1,14.02,534520.38,0.1901
43271,1,27.1,593749.7,0.1909
43272,1,99.79,188784.35,0.1905
43274,1,43.05,322413.61,0.1923
43276,1,259.34,444845.16,0.187
43277,1,220.2,318112.15,0.181
43278,1,157.96,155405.1,0.1769
43279,1,73.5,110020.43,0.1772
43280,1,174.76,198609.84,0.178
43281,1,129.43,127678.06,0.1829
43282,1,25.9,274685.52,0.185
43290,1,25.24,507218.0,0.2351
43293,1,14.32,321716.81,0.2339
43294,1,53.73,74302.54,0.2349
43295,1,144.55,6609.08,0.2349
43296,1,139.6,-10132.46,0.2378
43297,1,93.16,-9013.08,0.2346
43298,1,124.7,-4662.13,0.2266
43299,1,6.2,449161.27,0.2226
43300,1,36.17,127999.58,0.2204
43301,1,48.1,80422.38,0.2165
43302,1,5.78,460892.66,0.2193
43303,1,8.15,390149.8,0.2085
43304,1,79.69,9680.62,0.2099
43305,1,51.43,64405.61,0.2113
43306,1,129.62,-9961.11,0.2087
43307,1,333.05,9716.27,0.2057
43308,1,22.82,203881.12,0.2064
43309,1,6.16,431938.16,0.2028
43946,1,168.64,47292.59,0.1899
43947,1,224.55,78643.64,0.1886
43948,1,35.98,223452.86,0.1851
43956,1,67.56,171314.75,0.1843
43959,1,102.6,321460.42,0.1905
43961,1,88.97,310986.89,0.1808
43962,1,180.41,194178.86,0.1762
43963,1,160.36,115935.34,0.1754
43965,1,6.23,555771.62,0.1826
43977,1,37.47,144746.92,0.2346
43978,1,159.32,-878.8,0.2375
43979,1,178.81,-1230.06,0.2401
43980,1,160.81,-5448.86,0.2413
43981,1,121.44,1694.84,0.2308
