sc_point_gid,class,capacity,capital_adder_per_mw,cf
37804,1,3937.74,446158.35,0.1967
37805,1,3763.54,576722.72,0.1921
37806,1,2318.0,250529.19,0.188
37807,1,880.78,163876.87,0.1833
38488,1,4060.95,714294.69,0.1992
38489,1,4977.15,578389.15,0.1938
38490,1,4532.79,368361.14,0.1861
38491,1,4502.84,98998.52,0.1822
38492,1,907.51,39301.44,0.1809
38493,1,1281.11,6952.14,0.1852
39158,1,3733.31,37739.86,0.1827
39173,1,4382.74,1867010.47,0.1926
39174,1,5243.85,125009.98,0.1852
39175,1,2331.85,83635.26,0.1807
39176,1,1735.28,21143.52,0.1847
39182,1,32.74,183492.43,0.1954
39842,1,5382.58,20870.94,0.1794
39843,1,5263.58,18973.27,0.184
39857,1,5037.5,211891.73,0.1888
39858,1,4280.49,72497.37,0.1827
39859,1,2033.34,27789.51,0.1824
39860,1,166.84,-1228.59,0.1813
40525,1,445.36,40483.64,0.1827
40526,1,4902.03,32151.75,0.1793
40527,1,5524.78,19829.76,0.1801
40528,1,5599.3,24452.18,0.1883
40539,1,1069.95,1876519.11,0.2016
40540,1,1983.58,267484.54,0.1921
40541,1,4836.61,280549.12,0.1846
40542,1,1534.99,247526.61,0.1818
40543,1,2078.12,5016.75,0.1802
40544,1,1569.8,119.15,0.1795
40545,1,1729.34,47316.62,0.1749
40546,1,172.23,61035.17,0.174
40549,1,5.57,520644.61,0.2006
40550,1,7.66,453137.87,0.2006
41209,1,3089.79,45248.81,0.1837
41210,1,5332.09,56635.33,0.1787
41211,1,5398.33,66624.88,0.1792
41212,1,5535.85,64597.03,0.1854
41213,1,5473.44,73296.98,0.1921
41214,1,2829.27,117032.68,0.1958
41224,1,4323.47,362666.79,0.1922
41225,1,4408.34,1387173.47,0.1852
41226,1,2202.81,378194.06,0.18
41227,1,2300.6,161746.62,0.1796
41228,1,2691.97,130155.79,0.1805
41229,1,1272.06,66448.09,0.1802
41230,1,726.55,-8560.75,0.1848
41231,1,42.19,143027.94,0.1816
41236,1,363.48,67635.05,0.2175
41238,1,66.87,64124.09,0.2328
41239,1,6.27,477042.88,0.2331
41240,1,755.76,16073.41,0.2305
41241,1,2523.44,778.81,0.23
41242,1,1857.06,-10738.04,0.2296
41243,1,1808.92,-16083.37,0.2271
41244,1,2013.14,103903.07,0.2242
41245,1,1758.84,-6615.34,0.23
41246,1,597.94,-13762.02,0.2267
41893,1,2008.03,102211.57,0.1839
41894,1,5412.68,84817.92,0.181
41895,1,5169.24,79275.54,0.1808
41896,1,5113.48,48985.26,0.1869
41897,1,5270.86,67042.89,0.1938
41898,1,642.4,115361.7,0.2005
41899,1,1721.16,196937.68,0.2
41900,1,3801.19,304135.74,0.201
41906,1,2411.03,1171144.98,0.2012
41907,1,1489.46,619049.26,0.1953
41908,1,2454.6,202188.36,0.1888
41909,1,4855.02,273445.58,0.184
41910,1,4473.7,16232.89,0.1803
41911,1,3647.84,3867.32,0.1812
41912,1,1069.72,-3363.22,0.1846
41913,1,1678.57,52157.67,0.182
41914,1,698.42,62414.26,0.1836
41915,1,50.06,257290.66,0.181
41919,1,122.61,7595.62,0.2146
41920,1,299.86,58666.65,0.218
41921,2,568.4,89708.77,0.2365
41922,2,954.08,59443.42,0.2359
41923,2,355.29,34211.93,0.2383
41924,2,2633.17,14128.74,0.2364
41925,1,4839.78,-6756.25,0.2313
41926,1,1816.22,-6429.35,0.2288
41927,1,3165.26,17.34,0.2294
41928,1,3346.36,14977.64,0.2296
41929,1,5580.24,-13473.22,0.2322
41930,1,4807.08,-15110.69,0.2233
41931,1,4647.04,-23541.88,0.2189
41932,1,3194.84,-24209.21,0.2135
41933,1,1805.73,-26398.98,0.22
41934,1,463.51,-20010.36,0.2092
42578,1,5031.31,35244.02,0.186
42579,1,4316.11,57263.97,0.1824
42580,1,903.4,43493.15,0.1859
42581,1,516.23,57162.11,0.1938
42584,1,100.56,130666.46,0.2023
42585,1,2519.35,330249.49,0.1937
42586,1,5208.88,454972.07,0.1929
42587,1,3517.55,1096260.85,0.1956
42590,1,1255.56,608134.04,0.1941
42591,1,2111.4,859127.16,0.1914
42592,1,3368.15,621197.12,0.1868
42593,1,5034.92,330909.3,0.1819
42594,1,5131.28,90634.2,0.1774
42595,1,3997.19,47241.26,0.177
42596,1,3225.49,-2358.42,0.1842
42597,1,2911.41,17633.51,0.1831
42598,1,186.3,28325.34,0.184
42603,1,503.68,9707.49,0.2152
42604,1,20.9,262248.67,0.2272
42605,1,431.02,375269.04,0.2301
42606,2,3763.47,85682.12,0.2407
42607,2,2340.38,61017.39,0.2399
42608,2,4572.58,15248.68,0.2399
42609,2,3369.91,-8444.4,0.2335
42610,2,1723.74,-8250.09,0.2343
42611,1,4717.43,-793.99,0.2321
42612,1,5221.53,4270.81,0.2328
42613,2,5229.11,-16849.29,0.2341
42614,1,4773.71,-20409.18,0.2266
42615,1,5146.05,-25397.99,0.2194
42616,1,4746.66,-28847.31,0.2177
42617,1,4620.64,-21468.63,0.2153
42618,1,4371.16,-29616.82,0.2144
42619,1,3335.76,-33278.82,0.213
42620,1,3020.55,-33855.38,0.2083
42621,1,2311.41,-39990.38,0.2097
42622,1,719.22,-38358.71,0.2078
42623,1,57.95,26584.74,0.2054
43262,1,3889.59,34588.89,0.1878
43263,1,5353.43,43118.16,0.1856
43264,1,5003.85,43268.37,0.1852
43265,1,835.5,32128.37,0.1865
43270,1,1771.51,167281.17,0.1901
43271,1,4933.15,182832.06,0.1914
43272,1,3848.05,204971.02,0.1911
43274,1,1509.9,474393.34,0.1914
43276,1,3771.95,717715.68,0.1874
43277,1,4724.78,1082028.42,0.1814
43278,1,5237.87,235741.22,0.1769
43279,1,2223.72,34247.55,0.1778
43280,1,1165.45,146015.05,0.1793
43281,1,2098.49,110127.37,0.1853
43282,1,376.46,13766.95,0.1852
43287,1,5.57,504735.67,0.2235
43288,1,69.31,68210.36,0.2284
43289,2,641.75,63907.88,0.2418
43290,2,3397.18,205936.54,0.2381
43291,2,3252.41,33926.32,0.2464
43292,2,3430.74,5546.32,0.239
43293,2,3524.83,-3519.94,0.2346
43294,2,3800.14,-10417.06,0.2343
43295,2,4769.75,18269.71,0.2359
43296,2,5249.04,-22732.07,0.2382
43297,2,5536.93,-21189.79,0.2368
43298,1,5365.44,-17967.82,0.2274
43299,1,5553.98,-29002.81,0.223
43300,1,5375.12,-20474.24,0.2215
43301,1,5016.21,-19905.15,0.2173
43302,1,5411.62,-32958.53,0.219
43303,1,4615.19,-27923.97,0.2108
43304,1,5414.96,-30534.37,0.2115
43305,1,5353.55,-35290.69,0.2123
43306,1,5011.12,-23813.78,0.2098
43307,1,3616.18,-24980.64,0.2082
43308,1,2150.69,-35974.0,0.2084
43309,1,963.0,-35791.87,0.2042
43310,1,945.66,-38179.76,0.2079
43946,1,3788.64,26557.4,0.1892
43947,1,5188.73,35319.96,0.1887
43948,1,4617.1,27176.76,0.1867
43949,1,1103.06,25223.16,0.1861
43955,1,1581.39,121558.27,0.1897
43956,1,5145.95,105751.11,0.1856
43957,1,3330.58,321315.17,0.188
43959,1,2917.05,533780.13,0.1913
43961,1,4054.64,1709716.72,0.181
43962,1,5231.83,384897.44,0.1758
43963,1,2985.34,44798.49,0.1756
43964,1,199.92,5545.96,0.1732
43965,1,777.92,2361.44,0.1867
43966,1,84.63,1607.37,0.2013
43973,2,3310.69,91432.4,0.2396
43974,2,4053.58,206761.17,0.2385
43975,2,2859.05,35597.94,0.2468
43976,2,4311.21,2057.4,0.2455
43977,2,3368.59,-4690.95,0.234
43978,2,4425.03,-7557.94,0.2378
43979,2,5125.36,-11649.57,0.2405
43980,2,5549.93,-20442.73,0.2427
43981,2,5571.79,-14659.14,0.2342
43982,1,5573.52,-20505.17,0.2299
