sc_point_gid,class,capacity,capital_adder_per_mw,cf
37804,1,1192.98,255214.05,0.197
37805,1,484.14,107638.92,0.1922
37806,1,409.01,61203.03,0.1884
37807,1,158.58,52105.66,0.182
38488,1,1066.59,287542.58,0.1994
38489,1,876.62,188843.2,0.1938
38490,1,773.64,161435.3,0.1863
38491,1,760.31,133795.47,0.1818
38492,1,97.61,92561.47,0.1793
39158,1,609.46,74132.46,0.1818
39173,1,734.82,815980.36,0.1924
39174,1,678.46,169001.44,0.1848
39175,1,367.15,118459.01,0.1807
39176,1,36.46,226556.36,0.1812
39842,1,1329.11,46978.54,0.1793
39843,1,429.04,44170.4,0.1845
39857,1,550.13,266429.02,0.1886
39858,1,443.62,107576.6,0.1822
39859,1,264.59,71897.19,0.1821
40525,1,193.93,69933.16,0.183
40526,1,2231.47,60476.15,0.1793
40527,1,927.61,46913.41,0.1791
40528,1,695.28,70346.38,0.1905
40539,1,98.09,834390.52,0.2014
40540,1,363.79,86907.19,0.1928
40541,1,1319.48,203944.72,0.1842
40542,1,352.72,279280.76,0.1809
40543,1,168.74,26971.43,0.1797
40544,1,16.5,289008.42,0.183
40545,1,62.32,117109.84,0.1755
41209,1,1032.1,83914.25,0.1839
41210,1,2239.86,96926.16,0.1786
41211,1,1413.78,117320.34,0.1786
41212,1,768.61,122755.23,0.1841
41213,1,497.41,127650.94,0.1927
41214,1,539.31,218068.95,0.1953
41224,1,683.57,124874.81,0.1924
41225,1,590.63,388348.69,0.1849
41226,1,509.49,184664.0,0.1796
41227,1,710.31,118967.32,0.1794
41228,1,566.56,154729.73,0.1801
41229,1,238.28,84705.36,0.1801
41241,1,19.84,251871.18,0.2287
41242,1,87.21,14047.51,0.23
41243,1,269.33,-9853.13,0.2269
41244,1,181.43,59521.33,0.2238
41245,1,390.0,2968.6,0.2303
41246,1,119.99,-14749.15,0.2263
41893,1,960.87,127599.89,0.1839
41894,1,2014.05,114139.9,0.1807
41895,1,431.15,127951.18,0.1799
41896,1,77.68,108701.86,0.1869
41897,1,27.5,319227.59,0.1922
41898,1,31.39,387608.31,0.2016
41899,1,189.72,266404.92,0.2
41900,1,801.46,367389.28,0.2016
