sc_point_gid,class,capacity,capital_adder_per_mw,cf
39158,6,174.0,138725.42,0.3472
39842,5,216.0,98547.48,0.3242
39843,6,210.0,84995.5,0.3456
40526,5,216.0,106599.82,0.2968
40527,5,222.0,81335.68,0.3089
40528,4,228.0,107276.1,0.2926
40544,1,54.0,114278.98,0.1499
41209,5,138.0,171921.95,0.3223
41210,4,210.0,158154.56,0.2834
41211,4,198.0,162628.03,0.2895
41212,4,138.0,179392.75,0.2933
41213,5,120.0,227458.46,0.2998
41214,3,114.0,368502.53,0.2511
41227,1,48.0,238275.36,0.162
41228,1,48.0,185045.01,0.1707
41242,2,60.0,137047.36,0.2113
41243,4,54.0,131667.93,0.2944
41245,1,54.0,155140.2,0.1532
41894,4,168.0,182376.72,0.2791
41895,4,144.0,206194.15,0.2591
41896,4,60.0,206297.98,0.2849
41897,5,36.0,344495.98,0.3161
41899,3,48.0,433270.37,0.2244
41911,1,48.0,200918.16,0.1687
41913,1,54.0,145158.4,0.1049
41914,1,24.0,296488.92,0.1105
41925,3,186.0,79654.75,0.2565
41926,3,60.0,129720.01,0.2284
41927,4,42.0,183949.78,0.2829
41929,2,66.0,133729.63,0.1872
41930,2,54.0,136686.77,0.2019
41931,2,42.0,165943.19,0.1936
42578,4,162.0,140007.81,0.2757
42579,3,132.0,191205.07,0.2388
42594,1,42.0,195131.16,0.1707
42595,1,60.0,151035.94,0.1618
42597,1,42.0,247676.08,0.0418
42609,3,132.0,102727.64,0.2486
42610,4,60.0,140588.44,0.2612
42611,3,138.0,100547.06,0.229
42612,1,48.0,143958.1,0.1597
42613,2,54.0,137419.61,0.1783
42614,3,48.0,151690.95,0.2213
42615,2,54.0,125270.96,0.1825
42616,2,54.0,122220.74,0.1956
42617,1,54.0,128001.14,0.1681
42622,1,54.0,112108.59,0.1275
43262,4,120.0,155270.42,0.2661
43263,3,198.0,130525.28,0.2491
43264,2,216.0,135855.42,0.193
43265,2,48.0,199342.38,0.2043
43293,1,54.0,158901.23,0.1375
43294,3,54.0,131688.53,0.2412
43295,3,60.0,114492.37,0.2559
43296,2,66.0,101912.11,0.1846
43297,1,66.0,125709.33,0.1511
43298,2,54.0,140474.62,0.2102
43300,4,54.0,122614.78,0.2586
43302,3,48.0,140782.05,0.2437
43304,2,42.0,151744.91,0.1909
43305,2,54.0,117152.77,0.1716
43306,1,54.0,115399.91,0.1354
43307,1,66.0,124285.79,0.1152
43308,1,54.0,112259.55,0.126
43946,4,120.0,130659.87,0.2753
43947,3,228.0,102869.95,0.2312
43948,2,216.0,97191.63,0.213
43949,3,48.0,178765.43,0.2458
43977,1,60.0,147961.96,0.1593
43978,2,60.0,125035.29,0.1887
43979,3,156.0,79768.76,0.2184
43980,2,114.0,106697.3,0.1868
43981,1,36.0,198247.81,0.1561
43983,2,72.0,110637.08,0.1958
43985,2,42.0,153138.59,0.1922
43988,1,42.0,159511.74,0.1684
43989,1,66.0,120878.67,0.166
43990,1,54.0,126543.33,0.1199
43991,1,60.0,116323.68,0.1184
44630,4,240.0,24462.73,0.2727
44631,2,228.0,73075.93,0.2119
44660,2,144.0,119344.22,0.2011
44661,2,66.0,127373.57,0.1892
44663,2,150.0,57911.98,0.2091
44664,3,144.0,87636.7,0.2563
44665,3,54.0,124710.22,0.2373
44667,2,42.0,138755.05,0.1967
44668,3,30.0,219128.0,0.2287
44671,1,36.0,199720.19,0.1581
44672,1,48.0,158367.21,0.1627
44673,2,54.0,126149.57,0.203
44674,3,54.0,128137.21,0.2318
44675,2,108.0,101670.5,0.2
44680,1,162.0,92192.32,0.1003
44681,4,36.0,215632.97,0.2814
44683,3,48.0,308133.05,0.2193
45314,4,246.0,12751.01,0.2879
45315,3,222.0,24999.59,0.2445
45316,2,90.0,113497.9,0.1745
45331,1,60.0,315319.75,0.1387
45342,2,60.0,194919.19,0.1942
45343,3,96.0,132335.23,0.2492
45344,2,138.0,92738.88,0.2119
45345,2,138.0,61324.48,0.2001
45346,3,108.0,79802.53,0.2336
45347,2,138.0,64968.92,0.1805
45348,2,168.0,61140.09,0.1773
45349,3,168.0,55187.52,0.2285
45350,2,210.0,28278.47,0.2016
45351,1,198.0,39792.91,0.1697
45352,3,168.0,47486.81,0.2321
45353,2,60.0,106549.0,0.2163
45354,1,36.0,180830.62,0.142
45355,1,42.0,163662.53,0.167
45359,3,60.0,136011.67,0.2164
45361,1,60.0,120012.68,0.1466
45364,1,60.0,149180.7,0.0904
45365,6,60.0,167242.85,0.3372
45367,4,36.0,340171.44,0.2727
45368,3,24.0,425820.19,0.239
45998,4,204.0,34905.16,0.2949
45999,3,222.0,28041.1,0.2527
46000,3,120.0,96724.58,0.2183
46014,2,102.0,319700.89,0.1719
46015,2,48.0,395278.06,0.1792
46026,1,42.0,228945.51,0.1232
46027,2,180.0,66292.38,0.2064
