sc_point_gid,class,capacity,capital_adder_per_mw,cf
37804,4,252.0,666945.16,0.2544
37805,4,234.0,531154.32,0.2474
37806,4,210.0,408962.36,0.2492
37807,4,144.0,329362.08,0.2462
37808,5,36.0,278586.19,0.2941
38488,5,258.0,698748.01,0.2784
38489,4,258.0,803489.55,0.2425
38490,3,246.0,513753.88,0.2154
38491,4,270.0,148459.35,0.2418
38492,3,162.0,106724.99,0.1927
38493,3,210.0,38946.85,0.2157
39158,7,252.0,79624.27,0.3572
39173,4,234.0,767776.4,0.2511
39174,4,282.0,195824.15,0.2378
39175,3,198.0,157699.65,0.1922
39176,4,210.0,59131.96,0.2302
39181,6,42.0,150954.53,0.324
39182,1,54.0,156747.6,0.112
39842,6,270.0,43197.98,0.3241
39843,7,270.0,40645.33,0.3364
39857,4,264.0,289946.96,0.2477
39858,4,270.0,116322.21,0.2304
39859,2,198.0,70677.74,0.183
39860,3,54.0,100472.81,0.1921
40525,6,66.0,160659.05,0.3145
40526,5,252.0,63667.24,0.2892
40527,6,276.0,38888.74,0.3107
40528,6,276.0,44773.93,0.3165
40539,6,108.0,1463094.14,0.2975
40540,3,180.0,461016.58,0.2173
40541,2,258.0,433832.67,0.1818
40542,2,192.0,398748.11,0.1632
40543,2,204.0,31530.84,0.1678
40544,1,186.0,33195.35,0.1256
40545,1,186.0,107404.33,0.0741
40546,1,42.0,230397.82,0.0638
41209,6,216.0,94807.63,0.3101
41210,5,258.0,99279.73,0.2792
41211,5,276.0,109888.49,0.2807
41212,5,282.0,104521.76,0.2814
41213,6,282.0,116446.1,0.3156
41214,4,204.0,221013.02,0.2568
41224,3,240.0,438124.27,0.2235
41225,3,216.0,541802.16,0.2008
41226,2,198.0,376461.51,0.186
41227,2,144.0,297459.51,0.1689
41228,2,222.0,215490.41,0.1494
41229,1,132.0,162085.82,0.0916
41230,2,108.0,63371.52,0.1702
41236,5,60.0,217409.95,0.2788
41240,3,60.0,154667.16,0.2033
41241,3,198.0,65180.64,0.2272
41242,3,174.0,60607.47,0.2008
41243,4,246.0,28650.11,0.2611
41244,4,198.0,200852.53,0.2541
41245,1,156.0,84090.95,0.1306
41246,2,90.0,109331.69,0.1834
41893,5,180.0,194160.03,0.2871
41894,4,276.0,126403.26,0.2604
41895,4,282.0,107621.76,0.2583
41896,4,258.0,84321.61,0.2633
41897,5,288.0,105382.58,0.295
41898,4,78.0,261932.13,0.2565
41899,3,144.0,350676.0,0.1968
41900,2,234.0,467155.34,0.1551
41906,6,192.0,917568.95,0.3155
41907,6,84.0,1027221.18,0.3059
41908,3,216.0,308519.03,0.2212
41909,4,270.0,309578.96,0.2398
41910,3,264.0,26081.48,0.2249
41911,3,246.0,12713.36,0.2001
41912,3,120.0,57972.56,0.209
41913,1,180.0,114595.95,0.1068
41914,1,60.0,191461.95,0.1243
41919,7,60.0,123313.07,0.3339
41920,6,54.0,209006.32,0.3239
41921,5,84.0,246893.67,0.2813
41922,4,138.0,174719.0,0.2339
41923,5,54.0,182567.47,0.2662
41924,4,222.0,74400.82,0.2396
41925,4,258.0,35320.44,0.2405
41926,2,222.0,47854.16,0.1835
41927,4,246.0,50220.92,0.2348
41928,3,264.0,72306.09,0.2202
41929,2,246.0,39140.23,0.1739
41930,2,246.0,38822.76,0.1783
41931,2,252.0,26434.09,0.1849
41932,1,234.0,32401.3,0.1316
41933,3,156.0,63175.63,0.2028
41934,2,102.0,110359.98,0.14
42578,5,258.0,65830.79,0.2774
42579,3,246.0,100603.21,0.2167
42580,3,60.0,161023.14,0.2271
42581,5,60.0,180596.35,0.2666
42585,1,198.0,525321.59,0.081
42586,1,276.0,627388.65,0.0833
42587,2,216.0,1082381.88,0.1386
42590,6,180.0,948581.39,0.3069
42591,5,180.0,1166892.74,0.2939
42592,3,216.0,722055.53,0.2107
42593,3,234.0,510958.67,0.1935
42594,2,270.0,136805.76,0.1837
42595,2,252.0,75841.62,0.1742
42596,3,234.0,7105.59,0.2204
42597,1,240.0,38290.99,0.117
42598,1,42.0,174684.74,0.0309
42603,6,96.0,111830.09,0.3084
42605,4,60.0,690739.36,0.262
42606,2,252.0,168380.33,0.1453
42607,1,216.0,144664.79,0.089
42608,4,270.0,63844.78,0.254
42609,3,234.0,39400.19,0.2248
42610,4,180.0,63854.91,0.2506
42611,3,240.0,55235.13,0.2146
42612,2,240.0,65509.72,0.1414
42613,3,246.0,35041.87,0.1884
42614,3,240.0,33483.62,0.2138
42615,2,270.0,21259.24,0.1739
42616,3,258.0,20519.03,0.2093
42617,2,258.0,33297.3,0.1486
42618,2,240.0,27066.34,0.1612
42619,3,228.0,26132.55,0.2111
42620,1,192.0,40830.56,0.1125
42621,1,180.0,36726.15,0.1235
42622,1,78.0,95123.79,0.1187
42623,1,60.0,96547.8,0.1244
43262,4,258.0,64878.74,0.2558
43263,4,270.0,73683.55,0.2377
43264,3,282.0,70146.4,0.217
43265,4,60.0,141227.65,0.2374
43270,1,168.0,287256.41,0.0688
43271,1,252.0,294945.39,0.1102
43272,3,264.0,341875.15,0.2203
43274,6,168.0,843308.06,0.3202
43276,4,228.0,909803.28,0.2408
43277,2,234.0,766025.1,0.1764
43278,3,276.0,355792.16,0.2068
43279,3,204.0,69269.27,0.2227
43280,2,144.0,270673.12,0.151
43281,1,192.0,194867.44,0.1121
43282,1,54.0,120605.96,0.0573
43289,2,60.0,216919.23,0.1789
43290,2,276.0,347642.97,0.1784
43291,2,210.0,106291.24,0.1513
43292,3,258.0,52129.21,0.2253
43293,2,246.0,44524.78,0.1477
43294,3,222.0,44655.55,0.2139
43295,3,270.0,73142.56,0.2171
43296,2,264.0,20430.53,0.1476
43297,2,258.0,26939.92,0.1554
43298,3,252.0,35781.06,0.1946
43299,4,258.0,19503.12,0.2297
43300,3,258.0,34383.01,0.2108
43301,2,264.0,35670.79,0.1706
43302,4,252.0,20188.29,0.2428
43303,2,252.0,29145.26,0.1557
43304,1,276.0,21436.58,0.1368
43305,2,246.0,21112.96,0.1444
43306,1,234.0,41851.5,0.1089
43307,1,246.0,37131.33,0.0927
43308,1,216.0,31825.51,0.1114
43309,1,84.0,102717.58,0.1113
43310,2,90.0,91225.02,0.1477
43946,5,258.0,53131.07,0.2685
43947,4,264.0,62907.95,0.2295
43948,3,270.0,47304.13,0.2122
43949,4,60.0,130420.24,0.2396
43955,2,180.0,208845.89,0.1621
43956,3,282.0,152965.45,0.212
43957,4,228.0,496141.88,0.2533
43959,5,234.0,947841.12,0.28
43961,2,198.0,1047570.23,0.1849
43962,2,258.0,480305.89,0.1706
43963,2,240.0,72120.69,0.1773
43964,2,54.0,100109.76,0.1647
43965,3,108.0,72463.69,0.1942
43973,2,240.0,177119.98,0.1478
43974,2,258.0,349897.65,0.141
43975,2,252.0,96861.56,0.1684
43976,4,252.0,48671.93,0.237
43977,2,234.0,46301.0,0.1447
43978,3,240.0,44078.12,0.2105
43979,4,282.0,32672.63,0.2332
43980,3,264.0,25481.26,0.2032
43981,2,258.0,38301.02,0.1618
43982,3,246.0,34513.3,0.1968
43983,2,252.0,25366.45,0.1733
43984,2,258.0,58179.88,0.1729
43985,3,258.0,23402.78,0.2117
43986,5,270.0,14797.03,0.2675
43987,2,264.0,21919.18,0.1509
43988,2,264.0,51292.96,0.1401
43989,2,252.0,40180.93,0.1463
43990,1,234.0,36407.12,0.1184
43991,1,234.0,34285.85,0.1032
43992,3,174.0,53254.42,0.2014
43993,1,210.0,73528.67,0.1179
43994,2,180.0,44285.25,0.1439
43995,2,180.0,53439.81,0.1492
43996,3,246.0,40396.53,0.2267
43997,6,234.0,51298.0,0.3061
43998,2,60.0,244702.17,0.1726
43999,4,84.0,187141.64,0.2348
44000,3,36.0,207292.5,0.2111
44630,5,258.0,17585.95,0.2764
44631,3,270.0,31813.57,0.2207
44632,3,258.0,44839.41,0.2232
44633,4,192.0,65346.9,0.2345
44639,2,66.0,255075.84,0.179
44642,4,174.0,865620.78,0.2633
44644,3,72.0,336069.18,0.1922
44645,2,186.0,1085595.17,0.1851
44646,2,258.0,432515.98,0.1814
44647,2,228.0,67635.05,0.1744
44648,3,198.0,65284.79,0.2047
44655,2,24.0,336319.49,0.1702
44657,3,192.0,110956.55,0.2164
44658,3,276.0,142410.59,0.1925
44659,2,258.0,112434.21,0.1586
44660,3,264.0,47421.32,0.1936
44661,2,246.0,34151.83,0.1809
44662,2,240.0,174063.02,0.1814
44663,3,252.0,35386.26,0.218
44664,3,270.0,28230.4,0.2246
44665,4,246.0,28151.6,0.2393
44666,2,258.0,25081.44,0.1776
44667,3,252.0,12555.34,0.1881
44668,3,258.0,21517.3,0.2094
44669,5,264.0,17540.74,0.2686
44670,3,270.0,17831.81,0.198
44671,2,246.0,31250.85,0.1673
44672,2,246.0,82472.78,0.1434
44673,2,246.0,48304.23,0.1555
44674,3,228.0,32136.61,0.2044
44675,2,252.0,32522.78,0.1788
44676,1,240.0,58568.01,0.1166
44677,2,222.0,41325.49,0.1732
44678,3,204.0,78856.24,0.1898
44679,1,240.0,37417.64,0.0832
44680,2,246.0,39092.3,0.1504
44681,5,240.0,50725.73,0.2911
44682,5,90.0,159759.65,0.2873
44683,4,246.0,122661.87,0.2424
44684,3,246.0,87800.86,0.2261
44685,6,246.0,111828.44,0.3162
44686,9,222.0,180135.13,0.3933
44687,4,186.0,231425.0,0.2409
44688,2,102.0,334707.21,0.1657
45314,5,270.0,281.4,0.2957
45315,4,264.0,8050.5,0.2333
45316,3,234.0,38651.72,0.1971
45317,2,156.0,96605.88,0.1746
45322,3,60.0,245844.21,0.205
