sc_point_gid,class,capacity,capital_adder_per_mw,cf
39158,7,216.0,89612.99,0.3608
39842,6,264.0,61234.52,0.3242
39843,7,240.0,63449.91,0.3414
39857,4,102.0,175836.67,0.2593
40525,6,60.0,180529.59,0.3115
40526,5,258.0,76441.44,0.292
40527,6,258.0,57486.95,0.3099
40528,5,258.0,74098.22,0.3036
40539,6,30.0,745575.73,0.3154
40540,3,66.0,269515.12,0.2247
40541,2,120.0,344856.41,0.1937
40542,3,60.0,147522.46,0.2197
40543,2,144.0,71752.29,0.1616
40544,1,60.0,102076.61,0.1471
40545,1,48.0,153423.07,0.0756
41209,6,150.0,138847.46,0.324
41210,5,234.0,124170.68,0.2829
41211,5,228.0,126985.41,0.2887
41212,5,246.0,117370.4,0.2877
41213,5,210.0,154977.31,0.2972
41214,4,180.0,284337.14,0.2453
41224,4,96.0,309409.51,0.2463
41225,3,60.0,300858.01,0.2209
41226,2,66.0,189370.38,0.1871
41227,2,90.0,197614.54,0.1639
41228,2,132.0,135358.42,0.1659
41229,1,60.0,152195.63,0.0881
41242,3,162.0,76791.43,0.206
41243,4,198.0,49555.72,0.2725
41244,5,66.0,118123.34,0.3044
41245,1,102.0,119918.74,0.1477
41246,2,84.0,114880.03,0.1865
41893,5,48.0,201436.6,0.3052
41894,4,228.0,132556.38,0.2703
41895,4,180.0,155909.85,0.2565
41896,5,126.0,157556.09,0.2792
41897,6,54.0,255095.87,0.3072
41898,4,36.0,405307.97,0.2578
41899,3,66.0,371402.75,0.2127
41900,1,66.0,376226.31,0.1547
41908,3,78.0,268609.13,0.2356
41909,4,174.0,182531.48,0.2501
41910,3,234.0,43000.57,0.2287
41911,2,132.0,88218.93,0.1881
41913,1,108.0,104906.61,0.1007
41914,1,48.0,227524.1,0.1118
41925,4,228.0,52327.01,0.2453
41926,3,174.0,64597.16,0.2057
41927,3,222.0,53586.38,0.2365
41928,4,168.0,69414.15,0.243
41929,2,204.0,57438.03,0.1654
41930,2,234.0,44765.39,0.1879
41931,2,222.0,41685.23,0.1809
41932,1,138.0,76375.93,0.136
41933,2,132.0,83882.45,0.1974
41934,2,54.0,127768.03,0.1682
42578,5,234.0,92994.14,0.2767
42579,3,222.0,132947.29,0.2176
42580,3,60.0,186084.72,0.2067
42585,1,108.0,430341.92,0.0645
42586,1,138.0,384995.19,0.062
42587,1,30.0,982702.49,0.1403
42592,3,60.0,267619.23,0.2205
42593,3,162.0,190036.93,0.2073
42594,2,216.0,90569.72,0.1861
42595,2,216.0,72850.84,0.1634
42597,1,132.0,132212.86,0.0592
42598,1,24.0,297219.73,0.0308
42605,4,18.0,838692.11,0.2717
42606,1,48.0,343536.51,0.1117
42607,1,54.0,288663.04,0.0837
42609,3,198.0,60174.33,0.2376
42610,4,150.0,87744.74,0.2513
42611,3,240.0,49962.53,0.2172
42612,1,222.0,43970.83,0.1424
42613,2,222.0,47446.17,0.1761
42614,2,222.0,47024.72,0.2006
42615,2,240.0,35041.43,0.1754
42616,3,168.0,57168.01,0.2137
42617,1,234.0,39903.18,0.1474
42618,1,210.0,43231.34,0.1477
42619,2,48.0,133977.09,0.1771
42620,1,144.0,66610.3,0.111
42621,1,96.0,85237.05,0.1321
42622,1,60.0,104679.78,0.1219
42623,1,48.0,118965.28,0.1196
43262,4,210.0,94751.04,0.2602
43263,3,264.0,92790.0,0.2375
43264,2,252.0,101547.49,0.197
43265,3,60.0,166444.71,0.2014
43270,1,54.0,417614.38,0.0662
43271,1,132.0,405900.68,0.114
43272,3,186.0,268150.26,0.2171
43274,6,42.0,459097.68,0.3365
43276,4,72.0,449675.59,0.2462
43278,3,228.0,90894.52,0.2198
43279,3,186.0,85574.8,0.2271
43280,2,60.0,249868.72,0.1577
43281,1,72.0,208093.7,0.1012
43282,1,42.0,171441.15,0.0534
43290,2,198.0,357911.86,0.1952
43291,1,60.0,292591.28,0.1117
43292,1,48.0,173677.97,0.1445
43293,1,192.0,76198.47,0.1316
43294,3,204.0,51681.88,0.2208
43295,3,252.0,30127.01,0.2343
43296,2,246.0,22180.43,0.1557
43297,1,240.0,36035.88,0.1472
43298,2,240.0,44895.18,0.1972
43299,3,174.0,56085.84,0.2291
43300,3,210.0,40415.59,0.2252
43301,2,222.0,41532.71,0.1693
43302,3,174.0,55652.7,0.2352
43303,1,162.0,72965.81,0.1496
43304,1,234.0,27798.9,0.1536
43305,2,198.0,40383.45,0.1561
43306,1,216.0,41677.43,0.1047
43307,1,216.0,48529.31,0.0966
43308,1,144.0,70154.07,0.113
43309,1,66.0,118199.86,0.1125
43946,4,222.0,75822.98,0.2732
43947,3,264.0,78563.43,0.228
43948,3,240.0,71788.62,0.2135
43949,4,66.0,142639.44,0.2418
43955,1,36.0,330646.81,0.1474
43956,3,240.0,149190.15,0.2196
43957,4,168.0,220703.58,0.2607
43962,2,168.0,147379.02,0.181
43963,2,186.0,86212.15,0.1877
43965,1,36.0,209805.16,0.1406
43973,1,90.0,293488.74,0.1138
43974,1,102.0,332366.06,0.1276
43975,2,60.0,178150.9,0.1628
43976,5,42.0,170298.85,0.2791
43977,1,222.0,58519.05,0.141
43978,2,192.0,55788.73,0.1859
43979,3,240.0,35650.09,0.2316
43980,2,234.0,39013.35,0.1873
43981,2,210.0,53731.91,0.1592
43982,3,234.0,42477.24,0.2008
43983,2,252.0,27404.96,0.1786
43984,2,150.0,72600.67,0.1918
43985,2,132.0,76356.08,0.1931
43986,3,54.0,118773.89,0.227
43987,1,168.0,63723.7,0.1447
43988,1,228.0,52942.39,0.1479
43989,1,234.0,40500.03,0.1512
43990,1,216.0,42586.44,0.1212
43991,1,210.0,40400.89,0.1061
43993,1,60.0,132152.61,0.1312
43996,3,54.0,140135.28,0.2051
43997,6,156.0,97579.81,0.321
44630,4,258.0,18147.56,0.2752
44631,3,264.0,47686.34,0.2114
44632,2,84.0,134614.42,0.1946
44642,5,60.0,443110.95,0.2858
44644,3,42.0,470328.83,0.2034
44646,2,216.0,199849.19,0.1772
44647,2,204.0,96030.06,0.172
44657,3,60.0,208655.85,0.2186
44658,2,144.0,160612.56,0.1857
44659,1,168.0,162291.26,0.1536
44660,2,252.0,60662.19,0.1956
44661,2,186.0,59260.24,0.1821
44662,3,66.0,113820.21,0.208
44663,3,216.0,27759.92,0.2191
44664,3,252.0,36664.21,0.2335
44665,3,204.0,45367.85,0.2259
44666,2,198.0,44119.3,0.1886
44667,2,216.0,25469.81,0.191
44668,3,222.0,36717.97,0.2118
44669,3,138.0,75757.17,0.2209
44670,2,126.0,83147.52,0.1888
44671,2,168.0,66074.88,0.1695
44672,1,186.0,75428.4,0.1497
44673,2,222.0,43769.52,0.1698
44674,3,198.0,48235.34,0.2139
44675,2,216.0,49774.12,0.1768
44676,1,132.0,93817.72,0.1273
44677,3,60.0,117324.57,0.2201
44678,2,54.0,233204.04,0.1951
44679,1,126.0,98420.1,0.0823
44680,1,174.0,75556.27,0.123
44681,5,102.0,129436.64,0.2815
44683,3,216.0,163204.97,0.2382
44684,4,120.0,165758.08,0.2479
44688,2,42.0,478250.01,0.1899
45314,5,270.0,3989.99,0.2911
45315,3,264.0,11146.23,0.2353
45316,2,162.0,69746.86,0.1701
45323,2,42.0,388742.65,0.1935
45329,2,60.0,379929.72,0.1715
45330,2,162.0,233485.45,0.1665
45331,1,210.0,175777.87,0.1442
45332,4,54.0,120372.19,0.2467
45342,2,162.0,134832.57,0.1743
45343,3,252.0,59441.9,0.235
45344,3,264.0,35629.42,0.2019
45345,2,216.0,26334.6,0.1784
45346,3,222.0,21199.05,0.2346
45347,2,240.0,18249.23,0.1707
45348,2,234.0,28353.52,0.1608
45349,3,246.0,19977.96,0.2339
45350,2,246.0,13074.29,0.1975
45351,2,252.0,17118.51,0.1643
45352,3,234.0,17476.06,0.2316
45353,3,138.0,63712.19,0.207
45354,1,180.0,53048.48,0.1451
45355,2,138.0,91060.38,0.1614
45356,2,186.0,74304.25,0.1579
45357,1,174.0,75739.79,0.1304
45358,2,180.0,70506.98,0.1637
45359,2,186.0,67332.53,0.1941
45360,1,84.0,123315.83,0.1131
45361,1,156.0,66623.81,0.1386
45362,1,132.0,87144.07,0.1388
45363,1,168.0,76931.06,0.1057
45364,1,126.0,104464.83,0.0889
45365,6,126.0,118879.31,0.3228
45367,4,210.0,151802.35,0.2703
45368,2,192.0,153998.36,0.1752
45369,1,60.0,171502.84,0.1262
45371,2,156.0,329859.41,0.2007
45372,2,168.0,376055.74,0.1609
45373,2,66.0,457361.66,0.1743
45374,2,114.0,588307.9,0.1893
45375,3,54.0,671648.53,0.2012
45998,5,258.0,14881.76,0.2953
45999,4,252.0,12726.67,0.2455
46000,3,180.0,56843.79,0.217
46002,2,42.0,171236.96,0.1622
46005,2,108.0,182073.1,0.1755
46007,4,198.0,222601.76,0.2648
46008,5,150.0,288903.75,0.2861
46013,2,60.0,377063.0,0.1769
46014,2,246.0,184400.72,0.1782
46015,2,132.0,230580.4,0.1903
46025,1,30.0,307758.55,0.1062
46026,1,198.0,110769.02,0.1228
46027,2,258.0,34261.44,0.1939
46028,2,252.0,60604.82,0.1994
46029,3,258.0,22543.29,0.2034
46030,4,228.0,13771.83,0.2455
46031,2,234.0,15686.01,0.1641
46032,2,246.0,24544.54,0.1645
46033,1,234.0,20449.66,0.1441
46034,2,258.0,13068.95,0.185
46035,2,234.0,21911.43,0.1778
46036,3,246.0,15209.08,0.2168
46037,4,246.0,13769.96,0.2437
46038,1,234.0,32856.71,0.1414
46039,3,132.0,103786.67,0.2013
46040,2,222.0,57354.39,0.1727
46041,1,162.0,88884.71,0.1147
46042,1,138.0,97510.69,0.1439
46043,3,90.0,109985.18,0.2183
46044,1,168.0,97844.84,0.0952
46045,1,240.0,38190.43,0.1107
46046,1,114.0,137790.51,0.1215
46047,1,114.0,111746.58,0.0846
46048,2,192.0,81643.82,0.163
46049,8,204.0,93934.53,0.3733
46050,5,204.0,115755.06,0.3009
46051,5,102.0,227892.73,0.3008
46052,1,186.0,187552.76,0.131
46053,1,42.0,282947.01,0.1096
46055,2,222.0,300158.98,0.1736
46056,1,60.0,383474.83,0.1304
46058,4,126.0,534388.06,0.2642
46059,3,102.0,634264.31,0.212
46060,1,60.0,785570.43,0.1357
46063,2,54.0,527188.23,0.1806
46682,5,246.0,33013.05,0.3015
46683,4,246.0,32884.14,0.2716
46684,4,252.0,34316.0,0.2449
46685,3,228.0,25777.24,0.2056
46686,2,180.0,44418.87,0.1917
46688,2,174.0,134106.03,0.1775
46690,3,240.0,193784.03,0.2202
46691,3,126.0,253259.69,0.2231
46692,5,48.0,335861.08,0.2936
46697,2,60.0,859390.2,0.161
46698,1,60.0,269166.86,0.1396
46699,2,114.0,112402.02,0.1864
46709,4,60.0,170002.78,0.2549
46710,2,84.0,118872.82,0.1881
46711,1,198.0,91144.37,0.1354
46712,2,162.0,73810.56,0.1882
46713,2,240.0,21634.02,0.1987
46714,3,264.0,2093.93,0.2031
46715,2,246.0,16617.82,0.1742
46716,1,204.0,30876.11,0.1196
46717,1,246.0,17291.31,0.1222
46718,2,246.0,11077.17,0.1852
46719,2,228.0,27591.08,0.1894
46720,3,240.0,19110.39,0.232
46721,3,246.0,23001.36,0.2166
46722,2,216.0,49226.66,0.1691
46723,2,210.0,50183.49,0.1767
46724,2,216.0,51311.59,0.2003
46725,1,72.0,133611.76,0.1527
46726,1,102.0,118522.5,0.1259
46727,4,156.0,73945.42,0.2596
46728,1,156.0,81059.47,0.1115
46729,2,234.0,63946.52,0.1565
46730,1,216.0,58361.42,0.1358
46731,1,60.0,147220.99,0.1018
46732,2,198.0,88756.37,0.183
46733,3,120.0,163755.85,0.2387
46734,5,246.0,133265.05,0.2877
46735,6,162.0,194958.57,0.32
46736,2,174.0,170212.15,0.1693
46737,1,126.0,232223.61,0.1036
46738,3,60.0,276436.47,0.2336
46739,2,60.0,312479.4,0.2006
46741,4,54.0,392730.53,0.2716
46742,7,30.0,568266.55,0.3603
46743,3,210.0,466119.4,0.2022
46744,1,126.0,722340.98,0.1413
46747,2,54.0,510623.42,0.1782
46748,1,48.0,638900.56,0.1343
46753,10,234.0,251847.24,0.4582
46755,8,102.0,367512.98,0.381
47040,5,60.0,104229.79,0.2969
47045,7,48.0,124550.07,0.3507
47046,6,168.0,52631.53,0.3372
47047,7,192.0,39095.93,0.3497
47048,6,36.0,173257.08,0.3363
47366,6,234.0,47059.48,0.3108
47367,5,270.0,46102.47,0.2854
47368,4,246.0,62070.72,0.2538
47369,3,264.0,22367.74,0.2326
47370,2,228.0,65598.16,0.1978
47371,3,240.0,99540.82,0.2359
47372,3,192.0,133708.4,0.2196
47373,4,156.0,218647.83,0.2407
47374,4,198.0,209191.68,0.246
47375,4,120.0,262268.1,0.2592
47380,5,90.0,1061235.88,0.2882
47381,3,150.0,621896.28,0.2348
47382,1,60.0,462848.2,0.1339
