name,MW,year_online,trtype,certain,from_lon,from_lat,to_lon,to_lat
z134:p1~~p2,100000,0,VSC,0,-121.52720518,47.80413219,-121.52605782,46.63558835
z134:p1~~p4,100000,0,VSC,0,-121.52720518,47.80413219,-119.54845201,47.41580274
z134:p2~~p3,100000,0,VSC,0,-121.52605782,46.63558835,-118.4775817,47.8997302
z134:p2~~p4,100000,0,VSC,0,-121.52605782,46.63558835,-119.54845201,47.41580274
z134:p2~~p5,100000,0,VSC,0,-121.52605782,46.63558835,-120.84858533,44.8758229
z134:p2~~p14,100000,0,VSC,0,-121.52605782,46.63558835,-116.62286863,47.60393639
z134:p3~~p4,100000,0,VSC,0,-118.4775817,47.8997302,-119.54845201,47.41580274
z134:p3~~p5,100000,0,VSC,0,-118.4775817,47.8997302,-120.84858533,44.8758229
z134:p3~~p14,100000,0,VSC,0,-118.4775817,47.8997302,-116.62286863,47.60393639
z134:p3~~p17,100000,0,VSC,0,-118.4775817,47.8997302,-113.58090985,46.78287505
z134:p5~~p6,100000,0,VSC,0,-120.84858533,44.8758229,-122.80414235,42.80374842
z134:p5~~p7,100000,0,VSC,0,-120.84858533,44.8758229,-118.7982225,43.19385721
z134:p5~~p14,100000,0,VSC,0,-120.84858533,44.8758229,-116.62286863,47.60393639
z134:p5~~p15,100000,0,VSC,0,-120.84858533,44.8758229,-115.22499865,44.39350062
z134:p6~~p7,100000,0,VSC,0,-122.80414235,42.80374842,-118.7982225,43.19385721
z134:p6~~p8,100000,0,VSC,0,-122.80414235,42.80374842,-121.43547851,41.31103089
z134:p6~~p9,100000,0,VSC,0,-122.80414235,42.80374842,-121.38102184,38.35087876
z134:p7~~p8,100000,0,VSC,0,-118.7982225,43.19385721,-121.43547851,41.31103089
z134:p7~~p12,100000,0,VSC,0,-118.7982225,43.19385721,-116.76501417,39.57265625
z134:p7~~p15,100000,0,VSC,0,-118.7982225,43.19385721,-115.22499865,44.39350062
z134:p8~~p9,100000,0,VSC,0,-121.43547851,41.31103089,-121.38102184,38.35087876
z134:p8~~p12,100000,0,VSC,0,-121.43547851,41.31103089,-116.76501417,39.57265625
z134:p9~~p10,100000,0,VSC,0,-121.38102184,38.35087876,-117.15992686,35.12105363
z134:p9~~p12,100000,0,VSC,0,-121.38102184,38.35087876,-116.76501417,39.57265625
z134:p10~~p11,100000,0,VSC,0,-117.15992686,35.12105363,-116.73493496,33.03408966
z134:p10~~p12,100000,0,VSC,0,-117.15992686,35.12105363,-116.76501417,39.57265625
