name,MW,year_online,trtype,certain,from_lon,from_lat,to_lon,to_lat
z134:p1~~p9,100000,0,LCC,0,-121.52720518,47.80413219,-121.38102184,38.35087876
z134:p1~~p18,100000,0,LCC,0,-121.52720518,47.80413219,-111.55656715,48.08647186
z134:p1~~p25,100000,0,LCC,0,-121.52720518,47.80413219,-111.91422885,39.08215518
z134:p5~~p9,100000,0,LCC,0,-120.84858533,44.8758229,-121.38102184,38.35087876
z134:p5~~p13,100000,0,LCC,0,-120.84858533,44.8758229,-115.01366961,36.21387654
z134:p5~~p15,100000,0,LCC,0,-120.84858533,44.8758229,-115.22499865,44.39350062
z134:p5~~p18,100000,0,LCC,0,-120.84858533,44.8758229,-111.55656715,48.08647186
z134:p5~~p25,100000,0,LCC,0,-120.84858533,44.8758229,-111.91422885,39.08215518
z134:p9~~p13,100000,0,LCC,0,-121.38102184,38.35087876,-115.01366961,36.21387654
z134:p9~~p15,100000,0,LCC,0,-121.38102184,38.35087876,-115.22499865,44.39350062
z134:p9~~p25,100000,0,LCC,0,-121.38102184,38.35087876,-111.91422885,39.08215518
z134:p9~~p28,100000,0,LCC,0,-121.38102184,38.35087876,-111.61025637,34.16709078
z134:p10~~p25,100000,0,LCC,0,-117.15992686,35.12105363,-111.91422885,39.08215518
z134:p10~~p31,100000,0,LCC,0,-117.15992686,35.12105363,-106.59023968,34.6065333
z134:p13~~p18,100000,0,LCC,0,-115.01366961,36.21387654,-111.55656715,48.08647186
z134:p13~~p24,100000,0,LCC,0,-115.01366961,36.21387654,-105.84340623,42.21713106
z134:p13~~p31,100000,0,LCC,0,-115.01366961,36.21387654,-106.59023968,34.6065333
z134:p13~~p61,100000,0,LCC,0,-115.01366961,36.21387654,-102.52534008,30.80627576
z134:p15~~p24,100000,0,LCC,0,-115.22499865,44.39350062,-105.84340623,42.21713106
z134:p15~~p25,100000,0,LCC,0,-115.22499865,44.39350062,-111.91422885,39.08215518
z134:p15~~p31,100000,0,LCC,0,-115.22499865,44.39350062,-106.59023968,34.6065333
z134:p18~~p25,100000,0,LCC,0,-111.55656715,48.08647186,-111.91422885,39.08215518
z134:p18~~p33,100000,0,LCC,0,-111.55656715,48.08647186,-105.87875049,40.04403731
z134:p18~~p41,100000,0,LCC,0,-111.55656715,48.08647186,-96.33443022,40.9564524
z134:p18~~p43,100000,0,LCC,0,-111.55656715,48.08647186,-93.66196443,46.24990794
z134:p24~~p25,100000,0,LCC,0,-105.84340623,42.21713106,-111.91422885,39.08215518
z134:p24~~p28,100000,0,LCC,0,-105.84340623,42.21713106,-111.61025637,34.16709078
z134:p24~~p41,100000,0,LCC,0,-105.84340623,42.21713106,-96.33443022,40.9564524
z134:p24~~p43,100000,0,LCC,0,-105.84340623,42.21713106,-93.66196443,46.24990794
z134:p24~~p50,100000,0,LCC,0,-105.84340623,42.21713106,-97.47898472,35.29751298
z134:p24~~p63,100000,0,LCC,0,-105.84340623,42.21713106,-97.11394036,32.36521363
z134:p24~~p76,100000,0,LCC,0,-105.84340623,42.21713106,-89.1038466,44.08576245
z134:p24~~p80,100000,0,LCC,0,-105.84340623,42.21713106,-88.78740634,41.76755631
z134:p25~~p28,100000,0,LCC,0,-111.91422885,39.08215518,-111.61025637,34.16709078
z134:p25~~p31,100000,0,LCC,0,-111.91422885,39.08215518,-106.59023968,34.6065333
z134:p25~~p33,100000,0,LCC,0,-111.91422885,39.08215518,-105.87875049,40.04403731
z134:p25~~p37,100000,0,LCC,0,-111.91422885,39.08215518,-99.0387572,47.69809765
z134:p25~~p38,100000,0,LCC,0,-111.91422885,39.08215518,-99.80784462,44.48705973
z134:p25~~p41,100000,0,LCC,0,-111.91422885,39.08215518,-96.33443022,40.9564524
z134:p25~~p45,100000,0,LCC,0,-111.91422885,39.08215518,-95.03227389,42.42197121
z134:p25~~p50,100000,0,LCC,0,-111.91422885,39.08215518,-97.47898472,35.29751298
z134:p25~~p53,100000,0,LCC,0,-111.91422885,39.08215518,-97.49793745,38.39157084
z134:p25~~p54,100000,0,LCC,0,-111.91422885,39.08215518,-93.97419616,39.67019964
z134:p25~~p61,100000,0,LCC,0,-111.91422885,39.08215518,-102.52534008,30.80627576
z134:p28~~p53,100000,0,LCC,0,-111.61025637,34.16709078,-97.49793745,38.39157084
z134:p28~~p61,100000,0,LCC,0,-111.61025637,34.16709078,-102.52534008,30.80627576
z134:p31~~p33,100000,0,LCC,0,-106.59023968,34.6065333,-105.87875049,40.04403731
z134:p31~~p41,100000,0,LCC,0,-106.59023968,34.6065333,-96.33443022,40.9564524
z134:p31~~p50,100000,0,LCC,0,-106.59023968,34.6065333,-97.47898472,35.29751298
z134:p31~~p63,100000,0,LCC,0,-106.59023968,34.6065333,-97.11394036,32.36521363
z134:p31~~p87,100000,0,LCC,0,-106.59023968,34.6065333,-89.93377714,32.30945125
z134:p33~~p37,100000,0,LCC,0,-105.87875049,40.04403731,-99.0387572,47.69809765
z134:p33~~p38,100000,0,LCC,0,-105.87875049,40.04403731,-99.80784462,44.48705973
z134:p33~~p45,100000,0,LCC,0,-105.87875049,40.04403731,-95.03227389,42.42197121
z134:p33~~p53,100000,0,LCC,0,-105.87875049,40.04403731,-97.49793745,38.39157084
z134:p33~~p54,100000,0,LCC,0,-105.87875049,40.04403731,-93.97419616,39.67019964
z134:p33~~p61,100000,0,LCC,0,-105.87875049,40.04403731,-102.52534008,30.80627576
z134:p33~~p80,100000,0,LCC,0,-105.87875049,40.04403731,-88.78740634,41.76755631
z134:p33~~p81,100000,0,LCC,0,-105.87875049,40.04403731,-89.78738098,39.32261591
z134:p33~~p85,100000,0,LCC,0,-105.87875049,40.04403731,-92.02206131,34.67614755
z134:p37~~p41,100000,0,LCC,0,-99.0387572,47.69809765,-96.33443022,40.9564524
z134:p37~~p50,100000,0,LCC,0,-99.0387572,47.69809765,-97.47898472,35.29751298
z134:p37~~p80,100000,0,LCC,0,-99.0387572,47.69809765,-88.78740634,41.76755631
z134:p37~~p92,100000,0,LCC,0,-99.0387572,47.69809765,-86.34952583,35.85850386
z134:p37~~p103,100000,0,LCC,0,-99.0387572,47.69809765,-84.61125526,43.8762499
z134:p37~~p112,100000,0,LCC,0,-99.0387572,47.69809765,-82.80095864,40.13748215
z134:p38~~p50,100000,0,LCC,0,-99.80784462,44.48705973,-97.47898472,35.29751298
z134:p38~~p63,100000,0,LCC,0,-99.80784462,44.48705973,-97.11394036,32.36521363
z134:p38~~p76,100000,0,LCC,0,-99.80784462,44.48705973,-89.1038466,44.08576245
z134:p38~~p80,100000,0,LCC,0,-99.80784462,44.48705973,-88.78740634,41.76755631
z134:p38~~p87,100000,0,LCC,0,-99.80784462,44.48705973,-89.93377714,32.30945125
z134:p38~~p92,100000,0,LCC,0,-99.80784462,44.48705973,-86.34952583,35.85850386
z134:p38~~p103,100000,0,LCC,0,-99.80784462,44.48705973,-84.61125526,43.8762499
z134:p38~~p112,100000,0,LCC,0,-99.80784462,44.48705973,-82.80095864,40.13748215
z134:p41~~p53,100000,0,LCC,0,-96.33443022,40.9564524,-97.49793745,38.39157084
z134:p41~~p61,100000,0,LCC,0,-96.33443022,40.9564524,-102.52534008,30.80627576
z134:p41~~p80,100000,0,LCC,0,-96.33443022,40.9564524,-88.78740634,41.76755631
z134:p41~~p81,100000,0,LCC,0,-96.33443022,40.9564524,-89.78738098,39.32261591
z134:p41~~p85,100000,0,LCC,0,-96.33443022,40.9564524,-92.02206131,34.67614755
z134:p41~~p94,100000,0,LCC,0,-96.33443022,40.9564524,-83.43553366,32.63997261
z134:p41~~p105,100000,0,LCC,0,-96.33443022,40.9564524,-86.25403168,40.72629479
z134:p43~~p53,100000,0,LCC,0,-93.66196443,46.24990794,-97.49793745,38.39157084
z134:p43~~p54,100000,0,LCC,0,-93.66196443,46.24990794,-93.97419616,39.67019964
z134:p43~~p80,100000,0,LCC,0,-93.66196443,46.24990794,-88.78740634,41.76755631
z134:p43~~p81,100000,0,LCC,0,-93.66196443,46.24990794,-89.78738098,39.32261591
z134:p43~~p85,100000,0,LCC,0,-93.66196443,46.24990794,-92.02206131,34.67614755
z134:p43~~p105,100000,0,LCC,0,-93.66196443,46.24990794,-86.25403168,40.72629479
z134:p45~~p50,100000,0,LCC,0,-95.03227389,42.42197121,-97.47898472,35.29751298
z134:p45~~p63,100000,0,LCC,0,-95.03227389,42.42197121,-97.11394036,32.36521363
z134:p45~~p80,100000,0,LCC,0,-95.03227389,42.42197121,-88.78740634,41.76755631
z134:p45~~p87,100000,0,LCC,0,-95.03227389,42.42197121,-89.93377714,32.30945125
z134:p45~~p92,100000,0,LCC,0,-95.03227389,42.42197121,-86.34952583,35.85850386
z134:p45~~p94,100000,0,LCC,0,-95.03227389,42.42197121,-83.43553366,32.63997261
z134:p45~~p103,100000,0,LCC,0,-95.03227389,42.42197121,-84.61125526,43.8762499
z134:p45~~p112,100000,0,LCC,0,-95.03227389,42.42197121,-82.80095864,40.13748215
z134:p50~~p61,100000,0,LCC,0,-97.47898472,35.29751298,-102.52534008,30.80627576
z134:p50~~p80,100000,0,LCC,0,-97.47898472,35.29751298,-88.78740634,41.76755631
z134:p50~~p81,100000,0,LCC,0,-97.47898472,35.29751298,-89.78738098,39.32261591
z134:p50~~p85,100000,0,LCC,0,-97.47898472,35.29751298,-92.02206131,34.67614755
z134:p50~~p94,100000,0,LCC,0,-97.47898472,35.29751298,-83.43553366,32.63997261
z134:p50~~p105,100000,0,LCC,0,-97.47898472,35.29751298,-86.25403168,40.72629479
z134:p53~~p58,100000,0,LCC,0,-97.49793745,38.39157084,-91.97834975,30.79723643
z134:p53~~p63,100000,0,LCC,0,-97.49793745,38.39157084,-97.11394036,32.36521363
z134:p53~~p76,100000,0,LCC,0,-97.49793745,38.39157084,-89.1038466,44.08576245
z134:p53~~p80,100000,0,LCC,0,-97.49793745,38.39157084,-88.78740634,41.76755631
z134:p53~~p87,100000,0,LCC,0,-97.49793745,38.39157084,-89.93377714,32.30945125
z134:p53~~p92,100000,0,LCC,0,-97.49793745,38.39157084,-86.34952583,35.85850386
z134:p53~~p94,100000,0,LCC,0,-97.49793745,38.39157084,-83.43553366,32.63997261
z134:p53~~p103,100000,0,LCC,0,-97.49793745,38.39157084,-84.61125526,43.8762499
z134:p53~~p112,100000,0,LCC,0,-97.49793745,38.39157084,-82.80095864,40.13748215
z134:p54~~p58,100000,0,LCC,0,-93.97419616,39.67019964,-91.97834975,30.79723643
z134:p54~~p63,100000,0,LCC,0,-93.97419616,39.67019964,-97.11394036,32.36521363
z134:p54~~p76,100000,0,LCC,0,-93.97419616,39.67019964,-89.1038466,44.08576245
z134:p54~~p80,100000,0,LCC,0,-93.97419616,39.67019964,-88.78740634,41.76755631
z134:p54~~p87,100000,0,LCC,0,-93.97419616,39.67019964,-89.93377714,32.30945125
z134:p54~~p92,100000,0,LCC,0,-93.97419616,39.67019964,-86.34952583,35.85850386
z134:p54~~p94,100000,0,LCC,0,-93.97419616,39.67019964,-83.43553366,32.63997261
z134:p54~~p103,100000,0,LCC,0,-93.97419616,39.67019964,-84.61125526,43.8762499
z134:p54~~p112,100000,0,LCC,0,-93.97419616,39.67019964,-82.80095864,40.13748215
z134:p58~~p61,100000,0,LCC,0,-91.97834975,30.79723643,-102.52534008,30.80627576
z134:p58~~p80,100000,0,LCC,0,-91.97834975,30.79723643,-88.78740634,41.76755631
z134:p58~~p81,100000,0,LCC,0,-91.97834975,30.79723643,-89.78738098,39.32261591
z134:p58~~p94,100000,0,LCC,0,-91.97834975,30.79723643,-83.43553366,32.63997261
z134:p58~~p98,100000,0,LCC,0,-91.97834975,30.79723643,-77.99872674,35.44202442
z134:p58~~p101,100000,0,LCC,0,-91.97834975,30.79723643,-82.16153403,28.61064555
z134:p58~~p105,100000,0,LCC,0,-91.97834975,30.79723643,-86.25403168,40.72629479
z134:p61~~p87,100000,0,LCC,0,-102.52534008,30.80627576,-89.93377714,32.30945125
z134:p63~~p80,100000,0,LCC,0,-97.11394036,32.36521363,-88.78740634,41.76755631
z134:p63~~p81,100000,0,LCC,0,-97.11394036,32.36521363,-89.78738098,39.32261591
z134:p63~~p85,100000,0,LCC,0,-97.11394036,32.36521363,-92.02206131,34.67614755
z134:p63~~p94,100000,0,LCC,0,-97.11394036,32.36521363,-83.43553366,32.63997261
z134:p63~~p105,100000,0,LCC,0,-97.11394036,32.36521363,-86.25403168,40.72629479
z134:p76~~p81,100000,0,LCC,0,-89.1038466,44.08576245,-89.78738098,39.32261591
z134:p76~~p85,100000,0,LCC,0,-89.1038466,44.08576245,-92.02206131,34.67614755
z134:p76~~p94,100000,0,LCC,0,-89.1038466,44.08576245,-83.43553366,32.63997261
z134:p76~~p105,100000,0,LCC,0,-89.1038466,44.08576245,-86.25403168,40.72629479
z134:p76~~p122,100000,0,LCC,0,-89.1038466,44.08576245,-76.28677225,40.53840825
z134:p80~~p85,100000,0,LCC,0,-88.78740634,41.76755631,-92.02206131,34.67614755
z134:p80~~p87,100000,0,LCC,0,-88.78740634,41.76755631,-89.93377714,32.30945125
z134:p80~~p92,100000,0,LCC,0,-88.78740634,41.76755631,-86.34952583,35.85850386
z134:p80~~p94,100000,0,LCC,0,-88.78740634,41.76755631,-83.43553366,32.63997261
z134:p80~~p98,100000,0,LCC,0,-88.78740634,41.76755631,-77.99872674,35.44202442
z134:p80~~p99,100000,0,LCC,0,-88.78740634,41.76755631,-77.99964991,37.62459409
z134:p80~~p103,100000,0,LCC,0,-88.78740634,41.76755631,-84.61125526,43.8762499
z134:p80~~p112,100000,0,LCC,0,-88.78740634,41.76755631,-82.80095864,40.13748215
z134:p80~~p122,100000,0,LCC,0,-88.78740634,41.76755631,-76.28677225,40.53840825
z134:p80~~p127,100000,0,LCC,0,-88.78740634,41.76755631,-75.58732565,42.99934248
z134:p80~~p131,100000,0,LCC,0,-88.78740634,41.76755631,-71.79474674,42.25461052
z134:p81~~p87,100000,0,LCC,0,-89.78738098,39.32261591,-89.93377714,32.30945125
z134:p81~~p92,100000,0,LCC,0,-89.78738098,39.32261591,-86.34952583,35.85850386
z134:p81~~p94,100000,0,LCC,0,-89.78738098,39.32261591,-83.43553366,32.63997261
