r,rr,status,trtype,t,MW
oWA,oOR_N,Possible,VSC,0,100000
oOR_N,oOR_S,Possible,VSC,0,100000
oOR_S,oCA_NNN,Possible,VSC,0,100000
oCA_NNN,oCA_NN,Possible,VSC,0,100000
oCA_NN,oCA_N,Possible,VSC,0,100000
oCA_N,oCA_S,Possible,VSC,0,100000
oTX,oLA,Possible,VSC,0,100000
oLA,oMS,Possible,VSC,0,100000
oMS,oAL,Possible,VSC,0,100000
oAL,oFL_W,Possible,VSC,0,100000
oFL_E,oGA,Possible,VSC,0,100000
oGA,oSC,Possible,VSC,0,100000
oSC,oNC_S,Possible,VSC,0,100000
oNC_S,oNC_N,Possible,VSC,0,100000
oNC_N,oVA,Possible,VSC,0,100000
oVA,oMD,Possible,VSC,0,100000
oMD,oDE,Possible,VSC,0,100000
oDE,oNJ,Possible,VSC,0,100000
oNJ,oNY,Possible,VSC,0,100000
oNY,oCT,Possible,VSC,0,100000
oCT,oRI,Possible,VSC,0,100000
oRI,oMA,Possible,VSC,0,100000
oMA,oNH,Possible,VSC,0,100000
oNY,oMA,Possible,VSC,0,100000
oNH,oME,Possible,VSC,0,100000
