start,end,polarity,voltage,cost_MUSD,length_miles
aa387c57045265092780e4aac2771cef,268c58341210244afeee9b860700acf0,ac,138,165.71,45.08
cf37e6c33f22d69b9fd715423a94b8f4,12e2f52aa0556012b07ff719674fa121,ac,230,184.88,33.24
12e2f52aa0556012b07ff719674fa121,38da564a24ac6d5fe2577c2e76a12125,ac,230,199.59,39.69
6736e5c695862a09a624bd125dbb023a,38da564a24ac6d5fe2577c2e76a12125,ac,230,86.8,36.54
8c2a764deaa90314ec45885571b5f88b,268c58341210244afeee9b860700acf0,ac,138,198.8,73.6
230702ca87b0cc2b16f76469574a34be,6397bb2d04a32b954909e4356bd68793,ac,500,631.63,62.08
268c58341210244afeee9b860700acf0,230702ca87b0cc2b16f76469574a34be,ac,230,241.9,36.44
268c58341210244afeee9b860700acf0,6397bb2d04a32b954909e4356bd68793,ac,230,122.81,26.44
16b2399ccd1419de9e098d7abf025eb6,245149b06f14727ef0eb8c159cc246d6,ac,138,213.08,60.18
7334fd848e4f779815ded2cdecd79c44,6b10bde7e3113dbf417c0696008ae9d9,ac,138,218.42,106.87
7334fd848e4f779815ded2cdecd79c44,68addc821b387ab5cc91c846b627a586,ac,138,193.17,72.53
7334fd848e4f779815ded2cdecd79c44,d8ecf6465d871b0d6541742b2ae60bde,ac,138,307.88,145.78
81c8486850edb808bf58650aaa3c36fd,93e7754e3229c4cd9167c5292a7773b5,ac,500,1174.23,141.73
81c8486850edb808bf58650aaa3c36fd,ea4f893317f30161c72d21075feaf713,ac,500,842.27,106.98
99b5346f86a0153f5f6c581f28b40ac9,779f17c15922a8121e2fa511a5342fa4,ac,230,156.46,47.86
82d693875bfe7c93f77f612ddf1f46eb,ecc28b249b1c770b0a603cc4cc5b76cd,ac,230,151.63,72.23
82d693875bfe7c93f77f612ddf1f46eb,d8ecf6465d871b0d6541742b2ae60bde,ac,230,142.87,65.06
90d5b3b7169fe2778c70337390510722,6736e5c695862a09a624bd125dbb023a,ac,138,157.37,48.35
38da564a24ac6d5fe2577c2e76a12125,57a2d4bce39348d41d45c639cf9fb371,ac,230,83.41,36.82
99b5346f86a0153f5f6c581f28b40ac9,230702ca87b0cc2b16f76469574a34be,ac,138,359.91,68.89
3ef08038549f7967bd238717afda95ed,8f3711e4d3e3b05b3f4bb7caa55e204a,ac,138,82.61,44.1
38da564a24ac6d5fe2577c2e76a12125,8134736e3bba7bedeb99312cc5d7f4e4,ac,138,147.78,70.97
3ef08038549f7967bd238717afda95ed,38da564a24ac6d5fe2577c2e76a12125,ac,230,63.25,32.38
3ef08038549f7967bd238717afda95ed,57a2d4bce39348d41d45c639cf9fb371,ac,230,102.02,50.15
3ef08038549f7967bd238717afda95ed,75bba14f3b9c2c2fbaab30d94e502d54,ac,500,362.17,80.41
90d5b3b7169fe2778c70337390510722,c610cfef1f7f60b84c4daae59531dd03,ac,500,451.41,66.1
90d5b3b7169fe2778c70337390510722,75bba14f3b9c2c2fbaab30d94e502d54,ac,500,416.25,72.68
90d5b3b7169fe2778c70337390510722,8134736e3bba7bedeb99312cc5d7f4e4,ac,500,218.16,37.42
90d5b3b7169fe2778c70337390510722,230702ca87b0cc2b16f76469574a34be,ac,500,273.75,42.92
245149b06f14727ef0eb8c159cc246d6,0fff885ae427e3adae25dbb31251470c,ac,230,336.54,61.31
8134736e3bba7bedeb99312cc5d7f4e4,57a2d4bce39348d41d45c639cf9fb371,ac,230,80.56,37.12
779f17c15922a8121e2fa511a5342fa4,68addc821b387ab5cc91c846b627a586,ac,230,181.17,59.39
779f17c15922a8121e2fa511a5342fa4,90d5b3b7169fe2778c70337390510722,ac,345,857.26,112.85
d4366c47a957a1d968dc4fde9667a5be,2ec937378ea08e49faa1a6608880d002,ac,230,123.24,64.32
7aaf37e89f509a9096bb55d921846ff2,16b2399ccd1419de9e098d7abf025eb6,ac,138,124.26,37.0
7aaf37e89f509a9096bb55d921846ff2,82d693875bfe7c93f77f612ddf1f46eb,ac,138,142.72,51.71
7aaf37e89f509a9096bb55d921846ff2,258b55f3d6bc1cafb846ac3bbe5bc643,ac,230,103.39,46.57
7aaf37e89f509a9096bb55d921846ff2,0fff885ae427e3adae25dbb31251470c,ac,230,313.83,96.7
779f17c15922a8121e2fa511a5342fa4,6b10bde7e3113dbf417c0696008ae9d9,ac,500,147.48,38.97
779f17c15922a8121e2fa511a5342fa4,c610cfef1f7f60b84c4daae59531dd03,ac,500,354.21,80.39
779f17c15922a8121e2fa511a5342fa4,230702ca87b0cc2b16f76469574a34be,ac,500,1011.29,115.1
51e706f8b33d4020dbe481ae37603842,f4c1f8a98bd9d71eacac4a85c855e149,ac,230,163.09,57.8
51e706f8b33d4020dbe481ae37603842,245149b06f14727ef0eb8c159cc246d6,ac,230,248.51,72.9
a4ed13a6f161d96f8aa20727345a3158,ea4f893317f30161c72d21075feaf713,ac,500,249.62,65.81
a4ed13a6f161d96f8aa20727345a3158,d14df0e3482dbfefc31bbf9196420883,ac,500,951.8,248.22
a83d567f09e542dbe66a7e1a9430504a,4de4cf2af5c1f2718c1cf05b76744d41,ac,138,76.88,43.35
4de4cf2af5c1f2718c1cf05b76744d41,2ec937378ea08e49faa1a6608880d002,ac,138,60.53,34.29
ecc28b249b1c770b0a603cc4cc5b76cd,d8ecf6465d871b0d6541742b2ae60bde,ac,230,141.91,61.11
c610cfef1f7f60b84c4daae59531dd03,711fdb7d82d96139a0b28ff8f3d37a56,ac,138,93.84,49.7
ecc28b249b1c770b0a603cc4cc5b76cd,4b440313d7f8dfa0629155da8af59613,ac,138,96.79,53.78
258b55f3d6bc1cafb846ac3bbe5bc643,cfc7c6a21387750bd3f2b14f8242d548,ac,138,156.85,46.98
f706d04e4f5dd59a8e4dde3ad238dfe9,ecc28b249b1c770b0a603cc4cc5b76cd,ac,138,92.07,50.53
f706d04e4f5dd59a8e4dde3ad238dfe9,d8ecf6465d871b0d6541742b2ae60bde,ac,138,140.28,71.81
29caed99fc1dd3b1885e56417648e1e6,fbdd35cdc8de9b2f34a18643c2014ab5,ac,500,1167.96,182.27
8f3711e4d3e3b05b3f4bb7caa55e204a,bb969c87c69d4aa51f6d1a21c913d8fa,ac,138,45.85,24.37
8d30d5cc8f42a400472f1b1a9ae7a1db,0c66ecade1fe6cf8e9c92080459986ff,ac,138,168.18,93.26
6b10bde7e3113dbf417c0696008ae9d9,f706d04e4f5dd59a8e4dde3ad238dfe9,ac,138,101.16,58.94
75bba14f3b9c2c2fbaab30d94e502d54,8134736e3bba7bedeb99312cc5d7f4e4,ac,230,105.01,35.49
75bba14f3b9c2c2fbaab30d94e502d54,8f3711e4d3e3b05b3f4bb7caa55e204a,ac,138,141.13,67.27
6b10bde7e3113dbf417c0696008ae9d9,c610cfef1f7f60b84c4daae59531dd03,ac,500,281.28,61.46
6b10bde7e3113dbf417c0696008ae9d9,ecc28b249b1c770b0a603cc4cc5b76cd,ac,500,399.11,102.86
319b2600b8defbf79afcb125d55ff9c7,d1753623bca69e9b6549954e526d6b64,ac,230,53.08,28.59
319b2600b8defbf79afcb125d55ff9c7,2ec937378ea08e49faa1a6608880d002,ac,230,74.75,39.38
258b55f3d6bc1cafb846ac3bbe5bc643,0fff885ae427e3adae25dbb31251470c,ac,230,346.46,84.13
258b55f3d6bc1cafb846ac3bbe5bc643,ecc28b249b1c770b0a603cc4cc5b76cd,ac,230,93.9,40.43
6b10bde7e3113dbf417c0696008ae9d9,57a2d4bce39348d41d45c639cf9fb371,ac,345,880.73,170.67
6b10bde7e3113dbf417c0696008ae9d9,d2e2db7fd52f7d7e8880ee081f5cd521,ac,230,160.08,88.27
6b10bde7e3113dbf417c0696008ae9d9,711fdb7d82d96139a0b28ff8f3d37a56,ac,230,166.15,86.35
50429f255f0345eb0f7c06048a3bfd71,ae401e91c59522060b39dc28b850fad3,ac,230,647.29,213.13
50429f255f0345eb0f7c06048a3bfd71,a4ed13a6f161d96f8aa20727345a3158,ac,230,205.42,99.21
50429f255f0345eb0f7c06048a3bfd71,d14df0e3482dbfefc31bbf9196420883,ac,230,552.81,299.7
50429f255f0345eb0f7c06048a3bfd71,f95164989b1010c59e4a64bd7bd6f192,ac,500,1573.5,261.59
50429f255f0345eb0f7c06048a3bfd71,93e7754e3229c4cd9167c5292a7773b5,ac,500,1221.28,255.86
f5a7c84ef5817d4f09432d22bfeb2a45,4cb2ca077f51dd1ea110325095c79c87,ac,138,56.79,33.08
e120d8cb6af50a5cbf76b8fafd89afb6,b7d944793cfd1c1f1b156d5d4ed191fe,ac,138,62.41,36.3
75bba14f3b9c2c2fbaab30d94e502d54,57a2d4bce39348d41d45c639cf9fb371,ac,500,185.64,36.9
2ee7d49cbf53f1079bfd51cce6a1c06f,4cb2ca077f51dd1ea110325095c79c87,ac,230,104.4,57.98
37654b793d96ed06d8c2bfa60658a502,4cb2ca077f51dd1ea110325095c79c87,ac,138,98.56,57.43
