name,from_lon,from_lat,to_lon,to_lat,polarity,voltage,cost_MUSD,length_miles
cross_sound_cable,-72.90222222,41.28666667,-72.8675,40.95916667,dc,500,158.9,25.01
cu,-101.15638889,47.37333333,-93.81,45.11111111,dc,500,902.03,417.1
neptune_cable,-73.55111111,40.76055556,-74.35308333,40.47371667,dc,500,779.16,61.47
pacific_dc_intertie,-121.11416667,45.59416667,-118.48916667,34.31083333,dc,500,2564.51,898.16
path_27,-112.58083333,39.50055556,-117.43722222,34.55111111,dc,500,1257.08,509.74
square_butte,-101.19583333,47.07166667,-92.29416667,46.77361111,dc,500,976.0,438.59
sunzia,-105.5939222,34.3491456,-111.5425066,32.8669515,dc,500,923.75,376.75
trans_bay_cable,-121.89666667,38.03083333,-122.38583333,37.75472222,dc,500,384.27,39.89
transwestexpress,-107.176147,41.747242,-112.590781,39.541825,dc,500,959.92,374.97
z134:p100~~p116,-78.27316353,38.77897424,-80.17476357,38.90026172,dc,500,324.56,108.32
z134:p101~~p102,-82.16153403,28.61064555,-80.53764432,26.73510998,dc,500,434.06,181.34
z134:p103~~p104,-84.61125526,43.8762499,-85.90412288,42.06614027,dc,500,348.74,153.74
z134:p103~~p105,-84.61125526,43.8762499,-86.25403168,40.72629479,dc,500,562.4,251.83
z134:p103~~p111,-84.61125526,43.8762499,-81.86700237,41.30455522,dc,500,631.54,272.49
z134:p103~~p122,-84.61125526,43.8762499,-76.28677225,40.53840825,dc,500,1374.18,584.27
z134:p103~~p127,-84.61125526,43.8762499,-75.58732565,42.99934248,dc,500,1511.49,646.29
z134:p103~~p134,-84.61125526,43.8762499,-69.23781577,45.35740733,dc,500,2418.6,1017.76
z134:p104~~p105,-85.90412288,42.06614027,-86.25403168,40.72629479,dc,500,223.84,98.65
z134:p105~~p106,-86.25403168,40.72629479,-86.095367,39.92694431,dc,500,143.37,62.16
z134:p105~~p107,-86.25403168,40.72629479,-86.32272656,38.88485934,dc,500,312.27,133.06
z134:p105~~p112,-86.25403168,40.72629479,-82.80095864,40.13748215,dc,500,438.1,193.02
z134:p105~~p127,-86.25403168,40.72629479,-75.58732565,42.99934248,dc,500,1407.87,620.0
z134:p105~~p131,-86.25403168,40.72629479,-71.79474674,42.25461052,dc,500,1942.35,823.83
z134:p106~~p107,-86.095367,39.92694431,-86.32272656,38.88485934,dc,500,202.97,76.98
z134:p107~~p108,-86.32272656,38.88485934,-87.22105398,37.51815832,dc,500,255.86,115.58
z134:p107~~p109,-86.32272656,38.88485934,-84.52641444,37.82027791,dc,500,299.5,130.49
z134:p107~~p112,-86.32272656,38.88485934,-82.80095864,40.13748215,dc,500,558.77,229.97
z134:p107~~p114,-86.32272656,38.88485934,-84.25213261,39.20095459,dc,500,310.62,126.81
z134:p108~~p109,-87.22105398,37.51815832,-84.52641444,37.82027791,dc,500,352.04,158.42
z134:p109~~p110,-84.52641444,37.82027791,-82.88400715,37.58371161,dc,500,209.32,92.58
z134:p109~~p112,-84.52641444,37.82027791,-82.80095864,40.13748215,dc,500,473.6,207.54
z134:p109~~p114,-84.52641444,37.82027791,-84.25213261,39.20095459,dc,500,256.92,104.28
z134:p109~~p118,-84.52641444,37.82027791,-80.87858774,37.06974171,dc,500,508.9,214.02
z134:p10~~p11,-117.15992686,35.12105363,-116.73493496,33.03408966,dc,500,747.06,206.07
z134:p10~~p12,-117.15992686,35.12105363,-116.76501417,39.57265625,dc,500,971.2,389.62
z134:p10~~p13,-117.15992686,35.12105363,-115.01366961,36.21387654,dc,500,535.75,182.65
z134:p10~~p25,-117.15992686,35.12105363,-111.91422885,39.08215518,dc,500,1229.17,498.81
z134:p10~~p27,-117.15992686,35.12105363,-113.76209955,35.69784258,dc,500,640.15,270.73
z134:p10~~p28,-117.15992686,35.12105363,-111.61025637,34.16709078,dc,500,969.02,358.84
z134:p10~~p31,-117.15992686,35.12105363,-106.59023968,34.6065333,dc,500,1530.06,644.94
z134:p110~~p112,-82.88400715,37.58371161,-82.80095864,40.13748215,dc,500,425.3,185.55
z134:p110~~p117,-82.88400715,37.58371161,-81.70096999,38.00344574,dc,500,177.11,75.02
z134:p110~~p118,-82.88400715,37.58371161,-80.87858774,37.06974171,dc,500,300.48,121.44
z134:p111~~p112,-81.86700237,41.30455522,-82.80095864,40.13748215,dc,500,238.35,102.64
z134:p111~~p115,-81.86700237,41.30455522,-79.86932478,40.38084573,dc,500,358.67,136.8
z134:p111~~p116,-81.86700237,41.30455522,-80.17476357,38.90026172,dc,500,466.5,199.75
z134:p111~~p122,-81.86700237,41.30455522,-76.28677225,40.53840825,dc,500,773.37,305.83
z134:p112~~p113,-82.80095864,40.13748215,-83.93873496,39.75565377,dc,500,188.33,76.96
z134:p112~~p114,-82.80095864,40.13748215,-84.25213261,39.20095459,dc,500,280.95,114.55
z134:p112~~p115,-82.80095864,40.13748215,-79.86932478,40.38084573,dc,500,389.2,169.03
z134:p112~~p116,-82.80095864,40.13748215,-80.17476357,38.90026172,dc,500,400.93,177.04
z134:p112~~p117,-82.80095864,40.13748215,-81.70096999,38.00344574,dc,500,396.41,171.98
z134:p112~~p127,-82.80095864,40.13748215,-75.58732565,42.99934248,dc,500,1014.92,443.81
z134:p112~~p134,-82.80095864,40.13748215,-69.23781577,45.35740733,dc,500,1926.45,815.82
z134:p113~~p114,-83.93873496,39.75565377,-84.25213261,39.20095459,dc,500,113.91,45.24
z134:p115~~p116,-79.86932478,40.38084573,-80.17476357,38.90026172,dc,500,255.44,106.32
z134:p115~~p122,-79.86932478,40.38084573,-76.28677225,40.53840825,dc,500,487.54,201.28
z134:p116~~p117,-80.17476357,38.90026172,-81.70096999,38.00344574,dc,500,255.1,106.8
z134:p116~~p118,-80.17476357,38.90026172,-80.87858774,37.06974171,dc,500,350.2,139.04
z134:p116~~p120,-80.17476357,38.90026172,-77.86296392,39.92662364,dc,500,371.05,146.15
z134:p116~~p121,-80.17476357,38.90026172,-77.50609328,39.49881674,dc,500,409.67,159.97
z134:p117~~p118,-81.70096999,38.00344574,-80.87858774,37.06974171,dc,500,204.12,80.01
z134:p119~~p122,-77.99562482,41.33663796,-76.28677225,40.53840825,dc,500,282.43,113.22
z134:p120~~p121,-77.86296392,39.92662364,-77.50609328,39.49881674,dc,500,95.39,36.0
z134:p120~~p122,-77.86296392,39.92662364,-76.28677225,40.53840825,dc,500,251.05,97.42
z134:p121~~p122,-77.50609328,39.49881674,-76.28677225,40.53840825,dc,500,260.34,104.17
z134:p121~~p123,-77.50609328,39.49881674,-76.35304548,38.89366177,dc,500,338.7,87.56
z134:p122~~p123,-76.28677225,40.53840825,-76.35304548,38.89366177,dc,500,415.98,151.07
z134:p122~~p125,-76.28677225,40.53840825,-75.49933961,38.98534827,dc,500,339.35,126.74
z134:p122~~p126,-76.28677225,40.53840825,-74.66277334,40.17966937,dc,500,300.01,101.12
z134:p122~~p127,-76.28677225,40.53840825,-75.58732565,42.99934248,dc,500,433.2,180.61
z134:p122~~p131,-76.28677225,40.53840825,-71.79474674,42.25461052,dc,500,853.44,324.74
z134:p123~~p124,-76.35304548,38.89366177,-75.72664655,37.60377329,dc,500,452.1,147.65
z134:p123~~p125,-76.35304548,38.89366177,-75.49933961,38.98534827,dc,500,164.88,57.22
z134:p125~~p126,-75.49933961,38.98534827,-74.66277334,40.17966937,dc,500,311.06,107.96
z134:p126~~p127,-74.66277334,40.17966937,-75.58732565,42.99934248,dc,500,581.88,223.1
z134:p127~~p128,-75.58732565,42.99934248,-73.00505025,40.84011058,dc,500,1254.37,279.69
z134:p127~~p129,-75.58732565,42.99934248,-72.66583269,44.06877327,dc,500,446.75,180.27
z134:p127~~p131,-75.58732565,42.99934248,-71.79474674,42.25461052,dc,500,551.02,219.19
