r,PJMcounty,UTcounty
p1,ba,aggreg
p2,ba,aggreg
p3,ba,aggreg
p4,ba,aggreg
p5,ba,aggreg
p6,ba,aggreg
p7,ba,aggreg
p8,ba,aggreg
p9,ba,aggreg
p10,ba,aggreg
p11,ba,aggreg
p12,ba,aggreg
p13,ba,aggreg
p14,ba,aggreg
p15,ba,aggreg
p16,ba,aggreg
p17,ba,aggreg
p18,ba,aggreg
p19,ba,aggreg
p20,ba,aggreg
p21,ba,aggreg
p22,ba,aggreg
p23,ba,aggreg
p24,ba,aggreg
p25,ba,county
p26,ba,county
p27,ba,aggreg
p28,ba,aggreg
p29,ba,aggreg
p30,ba,aggreg
p31,ba,aggreg
p32,ba,aggreg
p33,ba,aggreg
p34,ba,aggreg
p35,ba,aggreg
p36,ba,aggreg
p37,ba,aggreg
p38,ba,aggreg
p39,ba,aggreg
p40,ba,aggreg
p41,ba,aggreg
p42,ba,aggreg
p43,ba,aggreg
p44,ba,aggreg
p45,county,aggreg
p46,county,aggreg
p47,ba,aggreg
p48,ba,aggreg
p49,ba,aggreg
p50,ba,aggreg
p51,ba,aggreg
p52,ba,aggreg
p53,ba,aggreg
p54,ba,aggreg
p55,ba,aggreg
p56,ba,aggreg
p57,ba,aggreg
p58,ba,aggreg
p59,ba,aggreg
p60,ba,aggreg
p61,ba,aggreg
p62,ba,aggreg
p63,ba,aggreg
p64,ba,aggreg
p65,ba,aggreg
p66,ba,aggreg
p67,ba,aggreg
p68,ba,aggreg
p69,county,aggreg
p70,county,aggreg
p71,ba,aggreg
p72,ba,aggreg
p73,ba,aggreg
p74,county,aggreg
p75,county,aggreg
p76,county,aggreg
p77,county,aggreg
p78,county,aggreg
p79,county,aggreg
p80,county,aggreg
p81,county,aggreg
p82,county,aggreg
p83,county,aggreg
p84,ba,aggreg
p85,ba,aggreg
p86,ba,aggreg
p87,ba,aggreg
p88,ba,aggreg
p89,ba,aggreg
p90,ba,aggreg
p91,ba,aggreg
p92,county,aggreg
p93,county,aggreg
p94,ba,aggreg
p95,ba,aggreg
p96,ba,aggreg
p97,county,aggreg
p98,county,aggreg
p99,county,aggreg
p100,county,aggreg
p101,ba,aggreg
p102,ba,aggreg
p103,county,aggreg
p104,county,aggreg
p105,county,aggreg
p106,county,aggreg
p107,county,aggreg
p108,county,aggreg
p109,county,aggreg
p110,county,aggreg
p111,county,aggreg
p112,county,aggreg
p113,county,aggreg
p114,county,aggreg
p115,county,aggreg
p116,county,aggreg
p117,county,aggreg
p118,county,aggreg
p119,county,aggreg
p120,county,aggreg
p121,county,aggreg
p122,county,aggreg
p123,county,aggreg
p124,county,aggreg
p125,county,aggreg
p126,county,aggreg
p127,county,aggreg
p128,county,aggreg
p129,ba,aggreg
p130,ba,aggreg
p131,ba,aggreg
p132,ba,aggreg
p133,ba,aggreg
p134,ba,aggreg
