FIPS,r
53007,p1
53029,p1
53033,p1
53035,p1
53037,p1
53053,p1
53055,p1
53057,p1
53061,p1
53067,p1
53073,p1
53003,p2
53005,p2
53009,p2
53011,p2
53013,p2
53015,p2
53023,p2
53027,p2
53031,p2
53039,p2
53041,p2
53045,p2
53049,p2
53059,p2
53069,p2
53071,p2
53077,p2
53001,p3
53019,p3
53021,p3
53043,p3
53047,p3
53051,p3
53063,p3
53065,p3
53075,p3
53017,p4
53025,p4
41003,p5
41005,p5
41007,p5
41009,p5
41013,p5
41017,p5
41021,p5
41023,p5
41027,p5
41031,p5
41039,p5
41041,p5
41043,p5
41047,p5
41049,p5
41051,p5
41053,p5
41055,p5
41057,p5
41059,p5
41061,p5
41063,p5
41065,p5
41067,p5
41069,p5
41071,p5
41011,p6
41015,p6
41019,p6
41029,p6
41033,p6
41035,p6
41001,p7
41025,p7
41037,p7
41045,p7
06035,p8
06049,p8
06093,p8
06001,p9
06003,p9
06005,p9
06007,p9
06009,p9
06011,p9
06013,p9
06015,p9
06017,p9
06019,p9
06021,p9
06023,p9
06031,p9
06033,p9
06039,p9
06041,p9
06043,p9
06045,p9
06047,p9
06053,p9
06055,p9
06057,p9
06061,p9
06063,p9
06067,p9
06069,p9
06075,p9
06077,p9
06079,p9
06081,p9
06083,p9
06085,p9
06087,p9
06089,p9
06091,p9
06095,p9
06097,p9
06099,p9
06101,p9
06103,p9
06105,p9
06109,p9
06113,p9
06115,p9
06025,p10
06027,p10
06029,p10
06037,p10
06051,p10
06059,p10
06065,p10
06071,p10
06107,p10
06111,p10
06073,p11
32001,p12
32005,p12
32007,p12
32009,p12
32011,p12
32013,p12
32015,p12
32017,p12
32019,p12
32021,p12
32023,p12
32027,p12
32029,p12
32031,p12
32033,p12
32510,p12
32003,p13
16009,p14
16017,p14
16021,p14
16055,p14
16057,p14
16061,p14
16069,p14
16001,p15
16003,p15
16013,p15
16015,p15
16023,p15
16025,p15
16027,p15
16035,p15
16037,p15
16039,p15
16045,p15
16047,p15
16049,p15
16053,p15
16059,p15
16063,p15
16067,p15
16073,p15
16075,p15
16079,p15
16085,p15
16087,p15
16005,p16
16007,p16
16011,p16
16019,p16
16029,p16
16031,p16
16033,p16
16041,p16
16043,p16
16051,p16
16065,p16
16071,p16
16077,p16
16081,p16
16083,p16
30001,p17
30007,p17
30023,p17
30029,p17
30039,p17
30043,p17
30047,p17
30053,p17
30057,p17
30061,p17
30063,p17
30077,p17
30081,p17
30089,p17
30093,p17
30003,p18
30005,p18
30009,p18
30013,p18
30015,p18
30031,p18
30035,p18
30041,p18
30049,p18
30051,p18
30059,p18
30067,p18
30071,p18
30073,p18
30095,p18
30097,p18
30099,p18
30101,p18
30033,p19
30105,p19
30027,p20
30037,p20
30045,p20
30065,p20
30069,p20
30075,p20
30087,p20
30103,p20
30107,p20
30111,p20
56003,p21
56013,p21
56017,p21
56023,p21
56029,p21
56035,p21
56037,p21
56039,p21
56041,p21
56043,p21
56019,p22
56033,p22
56005,p23
56011,p23
56045,p23
56001,p24
56007,p24
56009,p24
56015,p24
56021,p24
56025,p24
56027,p24
56031,p24
49001,p25
49003,p25
49005,p25
49007,p25
49011,p25
49015,p25
49017,p25
49019,p25
49021,p25
49023,p25
49025,p25
49027,p25
49031,p25
49035,p25
49037,p25
49039,p25
49041,p25
49045,p25
49049,p25
49053,p25
49055,p25
49057,p25
49009,p26
49013,p26
49029,p26
49033,p26
49043,p26
49047,p26
49051,p26
04015,p27
04003,p28
04005,p28
04007,p28
04009,p28
04011,p28
04012,p28
04013,p28
04017,p28
04021,p28
04025,p28
04027,p28
04001,p29
04019,p30
04023,p30
35001,p31
35003,p31
35006,p31
35007,p31
35011,p31
35013,p31
35017,p31
35019,p31
35021,p31
35023,p31
35027,p31
35028,p31
35029,p31
35031,p31
35033,p31
35035,p31
35039,p31
35043,p31
35045,p31
35047,p31
35049,p31
35051,p31
35053,p31
35055,p31
35057,p31
35059,p31
35061,p31
46019,p32
46033,p32
46047,p32
46081,p32
46103,p32
08001,p33
08005,p33
08013,p33
08014,p33
08019,p33
08031,p33
08035,p33
08037,p33
08045,p33
08047,p33
08049,p33
08057,p33
08059,p33
08065,p33
08069,p33
08075,p33
08077,p33
08081,p33
08087,p33
08093,p33
08095,p33
08097,p33
08103,p33
08107,p33
08115,p33
08117,p33
08119,p33
08121,p33
08123,p33
08125,p33
08003,p34
08007,p34
08009,p34
08011,p34
08015,p34
08017,p34
08021,p34
08023,p34
08025,p34
08027,p34
08029,p34
08033,p34
08039,p34
08041,p34
08043,p34
08051,p34
08053,p34
08055,p34
08061,p34
08063,p34
08067,p34
08071,p34
08073,p34
08079,p34
08083,p34
08085,p34
08089,p34
08091,p34
08099,p34
08101,p34
08105,p34
08109,p34
08111,p34
08113,p34
30011,p35
30017,p35
30019,p35
30021,p35
30025,p35
30055,p35
30079,p35
30083,p35
30085,p35
30091,p35
30109,p35
38001,p36
38007,p36
38011,p36
38013,p36
38015,p36
38021,p36
38023,p36
38025,p36
38029,p36
38033,p36
38037,p36
38041,p36
38047,p36
38051,p36
38053,p36
38057,p36
38059,p36
38061,p36
38065,p36
38075,p36
38085,p36
38087,p36
38089,p36
38105,p36
38003,p37
38005,p37
38009,p37
38017,p37
38019,p37
38027,p37
38031,p37
38035,p37
38039,p37
38043,p37
38045,p37
38049,p37
38055,p37
38063,p37
38067,p37
38069,p37
38071,p37
38073,p37
38077,p37
38079,p37
38081,p37
38083,p37
38091,p37
38093,p37
38095,p37
