r,md5,node_lat,node_lon
p1,81c8486850edb808bf58650aaa3c36fd,47.80413219,-121.52720518
p10,c2569ac3e0e7d08fa48c5a41a8cf3386,35.12105363,-117.15992686
p10001,d89f3a35931c386956c1a402a8e09941,39.0859257,-75.56841539
p10003,f5dffc111454b227fbcdf36178dfe6ac,39.57687945,-75.65258951
p10005,6eb887126d24e8f1cd8ad5033482c781,38.6604882,-75.39000555
p101,a7081a9fdce7370a1e284c911f9ec14d,28.61064555,-82.16153403
p102,089c2b774311033fb9333a520dfcc41d,26.73510998,-80.53764432
p11,441271fa01294c9c0dd096b2f320bae9,33.03408966,-116.73493496
p11001,64254db8396e404d9223914a0bd355d2,38.90475808,-77.01628315
p12,f4736d2045b334cc746fa0838f667558,39.57265625,-116.76501417
p129,8b16b8589a919b5ac2a8e967f5840851,44.06877327,-72.66583269
p13,619c1be4c89a19705bf8e782db74d127,36.21387654,-115.01366961
p130,6dcecce2bf925ad09dd36d34a68b1f3e,43.67873388,-71.58021877
p131,b0a9bfcdece7417e88b93d054508e38e,42.25461052,-71.79474674
p132,de73b430b6b6c4ff2c828349fcc586bd,41.62044742,-72.7264833
p133,4e91093943d84c5d86a92cc691842322,41.67561684,-71.55359808
p134,746de7a2ddd516aba7e075df93ee1984,45.35740733,-69.23781577
p14,50429f255f0345eb0f7c06048a3bfd71,47.60393639,-116.62286863
p15,f95164989b1010c59e4a64bd7bd6f192,44.39350062,-115.22499865
p16,c9358d780569bcaad2c3c8d081af186b,43.04119611,-112.43934162
p17,ae401e91c59522060b39dc28b850fad3,46.78287505,-113.58090985
p17001,4c2d760f60a6ea70b0a10ef9ff2351f5,39.98777333,-91.1884112
p17003,020f6fecd026539260779d34aa1a6944,37.19146791,-89.33749113
p17005,79308b8c5a5f5f37f56b8ddcab734fab,38.88678061,-89.43553168
p17007,726bd18c52afc248015dcdbc463c6f85,42.32292105,-88.8233734
p17009,8db1625bead0f643f7f7913edc2a8434,39.96172299,-90.7503177
p17011,25819c8fe224033cc89bafa6a16cdd04,41.40409564,-89.52872471
p17013,3ee2f957cab60715fac7a587a62fab46,39.16893794,-90.66729804
p17015,690f9037d32604b195becdf8dce82890,42.06873535,-89.93426406
p17017,a3444e049a3a88560cba360c18001932,39.97357949,-90.24741598
p17019,597a335cf6a10ec4f1861d6397a2fcdf,40.13984495,-88.19917958
p17021,3418782f19ba5d9a4e992474eb65d250,39.54570109,-89.27726325
p17023,4768620a673136ae86da54a779b72766,39.3335286,-87.78774349
p17025,e4f26beeb0ae24b92ffd355f5e9c5fda,38.7541263,-88.49021369
p17027,7cb85538a4093e82fe8c551341057388,38.60648987,-89.42257439
p17029,c40ddeb230354b0371189e8e84b6a576,39.52028156,-88.22179623
p17031,9dfe163fd649f3b985fa8efd30a54391,41.83959243,-87.81619633
p17033,fbc4bc535f95f5f8d1b30bf34e4b4fbe,39.00262837,-87.75949887
p17035,58ef9df15219a07d73b176b3e664d735,39.27336711,-88.2402006
p17037,5739286cebed3495484f106535d1932a,41.89320092,-88.77032321
p17039,b228fef87b3d5a1f8f8f5d8af8a1ea25,40.17464419,-88.90413864
p17041,9426e9770a77cbcaefe1fb3a7e36327d,39.76947769,-88.21736633
p17043,33097b67fa51e0115312196ee8231b5b,41.85189078,-88.08557509
p17045,8295ef3608eee6550ef7ef27d4000177,39.67840098,-87.74556982
p17047,d118d975f3cdf403187a078f3a06f866,38.41639367,-88.05331153
p17049,f9c8cde98a8d6dfda2273e26fedaeda8,39.05974577,-88.58983045
p17051,ba66841940a5fb383b6258d37ed444dc,39.00004826,-89.02412365
p17053,b527e953c64bdaef2ca06d4b3c4e59b1,40.59680002,-88.22333492
p17055,4e9d4f159d588700cf812f18d9920017,37.9922806,-88.92417785
p17057,ea091ca6d4f474a765f3777597b384f8,40.472562,-90.20761738
p17059,2d6c3e4023165b5a99515b9bf87cb41d,37.76274321,-88.23048274
p17061,d358d2a68839eda9e25bbe539acf175d,39.35607282,-90.39058543
p17063,86ebc213e0f98319c2b45c900031c7c7,41.28498227,-88.41848824
p17065,2631f2f74cfaf1f994552c0316f5e220,38.08145479,-88.53909925
p17067,eeee5e5759e88c42b5846f5f06094dc3,40.40362129,-91.16479202
p17069,460c9b5698f98c052062fd25e2b2f6de,37.51824122,-88.26679451
p17071,6358390c66d2575ac3607502a92e34af,40.81792591,-90.92522881
p17073,c1efb218329e5aba0896676f9f3b994f,41.35301741,-90.13149183
p17075,6018b060f25866be75165c45a66ae3c6,40.74701517,-87.82429729
p17077,77382415bbfc9bcb5b2f5b5f5724406c,37.78505384,-89.38202337
p17079,7e5c6adb4152e8d402e5dba26664fa32,39.00997325,-88.1538422
p17081,35386b93dbcec730f8740ce4b6885216,38.3004521,-88.92401533
p17083,9ca90a44a71f38e32bc76ac9117f724a,39.08546214,-90.3565215
p17085,9a1d39510aeba78469e4c2c1fbceb8dd,42.36580442,-90.21246533
p17087,0fee63978c85715541a6a87d1d4d319a,37.4596023,-88.88094901
p17089,d7e81e78801865d4e4c1be615e762ba4,41.93864245,-88.4286575
p17091,c4aee399fbe5893f9bc44fa160ee3107,41.13777325,-87.86193779
p17093,d0e5dfb52f4a6325738b1042cce523d7,41.59052443,-88.42878434
p17095,f633469121cb1895ba8023439e8197df,40.93165018,-90.21323587
p17097,e0f9db367e8733c2938c6cd1a86eef56,42.32312913,-88.00357036
p17099,ff6de5ac77370be900c32c9647f0365a,41.34365185,-88.8859967
p17101,dfff88bd8e1ea034d76f39a71fb4ed4d,38.71990813,-87.72677559
p17103,3b0cc7bcc871da67259a21b278670614,41.74613641,-89.30033872
p17105,172a0351dd06161e7774ba5a3abe865b,40.89144513,-88.55754165
p17107,e9cde247132ad24f2a476a6d7a9dbd16,40.12441466,-89.3674501
p17109,39a1c9d01239a5ec30b5e7d8a4bbd627,40.45614128,-90.67787127
p17111,39ba1389e2930ff24e3101741c9009ea,42.32427537,-88.45241759
p17113,adeb5653cc2294473e88c23d6bfc4be3,40.49083446,-88.84740299
p17115,517190615c497358dbdf405aeac44c5b,39.85988025,-88.96158224
p17117,9bc09ac880e071ceb1d63cdafdce6e84,39.26076407,-89.92445307
p17119,bf65f07beaf1780ac1cf7dcf51cc8bfc,38.82971955,-89.90486478
p17121,579036d9585c651f97a1490a46616132,38.64950487,-88.91898769
p17123,56457b43d703d1633b36fec9a01ea51e,41.03322565,-89.34470598
p17125,a4ad68f61b704a2073c3952bc5ceb1c8,40.23961155,-89.91701804
p17127,369b35ac15709446de9ac5eac1ce9d9c,37.21892948,-88.70749722
p17129,ef7141e5a52641b0941128fcbbde8a27,40.02740473,-89.80222419
p17131,0c64b7c951c32ba2449ef04382ae00ef,41.20538446,-90.7413284
p17133,eaaab05200f0645e4451f748dc85ef7a,38.27847776,-90.17722596
p17135,ac863dac85e27c93e8fba1bc0ab49276,39.230914,-89.47877297
p17137,314e9197a43a6d40cef6f1629e2c3721,39.7154902,-90.20132536
p17139,586406bbb76b6baac45c43a81ec2e35c,39.64139495,-88.6192436
p17141,48feffb437c5fead9eac3fe8eca4e8f4,42.04261981,-89.3206457
p17143,b666545e24ea289be13796baae7463e3,40.78790953,-89.7601192
p17145,8c2c809f0f90fb60826f6fe06add8fe9,38.08373081,-89.3670165
p17147,80a756687927824d47a6a00843416c45,40.0101199,-88.59115641
p17149,c04819b0706f1f3fe9352ea81623d826,39.622425,-90.88622517
p17151,c44cc3a1dafb37ba0bec93b81ee3796a,37.41252514,-88.56153489
p17153,83348779460c0e343cf5903bde2f4611,37.22314504,-89.12664647
p17155,2572bd363583b4c28b31fcbb15df5837,41.20446642,-89.28579159
p17157,c9fa5a72863b86fe0c7dc5902e21fb17,38.05202942,-89.82512519
p17159,986ad3ada4d93c1c474674751f941082,38.71231719,-88.08512921
p17161,4b9cdbca9d45cbdf296414aac1d7d964,41.46736787,-90.5680158
p17163,21d08aefdb2764142f6c510fd3982b43,38.47021397,-89.92826179
p17165,4de682d9e24cb3cccc7fa371dd842051,37.75306939,-88.54074204
p17167,ac0bfdba5fb1f97273dbcc5039c665c4,39.75811531,-89.65910388
p17169,d7cbbc7d02fca8a32ac5a3b5161ee19c,40.15806481,-90.61500379
p17171,ffb04b3fde58882155c0f560b7e20bea,39.64406546,-90.47468743
p17173,c1160f0432464eb6110ada4a0ac56917,39.39107945,-88.80542263
p17175,0d730fb2cb696e47fbbe4b2054b10de7,41.09334107,-89.79749353
p17177,7d78ce41a918d71886c6124f0013c92e,42.35179241,-89.6622489
p17179,291ebc13dd6538bae3ec7959b8d770dc,40.50738702,-89.5135093
p17181,d034a7eda6e49ec2b22c5eee94b053c7,37.47125948,-89.2551012
p17183,439b968b83f96a704ad09bf8ffe2e91b,40.18299687,-87.7328258
p17185,b0b9da81cf357c8884a06de8ef72bea0,38.44603056,-87.84435436
p17187,b5eded274dbfe983c9a4bb1f5ed640cc,40.8486314,-90.61503707
p17189,a431593a04b99572ab390b80e596b75e,38.35219825,-89.41051442
p17191,6ce64974339716970bc8d1b81e97c6ea,38.42952527,-88.42560948
p17193,8a618b8f8f01a09230853dbe6f581c27,38.08740314,-88.17960575
p17195,00b4cca849ad2b96d2b193f453785a13,41.75620645,-89.91411432
p17197,9fc14d103064494b6a2be4dbd1dcdf32,41.44495476,-87.97846461
p17199,f7c0dc716cd86f8d162c366d370baf14,37.7302427,-88.92992694
p17201,3da3e32030bd705ee69c42ee0ac833b1,42.33618229,-89.16081663
p17203,2cb2cdcca9bdd55a897d897ac67f7e39,40.78824625,-89.2112905
p18,16f6598b8413c2691f729ba63964007d,48.08647186,-111.55656715
p18001,6cbab356d49502660d99ed767604a327,40.74552852,-84.93665109
p18003,6563f4cdc1f2ef1ad710ad6772ea022b,41.09080717,-85.06657768
p18005,1194292054da355d3be4c0d3b69b9d9f,39.20591542,-85.89765014
p18007,f2aaab100e39e5fd93ff0bbb01d4f212,40.60623221,-87.31090109
p18009,e25f50c93d321b7fdff05757de426238,40.47357467,-85.32481761
p18011,45ebd93b65d907b7f84545b9aed9af8f,40.05079708,-86.46871032
p18013,87da4431e0eed76ea31c948f8310ca79,39.19613721,-86.22736844
p18015,96bcb45a6e30b2b3381934344b10a7ce,40.58279714,-86.56341993
p18017,a561e7ebcac8441387d4fe143fdef87f,40.76140706,-86.34584119
p18019,2be1f64cae97e3767efd3c0bef7b0779,38.47720509,-85.70722415
p18021,9677548ee4ee2f157590053c5c5f56c4,39.39255385,-87.1158069
p18023,67850e1842b9a87088817efe86d05e1d,40.30167631,-86.47513899
p18025,7c2298145b05dcbb16dac39a625011c4,38.29236743,-86.45165735
p18027,305a36410e0226dff92a16e99555ba5f,38.70228693,-87.07209454
p18029,18a7f966b0a5c8bc7da57ca7a7521c4f,39.14509031,-84.97333099
p18031,a188f3460170e7c988fb9a27034f0f06,39.30694435,-85.50123199
p18033,80fe651f52abe7a9ea11a3cc79f5a170,41.3975404,-84.9990847
