r,md5,node_lat,node_lon
p1,81c8486850edb808bf58650aaa3c36fd,47.80413219,-121.52720518
p10,c2569ac3e0e7d08fa48c5a41a8cf3386,35.12105363,-117.15992686
p100,e988e41095a48351c09cfe80f6161869,38.77897424,-78.27316353
p101,a7081a9fdce7370a1e284c911f9ec14d,28.61064555,-82.16153403
p102,089c2b774311033fb9333a520dfcc41d,26.73510998,-80.53764432
p103,42bb03d3add0a66d014c906068115e46,43.8762499,-84.61125526
p104,4da38aec984d2f54d9c94ac5e0c52c4f,42.06614027,-85.90412288
p105,da069bebe7081ef408226af132da7c0d,40.72629479,-86.25403168
p106,5dda14dceff88ccb8e58084e3ffd8a62,39.92694431,-86.095367
p107,32b031edd94ec4d9025c0fbe7fc6305e,38.88485934,-86.32272656
p108,f8ae3a8666d27a423a432882a499cbef,37.51815832,-87.22105398
p109,1be7cdda1f3560f9e683ff9bf7cecd19,37.82027791,-84.52641444
p11,441271fa01294c9c0dd096b2f320bae9,33.03408966,-116.73493496
p110,a92cebc10404d91ff219ca8c398227fe,37.58371161,-82.88400715
p111,d34e99f4fc5e106d27f9c721538f3bad,41.30455522,-81.86700237
p112,bcf2ce6fefd11c254550ee3c9d30091f,40.13748215,-82.80095864
p113,0efebfc9c17d8f848bd31effafc7f34e,39.75565377,-83.93873496
p114,ccf23c9a347df1e6e7a2ee337bbea8df,39.20095459,-84.25213261
p115,2bfd05a005defe4908a592702fc92f11,40.38084573,-79.86932478
p116,985352fe939d92ffe954c4a2a3588194,38.90026172,-80.17476357
p117,9d0ced734ae37ad7800f6b211e2b508c,38.00344574,-81.70096999
p118,ef62583f2a188c1088fab045f006d43e,37.06974171,-80.87858774
p12,f4736d2045b334cc746fa0838f667558,39.57265625,-116.76501417
p120,67d860197c7748f4d526fc1ee8bc8a08,39.92662364,-77.86296392
p121,93b578af61a3e7e15ca7125de55ff97e,39.49881674,-77.50609328
p123,03ab771f3c62e60062fa54aa7be9ba3d,38.89366177,-76.35304548
p124,3334ffb1671fcb5b4068585de8eb64fb,37.60377329,-75.72664655
p125,a182e260da3f30b54260bf499f0db584,38.98534827,-75.49933961
p126,9f7e16bb747b8f99aefaf75261613b71,40.17966937,-74.66277334
p127,67009520c305285f5900b623d46a7792,42.99934248,-75.58732565
p128,e29b0ce7815148548561f1e505388a87,40.84011058,-73.00505025
p129,8b16b8589a919b5ac2a8e967f5840851,44.06877327,-72.66583269
p13,619c1be4c89a19705bf8e782db74d127,36.21387654,-115.01366961
p130,6dcecce2bf925ad09dd36d34a68b1f3e,43.67873388,-71.58021877
p131,b0a9bfcdece7417e88b93d054508e38e,42.25461052,-71.79474674
p132,de73b430b6b6c4ff2c828349fcc586bd,41.62044742,-72.7264833
p133,4e91093943d84c5d86a92cc691842322,41.67561684,-71.55359808
p134,746de7a2ddd516aba7e075df93ee1984,45.35740733,-69.23781577
p14,50429f255f0345eb0f7c06048a3bfd71,47.60393639,-116.62286863
p15,f95164989b1010c59e4a64bd7bd6f192,44.39350062,-115.22499865
p16,c9358d780569bcaad2c3c8d081af186b,43.04119611,-112.43934162
p17,ae401e91c59522060b39dc28b850fad3,46.78287505,-113.58090985
p18,16f6598b8413c2691f729ba63964007d,48.08647186,-111.55656715
p19,3c7abc591eb9e683ef213f134f800a8b,47.83145626,-106.82890126
p2,93e7754e3229c4cd9167c5292a7773b5,46.63558835,-121.52605782
p20,3c8c149fa9b5eb887bb9d5cb446962dd,46.44019682,-108.01220465
p21,0c03add16b1ced2262e7d738a50e7c80,43.02938593,-109.27122026
p22,223606f488621a5b46d3b064f5c4ce83,44.32138902,-106.69473738
p23,932bd69975a061bb299f65fa80844851,44.24703513,-105.03634161
p24,303776352024811045f9ff9901443c3f,42.21713106,-105.84340623
p27,8f3fafdec035b1e90015ae6071184f54,35.69784258,-113.76209955
p29,dcb57819746b6e6c79cb5f8c208173d9,35.38468623,-109.48843324
p3,a4ed13a6f161d96f8aa20727345a3158,47.8997302,-118.4775817
p31,4026f5142c9d6374247865fc12b78aed,34.6065333,-106.59023968
p32,dc970afb98df33ca96cbeaf117d557ef,44.05686287,-103.3188474
p33,39aed10797372cd8a863c1c07217fb23,40.04403731,-105.87875049
p34,b54a53dc2c2eba9be275f1bebdf43546,38.11411763,-105.27644256
p35,5f3325f394c801db949611a1479a0091,47.140418,-105.02376919
p36,763acb37dd903a2b1beb16ffa228fda2,47.14542311,-102.05522753
p37,d05a9a29c3c9911f168ed347c35a4b45,47.69809765,-99.0387572
p38,a6c74eef3fc272cbdeedf746bae6cb32,44.48705973,-99.80784462
p39,13a5b8e63cf799aa784721c49418e2ff,41.72626681,-102.67501629
p4,ea4f893317f30161c72d21075feaf713,47.41580274,-119.54845201
p40,39753f11e0830e63c80c6058367f3e68,41.52133825,-99.17013321
p41,c533ff0a1fc30cbb1724812b9e8ba3fc,40.9564524,-96.33443022
p42,ca8a8fb4c0c308ce39ee7947b2c90faa,48.01572924,-95.4965009
p43,5335b9060b734d89e75fbd13d9e6d678,46.24990794,-93.66196443
p44,f8321cbf2c6664e0ad861b62b4b9cc27,44.41229814,-95.74043708
p45,731433ae706bd818b8f4a2fc52c7c4ca,42.42197121,-95.03227389
p46,9fc4a021090d7b9b09c86614fc20e69f,45.47227184,-91.36892425
p47,067bc5f0cba3b80da70aaf152ea88d00,33.46127096,-103.91132463
p48,f1da3aae38e4c24a774b1ef4cd727f3c,34.84980919,-101.7996265
p49,bf7153981003bd3bd3749ed4acd38f1a,36.75146918,-101.49888204
p49001,053126ddfffc6ab775ef39662e12cf52,38.35772025,-113.23563901
p49003,182f8293cae1335760d41293823dfe4f,41.52106202,-113.08258823
p49005,2826a001bddefaad0896bd7a85941b2f,41.72212114,-111.74344376
p49007,3a310e57a15323a5a7e55817941ddbaf,39.64848806,-110.58874381
p49009,a3711aac1e4321e6d19aebbee4595839,40.88758937,-109.5076088
p49011,cafda5b07243ef0ef4580c470d05995b,40.99007373,-112.11133556
p49013,d57ab89805400c7d1b2afdeffa449ff8,40.2973702,-110.42530803
p49015,4da9d3f6c8c9a4f46394dae6a353c67a,38.99604773,-110.70046834
p49017,2a5db3d6ce6a75fb53c80498ad253377,37.85632897,-111.44399621
p49019,c0eaa5931999618042cfc6a0801950f6,38.98128468,-109.56983039
p49021,2b73fd917ee9cc38ec528df06d5b8561,37.85952127,-113.28952251
p49023,965b0629796556420a03de497e780a03,39.70441011,-112.78419086
p49025,80a86f20a8ae1c080b2d5ae20608af13,37.28622276,-111.88826978
p49027,6efa2f3c1c7abe4626b5bcb95777cf83,39.07345475,-113.10097465
p49029,6ec00eeb639d309bafaeb0a3ea24fb3c,41.08913013,-111.57345918
p49031,7e17d1a0db048c466ba0a15fffaaa247,38.33662532,-112.1271423
p49033,d64d8db365e7a0f663896871ecf242ce,41.63154955,-111.24438785
p49035,60dfc9f44b250ed03992a2a1b39a30c1,40.66722673,-111.92361422
p49037,3f4b1d9d2b6b462288ff6d8ff9e6a5fe,37.62459945,-109.80689046
p49039,0b99bbe436f28d115e4438efd42eeeea,39.3733843,-111.57685514
p49041,0a16b09784bae8287858faf95511a66e,38.74783681,-111.80484351
p49043,07c24da9292451154d8d0d62c01efa38,40.86861835,-110.95609214
p49045,2da3df196ff25fa5183cddba80a6df9b,40.44836985,-113.13097932
p49047,255ca2107423f7f52254a5564d6d04ad,40.12293547,-109.51865997
p49049,269dce383b169909785f4fda1ed47913,40.11978369,-111.66966917
p49051,e13963f0c129b9da11f1e4721f423745,40.33038475,-111.16773164
p49053,9c2bfd97ce00ce9553bdc0f34c3532b6,37.28051577,-113.50446729
p49055,44e444f86a50a6b522af623e41d0a578,38.32543921,-110.90358898
p49057,f45441ae6bc4a14109990b452feea703,41.2700454,-111.91367255
p5,d14df0e3482dbfefc31bbf9196420883,44.8758229,-120.84858533
p50,659da38be76d59b7d7a367461dccd526,35.29751298,-97.47898472
p51,8ae3c663d7ba9b60f34f7b6a9b3c082f,36.27624442,-95.63177773
p52,744cfcb9a849410f1504072e7d550c27,38.75868385,-101.03458436
p53,fdd900ee1dca847b74e8214fe891d07b,38.39157084,-97.49793745
p54,2ed0fe988814146374118d0c8951917a,39.67019964,-93.97419616
p55,c1d852931fbfdeb81d82150e66ff1b93,37.38722214,-93.62367343
p56,90002bf5ef1cfa8ee0a16c322eec8523,35.48090299,-93.59505047
p57,b0e06b6f2054a497de04d202ee564d81,32.84787479,-94.52500088
p58,b2a7e6798b8976e16f5474472bc048e7,30.79723643,-91.97834975
p59,a9ca4ff9b3fbbfd6b427ef5503cfeda4,31.76851457,-106.23450948
p6,7fa28618d4d9be3da1a5f6db78e5b833,42.80374842,-122.80414235
p60,e596d14d3a13498a8c5c5092244ab966,33.41132391,-100.4866502
p61,db6bb71046588ae507769512b153877b,30.80627576,-102.52534008
p62,a037e398cd3cba1f8cc695243fd0b475,31.79268173,-102.35242639
p63,8c308893367eaff56253401f7bf278d7,32.36521363,-97.11394036
p64,3b72b1036881abc5835a0d03a75158d9,30.15101252,-98.03214389
p65,ea0e293ed86ef9e84f338977818d217b,28.123855,-98.34182956
p66,16ad53bab1bb4d09cc8ba1d008505359,30.70473578,-94.50491404
p67,3880aa9b7b692dc69f78610944837e08,29.53576642,-95.44616626
p68,e281c42ff80789ce8191383f292177db,43.84993423,-93.78878598
p69,474a154035b10ad6485d44dc2487007d,42.92060401,-92.13437773
p7,998030323db090e04d0a4c441ea7a89c,43.19385721,-118.7982225
p70,8809f5974c393fc1005738dff8a6c89a,41.54815458,-92.64864641
p71,e26c03cdb4a2b9b5b07a1a3617a31054,39.98046911,-92.08030575
p72,097cef0f4fef21840023b70200d8d16a,38.50342187,-91.35906588
p73,c5810d144148240cfd1eb27bd16db8fa,37.68104225,-91.04678156
p74,0f26317917a3bae60bd3c09d1af0a68c,46.39738399,-88.14757936
p75,6331f5beb6468c61380ce0b89c127899,45.20926475,-88.85996946
p76,74ea157991af73f911f84b67876038ba,44.08576245,-89.1038466
p77,4ea2914c1cbddca243d7c14ebb65dfe1,43.41085624,-90.52129625
p78,677464510b89af9587279662cad6a3cf,42.86563989,-89.36143047
p79,057346f3ae61a320419fbb0782a25514,43.06703833,-88.27152587
p8,f156dc0192f71fd5070919987eae981e,41.31103089,-121.43547851
p80,45a1cae9e3fb7425c15bc04bec28af32,41.76755631,-88.78740634
p81,13a4db63e6133842cf8d9e53ca42281f,39.32261591,-89.78738098
p82,d270f6cbcb05873a13b8246ad26d267f,40.41209835,-89.50352109
p83,5cfe369a35e3fea63ec571ba7d59a8b4,39.72790165,-88.31387435
p84,e69945ac9f2b85c9b349337f496ea07c,37.06420364,-91.29496646
p85,5c5cee37968ac8e6d6b3544acde52143,34.67614755,-92.02206131
p86,0af5a35ffca83caff766c89c6da6f169,32.55385405,-91.93563781
p87,4ede11bf969e39ffa8bd7246f7269c96,32.30945125,-89.93377714
