FIPS,county_name,state
53007,chelan,WA
53029,island,WA
53033,king,WA
53035,kitsap,WA
53037,kittitas,WA
53053,pierce,WA
53055,san juan,WA
53057,skagit,WA
53061,snohomish,WA
53067,thurston,WA
53073,whatcom,WA
53003,asotin,WA
53005,benton,WA
53009,clallam,WA
53011,clark,WA
53013,columbia,WA
53015,cowlitz,WA
53023,garfield,WA
53027,grays harbor,WA
53031,jefferson,WA
53039,klickitat,WA
53041,lewis,WA
53045,mason,WA
53049,pacific,WA
53059,skamania,WA
53069,wahkiakum,WA
53071,walla walla,WA
53077,yakima,WA
53001,adams,WA
53019,ferry,WA
53021,franklin,WA
53043,lincoln,WA
53047,okanogan,WA
53051,pend oreille,WA
53063,spokane,WA
53065,stevens,WA
53075,whitman,WA
53017,douglas,WA
53025,grant,WA
41003,benton,OR
41005,clackamas,OR
41007,clatsop,OR
41009,columbia,OR
41013,crook,OR
41017,deschutes,OR
41021,gilliam,OR
41023,grant,OR
41027,hood river,OR
41031,jefferson,OR
41039,lane,OR
41041,lincoln,OR
41043,linn,OR
41047,marion,OR
41049,morrow,OR
41051,multnomah,OR
41053,polk,OR
41055,sherman,OR
41057,tillamook,OR
41059,umatilla,OR
41061,union,OR
41063,wallowa,OR
41065,wasco,OR
41067,washington,OR
41069,wheeler,OR
41071,yamhill,OR
41011,coos,OR
41015,curry,OR
41019,douglas,OR
41029,jackson,OR
41033,josephine,OR
41035,klamath,OR
41001,baker,OR
41025,harney,OR
41037,lake,OR
41045,malheur,OR
06035,lassen,CA
06049,modoc,CA
06093,siskiyou,CA
06001,alameda,CA
06003,alpine,CA
06005,amador,CA
06007,butte,CA
06009,calaveras,CA
06011,colusa,CA
06013,contra costa,CA
06015,del norte,CA
06017,el dorado,CA
06019,fresno,CA
06021,glenn,CA
06023,humboldt,CA
06031,kings,CA
06033,lake,CA
06039,madera,CA
06041,marin,CA
06043,mariposa,CA
06045,mendocino,CA
06047,merced,CA
06053,monterey,CA
06055,napa,CA
06057,nevada,CA
06061,placer,CA
06063,plumas,CA
06067,sacramento,CA
06069,san benito,CA
06075,san francisco,CA
06077,san joaquin,CA
06079,san luis obispo,CA
06081,san mateo,CA
06083,santa barbara,CA
06085,santa clara,CA
06087,santa cruz,CA
06089,shasta,CA
06091,sierra,CA
06095,solano,CA
06097,sonoma,CA
06099,stanislaus,CA
06101,sutter,CA
06103,tehama,CA
06105,trinity,CA
06109,tuolumne,CA
06113,yolo,CA
