ba,nercr,transreg,transgrp,st,interconnect,hurdlereg
oWA,WECC_NW,NorthernGrid,NorthernGrid_West,WA,western,Bonneville_Power_Administration
oOR_N,WECC_NW,NorthernGrid,NorthernGrid_West,OR,western,PacifiCorp_West
oOR_S,WECC_NW,NorthernGrid,NorthernGrid_West,OR,western,PacifiCorp_West
oCA_NNN,WECC_CA,CAISO,CAISO,CA,western,CAISO
oCA_NN,WECC_CA,CAISO,CAISO,CA,western,CAISO
oCA_N,WECC_CA,CAISO,CAISO,CA,western,CAISO
oCA_S,WECC_CA,CAISO,CAISO,CA,western,CAISO
oTX,ERCOT,ERCOT,ERCOT,TX,texas,ERCOT
oLA,MISO,MISO,MISO_South,LA,eastern,MISO
oFL_W,SERC_F,FRCC,FRCC,FL,eastern,Seminole_Electric_Coop_Inc
oFL_E,SERC_F,FRCC,FRCC,FL,eastern,Seminole_Electric_Coop_Inc
oSC,SERC_E,SERTP,SERTP,SC,eastern,South_Carolina_Electric_Gas_Co
oNC_S,SERC_E,SERTP,SERTP,NC,eastern,Duke_Energy_Progress_East
oNC_N,SERC_E,SERTP,SERTP,NC,eastern,Duke_Energy_Progress_East
oVA,PJM,PJM,PJM_East,VA,eastern,PJM
oNJ,PJM,PJM,PJM_East,NJ,eastern,PJM
oNY,NPCC_NY,NYISO,NYISO,NY,eastern,NYISO
oRI,NPCC_NE,ISONE,ISONE,RI,eastern,ISONE
oNH,NPCC_NE,ISONE,ISONE,NH,eastern,ISONE
oME,NPCC_NE,ISONE,ISONE,ME,eastern,ISONE
oMS,MISO,MISO,MISO_South,MS,eastern,MISO
oAL,SERC_SE,SERTP,SERTP,AL,eastern,PowerSouth_Energy_Coop
oGA,SERC_SE,SERTP,SERTP,GA,eastern,Southern_Co_Services_Inc
oMD,PJM,PJM,PJM_East,MD,eastern,PJM
oDE,PJM,PJM,PJM_East,DE,eastern,PJM
oCT,NPCC_NE,ISONE,ISONE,CT,eastern,ISONE
oMA,NPCC_NE,ISONE,ISONE,MA,eastern,ISONE
