r,nercr,transreg,transgrp,st,interconnect,hurdlereg,aggreg
p1,WECC_NW,NorthernGrid,NorthernGrid_West,WA,western,Puget_Sound_Energy_Inc,p1
p2,WECC_NW,NorthernGrid,NorthernGrid_West,WA,western,Bonneville_Power_Administration,p2
p3,WECC_NW,NorthernGrid,NorthernGrid_West,WA,western,Avista_Corp,p3
p4,WECC_NW,NorthernGrid,NorthernGrid_West,WA,western,PUD_No2_of_Grant_County,p4
p5,WECC_NW,NorthernGrid,NorthernGrid_West,OR,western,Bonneville_Power_Administration,p5
p6,WECC_NW,NorthernGrid,NorthernGrid_West,OR,western,PacifiCorp_West,p6
p7,WECC_NW,NorthernGrid,NorthernGrid_West,OR,western,Bonneville_Power_Administration,p7
p8,WECC_NW,NorthernGrid,NorthernGrid_South,CA,western,PacifiCorp_West,p8
p9,WECC_CA,CAISO,CAISO,CA,western,CAISO,p9
p10,WECC_CA,CAISO,CAISO,CA,western,CAISO,p10
p11,WECC_CA,CAISO,CAISO,CA,western,CAISO,p11
p12,WECC_NW,NorthernGrid,NorthernGrid_South,NV,western,Nevada_Power_Co,p12
p13,WECC_NW,NorthernGrid,NorthernGrid_South,NV,western,Nevada_Power_Co,p13
p14,WECC_NW,NorthernGrid,NorthernGrid_East,ID,western,Avista_Corp,p14
p15,WECC_NW,NorthernGrid,NorthernGrid_East,ID,western,Idaho_Power_Co,p15
p16,WECC_NW,NorthernGrid,NorthernGrid_East,ID,western,Idaho_Power_Co,p16
p17,WECC_NW,NorthernGrid,NorthernGrid_East,MT,western,Northwestern_Energy,p17
p18,WECC_NW,NorthernGrid,NorthernGrid_East,MT,western,Northwestern_Energy,p18
p19,WECC_NW,NorthernGrid,NorthernGrid_East,MT,western,WAPA_Upper_Great_Plains_West,p19
p20,WECC_NW,NorthernGrid,NorthernGrid_East,MT,western,Northwestern_Energy,p20
p21,WECC_NW,NorthernGrid,NorthernGrid_East,WY,western,PacifiCorp_East,p21
p22,WECC_NW,NorthernGrid,NorthernGrid_East,WY,western,PacifiCorp_East,p22
p23,WECC_NW,WestConnect,WestConnect_North,WY,western,WAPA_Rocky_Mountain_Region,p23
p24,WECC_NW,WestConnect,WestConnect_North,WY,western,WAPA_Rocky_Mountain_Region,p24
p25,WECC_NW,NorthernGrid,NorthernGrid_South,UT,western,PacifiCorp_East,p25
p26,WECC_NW,NorthernGrid,NorthernGrid_South,UT,western,PacifiCorp_East,p26
p27,WECC_SW,WestConnect,WestConnect_South,AZ,western,WAPA_Desert_Southwest_Region,p27
p28,WECC_SW,WestConnect,WestConnect_South,AZ,western,Arizona_Public_Service_Co,z28
p29,WECC_SW,WestConnect,WestConnect_South,AZ,western,Arizona_Public_Service_Co,p29
p30,WECC_SW,WestConnect,WestConnect_South,AZ,western,Arizona_Public_Service_Co,z28
p31,WECC_SW,WestConnect,WestConnect_South,NM,western,Public_Service_Co_of_New_Mexico,p31
p32,WECC_NW,WestConnect,WestConnect_North,SD,western,WAPA_Rocky_Mountain_Region,p32
p33,WECC_NW,WestConnect,WestConnect_North,CO,western,Public_Service_Co_of_Colorado,p33
p34,WECC_NW,WestConnect,WestConnect_North,CO,western,Public_Service_Co_of_Colorado,p34
p35,SPP,SPP,SPP_North,MT,eastern,SPP,p35
p36,SPP,SPP,SPP_North,ND,eastern,SPP,p36
p37,MISO,MISO,MISO_North,ND,eastern,MISO,p37
p38,SPP,SPP,SPP_North,SD,eastern,SPP,p38
p39,SPP,SPP,SPP_North,NE,eastern,SPP,p39
p40,SPP,SPP,SPP_North,NE,eastern,SPP,p40
p41,SPP,SPP,SPP_North,NE,eastern,SPP,p41
p42,MISO,MISO,MISO_North,MN,eastern,MISO,p42
p43,MISO,MISO,MISO_North,MN,eastern,MISO,p43
p44,MISO,MISO,MISO_North,MN,eastern,MISO,p44
p45,MISO,MISO,MISO_North,IA,eastern,MISO,p45
p46,MISO,MISO,MISO_North,WI,eastern,MISO,p46
p47,SPP,SPP,SPP_South,NM,eastern,SPP,p47
p48,SPP,SPP,SPP_South,TX,eastern,SPP,p48
p49,SPP,SPP,SPP_South,OK,eastern,SPP,p49
p50,SPP,SPP,SPP_South,OK,eastern,SPP,p50
p51,SPP,SPP,SPP_South,OK,eastern,SPP,p51
p52,SPP,SPP,SPP_South,KS,eastern,SPP,p52
p53,SPP,SPP,SPP_South,KS,eastern,SPP,p53
p54,SPP,SPP,SPP_South,MO,eastern,SPP,p54
p55,SPP,SPP,SPP_South,MO,eastern,SPP,p55
p56,SPP,SPP,SPP_South,AR,eastern,SPP,p56
p57,SPP,SPP,SPP_South,TX,eastern,SPP,p57
p58,MISO,MISO,MISO_South,LA,eastern,MISO,p58
p59,WECC_SW,WestConnect,WestConnect_South,TX,western,El_Paso_Electric,p59
p60,ERCOT,ERCOT,ERCOT,TX,texas,ERCOT,p60
p61,ERCOT,ERCOT,ERCOT,TX,texas,ERCOT,p61
p62,ERCOT,ERCOT,ERCOT,TX,texas,ERCOT,p62
p63,ERCOT,ERCOT,ERCOT,TX,texas,ERCOT,p63
p64,ERCOT,ERCOT,ERCOT,TX,texas,ERCOT,p64
p65,ERCOT,ERCOT,ERCOT,TX,texas,ERCOT,p65
p66,MISO,MISO,MISO_South,TX,eastern,MISO,p66
p67,ERCOT,ERCOT,ERCOT,TX,texas,ERCOT,p67
p68,MISO,MISO,MISO_North,MN,eastern,MISO,p68
p69,MISO,MISO,MISO_North,IA,eastern,MISO,p69
p70,MISO,MISO,MISO_North,IA,eastern,MISO,p70
p71,MISO,MISO,MISO_Central,MO,eastern,MISO,p71
p72,MISO,MISO,MISO_Central,MO,eastern,MISO,p72
p73,MISO,MISO,MISO_Central,MO,eastern,MISO,p73
p74,MISO,MISO,MISO_North,MI,eastern,MISO,p74
p75,MISO,MISO,MISO_North,WI,eastern,MISO,p75
p76,MISO,MISO,MISO_North,WI,eastern,MISO,p76
p77,MISO,MISO,MISO_North,WI,eastern,MISO,p77
p78,MISO,MISO,MISO_North,WI,eastern,MISO,p78
p79,MISO,MISO,MISO_North,WI,eastern,MISO,p79
p80,PJM,PJM,PJM_West,IL,eastern,PJM,p80
p81,MISO,MISO,MISO_Central,IL,eastern,MISO,p81
p82,MISO,MISO,MISO_Central,IL,eastern,MISO,p82
p83,MISO,MISO,MISO_Central,IL,eastern,MISO,p83
p84,MISO,MISO,MISO_Central,MO,eastern,MISO,p84
p85,MISO,MISO,MISO_South,AR,eastern,MISO,p85
p86,MISO,MISO,MISO_South,LA,eastern,MISO,p86
p87,MISO,MISO,MISO_South,MS,eastern,MISO,p87
p88,SERC_C,SERTP,SERTP,MS,eastern,Tennessee_Valley_Authority,p88
p89,SERC_SE,SERTP,SERTP,AL,eastern,Southern_Co_Services_Inc,p89
p90,SERC_SE,SERTP,SERTP,AL,eastern,PowerSouth_Energy_Coop,p90
p91,SERC_SE,SERTP,SERTP,FL,eastern,Southern_Co_Services_Inc,p91
p92,SERC_C,SERTP,SERTP,TN,eastern,Tennessee_Valley_Authority,p92
p93,SERC_C,SERTP,SERTP,KY,eastern,Tennessee_Valley_Authority,p93
p94,SERC_SE,SERTP,SERTP,GA,eastern,Southern_Co_Services_Inc,p94
p95,SERC_E,SERTP,SERTP,SC,eastern,Duke_Energy_Carolinas_LLC,p95
p96,SERC_E,SERTP,SERTP,SC,eastern,South_Carolina_Electric_Gas_Co,p96
p97,SERC_E,SERTP,SERTP,NC,eastern,Duke_Energy_Carolinas_LLC,p97
p98,SERC_E,SERTP,SERTP,NC,eastern,Duke_Energy_Progress_East,p98
p99,PJM,PJM,PJM_East,VA,eastern,PJM,p99
p100,PJM,PJM,PJM_East,VA,eastern,PJM,p100
p101,SERC_F,FRCC,FRCC,FL,eastern,Seminole_Electric_Coop_Inc,p101
p102,SERC_F,FRCC,FRCC,FL,eastern,Florida_Power_and_Light,p102
p103,MISO,MISO,MISO_Central,MI,eastern,MISO,p103
p104,PJM,PJM,PJM_West,MI,eastern,PJM,p104
p105,MISO,MISO,MISO_Central,IN,eastern,MISO,p105
p106,MISO,MISO,MISO_Central,IN,eastern,MISO,p106
p107,MISO,MISO,MISO_Central,IN,eastern,MISO,p107
p108,MISO,MISO,MISO_Central,KY,eastern,MISO,p108
p109,PJM,PJM,PJM_East,KY,eastern,PJM,p109
p110,PJM,PJM,PJM_East,KY,eastern,PJM,p110
p111,PJM,PJM,PJM_East,OH,eastern,PJM,p111
p112,PJM,PJM,PJM_East,OH,eastern,PJM,p112
p113,PJM,PJM,PJM_East,OH,eastern,PJM,p113
p114,PJM,PJM,PJM_East,OH,eastern,PJM,p114
p115,PJM,PJM,PJM_East,PA,eastern,PJM,p115
p116,PJM,PJM,PJM_East,WV,eastern,PJM,p116
p117,PJM,PJM,PJM_East,WV,eastern,PJM,p117
p118,PJM,PJM,PJM_East,VA,eastern,PJM,p118
p119,PJM,PJM,PJM_East,PA,eastern,PJM,z122
p120,PJM,PJM,PJM_East,PA,eastern,PJM,p120
p121,PJM,PJM,PJM_East,MD,eastern,PJM,p121
p122,PJM,PJM,PJM_East,PA,eastern,PJM,z122
p123,PJM,PJM,PJM_East,MD,eastern,PJM,p123
p124,PJM,PJM,PJM_East,VA,eastern,PJM,p124
p125,PJM,PJM,PJM_East,DE,eastern,PJM,p125
p126,PJM,PJM,PJM_East,NJ,eastern,PJM,p126
p127,NPCC_NY,NYISO,NYISO,NY,eastern,NYISO,p127
p128,NPCC_NY,NYISO,NYISO,NY,eastern,NYISO,p128
p129,NPCC_NE,ISONE,ISONE,VT,eastern,ISONE,p129
p130,NPCC_NE,ISONE,ISONE,NH,eastern,ISONE,p130
p131,NPCC_NE,ISONE,ISONE,MA,eastern,ISONE,p131
p132,NPCC_NE,ISONE,ISONE,CT,eastern,ISONE,p132
p133,NPCC_NE,ISONE,ISONE,RI,eastern,ISONE,p133
p134,NPCC_NE,ISONE,ISONE,ME,eastern,ISONE,p134
