r,rr,status,trtype,t,MW
oWA,p1,Possible,VSC,2010,100000
oOR_N,p5,Possible,VSC,2010,100000
oOR_S,p6,Possible,VSC,2010,100000
oCA_NNN,p9,Possible,VSC,2010,100000
oCA_NN,p9,Possible,VSC,2010,100000
oCA_N,p9,Possible,VSC,2010,100000
oCA_S,p9,Possible,VSC,2010,100000
oTX,p67,Possible,VSC,2010,100000
oLA,p58,Possible,VSC,2010,100000
oMS,p87,Possible,VSC,2010,100000
oAL,p90,Possible,VSC,2010,100000
oFL_W,p101,Possible,VSC,2010,100000
oFL_E,p102,Possible,VSC,2010,100000
oGA,p94,Possible,VSC,2010,100000
oSC,p96,Possible,VSC,2010,100000
oNC_S,p98,Possible,VSC,2010,100000
oNC_N,p98,Possible,VSC,2010,100000
oVA,p99,Possible,VSC,2010,100000
oMD,p123,Possible,VSC,2010,100000
oDE,p125,Possible,VSC,2010,100000
oNJ,p126,Possible,VSC,2010,100000
oNY,p128,Possible,VSC,2010,100000
oCT,p132,Possible,VSC,2010,100000
oRI,p133,Possible,VSC,2010,100000
oMA,p131,Possible,VSC,2010,100000
oNH,p130,Possible,VSC,2010,100000
oME,p134,Possible,VSC,2010,100000
