r,md5,node_lat,node_lon
p01001,1e685a8cce29c9bfbf747b9c5021e9c7,32.53490924,-86.64275952
p01003,4e3a70b7d33060b85039a37854d5cfbb,30.72688706,-87.72224345
p01005,a175fce93b2419adc1af906f5415ba27,31.8695477,-85.39343366
p01007,5f447c6de16af4a9f66d4b3059560fa1,32.99861263,-87.12646197
p01009,d7d4172ebfe14258d1fc27e9c026bb0b,33.98081453,-86.56754581
p01011,b8d7450486a88e28ef46e48777fa88a9,32.10057276,-85.71566585
p01013,acfb357aea2524207f1ad1a6b083e973,31.75235441,-86.68030335
p01015,658110253a6a191c49bb54f156dab00c,33.77139507,-85.82613545
p01017,e597986f5be42ddbaeb14bff1c5d9cec,32.91431203,-85.3920147
p01019,77d2199dacf7f89b2f49023abcee281e,34.17580981,-85.60380301
p01021,49da555e5ace736ade71a6e07974da59,32.84781677,-86.71886298
p01023,d0fa9491e1f37e2fd41adf6275c28821,32.01935896,-88.2633334
p01025,00ef47ce4a25ee7029e3a39423af03a6,31.67640542,-87.83070588
p01027,59ab165fcfcac0dfab8357e36f2b9cd8,33.26904307,-85.8606797
p01029,cbef11302d5755e59c44e8e00d6d2349,33.67443497,-85.51888074
p01031,e4a93ec493346d951ca08d27578f465f,31.40254424,-85.98822737
p01033,3c4fa6308991b2385d8e8c1c17ac8b83,34.70054275,-87.80493852
p01035,01a62cce7d9ea865b18f3b4ba788c1fa,31.429254,-86.99369612
p01037,432ca599953ff50cd4eeffe22faf3e48,32.93620983,-86.24762184
p01039,50596b50976848d4e5a2f16bdc702b03,31.24837267,-86.45120994
p01041,6dd168c521731e75624f909daba5daa5,31.73130926,-86.31352245
p01043,6be2000c2ec07d5e1447393ba4b6b73a,34.13189902,-86.86778335
p01045,e5660622be6e6960f86029ccef482f6b,31.43176284,-85.6110733
p01047,c632f5fe1ad6a30f1db6a0db774c1682,32.32587187,-87.10652185
p01049,d32f7df8ddcc9d2cb0ba567ef8851329,34.45962767,-85.80453575
p01051,a37c65a1cd70740bc7958f53ffe3ce6f,32.59666005,-86.1491363
p01053,6807d4d8ca15f644d5605468077dbc21,31.12636688,-87.16161188
p01055,03ac9114c7129baec1f7f55d8ae23b12,34.04527053,-86.03475531
p01057,851e18c0d7e888a570819db21c0d8f64,33.72115767,-87.73884531
p01059,6fd4a0ab0e05305864a380a225057e55,34.44174536,-87.84380287
p01061,e100dd46916dd446586644f3a02602ee,31.09516883,-85.83898934
p01063,4ae2db54fc557e4b9dce91ea9e9bc98d,32.8529713,-87.95219042
p01065,cf187b4da7370f65fe195b0b016035e9,32.76249571,-87.62918536
p01067,15d7c3bd0597d2c1632c329cb545c73d,31.51460654,-85.24141708
p01069,fa34f327494384204ac774f493245f6f,31.15321587,-85.30244688
p01071,b826b8f053e8dee4e1377390f21183ba,34.77938556,-85.99940506
p01073,2960e42eb36dbb046a6ee3707bd2d290,33.5542653,-86.89666301
p01075,0813c2f03e941f5b24226a7a9772b8dd,33.77899196,-88.09691987
p01077,f3e6bd3f7e0c2e8e18b202e7302dd2bf,34.90160269,-87.65393497
p01079,2a8590f74eb87515c40912ed6bb6be52,34.52151291,-87.31106891
p01081,9ea7124c3bca89c92a783f61c275a7dc,32.60119648,-85.35550749
p01083,1f62f58af40b338d2e3e150590d8b277,34.81000055,-86.98128764
p01085,5aeb188ac1588e72a7196aceb5c56f40,32.15469949,-86.65009106
p01087,9449da91f9febefe00baaed290377dac,32.3859891,-85.69266259
p01089,970b073edd0531207b2524ac88648d40,34.76295109,-86.5501754
p01091,62f1ab511530657b53d5b1563a0cf8a7,32.24748891,-87.78961731
p01093,76972a62b246217a5118ac29d7439b43,34.13652469,-87.88703611
p01095,91e950673ca45104c1108f9fc74fe0ff,34.36688368,-86.30663885
p01097,a34387a687fcea5e819dc86b1f00613b,30.78683518,-88.20590518
p01099,fad1fa20af32774e4780ec9d7325a029,31.57070434,-87.36588532
p01101,3c4c2a6e5318f9f638230af031c3e058,32.2201506,-86.20753782
p01103,4f2ecc93e4d80810ad4d3a74af2c45ea,34.45349763,-86.85286836
p01105,0288b84e066b028ae6d886cca55e2001,32.63838309,-87.29455838
p01107,8266716328f6080ae72859c6417606f4,33.28073953,-88.08879731
p01109,acbda39b4b0622bdbd700d0c38ef1d3f,31.80267163,-85.94088065
p01111,8e88848cecf2dfe586dab1e65a48850f,33.2937097,-85.45904675
p01113,22adec06b81bec164bf4c404ea8d30d6,32.28834482,-85.18497238
p01115,0da6699ac8ae7aee51de72fee5ceb4ab,33.71561177,-86.31472734
p01117,022c7571627e602f177b9ea2d718151c,33.26423208,-86.66083929
p01119,22d40cecd107aea46ccb8b56f562fbb3,32.59075572,-88.1987002
p01121,09cebede4af0d4132c15c26dab7f641c,33.37991691,-86.16625945
p01123,3b75b20f2fdceab3626d527b1402d67f,32.86221873,-85.79750503
p01125,f596a9d9388466f78ea59595630eb56b,33.28942805,-87.52503742
p01127,41f6b634f63b40832879f0cf2d7df78c,33.80328809,-87.29725338
p01129,0676d9f55541440881926db39a96735f,31.40746566,-88.20781422
p01131,3ad957f5eb8426d71d8bad33c2a27fc4,31.98932611,-87.30808158
p01133,2b58c39a3e7bd2344030e2c500df624b,34.14923587,-87.37367788
p04001,dcb57819746b6e6c79cb5f8c208173d9,35.38468623,-109.48843324
p04003,4fe1fd16a478f41f471f0b392701b716,31.87941957,-109.75130119
p04005,b67f7a2545b1b6f1a4d044532d86029c,35.83544964,-111.76877869
p04007,b2578cb2a083786cf66838a2f36c01d8,33.79928842,-110.81002245
p04009,cb2c2e04634a5a60cb03409301111618,32.93207548,-109.88719723
p04011,1f12a716b17bee8c7de14c39f20520f0,33.21427022,-109.24007199
p04012,06c07a2d25c64cc157f13f78e9f3b55e,33.72898405,-113.98276391
p04013,41774af41242139a632627bb63a8a9cd,33.34853444,-112.49331603
p04015,8f3fafdec035b1e90015ae6071184f54,35.69784258,-113.76209955
