interconnect,interface
western,AZ~~CA
western,AZ~~NM
western,AZ~~NV
western,AZ~~UT
western,CA~~NV
western,CA~~OR
western,CO~~NM
western,CO~~UT
western,CO~~WY
western,ID~~MT
western,ID~~NV
western,ID~~OR
western,ID~~UT
western,ID~~WA
western,ID~~WY
western,MT~~WA
western,MT~~WY
western,NM~~UT
western,NV~~UT
western,OR~~WA
western,UT~~WY
eastern,AL~~FL
eastern,AL~~GA
eastern,AL~~MS
eastern,AL~~TN
eastern,AR~~LA
eastern,AR~~MO
eastern,AR~~MS
eastern,AR~~OK
eastern,AR~~TN
eastern,CT~~MA
eastern,CT~~NY
eastern,CT~~RI
eastern,DE~~MD
eastern,DE~~NJ
eastern,DE~~PA
eastern,FL~~GA
eastern,GA~~NC
eastern,GA~~SC
eastern,GA~~TN
eastern,IA~~IL
eastern,IA~~MN
eastern,IA~~MO
eastern,IA~~NE
eastern,IA~~SD
eastern,IA~~WI
eastern,IL~~IN
eastern,IL~~KY
eastern,IL~~MO
eastern,IL~~WI
eastern,IN~~KY
eastern,IN~~MI
eastern,IN~~OH
eastern,KS~~MO
eastern,KS~~NE
eastern,KS~~OK
eastern,KY~~OH
eastern,KY~~TN
eastern,KY~~VA
eastern,KY~~WV
eastern,LA~~MS
eastern,MA~~NH
eastern,MA~~NY
eastern,MA~~RI
eastern,MA~~VT
eastern,MD~~PA
eastern,MD~~VA
eastern,MD~~WV
eastern,ME~~NH
eastern,MI~~OH
eastern,MI~~WI
eastern,MN~~ND
eastern,MN~~SD
eastern,MN~~WI
eastern,MO~~NE
eastern,MO~~OK
eastern,MO~~TN
eastern,MS~~TN
eastern,NC~~SC
eastern,NC~~TN
eastern,NC~~VA
eastern,ND~~SD
eastern,NE~~SD
eastern,NH~~VT
eastern,NJ~~NY
eastern,NJ~~PA
eastern,NY~~PA
eastern,NY~~VT
eastern,OH~~PA
eastern,OH~~VA
eastern,OH~~WV
eastern,PA~~WV
eastern,TN~~VA
eastern,VA~~WV
