FIPS,r
53001,WA_E
53003,WA_E
53005,WA_E
53007,WA_E
53009,WA_W
53011,WA_W
53013,WA_E
53015,WA_W
53017,WA_E
53019,WA_E
53021,WA_E
53023,WA_E
53025,WA_E
53027,WA_W
53029,WA_W
53031,WA_W
53033,WA_W
53035,WA_W
53037,WA_E
53039,WA_E
53041,WA_W
53043,WA_E
53045,WA_W
53047,WA_E
53049,WA_W
53051,WA_E
53053,WA_W
53055,WA_W
53057,WA_W
53059,WA_W
53061,WA_W
53063,WA_E
53065,WA_E
53067,WA_W
53069,WA_W
53071,WA_E
53073,WA_W
53075,WA_E
53077,WA_E
41003,OR_W
41039,OR_W
41041,OR_W
41043,OR_W
41053,OR_W
41005,OR_W
41047,OR_W
41071,OR_W
41007,OR_W
41009,OR_W
41057,OR_W
41013,OR_E
41017,OR_E
41023,OR_E
41031,OR_E
41069,OR_E
41021,OR_E
41027,OR_W
41049,OR_E
41055,OR_E
41059,OR_E
41061,OR_E
41063,OR_E
41065,OR_E
41051,OR_W
41067,OR_W
41011,OR_W
41015,OR_W
41033,OR_W
41019,OR_W
41029,OR_W
41035,OR_E
41001,OR_E
41045,OR_E
41025,OR_E
41037,OR_E
06001,CA_N
06003,CA_N
06005,CA_N
06007,CA_N
06009,CA_N
06011,CA_N
06013,CA_N
06015,CA_N
06017,CA_N
06019,CA_S
06021,CA_N
06023,CA_N
06025,CA_SE
06027,CA_S
06029,CA_S
06031,CA_S
06033,CA_N
06035,CA_N
06037,CA_LA
06039,CA_S
06041,CA_N
06043,CA_N
06045,CA_N
06047,CA_N
06049,CA_N
06051,CA_S
06053,CA_S
06055,CA_N
06057,CA_N
06059,CA_LA
06061,CA_N
06063,CA_N
06065,CA_SE
06067,CA_N
06069,CA_S
06071,CA_SE
06073,CA_SE
06075,CA_N
06077,CA_N
06079,CA_S
06081,CA_N
06083,CA_S
06085,CA_N
06087,CA_N
06089,CA_N
06091,CA_N
06093,CA_N
06095,CA_N
06097,CA_N
06099,CA_N
06101,CA_N
06103,CA_N
06105,CA_N
06107,CA_S
06109,CA_N
06111,CA_LA
06113,CA_N
06115,CA_N
32510,NV_N
32001,NV_N
32003,NV_LV
32005,NV_N
32007,NV_N
32009,NV_N
32011,NV_N
32013,NV_N
32015,NV_N
32017,NV_N
32019,NV_N
32021,NV_N
32023,NV_N
32027,NV_N
32029,NV_N
32031,NV_N
32033,NV_N
16001,ID_S
16003,ID_S
16005,ID_S
16007,ID_S
16009,ID_N
16011,ID_S
16013,ID_S
16015,ID_S
16017,ID_N
16019,ID_S
16021,ID_N
16023,ID_S
16025,ID_S
16027,ID_S
16029,ID_S
16031,ID_S
16033,ID_S
16035,ID_N
16037,ID_S
16039,ID_S
16041,ID_S
16043,ID_S
16045,ID_S
16047,ID_S
16049,ID_N
16051,ID_S
16053,ID_S
16055,ID_N
16057,ID_N
16059,ID_S
16061,ID_N
16063,ID_S
16065,ID_S
16067,ID_S
16069,ID_N
16071,ID_S
16073,ID_S
16075,ID_S
16077,ID_S
16079,ID_N
16081,ID_S
16083,ID_S
16085,ID_S
16087,ID_S
30001,MT_W
30003,MT_C
30005,MT_C
30007,MT_W
30009,MT_C
30011,MT_C
30013,MT_C
30015,MT_C
30017,MT_E
30019,MT_E
30021,MT_E
30023,MT_W
30025,MT_E
30027,MT_C
30029,MT_W
30031,MT_W
30033,MT_C
30035,MT_C
30037,MT_C
30039,MT_W
30041,MT_C
30043,MT_W
30045,MT_C
30047,MT_W
30049,MT_W
30051,MT_C
30053,MT_W
30057,MT_W
30055,MT_E
30059,MT_C
30061,MT_W
30063,MT_W
30065,MT_C
30067,MT_C
30069,MT_C
30071,MT_C
30073,MT_C
30075,MT_C
30077,MT_W
30079,MT_E
30081,MT_W
30083,MT_E
30085,MT_E
30087,MT_C
30089,MT_W
30091,MT_E
30093,MT_W
30095,MT_C
30097,MT_C
30099,MT_C
30101,MT_C
30103,MT_C
30105,MT_C
30107,MT_C
30109,MT_E
30111,MT_C
56003,WY_W
56013,WY_W
56017,WY_W
56029,WY_W
56039,WY_W
56043,WY_W
56023,WY_W
56035,WY_W
56037,WY_W
56041,WY_W
56019,WY_E
56033,WY_E
56005,WY_E
56011,WY_E
56045,WY_E
56001,WY_E
56007,WY_E
56009,WY_E
56015,WY_E
56021,WY_E
56025,WY_E
56027,WY_E
56031,WY_E
49001,UT
49003,UT
49005,UT
49007,UT
49009,UT
49011,UT
49013,UT
49015,UT
49017,UT
49019,UT
49021,UT
49023,UT
49025,UT
49027,UT
49029,UT
49031,UT
49033,UT
49035,UT
49037,UT
49039,UT
49041,UT
49043,UT
49045,UT
49047,UT
49049,UT
49051,UT
49053,UT
49055,UT
49057,UT
04001,AZ_N
04003,AZ_S
04005,AZ_N
04007,AZ_S
04009,AZ_S
04011,AZ_S
04012,AZ_S
04013,AZ_S
04015,AZ_N
04017,AZ_N
04019,AZ_S
04021,AZ_S
04023,AZ_S
04025,AZ_N
04027,AZ_S
35001,NM_W
35043,NM_W
35003,NM_W
35013,NM_W
35017,NM_W
35023,NM_W
35029,NM_W
35051,NM_W
35053,NM_W
35006,NM_W
35031,NM_W
35045,NM_W
35061,NM_W
35007,NM_W
35011,NM_W
35019,NM_W
35021,NM_W
35033,NM_W
35047,NM_W
35059,NM_W
35027,NM_W
35035,NM_W
35057,NM_W
35028,NM_W
35039,NM_W
35049,NM_W
35055,NM_W
46019,SD
46033,SD
46047,SD
46081,SD
46103,SD
08001,CO_E
08003,CO_W
08005,CO_E
08007,CO_W
08009,CO_E
08011,CO_E
08013,CO_E
08014,CO_E
08015,CO_W
08017,CO_E
08019,CO_W
08021,CO_W
08023,CO_W
08025,CO_E
08027,CO_W
08029,CO_W
08031,CO_E
08033,CO_W
08035,CO_E
08037,CO_W
08041,CO_E
08039,CO_E
08043,CO_W
08045,CO_W
08047,CO_W
08049,CO_W
08051,CO_W
08053,CO_W
08055,CO_E
08057,CO_W
08059,CO_E
08061,CO_E
08063,CO_E
08067,CO_W
08065,CO_W
08069,CO_E
08071,CO_E
08073,CO_E
08075,CO_E
08077,CO_W
08079,CO_W
08081,CO_W
08083,CO_W
08085,CO_W
08087,CO_E
08089,CO_E
08091,CO_W
08093,CO_W
08095,CO_E
08097,CO_W
08099,CO_E
08101,CO_E
08103,CO_W
08105,CO_W
08107,CO_W
08109,CO_W
08111,CO_W
08113,CO_W
08115,CO_E
08117,CO_W
08119,CO_E
08121,CO_E
08123,CO_E
08125,CO_E
38001,ND_SPP
38003,ND_MISO
38005,ND_MISO
38007,ND_SPP
38009,ND_SPP
38011,ND_SPP
38013,ND_SPP
38015,ND_SPP
38017,ND_MISO
38019,ND_MISO
38021,ND_SPP
38023,ND_SPP
38025,ND_SPP
38027,ND_MISO
38029,ND_SPP
38031,ND_MISO
38033,ND_SPP
38035,ND_MISO
38037,ND_SPP
38039,ND_MISO
38041,ND_SPP
38043,ND_SPP
38045,ND_MISO
38047,ND_SPP
38049,ND_MISO
38051,ND_SPP
38053,ND_SPP
38055,ND_SPP
38057,ND_SPP
38059,ND_SPP
38061,ND_SPP
38063,ND_MISO
38065,ND_SPP
38067,ND_MISO
38069,ND_MISO
38071,ND_MISO
38073,ND_MISO
38075,ND_SPP
38077,ND_MISO
38079,ND_SPP
38081,ND_MISO
38083,ND_MISO
38085,ND_SPP
38087,ND_SPP
38089,ND_SPP
38091,ND_MISO
38093,ND_MISO
38095,ND_SPP
38097,ND_MISO
38099,ND_MISO
38101,ND_MISO
38103,ND_MISO
38105,ND_SPP
46003,SD
46015,SD
46017,SD
46035,SD
46059,SD
46065,SD
46069,SD
46073,SD
46111,SD
46005,SD
46013,SD
46021,SD
46025,SD
46029,SD
46045,SD
46049,SD
46089,SD
46115,SD
46007,SD
46071,SD
46102,SD
46009,SD
46023,SD
46043,SD
46067,SD
46135,SD
46011,SD
46037,SD
46039,SD
46051,SD
46057,SD
46077,SD
46091,SD
46109,SD
46027,SD
46061,SD
46079,SD
46083,SD
46087,SD
46097,SD
46099,SD
46101,SD
46125,SD
46127,SD
46031,SD
46063,SD
46105,SD
46041,SD
46093,SD
46107,SD
46119,SD
46129,SD
46137,SD
46053,SD
46095,SD
46121,SD
46123,SD
46055,SD
46075,SD
46085,SD
46117,SD
31005,NE
31029,NE
31049,NE
31057,NE
31069,NE
31075,NE
31101,NE
31135,NE
31161,NE
31007,NE
31013,NE
31033,NE
31045,NE
31105,NE
31123,NE
31157,NE
31165,NE
31001,NE
31019,NE
31023,NE
31035,NE
